mogert,	মগের্ট,	মোজার্ট,	
shalsa,	সালস,	সালসা,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
khaaneker,	খানেকের,	খানেকের,	
bonovumi,	বনভূমি,	বনভূমি,	
halloween,	হলযালিন,	হ্যালোইন,	
kloj,	ক্লোজ,	ক্লজ,	
tukroke,	টুকরাকে,	টুকরোকে,	
thar,	থাঁর,	থর,	
achish,	আচিশ,	আছিস,	
gabeshanar,	গবেষণার,	গবেষনার,	
ujobekeestan,	উজবেকিশ্তান,	উজবেকিস্তান,	
umedpoor,	উমেদপুর,	উমেদপুর,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
shhip,	শিপ,	শিপ,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
wault,	ওয়াট,	ভল্ট,	
laaishensh,	লাইনেস,	লাইসেন্স,	
retasa,	রাটস,	রাইটস,	
engineersh,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
homeser,	হোমেসের,	হোমসের,	
billaho,	বিল্লাহ,	বিল্লাহ,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
markeetim,	মার্কেটিং,	মার্কেটিং,	
agrodut,	আগ্রদূত,	অগ্রদূত,	
saajano,	সাজান,	সাজানো,	
rahee,	রাহি,	রাহী,	
sikha,	শিখা,	শিখ,	
onnyorup,	অন্যরূরূপ,	অন্যরূপ,	
heeja,	হেজ,	হেজ,	
gaichey,	গেইছে,	গাইছে,	
tuning,	টিউনিং,	টিউনিং,	
vedke,	ভেদকে,	বেদকে,	
zinsa,	জিন্স,	জিন্স,	
military,	মিলিটারী,	মিলিটারি,	
prodiiper,	প্রদীপের,	প্রদীপের,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
paramartha,	পরমর্থ,	পরমার্থ,	
sulke,	সুলকে,	শুল্কে,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
nirgoon,	নির্গুণ,	নির্গুণ,	
basaalt,	বাসল্ট,	ব্যাসল্ট,	
bidghootey,	বিদঘতে,	বিদঘুটে,	
bhageri,	ভাগেরি,	ভাগেরই,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
protul,	প্রতুল,	প্রতুল,	
robe,	রবে,	রবে,	
badey,	বাদে,	বাদে,	
vivek,	ভীভেক,	বিবেক,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
bhadaka,	ভাদাকা,	ভদকা,	
bharkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
damodar,	দামোদর,	দামদর,	
somsher,	সমসের,	সমশের,	
rothin,	রথিন,	রথীন,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
edmeeral,	এডমিরেল,	এডমিরাল,	
arshie,	আর্ষি,	আরসিএ,	
dhanche,	ধাঁচে,	ধাঁচে,	
jeeni,	জেনি,	যিনি,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
chutochuti,	চুটুচুটি,	ছুটোছুটি,	
karloosa,	কার্লো,	কার্লোস,	
aparogata,	অপরগত,	অপারগতা,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
barack,	ব্যারাক,	বারাক,	
mukhya,	মুখ্য,	মুখ্য,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
hepataitisa,	হেপটিটিস,	হেপাটাইটিস,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
maase,	মাসে,	মাসে,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
asammati,	আসম্মতি,	অসম্মতি,	
sollalaho,	সোল্লাহ,	সল্লাল্লাহু,	
shithilata,	সিথিলত,	শিথিলতা,	
jeellul,	জিল্লুল,	জিল্লুল,	
elaakasoho,	এলাকাশহ,	এলাকাসহ,	
okritakarjo,	অকৃতর্কর্য,	অকৃতকার্য,	
kanagulo,	কানুগুলো,	কণাগুলো,	
deeliveer,	ডিলিভির,	ডেলিভার,	
joruri,	জরুরি,	জরূরী,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
shrabasti,	শ্রবাসটি,	শ্রাবস্তী,	
akhandota,	আখন্দদা,	অখণ্ডতা,	
sulfete,	সুলফেটে,	সালফেট,	
jatotaa,	যতটা,	যতোটা,	
basate,	বাসাতে,	বাসাতে,	
jackey,	জকে,	জকি,	
halding,	হাল্ডিং,	হোল্ডিং,	
markete,	মার্কেটে,	মার্কেটে,	
uponishad,	উপনিশাদ,	উপনিষদ,	
jotsna,	যোটনা,	জ্যোৎস্না,	
horidar,	হরিদার,	হরিদ্বার,	
mohakobi,	মহাকবী,	মহাকবি,	
kachhakaachhi,	কাছকাছি,	কাছাকাছি,	
turqamena,	তুর্কমেন,	তুর্কমেন,	
tecnokryat,	টেকন্র্যাত,	টেকনোক্র্যাট,	
dokaangulote,	ডোকাঙুলোতে,	দোকানগুলোতে,	
songbadmadhyomgulote,	সংবাদনসম্যগুলোতে,	সংবাদমাধ্যমগুলোতে,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
omeettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
shithilota,	সিথিলতা,	শিথিলতা,	
samanwitavabe,	সামান্নিভাবে,	সমন্বিতভাবে,	
chhootee,	ছুটি,	ছুটি,	
beeru,	বেরু,	বীরু,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
deul,	ডিউল,	দেউল,	
steeit,	স্টেট,	স্টেইট,	
atiteo,	আতিতেও,	অতীতেও,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
debate,	দেবাতে,	ডিবেট,	
telakoocha,	টেলককো,	তেলাকুচা,	
deliver,	ডিলিভের,	ডেলিভার,	
ddheke,	ঢেঁকে,	ঢেকে,	
jwaluk,	জ্বলুক,	জ্বলুক,	
mahasava,	মহাসভা,	মহাসভা,	
karle,	কার্লে,	করলে,	
kaaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
dhojobhongo,	ধভবঙঙ্গ,	ধ্বজভঙ্গ,	
monjushree,	মনযুস্রী,	মঞ্জুশ্রী,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
bosontey,	বসন্তে,	বসন্তে,	
yaak,	যাক,	ইয়াক,	
kormokarer,	কর্মকারের,	কর্মকারের,	
provritir,	প্রভূতির,	প্রভৃতির,	
enasiyenta,	এননসয়েন্ট,	এনসিয়েন্ট,	
narsari,	নার্সারী,	নার্সারি,	
bhaabaponno,	ভববাপন্য,	ভাবাপন্ন,	
yuk,	ইউক,	ইয়াক,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
thyachar,	ট্যাচার,	থ্যাচার,	
babyloney,	বেবিলনে,	ব্যাবিলনে,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
spredasita,	স্প্রেডিস,	স্প্রেডশীট,	
gazeetteed,	গেজেটিদ,	গেজেটেড,	
troop,	ট্রুপ,	ট্রুপ,	
tintikey,	তিনটিকে,	তিনটিকে,	
bhushi,	ভুষি,	ভুষি,	
lokhindare,	লোখিন্দারে,	লখিন্দরের,	
muhurtoti,	মুহূর্তি,	মুহুর্তটি,	
embi,	এমবি,	এমবি,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
jolbe,	জলবে,	জ্বলবে,	
firoj,	ফিরোজ,	ফিরোজ,	
uparjaner,	উপার্জনের,	উপার্জনের,	
makong,	মকং,	মেকং,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
maroofer,	মারুফের,	মারুফের,	
vaphara,	ভাফার,	বাফার,	
lidara,	লিডার,	লিডার,	
tiner,	টিনের,	তিনের,	
dharabahikbhabe,	ধারারিকভিবে,	ধারাবাহিকভাবে,	
jomaanor,	জমানোর,	জমানোর,	
bibek,	বিবেক,	বিবেক,	
bolbo,	বলবো,	বলবো,	
transformerer,	ট্রান্সপোর্রের,	ট্রান্সফরমারের,	
tirmizi,	তিরমিযী,	তিরমিজি,	
chhutochhuti,	ছুটুছটি,	ছুটোছুটি,	
dobhar,	দভার,	ডোভার,	
abasane,	আবাসনে,	অবসানে,	
digrio,	ডিগ্রীও,	ডিগ্রিও,	
songhitar,	সংঘিতার,	সংহিতার,	
seramiqs,	সেরেমিক্স,	সিরামিকস,	
ottacharito,	অত্যাচারিত,	অত্যাচারিত,	
chootite,	ছুটিতে,	ছুটিতে,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
bajite,	বজিতে,	বাজিতে,	
ghateer,	ঘাতির,	ঘাটির,	
lutharen,	লুঠারেন,	লুথেরান,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
kingdom,	কিংড্ম,	কিংডম,	
falashrutite,	ফলসুরোতিতে,	ফলশ্রুতিতে,	
bedke,	বেদকে,	বেদকে,	
varote,	ভারতে,	ভারতে,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
krema,	ক্রেম,	ক্রাইম,	
babul,	বাবুল,	বাবুল,	
rajoshri,	রাজর্মি,	রাজশ্রী,	
venus,	ভেনাস,	ভেনাস,	
chaanu,	চানু,	চানু,	
ostad,	অস্টাদ,	ওস্তাদ,	
pituni,	পিতুনি,	পিটুনি,	
chalo,	চালো,	চলো,	
monjooshree,	মনযুস্রী,	মঞ্জুশ্রী,	
saleha,	সালেহা,	সালেহা,	
bizit,	বিজিত,	বিজিত,	
sommoteete,	সম্মতিতে,	সম্মতিতে,	
donaat,	ডোনাট,	ডোনাট,	
krus,	ক্রুশ,	ক্রুশ,	
shikarer,	শিকারের,	শিকারের,	
ustaad,	উস্তাদ,	উস্তাদ,	
juktorashtrasaha,	যুক্তরাস্টবসরহ,	যুক্তরাষ্ট্রসহ,	
purbancole,	পূর্বাঙ্চলে,	পূর্বাঞ্চলে,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
kaferder,	কাফারদের,	কাফেরদের,	
sachetanotamulok,	সচ্ছাননাথমূলক,	সচেতনতামূলক,	
omarjeeto,	অমর্জিত,	অমার্জিত,	
tawnship,	তনসিশ,	টাউনশিপ,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
shikarke,	শ্বীকারকে,	শিকারকে,	
brekthrough,	ব্রেকরোভারোগ,	ব্রেকথ্রু,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
kaamij,	কামিজ,	কামিজ,	
karu,	করু,	কারো,	
habshi,	হবিসি,	হাবশী,	
gemser,	গেমসের,	জেমসের,	
rubol,	রুবল,	রুবল,	
shayetana,	সয়েটন,	শয়তান,	
enginears,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
khanankaj,	খননকাজ,	খননকাজ,	
azadeer,	আজাদীর,	আজাদীর,	
omarjito,	অমর্জিত,	অমার্জিত,	
paltechey,	পালেটেে,	পাল্টেছে,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
ganonatyo,	গণনান্য,	গণনাট্য,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
gitikabitar,	গীতিকাবিতর,	গীতিকবিতার,	
shpreadshheet,	স্প্রেডিট,	স্প্রেডশীট,	
sepha,	সেফ,	শেফ,	
foxcon,	ফক্ষন,	ফক্সকন,	
dakticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
afjal,	আফজাল,	আফজল,	
uthhane,	উঠানে,	উঠানে,	
pleta,	প্লট,	প্লেট,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
phox,	ফক্স,	ফক্স,	
gonohotyakey,	গণহাত্যাকে,	গণহত্যাকে,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
sangkalaner,	সংকানের,	সংকলনের,	
chitronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
bima,	বিমা,	বিম,	
rooplal,	রূপ্লল,	রূপলাল,	
ivil,	ইভিল,	ইভিল,	
liceensing,	লিচেন্সিং,	লাইসেন্সিং,	
tenishe,	টেনিজে,	টেনিসে,	
uuipoka,	উউপিককা,	উইপোকা,	
abahan,	আবাহন,	আবাহন,	
niranjan,	নিরাঞ্জন,	নিরঞ্জন,	
grotha,	গ্রথ,	গ্রোথ,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
enjineerinj,	এন্জিনির্জিং,	ইঞ্জিনিয়ারিং,	
