digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
chalachchitragulor,	চলচ্চিলারলের,	চলচ্চিত্রগুলোর,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
radhanagar,	রাধানগগর,	রাধানগর,	
canton,	ক্যান্টন,	ক্যান্টন,	
aholar,	আহলার,	অহল্যার,	
apochesta,	অপচেস্টা,	অপচেষ্টা,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
mojlishpur,	মজলিস্পুর,	মজলিশপুর,	
manabmoner,	মানবমমেনের,	মানবমনের,	
pravu,	প্রভূ,	প্রভু,	
atok,	অটক,	আটক,	
shantaa,	সাঁতা,	সান্তা,	
mausumei,	মৌসমেই,	মৌসুমেই,	
vabatarini,	ভবাতারিনী,	ভবতারিণী,	
gacher,	গাছের,	গাছের,	
michiler,	মিছিলের,	মিছিলের,	
prety,	প্রতি,	প্রিটি,	
bishwaashshoi,	বিশ্বশ্যাই,	বিশ্বাসই,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
adhattik,	আধাত্ত্বিক,	আধ্যাত্মিক,	
saarbhare,	সার্ভারে,	সার্ভারে,	
shorsha,	সর্ষ,	সোর্স,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
matrirup,	মাতৃতূরপ,	মাতৃরূপ,	
sithilota,	সীথিলতা,	শিথিলতা,	
ganona,	গণনা,	গণনা,	
dikpal,	দিকপাল,	দিকপাল,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
jonesh,	জনস,	জোন্স,	
parisankhyanbid,	পরিষণখ্যাবিদ,	পরিসংখ্যানবিদ,	
majuter,	মাজুতের,	মজুতের,	
parinati,	পরিনতি,	পরিণতি,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
suparahiro,	সুপারীহীরা,	সুপারহিরো,	
timesh,	টাইমস,	টাইমস্,	
armshtronj,	আর্ষট্র্জ,	আর্মস্ট্রং,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
hafsa,	হাসস,	হাফসা,	
bocchon,	বচ্ছন,	বচ্চন,	
vdp,	এিডিপি,	ভিডিপি,	
raha,	রহ,	রঃ,	
bagdadi,	বাগদাদী,	বাগদাদী,	
rajballabh,	রাজভলবলা,	রাজবল্লভ,	
peterke,	পিতারকে,	পিটারকে,	
alexandarkey,	আলেকন্্দারকে,	আলেকজান্ডারকে,	
dajjha,	দ্ধা,	দাহ্য,	
aasif,	আসীফ,	আসিফ,	
meghachchanno,	মেঘচাছন্ন,	মেঘাচ্ছন্ন,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
jibanto,	জীবন্ত,	জীবন্ত,	
atohar,	আতোহার,	আতহার,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
dharabahikbhabe,	ধারাবাহিকাবে,	ধারাবাহিকভাবে,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
segulo,	সেগুলো,	সেগুলো,	
kobootorer,	কবটুরের,	কবুতরের,	
jolrang,	জলরাং,	জলরঙ,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
conphlict,	কনফাল্কট,	কনফ্লিক্ট,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
vushito,	ভূষিত,	ভূষিত,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
ogovir,	অগভীর,	অগভীর,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
feroza,	ফেরোজা,	ফিরোজা,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
amerika,	এমেরিকা,	আমেরিকা,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
puncho,	পুঁচ,	পুঞ্চ,	
baman,	বামন,	বামন,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
ganoporibahan,	গণপরিবহণ,	গণপরিবহন,	
musalmanderkey,	মুসমামন্দকে,	মুসলমানদেরকে,	
hyaloin,	হ্যালাইন,	হ্যালোইন,	
evaner,	ইভানের,	ইভানের,	
platoo,	প্লাটু,	প্লেটো,	
advoot,	অ্যাডভূট,	অদ্ভুত,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
deyl,	ডেল,	ডেইল,	
noitikotabodh,	নৈতিতাকাধ,	নৈতিকতাবোধ,	
fridom,	ফ্রিডম,	ফ্রীডম,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
spreadseet,	স্প্রাডেস্ট,	স্প্রেডশীট,	
shikhbe,	শিখলে,	শিখবে,	
iyanqi,	আইএনকি,	ইয়াংকি,	
shiter,	শীটের,	শীতের,	
asovo,	অসভ,	অসভ্য,	
changee,	চঙ্গী,	চেঞ্জ,	
ishtara,	ইস্টার,	ইস্টার,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
chaiti,	চাইটি,	চৈতি,	
aachees,	আচিশ,	আছিস,	
orbiit,	অর্বিত,	অরবিট,	
kokein,	কোকেইন,	কোকেইন,	
hingsar,	হিংসার,	হিংসার,	
baieq,	বাইক,	বাইক,	
mozlishpoor,	মজলিপ্ুর,	মজলিশপুর,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
fimela,	ফাইমেলা,	ফিমেল,	
palta,	পাল্টা,	পালটা,	
laat,	লাট,	লাট,	
heemi,	হিমি,	হিমি,	
dhache,	ঢোচে,	ধাঁচে,	
lambaate,	লম্বাতে,	লম্বাটে,	
nake,	নাকে,	নেক,	
dhyaan,	ধ্যান,	ধ্যান,	
puddin,	পুদ্দিন,	পুডিং,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
maddhuri,	মাধুরি,	মাধুরী,	
kkompito,	কম্পিত,	কম্পিত,	
ghoor,	ঘোর,	ঘুর,	
haran,	হারা,	হারান,	
jeerusaleema,	জিরুশালিমা,	জেরুসালেম,	
uposthit,	উপস্থিত,	উপস্থিত,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
savanetri,	সভাননত্রী,	সভানেত্রী,	
nadnodeer,	নাদ্নীদর,	নদনদীর,	
ponchaashjon,	পঞ্চাশাজন,	পঞ্চাশজন,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
bishwashe,	বিশ্বাশে,	বিশ্বাসে,	
khannkaj,	খনঁজাক,	খননকাজ,	
utsahomulok,	উতসহমূলক,	উৎসাহমূলক,	
nodimatrik,	নদৈমাত্রিক,	নদীমাতৃক,	
stanahenja,	স্টানাইহেন্জ,	স্টোনহেঞ্জ,	
risorte,	রিসর্তে,	রিসোর্টে,	
alpai,	আলপাই,	অল্পই,	
istone,	ইস্টন,	স্টোন,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
ameerika,	অমেরিকা,	আমেরিকা,	
ashankai,	অশানকাই,	আশঙ্কাই,	
gonohottake,	গণহত্তকে,	গণহত্যাকে,	
pretti,	প্রেটটি,	প্রিটি,	
afjal,	আফজাল,	আফজল,	
fanding,	ফানদিং,	ফান্ডিং,	
masjidke,	মস্দিবকে,	মসজিদকে,	
jemske,	জেমসকে,	জেমসকে,	
ranodeep,	রণনদপ,	রণদীপ,	
parjataker,	পর্যটতকের,	পর্যটকের,	
peeth,	পিথ,	পীঠ,	
haitasha,	হাইটাস,	হাইটস,	
nirbahey,	নির্বাহে,	নির্বাহে,	
durgoto,	দুর্গত,	দূর্গত,	
soolke,	শুলকে,	শুল্কে,	
baju,	বাজু,	বাজু,	
taivan,	তাভান,	তাইওয়ান,	
sqarta,	স্কার্ট,	স্কার্ট,	
folo,	ফলো,	পোলো,	
byaran,	ব্যারন,	ব্যারন,	
shoshoa,	শসায,	শশা,	
baagicar,	বাগিকার,	বাগিচার,	
heeavy,	হেয়,	হেভি,	
se,	সে,	সে,	
siima,	সীম,	সীমা,	
uthe,	উঠে,	উঠে,	
shringey,	শ্রীঞ্জ,	শৃঙ্গে,	
dailee,	ডেল,	ডেইলি,	
jalrang,	জলরাং,	জলরঙ,	
hamasa,	হামাস,	হোমস,	
mokam,	মোকম,	মোকাম,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
stone,	স্তন,	স্টোন,	
bhor,	ভোর,	ভর,	
baitsh,	বাইটস,	বাইটস,	
dhojobhongo,	ধৌভঙ্গ,	ধ্বজভঙ্গ,	
scoree,	স্কর়ে,	স্কোরে,	
koilash,	কৈলাশ,	কৈলাস,	
eute,	ইউট,	ইইউতে,	
latimer,	লতিমের,	লাটিমের,	
korimpur,	করিমপুর,	করিমপুর,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
neshhanasha,	নেঃসনাস,	নেশনস,	
naarsaari,	নার্সারী,	নার্সারি,	
jillul,	জিল্লুল,	জিল্লুল,	
thelaa,	ঠেলা,	ঠেলা,	
gaze,	গজে,	গেজ,	
chainge,	চ্যাঙ্গে,	চেঞ্জ,	
sabrakamer,	সবরককমের,	সবরকমের,	
debeting,	ডেবিটিং,	ডিবেটিং,	
neutrinoo,	নিউট্রিন,	নিউট্রিনো,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
veemsen,	ভিমসেন,	ভীমসেন,	
culing,	ক্লিং,	কুলিং,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
ajauno,	অযান্ন,	অযৌন,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
nepchooner,	নিপুছনের,	নেপচুনের,	
mulgoto,	মুলগত,	মূলগত,	
jyeshtha,	জ্যাস্থা,	জ্যেষ্ঠা,	
jatota,	যতটা,	যতোটা,	
scifi,	স্সিফি,	সাইফাই,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
chanake,	চানকে,	ছানাকে,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
ship,	শীপ,	শিপ,	
bait,	বাইট,	বাইট,	
poshte,	পোশতে,	পোষ্টে,	
everage,	ইভারাগেজ,	এভারেজ,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
kemane,	কেমনে,	কেমনে,	
hoil,	হইল,	হইল,	
gaddaphii,	গদ্যাদী,	গাদ্দাফী,	
asabhya,	অশভ্য,	অসভ্য,	
tirmijii,	তিরমিযী,	তিরমিজি,	
aazeez,	আজীজ,	আজিজ,	
melborrone,	মেযাবরেরনে,	মেলবোর্নে,	
sarboshaktimaan,	সর্বসাকমতনিক,	সর্বশক্তিমান,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
mojdoor,	মজুদুর,	মজদুর,	
elaakai,	এলাকাই,	এলাকাই,	
daktickete,	দক্তিকটে,	ডাকটিকিটে,	
nilabho,	নীলভ,	নীলাভ,	
homeske,	হামেসকে,	হোমসকে,	
hijri,	হিজরি,	হিজরী,	
harbur,	হার্বার,	হারবার,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
bodhirta,	বধধিরা,	বধিরতা,	
reejideencee,	রেজিডেন্সি,	রেসিডেন্স,	
battery,	ব্যাটারি,	ব্যাটারী,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
bhittiteo,	ভিতিতেও,	ভিত্তিতেও,	
rajatwa,	রাজত্ব,	রাজত্ব,	
taoonship,	তাউন্সিপ,	টাউনশিপ,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
jwarer,	যাবরের,	জ্বরের,	
sqolastic,	স্কালটসিক,	স্কলাস্টিক,	
kumarir,	কুমারির,	কুমারীর,	
ingrejeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
ingrejraa,	ইংগ্রেগা,	ইংরেজরা,	
karmasansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
mashajida,	মাসাদিজা,	মসজিদ,	
sqirt,	স্কার্ট,	স্কার্ট,	
obhaarbhiu,	অভারকভভী,	ওভারভিউ,	
jonosanjog,	জনসংযোগ,	জনসংযোগ,	
park,	পার্ক,	পার্ক,	
kulim,	কুলিম,	কুলিং,	
fareksa,	ফরেক্স,	ফরেক্স,	
anan,	আনন,	আনান,	
lajek,	লাজেক,	লজিক,	
rajan,	রজন,	রাজন,	
sikar,	সিকার,	শিকার,	
gunaman,	গুণামন,	গুণমান,	
falashrutite,	ফলাস্রুতিতে,	ফলশ্রুতিতে,	
shikha,	শিখা,	শিখ,	
dadar,	দাদার,	দাদার,	
kada,	কাদা,	কোডা,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
parswer,	পার্সবার,	পার্শ্বের,	
tooni,	তুনি,	টুনি,	
pana,	পান,	পানা,	
directorete,	ডিরেক্টরেটে,	ডিরেক্টরেট,	
