laisensim,	লেইসেং্সিং,	লাইসেন্সিং,	
dharabahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
bidghute,	বিদঘুতে,	বিদঘুটে,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
mekon,	মেকন,	মেকং,	
chuti,	ছুটি,	ছুটি,	
probeshan,	প্রবেশন,	প্রবেশন,	
chintaikaree,	ছিনতাইকারী,	ছিনতাইকারী,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
machera,	মাচেরা,	মাছেরা,	
jerusalem,	জেরুসালেম,	জেরুজালেম,	
vodqa,	ভোদ্কা,	ভদকা,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
kota,	কোট,	কোটা,	
jeellul,	জিল্লুল,	জিল্লুল,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
hossain,	হোসাইন,	হোসেইন,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
qloud,	ক্লদ,	ক্লাউড,	
yuk,	ইউক,	ইয়াক,	
karmoke,	কর্মকে,	কর্মকে,	
maddhukkori,	মাধুককরী,	মাধুকরী,	
peengna,	পিন্ন,	পিংনা,	
prabhuder,	প্রভূদের,	প্রভুদের,	
liceencee,	লিচেন্স,	লাইসেন্স,	
hundayi,	হান্ডাই,	হুন্দাই,	
haldim,	হাল্ডিং,	হোল্ডিং,	
iraaner,	ইরানের,	ইরানের,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
saramiks,	সারামিক্স,	সিরামিকস,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
tekno,	টেকনো,	টেকনো,	
riphleksha,	রাইফেল্ক্স,	রিফ্লেক্স,	
sthapanagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
heawy,	হেউি,	হেভি,	
mathieu,	মাথিও,	ম্যাথিউ,	
bhogini,	ভোগিনী,	ভগিনী,	
bonovumi,	বনভূমি,	বনভূমি,	
manushsoho,	মানুসহ,	মানুষসহ,	
daaraa,	দারা,	দারা,	
pujita,	পূজিতা,	পুজিত,	
munshi,	মুনশী,	মুন্সী,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
jyakashana,	য্যাকশন,	জ্যাকসন,	
saurse,	সোর্সে,	সোর্স,	
bondhuvabaponyo,	বন্ধুবন্পব্য,	বন্ধুভাবাপন্ন,	
keyboard,	কিবোর্ড,	কীবোর্ড,	
bim,	বীম,	বীম,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
adhyatmikatar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
kara,	কর,	কারো,	
rubidiyam,	রুবিদিয়াম,	রুবিডিয়াম,	
animated,	অনিমেতেড,	এনিমেটেড,	
koyartara,	কোর্টার,	কোয়ার্টার,	
bamni,	বাম্নী,	বামনী,	
shaalehaa,	সালেহা,	সালেহা,	
chintaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
iranayer,	ইরানের,	ইরানের,	
mesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
pyor,	প্যার,	পিওর,	
manur,	মানুর,	মনুর,	
manushder,	মানুষদের,	মানুষদের,	
oholya,	ওহল্যা,	অহল্যা,	
oshamorik,	আসামরিক,	অসামরিক,	
falasrutite,	ফলাস্রুতিতে,	ফলশ্রুতিতে,	
deputee,	দিপুতি,	ডেপুটি,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
afzol,	আফজল,	আফজল,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
lesensa,	লেসেন্স,	লাইসেন্স,	
gyate,	জ্ঞাটে,	গ্যেটে,	
shource,	সার্স,	সোর্স,	
aalkatra,	আলকাত্র,	আলকাতরা,	
bairey,	বেই়ে,	বাইরে,	
upcharzo,	উপচার্য,	উপাচার্য,	
swartha,	স্বর্থ,	স্বার্থ,	
taufik,	তৌফিক,	তৌফিক,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
eparjonta,	এপার্জন্তা,	এপর্যন্ত,	
salmaner,	স্যালমানের,	সালমানের,	
bagicha,	বাগিচা,	বাগিচা,	
agomone,	আগমনে,	আগমনে,	
rakibul,	রাকিবুল,	রকিবুল,	
swapod,	স্বপদ,	শ্বাপদ,	
plator,	প্লেটার,	প্লেটোর,	
chirata,	চিরত,	চিরতা,	
santoshpore,	সন্তুষপুর,	সন্তোষপুর,	
tenish,	টেনিস,	টেনিস,	
shomraat,	শম্রাত,	সম্রাট,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
gaddafi,	গাদ্যাফী,	গাদ্দাফী,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
patthon,	পাঠন,	পঠন,	
anhu,	আঁুু,	আনহু,	
sthaponatir,	স্থাপনাতির,	স্থাপনাটির,	
jeten,	জেতেন,	যেতেন,	
bollov,	বললোভ,	বল্লভ,	
pravritike,	প্রভূতিকে,	প্রভৃতিকে,	
shalapheta,	সলফাইট,	সালফেট,	
aporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
surakarder,	সুরকারদের,	সুরকারদের,	
paste,	পোস্টে,	পেষ্ট,	
avatara,	অভতর,	অবতার,	
direectoratee,	ডিরেক্টরিট,	ডিরেক্টরেট,	
madhoori,	মধুরি,	মাধুরী,	
nirantar,	নিরান্তর,	নিরন্তর,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
deilee,	ডেইল,	ডেইলি,	
eskol,	এস্কোল,	এসকল,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
sangostha,	সংগ্্ষ,	সংস্থা,	
dinesh,	ডাইনোস,	দীনেশ,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
allahabadey,	আল্লাহাদাদে,	এলাহাবাদে,	
gate,	গেটে,	গ্যেটে,	
michiler,	মিচিলের,	মিছিলের,	
ujobekeestan,	উযবেকিষ্তান,	উজবেকিস্তান,	
shringga,	শৃঙ্গ,	শৃঙ্গ,	
shit,	শীট,	শীত,	
shiqha,	শিখ,	শিখ,	
vagna,	ভাগনা,	ভগ্ন,	
ranodeep,	রণদীপ,	রণদীপ,	
samanyo,	সামান্য,	সামান্য,	
uparjon,	উপার্জন,	উপার্জন,	
jubokey,	যুবকে,	যুবকে,	
vool,	ভুল,	উল,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
carymb,	কররিম্ব,	করিম,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
debdebee,	দেবদেবী,	দেবদেবী,	
opohoronn,	অপহরণ,	অপহরন,	
lidara,	লিডার,	লিডার,	
tooni,	তুনি,	টুনি,	
goteebege,	গতিবেগে,	গতিবেগে,	
kattar,	কাটার,	কট্টর,	
konader,	কোনদের,	কণাদের,	
hul,	হুল,	হুল,	
horiddare,	হরিদরার,	হরিদ্বারে,	
reetesh,	রিটেস,	রিতেশ,	
conseervation,	কনসারভেশেশন,	কনসারভেশন,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
vabnakey,	ভব্নকে,	ভাবনাকে,	
shombhobonao,	সম্ভাবনাও,	সম্ভবনাও,	
sarbharer,	সর্ভরের,	সার্ভারের,	
bedanta,	বেদান্ত,	বেদান্ত,	
potkaa,	পটকা,	পটকা,	
sanbadmadhyamgulote,	সংবাদমুগ্যমুলেটে,	সংবাদমাধ্যমগুলোতে,	
uposhthit,	উপস্থিত,	উপস্থিত,	
grontho,	গ্রন্থ,	গ্রন্থ,	
anektayi,	অনেকটিই,	অনেকটাই,	
hijriite,	হিজরীতে,	হিজরীতে,	
toler,	তলের,	তালের,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
gabeshonar,	গবেষণার,	গবেষনার,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
twoei,	তুইই,	ত্বকেই,	
prabhritite,	প্রভূতিতে,	প্রভৃতিতে,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
meghey,	মেঘে,	মেঘে,	
parqa,	পর্ক,	পার্ক,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
mojlis,	মজলিস,	মজলিশ,	
sorano,	সরানো,	সরানো,	
rohosyer,	রহস্বের,	রহস্যের,	
tuning,	টানিং,	টিউনিং,	
yura,	যুর,	ইউরো,	
soranor,	সরানোর,	সরানোর,	
kiiborder,	কীবোরদের,	কীবোর্ডের,	
marryir,	মারির,	ম্যারির,	
deliwer,	ডিলিভার,	ডেলিভার,	
pustir,	পুষ্তির,	পুষ্টির,	
bissonath,	বিশ্ণনাথ,	বিশ্বনাথ,	
sikarer,	শিকারের,	শিকারের,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
muktume,	মুক্টমম,	মাকতুম,	
abahon,	আবহহন,	আবাহন,	
template,	টেম্পলল,	টেম্পলেট,	
tookoo,	টোকো,	টুকু,	
bechaa,	বেচা,	বেচা,	
safalyer,	সাফলের,	সাফল্যের,	
karlosa,	কার্লস,	কার্লোস,	
shommoteer,	সম্মতির,	সম্মতির,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
neeshanasa,	নেসনস,	নেশনস,	
krok,	ক্রক,	ক্রোক,	
judge,	জজ,	জাজ,	
ovarviu,	অভার্িি,	ওভারভিউ,	
markeetim,	মার্কেটিং,	মার্কেটিং,	
casper,	ক্যাসপার,	ক্যাসপার,	
tegara,	টেগার,	টাইগার,	
nagorikera,	নাগরিকারা,	নাগরিকেরা,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
chal,	চল,	চাল,	
leaders,	লিডার্স,	লিডার্স,	
jibonto,	জীবন্ত,	জীবন্ত,	
jibjantu,	জীবন্্ু,	জীবজন্তু,	
celinar,	সেলিনার,	সেলিনার,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
satjoner,	সতজনের,	সাতজনের,	
eura,	ইউর,	ইউরো,	
vagadada,	ভাগাদা,	বাগদাদ,	
hights,	হাইটস,	হাইটস,	
utsahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
ghatlo,	ঘটতল,	ঘটল,	
heights,	হাইটস,	হাইটস,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
obhishangson,	অভিসংসন,	অভিশংসন,	
jalbe,	জলবে,	জ্বলবে,	
salafeta,	সালফাইট,	সালফেট,	
konaan,	কোনন,	কোনান,	
uinndo,	উইন্ডো,	উইন্ডো,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
sipa,	শিপ্পা,	শিপ,	
turki,	টুর্কী,	তুর্কি,	
akbakye,	একবাক্যে,	একবাক্যে,	
aazadeer,	আজাদীর,	আজাদীর,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
gorjon,	গর্জন,	গর্জন,	
shaaroker,	স্বরকের,	স্মারকের,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
tat,	তৎ,	তাত,	
byke,	বিকে,	বাইক,	
manshe,	মাংসে,	মানুষে,	
taali,	টালি,	তালি,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
bolechiley,	বলেছিলে,	বলেছিলে,	
atiteo,	অতিতে,	অতীতেও,	
sakara,	সাকারা,	সকার,	
jeebjontu,	জীবন্নুত,	জীবজন্তু,	
lat,	লট,	লাট,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
basatey,	বসতে,	বাসাতে,	
munshi,	মুনশী,	মুন্সি,	
blagarara,	ব্লগেরার,	ব্লগাররা,	
chire,	চিরে,	চিরে,	
bhugten,	ভুগতেন,	ভুগতেন,	
rites,	রিটস,	রিতেশ,	
hunayn,	হানাইন,	হুনাইন,	
dayraa,	ডায়ার,	ডেরা,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
phutbolarer,	ফুটবলরের,	ফুটবলারের,	
phutantoa,	ফুটন্তো,	ফুটন্ত,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
hajat,	হজৎ,	হজত,	
itastata,	ইতাস্টটা,	ইতস্তত,	
arsie,	আর্সি,	আরসিএ,	
durgo,	দুর্গ,	দুর্গ,	
dharabhashyakar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
chhaanake,	ছানকে,	ছানাকে,	
peengnaa,	পিন্ন,	পিংনা,	
