zete,	জেতে,	যেতে,	
americasoho,	অ্যামেরিকাসহ,	আমেরিকাসহ,	
surkarer,	সূরকারের,	সুরকারের,	
ajjoo,	অজ্জু,	আজ্জু,	
daam,	দাম,	ড্যাম,	
lagim,	লাগিং,	লগিং,	
prajanmake,	প্রজন্মকে,	প্রজন্মকে,	
andamaner,	আন্দামনের,	আন্দামানে,	
mukharjir,	মুখার্জির,	মুখার্জীর,	
aantu,	আঁতু,	আন্ত,	
buster,	বাস্তের,	বুস্টার,	
phebruary,	ফেবব্রারি,	ফেব্রুয়ারী,	
diene,	ডিএন,	ডিএনএ,	
prokolpotite,	প্রকল্পতিতে,	প্রকল্পটিতে,	
tala,	তালা,	তাল,	
karmokandey,	কর্মকান্ডে,	কর্মকাণ্ডে,	
attobishwas,	আত্মবিশ্বাস,	আত্মবিশ্বাস,	
edwein,	এডভাইন,	এডুইন,	
elpizi,	এলপিজি,	এলপিজি,	
melasa,	মেলস,	মাইলস,	
hoomar,	হোমার,	হোমার,	
selfish,	সেলফিস,	সেলফিস,	
obhidhanti,	অভিধানটি,	অভিধানটি,	
galilii,	গ্লালিলি,	গালিলি,	
granthaguli,	গ্রন্থগুলি,	গ্রন্থগুলি,	
averest,	আভারেষ্ট,	এভারেস্ট,	
futbolarke,	ফুটবলারকে,	ফুটবলারকে,	
oviyojaner,	অভিযোজনের,	অভিযোজনের,	
batsmanera,	বাসসানেরা,	ব্যাটসম্যানেরা,	
chapola,	চাপলা,	চপলা,	
destroaar,	ডেস্ট্রোর,	ডেস্ট্রয়ার,	
chhaanagoolo,	ছানাগুলো,	ছানাগুলো,	
beershrestho,	বীরশ্ষেষ্ঠ,	বীরশ্রেষ্ঠ,	
bolechilo,	বলেছিল,	বলেছিল,	
shoshaiti,	সোসাইতি,	সোসাইটি,	
dohe,	দোহ,	দহে,	
taholeo,	তাহলেও,	তাহলেও,	
cetegory,	সেটেগরি,	ক্যাটাগরি,	
jonardon,	জনারদন,	জনার্দন,	
saubhagyabashato,	সৌভাগ্যবশ,	সৌভাগ্যবশত,	
liflet,	লাইফলেট,	লিফলেট,	
atkanor,	আটকানোর,	আটকানোর,	
dhadhar,	ধাধার,	ধাঁধার,	
hostantorey,	হস্তান্তরে,	হস্তান্তরে,	
homarer,	হোমারের,	হোমারের,	
jaanao,	জানাও,	জানাও,	
shlelshshar,	স্লেলস্,	শ্লেষ্মার,	
harmoony,	হারমোনি,	হারমোনি,	
nadnadee,	নদনাডী,	নদনদী,	
oyeqa,	ওয়েক,	ওয়েক,	
dharate,	ধারতে,	ধারাতে,	
gonopurto,	গণপূর্ত,	গনপূর্ত,	
suipar,	সুইপার,	সুইপার,	
juktorastro,	যুক্তরাস্ট্র,	যুক্তরাষ্ট্র,	
goribder,	গরিবদের,	গরিবদের,	
harmees,	হার্মিশ,	হার্মিস,	
corporationer,	কর্পোরেশনের,	করপোরেশনের,	
gobeshokdol,	গবেষকদল,	গবেষকদল,	
bhorer,	ভরের,	ভরের,	
heeron,	হিরণ,	হিরন,	
mbr,	এমএবির,	এমবির,	
banere,	ব্যানারে,	ব্যানারের,	
karmokandoke,	কর্মকান্ডকে,	কর্মকাণ্ডকে,	
gomoti,	গমতি,	গোমতি,	
shpell,	স্পেল,	স্পেল,	
sinan,	সিনান,	সিনান,	
shongkher,	সংখের,	শঙ্খের,	
maaels,	মালস,	মাইলস,	
eastrojen,	আস্ট্রোজেন,	ইস্ট্রোজেন,	
seqenda,	সেকেন্ড,	সেকেন্ড,	
moshjido,	মস্দিদ,	মসজিদও,	
malacca,	মালাকা,	মালাক্কা,	
otiiter,	অতীতের,	অতীতের,	
jotin,	জটিন,	যতীন,	
kandyr,	কান্ডির,	ক্যান্ডির,	
qyareta,	ক্যারেট,	ক্যারেট,	
olangkoroner,	অলংকরণের,	অলঙ্করণের,	
bachcharao,	বাচ্চারাও,	বাচ্চারাও,	
thoomri,	থুমরি,	ঠুমরী,	
emontao,	এমনটাও,	এমনটাও,	
neheru,	নেহেরু,	নেহরু,	
hothah,	হাথাহ,	হঠাৎ,	
halnagadd,	হলনাগ্ড,	হালনাগাদ,	
grambaaseer,	গ্রাম্বাসীর,	গ্রামবাসীরা,	
sarkaaser,	সরকাশের,	সার্কাসের,	
mitrokey,	মিত্রকে,	মিত্রকে,	
asthishondhir,	অস্থিসন্ধীর,	অস্থিসন্ধির,	
paksenaader,	পাকসেনাদের,	পাকসেনাদের,	
manashik,	মানািক,	মানষিক,	
debdebieder,	দেবদেবিদের,	দেবদেবীদের,	
arjoder,	অর্জদের,	আর্যদের,	
kromohrashomaan,	ক্রমোহ্রাসমান,	ক্রমহ্রাসমান,	
sarz,	সার্জ,	সার্জ,	
gast,	গাস্ট,	গেস্ট,	
shreneekaran,	শ্রেণীকরণ,	শ্রেণীকরণ,	
totenhaam,	তোটেনহাম,	টটেনহাম,	
arzeentina,	আর্জেন্টিন,	আর্জেন্টিনা,	
dianete,	ডায়নেট,	ডিএনএতে,	
hyarishana,	হ্যারিশন,	হ্যারিসন,	
arja,	আর্জা,	আর্য,	
toonir,	তুনির,	টুনির,	
matrahin,	মাতরাহীন,	মাত্রাহীন,	
zakee,	জাকি,	জাকী,	
sangasthagulor,	সংস্থাগুলোর,	সংস্থাগুলোর,	
gazipurey,	গাজীপুরে,	গাজীপুরে,	
hajjaro,	হাজ্জারো,	হাজারো,	
utkanthita,	উৎকন্ঠিতা,	উৎকণ্ঠিত,	
zanglee,	জাঙ্লি,	জংলী,	
kutirey,	কুটিরে,	কুটিরে,	
shikkhoker,	শিক্ষকের,	শিক্ষকের,	
anannota,	অনান্নতা,	অনন্যতা,	
doc,	ডক,	ডক,	
zointapur,	জৈনতাপুর,	জৈন্তাপুর,	
silmohor,	সিলমহর,	সিলমোহর,	
agranthita,	অগ্রন্থিতা,	অগ্রন্থিত,	
vajahari,	ভাজাহারী,	ভজহরি,	
phokhore,	ফখরে,	ফখরে,	
postmastarr,	পোস্টমাস্তর,	পোস্টমাস্টার,	
indroke,	ইন্দ্রোকে,	ইন্দ্রকে,	
tekshaash,	তেক্সাস,	টেক্সাস,	
shaadaashidhe,	সাদাসিধে,	সাদাসিধে,	
seettee,	সিতি,	সেটি,	
titleer,	তিতলির,	টাইটেলের,	
abash,	আবাস,	অবশ,	
story,	স্টরী,	স্টোরি,	
jugno,	যুগ্ন,	যুগ্ম,	
parlaur,	পারলার,	পার্লার,	
suiper,	সুপের,	সুইপার,	
dakoota,	ডাকুতা,	ডাকোটা,	
perryr,	প্যারির,	পেরির,	
ishootoop,	ইশোতুপ,	আইসোটোপ,	
cholochchitree,	চলচচিত্রী,	চলচ্চিত্রে,	
tagid,	তাজিদ,	তাগিদ,	
shikhder,	শিখদের,	শিখদের,	
notepaed,	নোটেপেড,	নোটপ্যাড,	
sharaho,	শরহ,	সারাহ,	
mishtota,	মিষ্টটা,	মিষ্টতা,	
kakeena,	কাকেন,	কাকিনা,	
elakaata,	এলাকাটা,	এলাকাটা,	
maithuu,	মৈঠু,	ম্যাথু,	
notpyaad,	নটপ্যাদ,	নোটপ্যাড,	
scheme,	স্কেমে,	স্কিম,	
khal,	খাল,	খল,	
peterow,	পেটারো,	পিটারও,	
khunna,	খুন্ন,	ক্ষুণ্ণ,	
gotibeger,	গতিবেগের,	গতিবেগের,	
samanjasyapurna,	সামান্জস্বপূর্ন,	সামঞ্জস্যপূর্ণ,	
doshgoon,	দশগুন,	দশগুণ,	
salmaan,	সালমান,	সালমান,	
betar,	বেতার,	বেটার,	
neerbhorotaar,	নির্ভরতার,	নির্ভরতার,	
scoring,	স্করিং,	স্কোরিং,	
natapyada,	নটাপ্যদা,	নোটপ্যাড,	
charukalar,	চারুকালার,	চারুকলার,	
pitther,	পিঠের,	পীঠের,	
pracesar,	প্রসেসর,	প্রসেসর,	
joonala,	জুনালা,	জোনাল,	
kaphara,	কাফার,	কাফের,	
chirantoni,	চিরান্তনী,	চিরন্তনী,	
jointapur,	জৈনতাপুর,	জৈন্তাপুর,	
pepshi,	পেপসি,	পেপসি,	
alleen,	আলেন,	অ্যালেন,	
nehuru,	নেহুরু,	নেহরু,	
gronthaguli,	গ্রন্থাগুলি,	গ্রন্থগুলি,	
obheeneta,	অভিনেতা,	অভিনেতা,	
prasther,	প্রস্থের,	প্রস্থের,	
aaislyaander,	আইসল্যান্ডের,	আইসল্যান্ডের,	
khilafater,	খিলাফাতের,	খিলাফতের,	
prosheshorer,	প্রশেসরের,	প্রসেসরের,	
shiladoher,	সিলাদহের,	শিলাইদহের,	
gowro,	গৌর,	গৌর,	
jab,	যাব,	জব,	
samataley,	সমতালে,	সমতলে,	
falmul,	ফলমুল,	ফলমূল,	
hastantarito,	হস্তান্তরিত,	হস্তান্তরিত,	
beelfast,	বিলফাস্ট,	বেলফাস্ট,	
protisthakale,	প্রতিষ্ঠাকালে,	প্রতিষ্ঠাকালে,	
shahurey,	শহুরে,	শহুরে,	
bonei,	বনে,	বনেই,	
konisttha,	কনিষ্ঠা,	কনিষ্ঠা,	
sangbadmadhyam,	সংবাদমাধ্মাম,	সংবাদমাধ্যম,	
parjatakra,	পর্জটাকরা,	পর্যটকরা,	
skoorim,	স্কোরিং,	স্কোরিং,	
morsi,	মর্সি,	মুরসি,	
anri,	আনরি,	অঁরি,	
bhraman,	ভ্রমণ,	ভ্রমন,	
pikaso,	পিকাশো,	পিকাসো,	
piu,	পিউ,	পিউ,	
donald,	ডোনাল্ড,	ডোনাল্ড,	
amaratta,	আমরত্ব,	অমরত্ব,	
karoti,	কারতি,	করোটি,	
pharshii,	ফার্সি,	ফার্সী,	
postmastar,	পোষ্টমস্তার,	পোস্টমাস্টার,	
baideu,	বাইডিউ,	বাইদেউ,	
raastaghat,	রাস্তাঘাট,	রাস্তাঘাট,	
pujjyo,	পুজ্জ,	পূজ্য,	
akosshik,	আকস্মিক,	আকষ্মিক,	
storyr,	স্তরীর,	স্টোরির,	
projanmake,	প্রজন্মকে,	প্রজন্মকে,	
saciety,	স্যাসিয়েটি,	সোসাইটি,	
shudhu,	শুধু,	শুধু,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্ত,	
dostidarer,	দস্তিদারের,	দস্তিদারের,	
shushana,	সুশন,	সুসান,	
atyabasyak,	আত্মবাশ্যক,	অত্যাবশ্যক,	
milestane,	মিলেস্টনে,	মাইলস্টোন,	
krishijami,	কৃষিজামি,	কৃষিজমি,	
panjore,	পাঞ্জরে,	পাঁজরে,	
kunnteer,	কুনটির,	কুন্তীর,	
shoileekey,	শৈলিকে,	শৈলীকে,	
bhugoler,	ভূগলের,	ভূগোলের,	
katrik,	কাত্রিক,	কতৃক,	
doe,	দো,	দৈ,	
abosha,	আবশা,	অবস্হা,	
neelfamaari,	নিলফামারী,	নীলফামারী,	
chalacchilo,	চালাচ্ছিল,	চালাচ্ছিল,	
bondiir,	বন্দীর,	বন্দীর,	
dhonu,	ধনন,	ধনু,	
manoharer,	মনোহরের,	মনোহরের,	
naaseer,	নাশির,	নাসির,	
bhittite,	ভিতটিতে,	ভিত্তিতে,	
cholochchitrao,	চলচচিত্রাও,	চলচ্চিত্রও,	
chatku,	চটকু,	ছটকু,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থর,	
tinmashe,	তিনমাসে,	তিনমাসে,	
parjatakera,	পার্জটকেরা,	পর্যটকেরা,	
watican,	ওয়াটিকান,	ভ্যাটিকান,	
korito,	করিত,	করিত,	
oitijjhoke,	ঐতিহ্যকে,	ঐতিহ্যকে,	
piusha,	পিউস,	পিউস,	
mana,	মানা,	মণ,	
amorotto,	আমরত্ত্ব,	অমরত্ব,	
chalochchitrao,	চলচিত্রাও,	চলচ্চিত্রও,	
narener,	নারেনের,	নরেনের,	
shilaidoher,	সিলাইদহের,	শিলাইদহের,	
convention,	কনভেনশন,	কনভেনশন,	
shektorer,	সেক্টরের,	সেক্টরের,	
chhaana,	ছানা,	ছানা,	
dosi,	দশি,	দোষী,	
drisse,	ড্রিসে,	দৃশ্যে,	
farnandes,	ফার্নন্দেস,	ফার্নান্ডেজ,	
rutita,	রুতিতা,	রুটিটা,	
aaeesotop,	আইসোপ,	আইসোটোপ,	
hoomer,	হোমের,	হোমার,	
sikhder,	শিখদের,	শিখদের,	
alinda,	আলিন্দা,	অলিন্দ,	
