santoshe,	সান্ত্ষে,	সন্তোষে,	
neermol,	নির্মল,	নির্মল,	
pravura,	প্রভূরা,	প্রভুরা,	
niketon,	নিকেতন,	নিকেতন,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
antarktikar,	অন্তর্কিকর,	অ্যান্টার্কটিকার,	
enjineers,	এঞ্জিন্স,	ইঞ্জিনিয়ার্স,	
aviyojan,	অভিযোজন,	অভিযোজন,	
uindos,	উইন্ডোজ,	উইন্ডোস,	
alexandar,	আলেকান্ডার,	আলেকজান্ডার,	
alimpika,	অলিম্পিক,	অলিম্পিক,	
probhur,	প্রভূর,	প্রভুর,	
gate,	গেট,	গ্যেটে,	
chhutite,	ছুটিতে,	ছুটিতে,	
deobonde,	ডিবন্ডে,	দেওবন্দে,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
hiranee,	হিরানী,	হিরানি,	
gaugee,	গৌগি,	গেজ,	
arina,	এরিন,	এরিনা,	
falasrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
rothin,	রথিন,	রথীন,	
pettern,	প্যাটার্ন,	প্যাটার্ন,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
estania,	ইস্টেনিয়া,	এস্তোনিয়া,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
soomita,	সুমিতা,	সুমিতা,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
sontoshe,	সন্তোষে,	সন্তোষে,	
pratul,	প্রাতুল,	প্রতুল,	
karmokarer,	কর্মকারের,	কর্মকারের,	
ester,	এস্টের,	ইস্টার,	
seekkhokbrindo,	শিক্ষাবনৃদ্ণ,	শিক্ষকবৃন্দ,	
sangasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
aaireshe,	আইরেশে,	আইরেসে,	
maradeha,	মারাদেহা,	মরদেহ,	
pravur,	প্রভূর,	প্রভুর,	
durgatir,	দুর্গতির,	দুর্গটির,	
stane,	স্তন,	স্টোন,	
debdebi,	দেবদেবী,	দেবদেবী,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
semai,	সেমই,	সেমাই,	
muladi,	মুলাদী,	মুলাদি,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
manonitoder,	মনোনিতদের,	মনোনীতদের,	
freedom,	ফ্রিডম,	ফ্রীডম,	
kooda,	কোড,	কোড,	
nirbaha,	নির্বাহ,	নির্বাহ,	
ooipoka,	উপকক,	উইপোকা,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
pishach,	পিশাচ,	পিশাচ,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
enginears,	এঞ্জিন্স,	ইঞ্জিনিয়ার্স,	
aarik,	আরিক,	আরিক,	
deepan,	ডীপন,	দীপন,	
jansa,	জাঁসা,	জন্স,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
lakhindarer,	লকিন্দ্রের,	লখিন্দরের,	
ogovir,	অগভীর,	অগভীর,	
bronje,	ব্রেঞ্জ,	ব্রোঞ্জ,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
shilver,	শিলভার,	সিলভার,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
bbiseshyo,	বিশেষও,	বিশেষ্য,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
chyata,	চ্যাত,	চ্যাট,	
mesenjjarer,	মেষেঞজারের,	মেসেঞ্জারের,	
doneta,	দোনতা,	ডোনাট,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
avijojan,	অভিযোজন,	অভিযোজন,	
homeser,	হোমেসের,	হোমসের,	
gazipore,	গাজীপরে,	গাজীপুর,	
mokam,	মোকাম,	মোকাম,	
padarthabidder,	পদার্থবিদদের,	পদার্থবিদদের,	
salafeta,	সালফট,	সালফেট,	
grameri,	গ্রামেরি,	গ্রামেরই,	
abhigomon,	অভিগমন,	অভিগমন,	
siropa,	শিরপা,	শিরোপা,	
horeener,	হরিনের,	হরিণের,	
timoothy,	তিমুঠি,	টিমোথি,	
paramartha,	পরমার্থ,	পরমার্থ,	
mumtaj,	মমতাজ,	মুমতাজ,	
chhaanake,	ছানাকে,	ছানাকে,	
claus,	ক্লাউ,	ক্লজ,	
atwobishvashi,	আত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
kibord,	কিবোর্ড,	কীবোর্ড,	
tanu,	তানু,	তনু,	
simons,	সিমন্স,	সিমন্স,	
thailandsaho,	থাইল্দ্যসহ,	থাইল্যান্ডসহ,	
ghursen,	ঘুরছেন,	ঘুরেছেন,	
bytes,	বিটেস,	বাইটস,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
ispredseet,	ইস্পরেডসিট,	স্প্রেডশীট,	
azibonoer,	আজিবনের,	আজীবনের,	
dubureer,	ডুবুরির,	ডুবুরির,	
shamuker,	শামুকের,	শামুকের,	
horus,	হোরাস,	হোরাস,	
armshtronj,	আর্মস্ট্র্জ,	আর্মস্ট্রং,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
karo,	কারও,	কারো,	
koomari,	কুমারি,	কুমারী,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
parijan,	পরিজন,	পরিজন,	
skora,	স্করা,	স্কোর,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
jonsha,	জনসা,	জোন্স,	
sorting,	শর্টিং,	সর্টিং,	
musalmankey,	মুসলম্নকে,	মুসলমানকে,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
zesa,	জেস,	জেস,	
seema,	সিমা,	সীমা,	
isan,	আইসন,	ঈশান,	
aanish,	আনিশ,	আনিস,	
sthapona,	স্থাপনা,	স্থাপনা,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
bedanta,	বেদন্ত,	বেদান্ত,	
moshzidtike,	মসিদিদিকে,	মসজিদটিকে,	
ducktickete,	ডাকটিকেট,	ডাকটিকিটে,	
foksher,	ফক্ষের,	ফক্সের,	
elakayi,	এলাকই,	এলাকাই,	
soya,	সোয়া,	সোয়া,	
chhilonaa,	ছিলনা,	ছিলনা,	
aamontrito,	আমন্ত্তিত,	আমন্ত্রিত,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
soorsa,	সোর্স,	সোর্স,	
herpher,	হারফের,	হেরফের,	
nikataner,	নিকটনের,	নিকেতনের,	
turkider,	তুর্কীদের,	তুর্কিদের,	
prety,	প্রেতি,	প্রিটি,	
shitei,	সিটেই,	শীতেই,	
judge,	জজ,	জাজ,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
meghnadbodh,	মেঘানদোধ,	মেঘনাদবধ,	
dhyanastha,	ধ্যনস্থ্য,	ধ্যানস্থ,	
udor,	উদর,	উদর,	
baaiq,	বাইক,	বাইক,	
noditi,	নদীতি,	নদীটি,	
krom,	ক্রম,	ক্রম,	
addabaaz,	আদ্যাবাজ,	আড্ডাবাজ,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
chhootee,	ছুটি,	ছুটি,	
mosleh,	মসলেহ,	মোসলেহ,	
duburira,	দুবরীরা,	ডুবুরিরা,	
netherlandey,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
taalaal,	তালাল,	তালাল,	
pactar,	প্যাক্টর,	পাঁচটার,	
kormozog,	কর্যযগ,	কর্মযোগ,	
tata,	টোত,	তাতা,	
teamothy,	টিমোথি,	টিমোথি,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
maudelti,	মাডেলটি,	মডেলটি,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
khude,	খুদে,	ক্ষুদে,	
amudey,	অমুদে,	আমুদে,	
paikgachha,	পাইকগাছ,	পাইকগাছা,	
robot,	রবট,	রোবোট,	
hoole,	হুলে,	হোল,	
auttacharer,	অত্তচারের,	অত্যাচারের,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
ahong,	আংং,	অহং,	
daktickete,	ডাক্িিকেত,	ডাকটিকিটে,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
chhotto,	ছট্ত,	ছোট্ট,	
pala,	পোল,	পোলো,	
danut,	ডান্ট,	ডোনাট,	
unsareer,	আনসারীর,	আনসারীর,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
joqy,	জকি,	জকি,	
chetnagato,	চেত্নগত,	চেতনাগত,	
conserwation,	কনসার্েশন,	কনসারভেশন,	
besirbhagei,	বেশিরভাগইই,	বেশিরভাগেই,	
taaims,	টাইমস,	টাইমস্,	
elaakaao,	এলাকাও,	এলাকাও,	
michiler,	মিচিলের,	মিছিলের,	
gandhiyo,	গান্ধিও,	গান্ধীও,	
mele,	মেলে,	মাইল,	
apohoron,	অপহরণ,	অপহরন,	
elaakati,	এলাকাতি,	এলাকাটি,	
agom,	আগম,	আগম,	
mukhyo,	মূখ্য,	মুখ্য,	
ekaatto,	একাত্ত,	একাত্ব,	
steit,	স্টেইট,	স্টেইট,	
pouchhute,	পৌছছতে,	পৌঁছুতে,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
kodom,	কদম,	কদম,	
meghnadbadh,	মেঘানদাধ,	মেঘনাদবধ,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
manushera,	মানুসেরা,	মানুষেরা,	
baasate,	বাসাতে,	বাসাতে,	
primoo,	প্রিমো,	প্রিমো,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
konake,	কোনাকে,	কণাকে,	
angurer,	অঙুরের,	আঙ্গুরের,	
makhmaley,	মাখমালে,	মখমলে,	
nogonyo,	নগগ্য,	নগণ্য,	
station,	স্টেশন,	ষ্টেশন,	
mousumei,	মৌসুমেই,	মৌসুমেই,	
score,	স্কর,	স্কোর,	
eshiyatiqa,	এসিয়াটিক,	এশিয়াটিক,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
temonvabe,	টেমনভাবে,	তেমনভাবে,	
samoshti,	সমস্টি,	সমষ্টি,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
drissoteer,	দৃশ্যতির,	দৃশ্যটির,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
durger,	দুরগের,	দুর্গের,	
onnkita,	অঙ্কিত,	অঙ্কিতা,	
songkolonti,	সংকলনটি,	সংকলনটি,	
istara,	ইস্টার,	ইস্টার,	
koyeeri,	কোয়রি,	কোয়েরি,	
bongsho,	বংশ,	বংশ,	
gajipur,	গাজীপুর,	গাজীপুর,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
talgach,	তালগা,	তালগাছ,	
peshto,	পেষ্ট,	পেষ্ট,	
baaraakpur,	ব্রারকুর,	বারাকপুর,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
rupdan,	রূপদান,	রুপদান,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
kyapashula,	ক্যাপসুল,	ক্যাপসুল,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
pudding,	পাড্ডিং,	পুডিং,	
kulo,	কুলো,	কুলো,	
pitthe,	পিঠে,	পীঠে,	
byabaharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
baire,	বায়ের,	বাইরে,	
hames,	হামেস,	হোমস,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
naazee,	নাজি,	নাত্সি,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
hamasa,	হমসাস,	হোমস,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
anciint,	এনযান্টেন্ট,	এনসিয়েন্ট,	
bjp,	বিএিপি,	বিজেপি,	
shangkulan,	শংকুলন,	সংকুলান,	
setio,	সেতিও,	সেটিও,	
uponishoder,	উপনিশ্দের,	উপনিষদের,	
blyaka,	ব্লাযাক,	ব্ল্যাক,	
idyi,	ঈডি,	আইডিই,	
shenior,	সেনিওর,	সিনিয়র,	
mirakeela,	মিরাকেল,	মিরাকেল,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
seeramiker,	সিরামিকের,	সিরামিকের,	
parishrami,	পারিশ্রামী,	পরিশ্রমী,	
somratra,	সম্রাত্র,	সম্রাটরা,	
dollu,	ডল্লু,	ডলু,	
aagost,	আগস্ট,	আগষ্ট,	
karuna,	কারুনা,	করুণা,	
