sahosikotar,	সহসিকতার,	সাহসিকতার,	
karmer,	কররের,	কর্মের,	
horipoor,	হরিপুর,	হরিপুর,	
jeshthaa,	যেস্থা,	জ্যেষ্ঠা,	
chhotogalper,	ছোটাগল্পের,	ছোটগল্পের,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
jwor,	জুর,	জ্বর,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
cheento,	চিন্ত,	চিনতো,	
amanisha,	অমানিস,	অমানিশা,	
embi,	এম্বি,	এমবি,	
silvar,	সিলভার,	সিলভার,	
shajanor,	শাজনর,	সাজানোর,	
vagini,	ভাগিনী,	ভগিনী,	
jacqson,	জাকসন,	জ্যাকসন,	
neshnosh,	নেশনস,	নেশনস,	
kobootorer,	কবরুতের,	কবুতরের,	
lutheerana,	লুঠিনার,	লুথেরান,	
maradeho,	মারাদেহ,	মরদেহ,	
ooeepoka,	উইঅপকা,	উইপোকা,	
stena,	স্টেন,	স্টেন,	
shpreadshhiit,	স্প্রেশিয়া,	স্প্রেডশীট,	
agam,	অগম,	আগম,	
qeyboard,	কেইওর্ড,	কীবোর্ড,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
karlosa,	কার্সা,	কার্লোস,	
osommotite,	অসম্মিতে,	অসম্মতি,	
digrike,	দিগ্রিকে,	ডিগ্রিকে,	
bhangey,	ভাঙ্গে,	ভাঙ্গে,	
claus,	ক্লাস,	ক্লজ,	
rinatmok,	রিনাত্মক,	ঋনাত্মক,	
aansareer,	আনসারির,	আনসারীর,	
adwanced,	অ্যাডবনে্যে,	অ্যাডভান্সড,	
bosturoi,	বস্তুরি,	বস্তুরই,	
toufik,	টুফিক,	তৌফিক,	
khaambaa,	খাম্যা,	খাম্বা,	
nishad,	নিশাদ,	নিষাদ,	
gej,	গেজ,	গেজ,	
phimeela,	ফাইমেল,	ফিমেল,	
tecno,	টেকন,	টেকনো,	
durotaumo,	দুরাতম,	দূরতম,	
prakalpoo,	প্রকালপ,	প্রকল্পও,	
agahir,	অগহরির,	অগভীর,	
taki,	টাকি,	তকি,	
baasate,	বাসাতে,	বাসাতে,	
satarkota,	সাতরক্তা,	সতর্কতা,	
airish,	এরিস,	আইরিস,	
jemske,	জেমসকে,	জেমসকে,	
thailyanda,	তালয়ন্যা,	থাইল্যান্ড,	
bongshokey,	বংশকে,	বংশকে,	
saholobhyotar,	সহলভযযতার,	সহজলভ্যতার,	
zubokti,	যুবক্ি,	যুবকটি,	
leder,	লেডার,	লিডার,	
gemi,	জেমি,	জেমি,	
turkamena,	তুর্মেনা,	তুর্কমেন,	
shenior,	সেনিওর,	সিনিয়র,	
taffsher,	তাফসের,	তাফসীর,	
jetei,	জেতেই,	যেতেই,	
eshiyatiqa,	এসিয়াটিক,	এশিয়াটিক,	
vaskor,	ভাস্কোর,	ভাস্কর,	
kiiborder,	কিরবদের,	কীবোর্ডের,	
barack,	বারাক,	বারাক,	
surkarder,	সুরক্রের,	সুরকারদের,	
santani,	সন্তানী,	সনাতনী,	
keram,	কেরাম,	কেরাম,	
abheedhaaneec,	অভিযোধিক,	অভিধানিক,	
shit,	সিট,	শীত,	
pratijogitamulak,	প্রতিযোগিতাাূল,	প্রতিযোগীতামূলক,	
inapharamesana,	ইনফরমেনন,	ইনফরমেশন,	
choity,	চৈতি,	চৈতি,	
farex,	ফরেস,	ফরেক্স,	
nirvahey,	নির্বাহে,	নির্বাহে,	
hizritey,	হিজরিতে,	হিজরীতে,	
enashiyenta,	এনসাইন্ট,	এনসিয়েন্ট,	
aameenaar,	আমিনার,	আমিনার,	
qor,	কোর,	কর,	
gadhaa,	গাধা,	গাধা,	
sanbadmadhyamgulote,	সংবাদমধোগ্মতনে,	সংবাদমাধ্যমগুলোতে,	
falak,	ফালক,	ফলক,	
sqarta,	স্কার্ট,	স্কার্ট,	
nirarthok,	নিরর্থক,	নিরর্থক,	
tookroti,	তক্ররি,	টুকরোটি,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
madhuri,	মাধুরি,	মাধুরী,	
jathartho,	যথথর্থ,	যথার্থ,	
deaubande,	ডিবাউন্ডে,	দেওবন্দে,	
itastatoh,	ইতাস্থত,	ইতস্ততঃ,	
parishrom,	পরিস্রম,	পরিশ্রম,	
carpeet,	কার্পেট,	কার্পেট,	
plak,	প্লাক,	প্ল্যাক,	
danab,	দাবা,	দানব,	
satarka,	সাতর্ক,	সতর্ক,	
byaboharkariderke,	ব্যবহারকারীকরে,	ব্যবহারকারীদেরকে,	
rachanakal,	রচনাকাল,	রচনাকাল,	
zones,	জোনেস,	জোন্স,	
greep,	গ্রীপ,	গ্রিপ,	
godavari,	গডাারী,	গোদাবরী,	
dinara,	ডিনার,	ডিনার,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
proshtot,	প্রস্তট,	প্রস্ত্তত,	
pholo,	ফল,	পোলো,	
ivir,	আইভির,	এভার,	
aasar,	আসার,	আসর,	
niutrina,	নিউট্রন,	নিউট্রিনো,	
benj,	বেঞ্জ,	বেঞ্জ,	
oitijjha,	ঐতিয্য,	ঐতিহ্য,	
totenhaamer,	ত্যানেমোের,	টটেনহামের,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
seelbhee,	সেলভি,	সিলভি,	
mmadhukkori,	মাধকুরি,	মাধুকরী,	
shepherd,	সেফর্ড,	শেফার্ড,	
mela,	মেলা,	মাইল,	
ghatity,	ঘটিটি,	ঘাঁটিটি,	
bhuushito,	ভূষ্িত,	ভূষিত,	
taateo,	তাতেও,	তাতেও,	
mesenzar,	মেসেন্জার,	মেসেঞ্জার,	
dianes,	ডিয়েন,	ডিএনএস,	
meshar,	মেশর,	মেশার,	
samudrotatey,	সমুদ্রততে,	সমুদ্রতটে,	
noditikey,	নদীতিকে,	নদীটিকে,	
direectoratee,	ডিরককটিরই,	ডিরেক্টরেট,	
parqing,	পার্কিং,	পার্কিং,	
srimati,	শ্রীমতি,	শ্রীমতি,	
dwipgulote,	দ্বিপুলগতে,	দ্বীপগুলোতে,	
edii,	এডি,	আইডিই,	
garur,	গরুর,	গরুর,	
grambaseeo,	গ্রামাব্যা,	গ্রামবাসীও,	
somraatra,	সমরাত্রার,	সম্রাটরা,	
teter,	টেটের,	টেটের,	
taioyana,	টাইযোন,	তাইওয়ান,	
jeebonnogor,	জীবন্গর,	জীবননগর,	
grambasheeo,	গ্রমমাবিয়া,	গ্রামবাসীও,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
shahab,	শাহাব,	সাহাব,	
jinsa,	জিনসা,	জিন্স,	
gonohotyakey,	গনহত্যকে,	গণহত্যাকে,	
ajiboner,	অজিবনের,	আজীবনের,	
rockibul,	রকিিবল,	রকিবুল,	
kinto,	কিন্ত,	কিনত,	
shhooter,	শুটের,	শ্যুটার,	
chitronattakar,	চিত্রন্ত্রকা,	চিত্রনাট্যকার,	
vabnake,	ভাবনকে,	ভাবনাকে,	
license,	লিসেন্স,	লাইসেন্স,	
neemeetto,	নেমিত্ট,	নিমিত্ত,	
jalbe,	জলবে,	জ্বলবে,	
asthishondhi,	অস্বিসন্ধি,	অস্থিসন্ধি,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
shoreef,	শরিফ,	শরিফ,	
kaareer,	কারির,	কারীর,	
bhagerei,	ভাগেরে,	ভাগেরই,	
heja,	হেজা,	হেজ,	
oncholshomuh,	অঞ্চলশুল,	অঞ্চলসমূহ,	
ishtone,	ইস্তেন,	স্টোন,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
kadorer,	কারদের,	কদরের,	
raeets,	রাইটস,	রাইটস,	
hul,	হুল,	হুল,	
poroborti,	পরবর্তী,	পরর্বতী,	
lidars,	লিডার্স,	লিডার্স,	
thaii,	থাই,	থাই,	
vageri,	ভাগেরি,	ভাগেরই,	
mette,	মেটে,	ম্যাট,	
myat,	ম্যাট,	ম্যাট,	
isahak,	ইসহক,	ইসাহাক,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
akten,	একটেন,	অকটেন,	
samaveshke,	সমমেশেে,	সমাবেশকে,	
shakkhatkarer,	শাক্ষতাকের,	সাক্ষাৎকারের,	
farider,	ফরিদের,	ফরিদের,	
spreedashita,	স্প্রিসিিট,	স্প্রেডশীট,	
faser,	ফাসের,	ফাঁসের,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
bjp,	বিয়প,	বিজেপি,	
saarbhare,	সার্ভারে,	সার্ভারে,	
dharavahiktir,	ধারাভাহিতির,	ধারাবাহিকটির,	
spredsheet,	স্প্রেডিস্ট,	স্প্রেডশীট,	
bhalobass,	ভালবাস,	ভালোবাসা,	
bitolser,	বিটাসের,	বিটলসের,	
porishrom,	পরিস্রম,	পরিশ্রম,	
songkoloney,	সংকলনে,	সংকলনে,	
chalochchitroi,	চলচ্ছিত্র,	চলচ্চিত্রই,	
talal,	তলল,	তালাল,	
vabotarini,	ভবতারিনী,	ভবতারিণী,	
snipper,	স্পিপ্র,	স্নাইপার,	
michilti,	মিচিলি,	মিছিলটি,	
mahish,	মহিশ,	মহিষ,	
vangley,	ভাঙ্গে,	ভাঙলে,	
shomraatder,	শমরদাতদের,	সম্রাটদের,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারীই,	
asabhya,	অসভ্য,	অসভ্য,	
sepha,	সেফ,	শেফ,	
marry,	মেযারি,	ম্যারি,	
nothibhookto,	নথিভূক্ত,	নথিভুক্ত,	
shpredashhita,	স্প্রোসিিট,	স্প্রেডশীট,	
jakkher,	যক্ষের,	যক্ষের,	
niketon,	নিকেটন,	নিকেতন,	
purbancole,	পূর্বাংশালে,	পূর্বাঞ্চলে,	
kaalniir,	কালনির,	কালনীর,	
transformerer,	ট্রান্সপোর্পের,	ট্রান্সফরমারের,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
soholovyotar,	সহলভযততার,	সহজলভ্যতার,	
bunat,	বুনাত,	বুনট,	
mataram,	মাটরাম,	মাতারাম,	
archimedeser,	আর্সিদেশের,	আর্কিমিডিসের,	
braille,	ব্রেল,	ব্রেইল,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
raagei,	রাগেই,	রাগেই,	
shotoker,	শতকের,	শতকের,	
chalochchitragulor,	চলচ্চিরগুলোর,	চলচ্চিত্রগুলোর,	
eporjanta,	অর্জন্ত,	এপর্যন্ত,	
khur,	খ্রু,	ক্ষুর,	
shoreefer,	শরীফের,	শরিফের,	
qanaphliqta,	কনফাল্টিক্ট,	কনফ্লিক্ট,	
jocqey,	জকে,	জকি,	
chaudhurir,	চৌধুরীর,	চৌধুরীর,	
skolastik,	স্লাকা্টিক,	স্কলাস্টিক,	
samaptir,	সমাপ্ির,	সমাপ্তির,	
masto,	মস্ত,	মাস্ত,	
bishasey,	বিশাসে,	বিশ্বাসে,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
damanmulok,	দমমমুলক,	দমনমূলক,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
udvabon,	উদ্ভাবন,	উদ্ভাবন,	
daul,	দাল,	দেউল,	
cholesi,	চলেসি,	চলেছি,	
pettern,	প্টান্ট,	প্যাটার্ন,	
sansthagulo,	সাস্থাগুলো,	সংস্থাগুলো,	
aunty,	অ্যান্ি,	আন্টি,	
shtone,	স্টেন,	স্টোন,	
hurricane,	হারিকানে,	হ্যারিকেন,	
onnoroop,	অন্যরপপ,	অন্যরূপ,	
kool,	কোল,	কুল,	
tala,	তালা,	তালা,	
somonwitobhabey,	সননমিতভাবে,	সমন্বিতভাবে,	
milea,	মিলে,	মাইলে,	
heriser,	হেরিসের,	হ্যারিসের,	
jyakashana,	জ্যাকাশন,	জ্যাকসন,	
samsher,	সাসসের,	সমশের,	
shotodha,	শতধ,	শতধা,	
porinoti,	পরিনীত,	পরিণতি,	
bajhyo,	বাঝ্য,	বাহ্য,	
elakaai,	এলাকাই,	এলাকাই,	
faranyata,	ফারন্যতা,	ফরম্যাট,	
ashonkai,	আসনকেই,	আশঙ্কাই,	
cuti,	কাউটি,	কিউটি,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
tintir,	তিনটির,	তিনটির,	
sectore,	সেকটরে,	সেক্টরে,	
queery,	কুয়িরি,	কোয়েরি,	
dighol,	দিঘল,	দীঘল,	
dhhaabi,	ঢাবি,	ঢাবি,	
chenja,	চেন্জ,	চেঞ্জ,	
manee,	মান,	মানে,	
labonaaktotaar,	লবণাক্তার,	লবণাক্ততার,	
ashankai,	আশনাকী,	আশঙ্কাই,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
