chhatogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
huqar,	হুকার,	হুকার,	
tophaat,	তফাট,	তফাৎ,	
akkhar,	অক্ষার,	অক্ষর,	
parikhar,	পরীক্ষার,	পরিখার,	
salil,	শলীল,	সলিল,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
angkita,	অংকিত,	অঙ্কিতা,	
saphallyar,	সফলল্যার,	সাফল্যের,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
taurist,	টারিস্ট,	টুরিস্ট,	
lutherana,	লুঠারন,	লুথেরান,	
hoshein,	হোসেইন,	হোসেইন,	
bijito,	বিজীত,	বিজিত,	
nadnodir,	নদ্দনীর,	নদনদীর,	
heeja,	হেজ,	হেজ,	
dharabahikbhabe,	ধারাবিকভভকবে,	ধারাবাহিকভাবে,	
spredashita,	স্প্রাসাইট,	স্প্রেডশীট,	
monzushree,	মন্জুষ্রী,	মঞ্জুশ্রী,	
dubureer,	ডুবুরির,	ডুবুরির,	
thechar,	ঠেচার,	থ্যাচার,	
capsul,	কপসল,	ক্যাপসুল,	
haipara,	হাইপার,	হাইপার,	
lumbinee,	লুমবিনী,	লুম্বিনী,	
maradeha,	মারাদেহ,	মরদেহ,	
maradeho,	মারাদেহ,	মরদেহ,	
byakhyatita,	ব্যক্ষতিত,	ব্যাখ্যাতীত,	
bishwashoi,	বিশ্বসাই,	বিশ্বাসই,	
dadar,	দাদার,	দাদার,	
hamburgey,	হাম্বর্গে,	হামবুর্গে,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
obhijojon,	অভিযোজন,	অভিযোজন,	
silbar,	সিলবার,	সিলভার,	
raunanganey,	রণঙঙ্গনে,	রণাঙ্গনে,	
observer,	অবসার্ভের,	অবজার্ভার,	
eekbalke,	একবলকে,	ইকবালকে,	
asocietes,	অসোসোইটেস,	এসোসিয়েটস,	
horidare,	হরিদার,	হরিদ্বারে,	
conphlikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
rupantor,	রূপান্তর,	রুপান্তর,	
iqbalke,	ইকবলকে,	ইকবালকে,	
shastro,	শাস্ত্র,	শাস্ত্র,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
laiseensee,	লেসেন্সি,	লাইসেন্স,	
falasrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
sikarer,	শিকারের,	শিকারের,	
militaryte,	মিলিটারেতে,	মিলিটারিতে,	
windows,	উইন্ডোজ,	উইন্ডোস,	
planea,	প্লেনে,	প্লেনে,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
vault,	ভোল্ট,	ভল্ট,	
onkeeta,	অঙককত,	অঙ্কিতা,	
vaibonder,	ভাইবন্দের,	ভাইবোনদের,	
hol,	হল,	হোল,	
opohoronn,	অপহরণ,	অপহরন,	
transcom,	ট্রান্সক,	ট্রান্সকম,	
jees,	জিস,	জেস,	
biphal,	বিফল,	বিফল,	
durgatsober,	দুর্গটস্বের,	দুর্গোৎসবে,	
licensing,	লিসনেং্ং,	লাইসেন্সিং,	
cetholic,	চ্যাথলিক,	ক্যাথলিক,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
chatrorai,	ছাত্রইাই,	ছাত্ররাই,	
shcore,	স্ক্র,	স্কোর,	
roktokkhorone,	রক্তকরণে,	রক্তক্ষরণে,	
shilabhara,	সিলভার,	সিলভার,	
faaser,	ফাসের,	ফাঁসের,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
gaj,	গজ,	গেজ,	
pachok,	পাচক,	পাচক,	
plane,	প্লেন,	প্লেন,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
prakalpati,	প্রকল্পটি,	প্রকল্পটি,	
istane,	ইস্টেন,	স্টোন,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
osthishondhi,	অস্থিনধ্ধি,	অস্থিসন্ধি,	
atitkale,	অতীতকালে,	অতীতকালে,	
idipasha,	এডিপস,	ইডিপাস,	
simmons,	সিমমন্স,	সিমন্স,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
khoor,	খোর,	ক্ষুর,	
gosti,	গোস্টি,	গোষ্ঠী,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
iranayer,	আইরনের,	ইরানের,	
taateo,	তাটেও,	তাতেও,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
kathmaandu,	কথম্ুন্ড,	কাঠমান্ডু,	
sarollo,	সরলোল,	সারল্য,	
ganoporibahoner,	গণপরিবহণের,	গণপরিবহনের,	
sukna,	শুকনা,	শুকনা,	
chhotogalper,	ছটটাগল্পের,	ছোটগল্পের,	
nadimatrik,	নাদীমাত্রিক,	নদীমাতৃক,	
hishaber,	হিসাবের,	হিসাবের,	
militarir,	মিলিটারীর,	মিলিটারির,	
aminul,	আমিনুল,	আমিনুল,	
nabyota,	নব্যততা,	নাব্যতা,	
granthe,	গ্রন্থে,	গ্রন্থে,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
amarika,	অমরিকা,	আমেরিকা,	
drisser,	দ্রীশ্রের,	দৃশ্যের,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
sanyal,	সন্য্যাল,	সান্যাল,	
grameryi,	গ্রামারি,	গ্রামেরই,	
asamanjashapurna,	আসমাস্নাসপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
crucer,	ক্রুসের,	ক্রুশের,	
naarsari,	নার্সারী,	নার্সারি,	
kkhur,	ক্ষুর,	ক্ষুর,	
metrapalitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
pluck,	প্লাক,	প্ল্যাক,	
shangkulan,	শঙ্কুলন,	সংকুলান,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
hartz,	হার্ট,	হার্জ,	
grambaasider,	গ্রাম্াবীদের,	গ্রামবাসীদের,	
kor,	কোর,	কর,	
bhabnar,	ভাবনার,	ভাবনার,	
velcome,	ভেলকেম,	ওয়েলকাম,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
jinsa,	জিনস,	জিন্স,	
baieq,	বাইক,	বাইক,	
chhon,	ছন,	ছোঁ,	
jeebjontu,	জীবনন্তু,	জীবজন্তু,	
mookhomaundoler,	মুখমাডলনের,	মুখমণ্ডলের,	
nir,	নির,	নির,	
vabotarini,	ভববতারিণী,	ভবতারিণী,	
phareqsa,	ফরেক্স,	ফরেক্স,	
transapharma,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
muhurta,	মুহূর্ত,	মুহুর্ত,	
qota,	কোট,	কোটা,	
jyeshtha,	জ্যেষ্ঠ,	জ্যেষ্ঠা,	
shaahocharje,	সহহাচ্যে,	সাহচর্যে,	
daakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
wagadada,	ভাগদাদা,	বাগদাদ,	
mosjidke,	মোজজিদকে,	মসজিদকে,	
brinda,	ব্রিন্ড,	বৃন্দা,	
edii,	এডি,	আইডিই,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
manushera,	মনুসেরা,	মানুষেরা,	
mela,	মেল,	মাইল,	
jounotar,	যৌনতার,	যৌনতার,	
preety,	প্রীতি,	প্রিটি,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
seating,	সেটিং,	সিটিং,	
bhabanir,	ভবানীর,	ভবানীর,	
sazanor,	সাজানোর,	সাজানোর,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
shfingtar,	স্ফিটার,	স্ফিংটার,	
patthkromer,	পাঠ্রমের,	পাঠক্রমের,	
plater,	প্লেটের,	প্লেটের,	
peethey,	পিঠে,	পীঠে,	
sikkhakbrinda,	শিক্ষাবৃর্ণ,	শিক্ষকবৃন্দ,	
bhardwaj,	ভার্যভয়,	ভরদ্বাজ,	
judge,	জজ,	জাজ,	
obdee,	অব্দি,	অব্দি,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
prakalpaguli,	প্রকললপুলি,	প্রকল্পগুলি,	
ashankai,	অসঙককই,	আশঙ্কাই,	
jatharthobhabe,	যথার্থভাবে,	যথার্থভাবে,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
food,	ফুড,	ফুড,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
jaksa,	যক্স,	যক্ষ,	
si,	সি,	এসআই,	
danckan,	ডাঁকন,	ডানকান,	
tafsir,	তাফসির,	তাফসীর,	
antorbhuktimulak,	অন্তর্বতীক্মূলক,	অন্তর্ভুক্তিমূলক,	
servere,	সার্ভারে,	সার্ভারে,	
sharok,	শরক,	স্মারক,	
phimela,	ফিমেল,	ফিমেল,	
satarkota,	সর্তকতা,	সতর্কতা,	
onupater,	অনুপতের,	অনুপাতের,	
gavashkar,	গভষ্কার,	গাভাস্কার,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
patishapta,	পতিশাপ্ত,	পাটিসাপটা,	
messanger,	মেসসঙ্গের,	মেসেঞ্জার,	
maricha,	মেরিচা,	মরিচা,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
nadike,	নাদিকে,	নদীকে,	
tolemi,	তলমি,	টলেমির,	
bandhano,	বন্ধনা,	বাঁধানো,	
lagche,	লাগছে,	লাগছে,	
komti,	কমটি,	কমতি,	
danaqana,	ডানাকন,	ডানকান,	
kulo,	কুলো,	কুলো,	
jonoikaa,	জনৈকক,	জনৈকা,	
superheira,	সুপারইাইরা,	সুপারহিরো,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
diaraesa,	ডিয়েশ,	ডিআরএস,	
allahabade,	আলাহাবাদে,	এলাহাবাদে,	
chintaikaree,	ছিনতাইকারী,	ছিনতাইকারী,	
lohaa,	লোহা,	লোহা,	
dibeta,	দিবেতা,	ডিবেট,	
samosher,	সমসের,	সমশের,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
noditikey,	নদীতীকে,	নদীটিকে,	
otyacharer,	অত্যচারের,	অত্যাচারের,	
liceencee,	লিসেন্স,	লাইসেন্স,	
nariikei,	নারীকেই,	নারীকেই,	
ramonar,	রমনার,	রমনার,	
mehonnotee,	মেহননতী,	মেহনতি,	
unit,	ইউনিট,	ইউনিট,	
sahocorrze,	সহকর্চে,	সাহচর্যে,	
shtona,	স্টন,	স্টোন,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
durgatsob,	দুর্তদস্ব,	দুর্গোৎসব,	
cooling,	কুলিং,	কুলিং,	
dower,	দাওয়ার,	ডোভার,	
cholchhee,	চলছি,	চলছে,	
konflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
saphalyar,	সাফল্যার,	সাফল্যের,	
mase,	মেস,	মাসে,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
maailkhanek,	মাইল্যানেক,	মাইলখানেক,	
volapuq,	ভলাপুক,	ভোলাপুক,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
ovidhaner,	অভিধানের,	অভিধানের,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
sabyastha,	সব্যস্থ,	সাব্যস্থ,	
choity,	চৈইতি,	চৈতি,	
phooloo,	ফুলও,	পোলো,	
andaman,	আন্দমান,	আন্দামান,	
jones,	জনস,	জোন্স,	
ganoporibohoner,	গণপরিবহণের,	গণপরিবহনের,	
aabahon,	আবাহন,	আবাহন,	
laicenshe,	লাইসেন্স,	লাইসেন্স,	
panera,	পানেরা,	পনের,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
thailandsaho,	থাইলাদ্দসহ,	থাইল্যান্ডসহ,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chalche,	চলচে,	চলছে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
khanonkaj,	খননকাজ,	খননকাজ,	
shaajaano,	সাজানো,	সাজানো,	
shelim,	সেলিং,	সেলিম,	
dubate,	দুবাতে,	ডুবাতে,	
annimated,	অনিমততে,	এনিমেটেড,	
pujito,	পুজিত,	পুজিত,	
tuning,	টিউনিং,	টিউনিং,	
keu,	কিউ,	কেউ,	
estonia,	এ্টোনিয়া,	এস্তোনিয়া,	
