tukror,	টুকরার,	টুকরোর,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
gaichhe,	গাইছে,	গাইছে,	
turkmen,	তুর্কমেন,	তুর্কমেন,	
brindabone,	বৃর্নবনে,	বৃন্দাবনে,	
khorshed,	খর্ষেদ,	খোরশেদ,	
bharadwaja,	ভারাদ্জাজা,	ভরদ্বাজ,	
ekpaashe,	একপাশে,	একপাশে,	
antarbhuktimulak,	অন্তর্ভূতিকমূলক,	অন্তর্ভুক্তিমূলক,	
tukrokey,	টুকরোকে,	টুকরোকে,	
bem,	বেম,	বিম,	
janasamaj,	জনসমাজ,	জনসমাজ,	
onupater,	অনুপতের,	অনুপাতের,	
dazjo,	দজজ,	দাহ্য,	
kande,	কান্ডে,	কাণ্ডে,	
deefinition,	ডেফিনিউশন,	ডেফিনেশন,	
byaboharkaree,	ব্যবহারকারি,	ব্যবহারকারী,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
futbolarer,	ফুটবলের,	ফুটবলারের,	
dhaanche,	ধাঁচে,	ধাঁচে,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
mandope,	মণ্ডপে,	মন্ডপে,	
shangkulan,	সংকুলনন,	সংকুলান,	
dhani,	ধনী,	ধানি,	
rabe,	রবে,	রবে,	
daul,	ডাউল,	দেউল,	
roktokhorone,	রক্তচরণে,	রক্তক্ষরণে,	
aholyar,	আহললযার,	অহল্যার,	
retasa,	রেটস,	রাইটস,	
badei,	বাদেই,	বাদেই,	
thake,	থকে,	থাকে,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
mohajote,	মহাজতে,	মহাজোট,	
gazipore,	গজিপুর,	গাজিপুর,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
serverti,	সার্ভরটি,	সার্ভারটি,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
bhogno,	ভগ্ন,	ভগ্ন,	
kanasarabheeshana,	কনসারেশন,	কনসারভেশন,	
anodhikaar,	অনধিকার,	অনধিকার,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
nodiiteyi,	নদীতেই,	নদীতেই,	
pooshti,	পুষ্টি,	পুষ্টি,	
orbeet,	অরবিত,	অরবিট,	
trete,	ট্রেট,	ট্রেতে,	
cetholic,	চ্যাথলিক,	ক্যাথলিক,	
gonohotyakey,	গণহত্যকে,	গণহত্যাকে,	
deily,	ডেলি,	ডেইলি,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
plen,	প্লেন,	প্লেন,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
jaki,	জাকি,	জকি,	
salapheeta,	সালফাত,	সালফেট,	
porichhonnota,	পরিচ্ণনাতা,	পরিচ্ছন্নতা,	
nanir,	নানীর,	নানীর,	
deepei,	দিপেই,	দ্বীপেই,	
modelin,	মডেলেন,	মডেলিং,	
poschime,	পশ্চিমে,	পশ্চিমে,	
pitthey,	পিঠে,	পীঠে,	
horash,	হরাশ,	হোরাস,	
thore,	থোর,	থরে,	
songkoloney,	সংকলনে,	সংকলনে,	
bashitey,	বসিতে,	বাঁশিতে,	
cholocchitrotike,	চলচ্চিত্রিতকে,	চলচ্চিত্রটিকে,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
cheentaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
baffer,	বাফের,	বাফার,	
ekkoghore,	একঘরে,	একঘরে,	
hazarer,	হাজারের,	হাজারের,	
cheento,	চিন্ত,	চিনতো,	
kaaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
bagach,	বাগচ,	বটগাছ,	
samajikotar,	সামাজিকিকতার,	সামাজিকতার,	
sarbhaarti,	সার্বারটি,	সার্ভারটি,	
janosanjog,	জনসং্গ,	জনসংযোগ,	
saramiks,	সারামিক্স,	সিরামিকস,	
dolgulo,	দলগুলো,	দলগুলোও,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
prrajanankaal,	প্রজাননাল,	প্রজননকাল,	
shhayatana,	স্যাটন,	শয়তান,	
spashtatai,	স্প্্টশতেই,	স্পষ্টতই,	
caramiks,	কারামিক্স,	সিরামিকস,	
mojuter,	মজুতের,	মজুতের,	
naji,	নাজি,	নাত্সি,	
oncholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
surti,	শূর্তি,	সুরটি,	
hatodaridra,	হতাদারিদ্যা,	হতদরিদ্র,	
teamothy,	তেমথি,	টিমোথি,	
utsahomulok,	উৎসাহূলক,	উৎসাহমূলক,	
arakan,	আরাকন,	আরাকান,	
eshhiyatika,	এসিটিক,	এশিয়াটিক,	
shudden,	সুদেন,	সাডেন,	
pushtir,	পুষ্টির,	পুষ্টির,	
ogobhir,	অগোভীর,	অগভীর,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
babylon,	বাবিলুন,	ব্যাবিলন,	
elakaa,	এলাকা,	এলাকা,	
kumarir,	কুমারীর,	কুমারীর,	
jojyata,	যোজ্যত,	যোজ্যতা,	
saaeda,	সাইড,	সাইদা,	
tinej,	টিনেজ,	টিনেজ,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
licensin,	লিসেন্সিং,	লাইসেন্সিং,	
sanyal,	সন্জল,	সান্যাল,	
falah,	ফালা,	ফালাহ,	
teenisa,	টেনিস,	টেনিস,	
sulfate,	সালফাটে,	সালফেট,	
marathi,	মারাঠি,	মরাঠি,	
chhaanake,	ছানাকে,	ছানাকে,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
texaser,	টেকাসের,	টেক্সাসের,	
haze,	হাজ,	হেজ,	
ibhila,	এভিল,	ইভিল,	
totokhon,	ততক্ষণ,	ততক্ষন,	
onnkita,	অংকিত,	অঙ্কিতা,	
baruklin,	বারুকলিন,	ব্রুকলিন,	
addhattikotar,	আধ্যতিকতিকার,	আধ্যাত্মিকতার,	
moricha,	মরিচা,	মরিচা,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
ghetu,	ঘেতু,	ঘেটু,	
chirontan,	চিরন্তান,	চিরন্তন,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
khaambaa,	খাম্া,	খাম্বা,	
chondrimaa,	চন্দ্রামা,	চন্দ্রিমা,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
gudamjat,	গুদাজাজত,	গুদামজাত,	
ummul,	উম্মুল,	উম্মুল,	
vangle,	ভাঙলে,	ভাঙলে,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
ronodeep,	রণবীদ,	রণদীপ,	
preety,	প্রীতি,	প্রিটি,	
hiragana,	হিরাগান,	হিরাগানা,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
bajareo,	বাজারেও,	বাজারেও,	
nek,	নেক,	নেক,	
osamanno,	অসমান্ন,	অসামান্য,	
bonoshri,	বনসরী,	বনশ্রী,	
bongshi,	বংশী,	বংশী,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
eokee,	ইকে,	এওকি,	
boshoborty,	বসবর্তী,	বশবর্তী,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
turkameena,	তুর্কমেন,	তুর্কমেন,	
tigar,	টিগর,	টাইগার,	
enashiyenta,	এনসায়েন্ট,	এনসিয়েন্ট,	
poscater,	পশ্চাতের,	পশ্চাতের,	
ispredshiit,	ইসপ্রেডসিট,	স্প্রেডশীট,	
shomsti,	শমসটি,	সমষ্টি,	
asaciates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
raktaksharaner,	রক্তকরণের,	রক্তক্ষরণের,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
masharraf,	মাশাররফ,	মশাররফ,	
muhammadi,	মুহাম্মদদী,	মুহাম্মদী,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bhumijo,	ভূমিজো,	ভূমিজ,	
shlok,	শ্লোক,	শ্লোক,	
stoner,	স্তনের,	স্টোনের,	
faad,	ফাঁদ,	ফুড,	
deenesh,	ডিনেশ,	দীনেশ,	
ooindo,	উইন্ড,	উইন্ডো,	
restaurant,	রেস্টুরাঁ্ট,	রেষ্টুরেন্ট,	
marino,	মেরিনো,	মারিনো,	
mette,	ম্যাটে,	ম্যাট,	
fridom,	ফ্রিডম,	ফ্রীডম,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
gaiche,	গাইছ,	গাইছে,	
heeavy,	হেভি,	হেভি,	
deeliveer,	দিলিভির,	ডেলিভার,	
bibade,	বিবদে,	বিবাদে,	
debeting,	ডেবেটিং,	ডিবেটিং,	
norton,	নর্টন,	নর্টন,	
gandho,	গন্ধ,	গন্ধ,	
tobe,	তবে,	টবে,	
sarollo,	সরলল,	সারল্য,	
vip,	ভীপ,	ভিআইপি,	
siniyara,	সিনিয়র,	সিনিয়র,	
maarmader,	মারমাদের,	মারমাদের,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
brookoleen,	ব্রুকলীন,	ব্রুকলিন,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
darzi,	দর্জি,	দরজি,	
gaj,	গজ,	গেজ,	
ghursen,	ঘুরেষন,	ঘুরেছেন,	
chetanagato,	ছেতনাগত,	চেতনাগত,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
tecno,	টেকনো,	টেকনো,	
manmath,	মন্মন,	মন্মথ,	
aarakaner,	আরাকণের,	আরাকানের,	
utsahomulak,	উৎসহমূলক,	উৎসাহমূলক,	
spredasita,	স্প্রাডসেট,	স্প্রেডশীট,	
crecenter,	ক্রেসেন্টের,	ক্রিসেন্টের,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
banijyikbhittik,	বানিজ্যিক্তিক,	বাণিজ্যিকভিত্তিতে,	
bolatkar,	বলৎকার,	বলাৎকার,	
siqh,	শিখ,	শিখ,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
manur,	মনুর,	মনুর,	
drishyotir,	দৃশ্যতির,	দৃশ্যটির,	
beshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
natneekey,	নাট্ীকে,	নাতনীকে,	
porishongkhyanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
futonto,	ফুটন্ট,	ফুটন্ত,	
pactar,	প্যাক্টর,	পাঁচটার,	
ekaatto,	একাত্ম,	একাত্ব,	
rajoshri,	রাজশীর,	রাজশ্রী,	
bhezano,	ভেজানো,	ভেজানো,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
engineers,	এঞ্জিন্রা,	ইঞ্জিনিয়ার্স,	
licensedhari,	লিইেন্সধারী,	লাইসেন্সধারী,	
sausagee,	সৌসগ্গী,	সসেজ,	
parq,	পার্ক,	পার্ক,	
satarkabhabe,	সাতরকাভাবে,	সতর্কভাবে,	
sanbadmadhyame,	সংবাদমম্যে,	সংবাদমাধ্যমে,	
poshchate,	পশ্চাত্,	পশ্চাতে,	
boonot,	বুনত,	বুনট,	
ghatla,	ঘটল,	ঘটল,	
nilkomol,	নীলকমল,	নীলকমল,	
mausum,	মৌসুম,	মৌসুম,	
skalastik,	স্কলাস্টিক,	স্কলাস্টিক,	
fern,	ফেরন,	ফার্ন,	
chalochchitrake,	চলচিত্র্াকে,	চলচ্চিত্রকে,	
debug,	দেবুগ,	ডিবাগ,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
guzober,	গুজবের,	গুজবের,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
nodike,	নোদকে,	নদীকে,	
phooloo,	ফুলো,	পোলো,	
praman,	প্রমাণ,	প্রমান,	
doonut,	দুনুট,	ডোনাট,	
geeja,	গেজ,	গেজ,	
sommotir,	সম্মতির,	সম্মতির,	
governerer,	গভর্নরের,	গভর্ণরের,	
matthews,	ম্যাথিউস,	ম্যাথিউস,	
deep,	ডীপ,	দীপ,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
gazetted,	গেজেট্ড,	গেজেটেড,	
anchaleo,	আঞ্চলেও,	অঞ্চলেও,	
ramantika,	রামান্তিক,	রোমান্টিক,	
oporishodhito,	অপরিশধিত,	অপরিশোধিত,	
nirikho,	নিরীখ,	নিরিখ,	
dakope,	ডাকোপে,	দাকোপ,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
seekkhokbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
ashachetan,	আশ্চেতন,	অসচেতন,	
hizrii,	হিজরি,	হিজরী,	
tooku,	টুকু,	টুকু,	
dana,	ডানা,	ডায়না,	
