dibeta,	দিবিতা,	ডিবেট,	
myari,	ম্যারি,	ম্যারি,	
kodom,	কদদ,	কদম,	
joubanboti,	যৌবনবতি,	যৌবনবতী,	
mayily,	মেই,	মাইলি,	
potengar,	পতেঙ্গার,	পতেঙ্গার,	
aazeez,	আজিজ,	আজিজ,	
akkharke,	অক্ষররকে,	অক্ষরকে,	
sotteo,	সত্তেও,	সত্ত্বেও,	
peengna,	পিঙ্গন,	পিংনা,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
besirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
adhuna,	অধুনা,	অধুনা,	
jerusalem,	জিরুজালেম,	জেরুসালেম,	
akritakarja,	আক্রীকের্া,	অকৃতকার্য,	
horeedwar,	হরিদদ্য,	হরিদ্বার,	
raiialati,	রাই়লটটি,	রয়্যালটি,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
thaakte,	থাকতে,	থাকতে,	
byabaharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
osamorik,	ওসামারিক,	অসামরিক,	
anis,	অ্যানিজ,	আনিস,	
aiiub,	আইউ,	আইইউবি,	
gajetted,	গেজেে্টেড,	গেজেটেড,	
satarkokari,	সরারকাকারী,	সতর্ককারী,	
moshzidtir,	মস্যিদটির,	মসজিদটির,	
nazad,	নাজদ,	নজদ,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
utsaho,	উত্সাহ,	উৎসাহ,	
shreechaitanyadeb,	শ্রীচৈতন্দেবা,	শ্রীচৈতন্যদেব,	
zibonnogor,	জীবনগোগর,	জীবননগর,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
wedanta,	বদদন্ত,	বেদান্ত,	
horiddar,	হরিদদ,	হরিদ্বার,	
maradeha,	মারদেহ,	মরদেহ,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
anurbar,	অনুরবর,	অনুর্বর,	
chetana,	ছেতনা,	চেতনা,	
sofi,	সফি,	সোফি,	
anurbor,	অনুরবর,	অনুর্বর,	
uipoka,	উইপকো,	উইপোকা,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
patjat,	পাতজত,	পাটজাত,	
satarka,	সার্তা,	সতর্ক,	
dephineshana,	ডেফিনিশন,	ডেফিনেশন,	
naniir,	নানীর,	নানীর,	
sommoteer,	সম্মতির,	সম্মতির,	
kishti,	কিসটি,	কিস্তি,	
abhigomon,	অভিগোমন,	অভিগমন,	
bheemsen,	ভীমমেন,	ভীমসেন,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
nodigulo,	নদীগুলো,	নদীগুলো,	
machhsoho,	মাসসহ,	মাছসহ,	
kraim,	ক্রেম,	ক্রাইম,	
amiretus,	অমযামিটিসস,	এমিরেটাস,	
natshi,	নাৎসি,	নাত্সি,	
roopdan,	রূপদান,	রুপদান,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
samle,	সমলে,	সামলে,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
prabhur,	প্রভূর,	প্রভুর,	
baitsh,	ব্যাসস,	বাইটস,	
teempaleeta,	টিম্পালট,	টেম্পলেট,	
mahajote,	মহাজতে,	মহাজোট,	
joni,	জোনি,	জনি,	
korechi,	করেছি,	করেছি,	
roza,	রোজা,	রোযা,	
narafoka,	নাফাকা,	নরফোক,	
istonia,	স্্টননি,	এস্তোনিয়া,	
chalchhe,	চলছচে,	চলছে,	
heemi,	হেমি,	হিমি,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
nevatey,	নেভাতে,	নেভাতে,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
panchbar,	পাঁচবর,	পাঁচবার,	
venicer,	ভেনিসের,	ভেনিসের,	
techno,	টেকনো,	টেকনো,	
surke,	সার্কে,	সুরকে,	
eesa,	এসা,	আইএএস,	
hepatitis,	হেপাটেটিস,	হেপাটাইটিস,	
madhobir,	মাধবীর,	মাধবীর,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
jonosomaj,	জনসমম,	জনসমাজ,	
yukeliptas,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
madhuree,	মাধুরী,	মাধুরী,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
ishan,	ঈশন,	ঈশান,	
deubande,	ডিবান্দে,	দেওবন্দে,	
siddhantokey,	সিদ্ধনতকে,	সিদ্ধান্তকে,	
hyarikeena,	হ্যারিকিন,	হ্যারিকেন,	
daroda,	দারদ,	দারদা,	
batsmaner,	বাস্মমেেরার,	ব্যাটসম্যানের,	
udiichii,	উদিছি,	উদীচী,	
shilbar,	শিলবার,	সিলভার,	
texuser,	টেকাস্সারের,	টেক্সাসের,	
debdebi,	দেবদেদী,	দেবদেবী,	
tafasir,	তাসিসার,	তাফসীর,	
tottorat,	তত্ত্রত,	তওরাত,	
sawom,	সভম,	সাওম,	
hatodoridra,	হাতর্দীরা,	হতদরিদ্র,	
kkompito,	কম্পিউ,	কম্পিত,	
mododpusto,	মদদসুষ্ট,	মদদপুষ্ট,	
otiiteo,	অতিতেও,	অতীতেও,	
faltu,	ফললটু,	ফালতু,	
deebatee,	দেবতী,	ডিবেট,	
sanbadmadhyame,	সংবাদমধম্যম,	সংবাদমাধ্যমে,	
eshkol,	এসকল,	এসকল,	
veenom,	ভীনোম,	ভেনম,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
nachiketa,	নাচিকতত,	নচিকেতা,	
basturyi,	বাস্তুর্য,	বস্তুরই,	
dharavassyokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
jeebonjapon,	জীবনজাপন,	জীবনযাপন,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
madhuri,	মাধুরি,	মাধুরী,	
korkotkraanti,	কর্ককারান্তি,	কর্কটক্রান্তি,	
parisankhanbid,	পরিসংখ্যানদিদ,	পরিসংখ্যানবিদ,	
kingsh,	কিংস,	কিংস,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
pooshti,	পুষ্টি,	পুষ্টি,	
jibonnogor,	জীবনগোগর,	জীবননগর,	
ekhaate,	এখাতে,	একহাতে,	
dearas,	ডারর,	ডিআরএস,	
noren,	নরেন,	নরেন,	
mojdur,	মজ্দুর,	মজদুর,	
eder,	এদের,	এদের,	
harbur,	হার্বুর,	হারবার,	
basalt,	বাসল্ট,	ব্যাসল্ট,	
parse,	পারস্স,	পার্শ্বে,	
korush,	ক্রুস,	ক্রুশ,	
bodhir,	বধির,	বধির,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
ameriqa,	অ্যামেরিকা,	আমেরিকা,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
qarlosa,	কার্লস,	কার্লোস,	
goolen,	গুলেন,	গুলেন,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
letterey,	লেটাটেরে,	লেটারে,	
sqora,	স্কোর,	স্কোর,	
paripakey,	পরিপােকে,	পরিপাকে,	
norfolk,	নরফলল,	নরফোক,	
chhutir,	ছুটির,	ছুটির,	
sucharita,	সুচারিত,	সুচরিতা,	
chorchita,	চর্চিত,	চর্চিত,	
hisabke,	হিসাবকে,	হিসাবকে,	
aachees,	আচেশ,	আছিস,	
favourite,	ফ্যাভুউটে,	ফেভারিট,	
carlos,	কার্লস,	কার্লোস,	
palkee,	পালকী,	পাল্কি,	
zockey,	জকে,	জকি,	
jones,	জনেস,	জোন্স,	
salphat,	সলফফট,	সালফেট,	
macher,	মাছের,	মাছের,	
sthaponatir,	স্থাপনতারির,	স্থাপনাটির,	
antorbhuktimulak,	অন্তর্ভূক্তমলা,	অন্তর্ভুক্তিমূলক,	
naazi,	নাজি,	নাত্সি,	
rigthter,	রিগটের,	রাইটের,	
prottokkhovabe,	প্রত্যাখ্যাভে,	প্রত্যক্ষভাবে,	
porinoti,	পরিনতি,	পরিণতি,	
sayatana,	স্যাতন,	শয়তান,	
choiti,	চৈতি,	চৈতি,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
ashanka,	আসঙ্কা,	আশঙ্কা,	
nodimaatrik,	নদীমাতিক্রিক,	নদীমাতৃক,	
monohputo,	মনোহপুত,	মনঃপুত,	
gosthike,	গোষ্ঠিকে,	গোষ্ঠীকে,	
purbanchole,	পূর্বনশ্চলে,	পূর্বাঞ্চলে,	
boponer,	বপনের,	বপনের,	
akmato,	অকমাত,	একমত,	
dipei,	ডিপেই,	দ্বীপেই,	
harbar,	হার্বার,	হারবার,	
bota,	বোটা,	বটা,	
ekbakke,	একবাকে,	একবাক্যে,	
prapoker,	প্রাপকের,	প্রাপকের,	
aagera,	আগেরা,	আগোরা,	
dhhaaloor,	ঢালুর,	ঢালুর,	
obosane,	অবসানে,	অবসানে,	
diniphition,	ডাইনিফিটন,	ডেফিনেশন,	
taitela,	টাইটেল,	টাইটেল,	
heelse,	হেলসে,	হিলসে,	
sofyr,	সফির,	সোফির,	
uthe,	উঠে,	উঠে,	
torkaryr,	তরকারির,	তরকারীর,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
eexpreession,	এক্সপ্রেসনন,	এক্সপ্রেশন,	
pushteer,	পুস্টির,	পুষ্টির,	
sohinsotar,	সহিনস্টার,	সহিংসতার,	
komtee,	কমমটি,	কমতি,	
seekkhaarthirao,	শিক্ষার্থীরে,	শিক্ষার্থীরাও,	
vaabnake,	ভাননাকে,	ভাবনাকে,	
towraat,	তৌরাত,	তওরাত,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
reejideencee,	রেজিনিডান্সি,	রেসিডেন্স,	
ahang,	অহং,	অহং,	
chhutochhuti,	ছুটুছুটি,	ছুটোছুটি,	
tanu,	তানু,	তনু,	
deputee,	ডিপুতি,	ডেপুটি,	
dharavahiktir,	ধারাভাতক্তির,	ধারাবাহিকটির,	
somraatder,	সম্রাদ্ের,	সম্রাটদের,	
konphlict,	কাফ্লিক্ট,	কনফ্লিক্ট,	
chheelonaa,	ছিলননা,	ছিলনা,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
elakatir,	এলাকাটির,	এলাকাটির,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
peoples,	পিপললস,	পিপলস্,	
durbhagya,	দুর্ভোগ্য,	দূর্ভাগ্য,	
dhyanostho,	ধানসস্থ,	ধ্যানস্থ,	
charchita,	চার্চিত,	চর্চিত,	
nisad,	নিশাদ,	নিষাদ,	
ingrezra,	ইংরেজ্রা,	ইংরেজরা,	
veenish,	ভেনিস,	ভেনিস,	
lambaate,	লম্বাতে,	লম্বাটে,	
transform,	ট্রান্সফার্,	ট্রান্সফর্ম,	
nischoy,	নিশ্চ,	নিশ্চয়,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
sthaponakay,	স্থাপনকাকে,	স্থাপনাকে,	
kantajir,	কান্তজির,	কান্তজির,	
qrita,	কৃত,	ক্রীট,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
jamjamat,	জামাজম,	জমজমাট,	
bagda,	বাগদা,	বাগদা,	
falak,	ফালা,	ফলক,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
sylvi,	সিলভি,	সিলভি,	
osocheton,	অসচেছন,	অসচেতন,	
pack,	প্যাক,	প্ল্যাক,	
inapharameshana,	ইনফররেশন,	ইনফরমেশন,	
piora,	পিয়ার,	পিওর,	
forex,	ফরেক্স,	ফরেক্স,	
vandar,	ভান্ডার,	ভাণ্ডার,	
dharavashyokar,	ধারাভাস্যার,	ধারাভাষ্যকার,	
manonitoder,	মাননিতদের,	মনোনীতদের,	
greep,	গ্রীপ,	গ্রিপ,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
hizriite,	হিজরিতে,	হিজরীতে,	
taresa,	তারেসা,	টেরেসা,	
prasadhoner,	প্রসসনধের,	প্রসাধনের,	
daaraa,	দারা,	দারা,	
shatoker,	শতকের,	শতকের,	
gosthyti,	গ্্স্থি,	গোষ্ঠীটি,	
aporishodhito,	অপরিষধধিত,	অপরিশোধিত,	
mangoleek,	মাঙগলিক,	মাঙ্গলিক,	
asommoti,	অসম্মতি,	অসম্মতি,	
prachuryer,	প্রাচুয়ের,	প্রাচুর্যের,	
ardasha,	আর্ডার,	আর্দশ,	
