chalachchitrei,	চলচচচত্রে,	চলচ্চিত্রেই,	
venkates,	ভেনকেেেস,	ভেঙ্কটেশ,	
bongshokey,	বংশকে,	বংশকে,	
preti,	প্রেটি,	প্রিটি,	
nutan,	নুটা,	নূতন,	
brookolin,	ব্রুকলিন,	ব্রুকলিন,	
panchasjan,	পঞ্চাঞজ,	পঞ্চাশজন,	
bijito,	বিজিত,	বিজিত,	
konagulo,	কোনাগোোো,	কণাগুলো,	
azizer,	আজিজের,	আজিজের,	
onchalti,	অঞ্চালি,	অঞ্চলটি,	
abhinetar,	অভিনেতার,	অভিনেতার,	
hoteeltite,	হটটললিটে,	হোটেলটিতে,	
depooti,	দেপুটি,	ডেপুটি,	
rajtontre,	রাজ্তত্্রে,	রাজতন্ত্রে,	
chalochchitreei,	চলচচত্তরর,	চলচ্চিত্রেই,	
prakare,	প্রকারে,	প্রকারে,	
saranor,	সারণরর,	সরানোর,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
zeebonjapon,	জীবনাজপন,	জীবনযাপন,	
overview,	আভার্ভি,	ওভারভিউ,	
caramics,	ক্যারিকিস,	সিরামিকস,	
beetlaser,	বিটলেসের,	বিটলসের,	
vobanipur,	ভবাণপপর,	ভবানীপুর,	
engineering,	এন্গিনির,	ইঞ্জিনিয়ারিং,	
mulor,	মুলর,	মুলোর,	
airish,	আইরিশ,	আইরিস,	
ajiban,	আজিবান,	আজীবন,	
honduras,	হন্দুরা,	হন্ডুরাস,	
samanwitabhabe,	সমান্ীীতভবব,	সমন্বিতভাবে,	
torun,	তরুণ,	তরুন,	
maarmaader,	মারমাদের,	মারমাদের,	
machgulo,	মাচগুলোো,	মাছগুলো,	
rutina,	রুটিন,	রুটিন,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
roktokkhorone,	রক্তককরণণণ,	রক্তক্ষরণে,	
vabatarini,	ভবতারীীী,	ভবতারিণী,	
grambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
vabanir,	ভবানীর,	ভবানীর,	
gotibegey,	গতিবেগে,	গতিবেগে,	
obharabhiu,	অভারাভ,	ওভারভিউ,	
elakaatir,	এলাকাতির,	এলাকাটির,	
zzojyota,	যোয্যা,	যোজ্যতা,	
stationer,	স্টেশনের,	ষ্টেশনের,	
plata,	প্লাট,	প্লেটো,	
graambaaseeder,	গ্রামবাসীীের,	গ্রামবাসীদের,	
falak,	ফালক,	ফলক,	
turkamena,	তুরকরেে,	তুর্কমেন,	
donaat,	দোনা,	ডোনাট,	
ajeeboner,	আজীবনের,	আজীবনের,	
kormopontha,	কর্মপাথ্,	কর্মপন্থা,	
wenice,	ভেনিস,	ভেনিস,	
bibecchyo,	বিবেচ্য,	বিবেচ্য,	
iston,	ইস্টন,	স্টোন,	
tokee,	টোক,	তকি,	
abhidhanik,	অভিধানিক,	অভিধানিক,	
asamorthito,	অসমররথিত,	অসমর্থিত,	
kanake,	কানকে,	কণাকে,	
hamburge,	হাযাব্রর্গ,	হামবুর্গে,	
vault,	ভাল্,	ভল্ট,	
gosthyti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
akhaate,	আখাতে,	একহাতে,	
aziza,	আজিজা,	আজিজা,	
pakistanira,	পাকিস্তানারা,	পাকিস্তানীরা,	
aaloteo,	আলতেও,	আলোতেও,	
shangstha,	সংস্ঠা,	সংস্থা,	
thatchar,	থাাার,	থ্যাচার,	
chalkee,	চলকি,	চালকে,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
gonosochetonota,	গণসেেেনতত,	গণসচেতনতা,	
sthapanar,	স্থাপনার,	স্থাপনার,	
zockey,	জকক,	জকি,	
somsher,	সমসের,	সমশের,	
footbalarer,	ফুটবালাের,	ফুটবলারের,	
addhattikota,	আধ্যাতকিতকত,	আধ্যাত্মিকতা,	
sawam,	সাবা,	সাওম,	
brindabane,	বৃর্দদবনে,	বৃন্দাবনে,	
cholocchitrer,	চলচচতিতেরর,	চলচ্চিত্রের,	
raunanganey,	রৌনগগগে,	রণাঙ্গনে,	
proshadhoner,	প্রসাধনের,	প্রসাধনের,	
uposhthitir,	উপস্থিিির,	উপস্থিতির,	
habu,	হাবু,	হবু,	
uporital,	উপরিতা,	উপরিতল,	
queri,	কুয়ি,	কোয়েরি,	
olympiker,	অলিম্পিের,	অলিম্পিকের,	
plate,	প্লেট,	প্লেট,	
food,	ফুড,	ফুড,	
tyap,	ট্যাপ,	ট্যাপ,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
jar,	জার,	জ্বর,	
dibeeta,	ডিবিত,	ডিবেট,	
khaaneker,	খানেকের,	খানেকের,	
valobasake,	ভালভসসাক,	ভালোবাসাকে,	
debdebyr,	দেববেবীর,	দেবদেবীর,	
nirvahi,	নির্বাহী,	নির্বাহি,	
highcommissioney,	হাইকমিিেে,	হাইকমিশনে,	
reliance,	রেলিয্যেসে,	রিলায়েন্স,	
sbaajan,	স্বাজন,	স্বজন,	
jerujalem,	জেরুজােম,	জেরুজালেম,	
aunti,	আননিি,	আন্টি,	
allubokhara,	অল্বুখখর,	আলুবোখারা,	
byatasamyan,	ব্যাসসসযা,	ব্যাটসম্যান,	
aakkaas,	আককা,	আককাস,	
bonbhumi,	ভনভূমি,	বনভূমি,	
tinej,	টিনেজ,	টিনেজ,	
vangley,	ভ্যালে,	ভাঙলে,	
planeti,	প্লানেটি,	প্লেনটি,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
joqy,	জোি,	জকি,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
uzbekistaner,	উজবিবিসিতততেের,	উজবেকিস্তানের,	
bikargrasta,	বিকর্রা্্ত,	বিকারগ্রস্ত,	
mozlis,	মজলিি,	মজলিশ,	
muhurtoti,	মুহুর্তি,	মুহুর্তটি,	
trayte,	ট্রেইে,	ট্রেতে,	
khijir,	খিজির,	খিজির,	
dibidh,	ডিবিধ,	দ্বিবিধ,	
gaarnaar,	গারনার,	গার্নার,	
quoota,	কুউট,	কোটা,	
toufiq,	টৌফিক,	তৌফিক,	
mashtersh,	মাস্টার্,	মাস্টার্স,	
ekok,	একক,	একক,	
parichchhannata,	পরিচ্ছাননত,	পরিচ্ছন্নতা,	
addabaz,	আদ্যাবা,	আড্ডাবাজ,	
ponchashjon,	পঞ্চাঞজন,	পঞ্চাশজন,	
gujob,	গুজব,	গুজব,	
rajtantrey,	রাজ্তন্্রে,	রাজতন্ত্রে,	
nojder,	নোদের,	নজদের,	
hondooras,	হন্দুরা,	হন্ডুরাস,	
graambaasheeo,	গ্রামবাসও,	গ্রামবাসীও,	
macher,	মাচের,	মাছের,	
chapal,	চাপা,	চপল,	
mukhobondho,	মুখবনধধ,	মুখবন্ধ,	
tulechen,	তুলছেে,	তুলেছেন,	
bongsho,	বংস,	বংশ,	
karoo,	কারু,	কারো,	
siima,	সিম,	সীমা,	
silbhee,	সিলভি,	সিলভি,	
angsogrohone,	অংসগ্রহণ,	অংশগ্রহনের,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
lagchhe,	লাগছে,	লাগছে,	
leder,	লেডের,	লিডার,	
batikromshali,	ব্তাকক্রররলীী,	ব্যতিক্রমধর্মী,	
technocrat,	টেকনাকররট,	টেকনোক্র্যাট,	
wenus,	ভেনুস,	ভেনাস,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
stana,	স্টান,	স্টোন,	
tobe,	তবে,	টবে,	
shikkhao,	শিক্ষা,	শিক্ষাও,	
taioyana,	টাযযযযন,	তাইওয়ান,	
longhon,	লং্ঘ,	লংঘন,	
kumari,	কুমারি,	কুমারী,	
townsip,	টাউসিপপ,	টাউনশিপ,	
chetona,	চেটনা,	চেতনা,	
uindoo,	উই্ডড,	উইন্ডো,	
bhimsen,	ভিমসেন,	ভীমসেন,	
somabesh,	সমাবেশ,	সমাবেশ,	
mohajot,	মহাজত,	মহাজোট,	
bafal,	বাল,	বিফল,	
bisshonath,	বিশ্বণাথ,	বিশ্বনাথ,	
jani,	জানি,	জনি,	
akabar,	একবার,	আকাবার,	
rajdhani,	রাজধানী,	রাজধানি,	
yauth,	আউ,	ইয়ুথ,	
rajan,	রাজন,	রাজন,	
siddhantao,	সিদ্ধান্ত,	সিদ্ধান্তও,	
dhaleshorii,	ধেলেশরী,	ধলেশ্বরী,	
segular,	সেগুলার,	সেগুলোর,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
barnish,	বার্ণিস,	বার্নিশ,	
roobi,	রুবি,	রুবি,	
jaanachhe,	জানাছে,	জানাচ্ছে,	
moreecha,	মরিচা,	মরিচা,	
gasthii,	গাস্ঠী,	গোষ্ঠীই,	
bolobhodro,	বলভদ্র,	বলভদ্র,	
agamaner,	আগাানের,	আগমনের,	
barack,	ব্যার,	বারাক,	
satthikota,	সাঠ্কিকা,	সঠিকতা,	
oodoore,	উদরর,	অদুরে,	
rizur,	রিজুর,	রিজুর,	
nirmankaj,	নির্মাাকাজ,	নির্মাণকাজ,	
anekeri,	অনেকেরী,	অনেকেরই,	
chhuteer,	ছুটির,	ছুটির,	
ashiatic,	অস্যাটিক,	এশিয়াটিক,	
parisankhyanvid,	পরিসখখ্্্্্িদ,	পরিসংখ্যানবিদ,	
emerjency,	এমের্জেন্স,	এমার্জেন্সি,	
mashtarsha,	মাস্টররস,	মাস্টার্স,	
parking,	পার্কিং,	পার্কিং,	
komti,	কমটি,	কমতি,	
thaakeni,	থাকেনে,	থাকেনি,	
parbatya,	পররবততত,	পার্বত্য,	
adorso,	আদর্শ,	আর্দশ,	
asovo,	অসভ,	অসভ্য,	
karmapantha,	কর্মপান্,	কর্মপন্থা,	
panchashjan,	পঞ্চাঞজন,	পঞ্চাশজন,	
modelke,	মোডলেেে,	মডেলকে,	
monjhostho,	মঞ্সস্,	মঞ্চস্থ,	
day,	দে,	ডে,	
cholochchitraeeo,	চলচ্ততররওও,	চলচ্চিত্রেও,	
chyata,	চ্যাত,	চ্যাট,	
deil,	ডেল,	ডেইল,	
gauge,	গৌগ,	গেজ,	
shakara,	সাকার,	সকার,	
fase,	ফাসে,	ফাঁসে,	
akjoge,	একযগেে,	একযোগে,	
suraropeeto,	সুরারপিত,	সুরারোপিত,	
satarkota,	সতররকত,	সতর্কতা,	
gage,	গেজে,	গেজ,	
meshenger,	মেশেঞ্জের,	মেসেঞ্জার,	
anchalsamuho,	অঞ্চালূূহ,	অঞ্চলসমূহ,	
ispredshit,	ইসপ্রেড্িট,	স্প্রেডশীট,	
dilam,	ডিলাম,	দিলাম,	
harir,	হারির,	হরির,	
beekargrasta,	বিকর্রাস্ত,	বিকারগ্রস্ত,	
gojano,	গোাা,	গজানো,	
suiti,	সুইটি,	সুইটি,	
niurolaji,	নিউরোজজজ,	নিউরোলজি,	
sangbadmadhyamgulote,	সংবাধ্গধুুলতে,	সংবাদমাধ্যমগুলোতে,	
saya,	সায়,	সোয়া,	
juboke,	যুবকে,	যুবকে,	
chedropothe,	চেদ্রথথে,	ছিদ্রপথে,	
armstronz,	আর্মস্রর্্,	আর্মস্ট্রং,	
aqram,	আক্রম,	আকরাম,	
jomaanor,	জমানোর,	জমানোর,	
harbore,	হারবর,	হারবারে,	
polashir,	পলাশীর,	পলাশীর,	
shoccer,	সক্চের,	সকার,	
patiganiter,	পতিগিতের,	পাটিগণিতের,	
masjidsaha,	মস্জিজসহ,	মসজিদসহ,	
moshzidti,	মশজিিিিি,	মসজিদটি,	
pathachari,	পথাারর,	পথচারী,	
hamasa,	হমমস,	হোমস,	
cheettronnatyokar,	চিত্রন্্্যকার,	চিত্রনাট্যকার,	
benis,	বেনিস,	ভেনিস,	
damodar,	ডামদার,	দামদর,	
keraam,	কেরাম,	কেরাম,	
sambhabonao,	সম্ভাবনও,	সম্ভবনাও,	
koreemke,	করিমকে,	করিমকে,	
sabbir,	সবববি,	সাব্বির,	
taunship,	তানসিপ,	টাউনশিপ,	
bhalobasar,	ভালভাসার,	ভালোবাসার,	
rooby,	রুবি,	রুবি,	
kampita,	কম্পিত,	কম্পিত,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
karmazog,	কর্যোোগ,	কর্মযোগ,	
shkora,	স্কোর,	স্কোর,	
asiph,	আসিফ,	আসিফ,	
overviu,	আভার্ভি,	ওভারভিউ,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
daaktikiter,	দাক্তিকিেে,	ডাকটিকিটের,	
jaroori,	জরররর,	জরূরী,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
soshorire,	সশরররে,	সশরীরে,	
matriroop,	মাত্রিপূ,	মাতৃরূপ,	
ooipoka,	ঐপকক,	উইপোকা,	
necker,	নেককর,	নেকের,	
laboni,	লববন,	লাবনী,	
bojhar,	বোঝার,	বোঝার,	
kuota,	কুতা,	কোটা,	
longhoner,	লং্ঘের,	লংঘনের,	
teteyer,	টেটেয,	টেটের,	
ancholsoho,	অঞ্চলহহ,	অঞ্চলসহ,	
lombatey,	লম্বাতে,	লম্বাটে,	
parswer,	পারস্বের,	পার্শ্বের,	
