poshchater,	পশচাতের,	পশ্চাতের,	
sabhanetri,	সভানতির্,	সভানেত্রী,	
manzurul,	মাঁজুরুল,	মনজুরুল,	
konisttha,	কনিষ্ঠ্য,	কনিষ্ঠ,	
ganochien,	গণচচীন,	গণচীন,	
upobasee,	উপবাসী,	উপবাসী,	
sikha,	শিখা,	শিখ,	
paadee,	পাদি,	পাড়ে,	
jhankar,	ঝংকর,	ঝঙ্কার,	
aunti,	অনটি,	আন্টি,	
tookroke,	টুকরকে,	টুকরোকে,	
carymb,	ক্যারিমব,	করিম,	
dalu,	দালু,	ডালু,	
udbodhane,	উদ্বধধানে,	উদ্বোধনে,	
ekoghore,	একঘরে,	একঘরে,	
shrishri,	শৃষ্রী,	শ্রীশ্রী,	
plato,	প্লট,	প্লেটো,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
ranodeep,	রণদেব,	রণদীপ,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
gonna,	গন্য,	গননা,	
bonke,	বনকে,	বনকে,	
mukhya,	মুখ্য,	মুখ্য,	
sikh,	শিখ,	শিখ,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
fatakasto,	ফটাককস্ত,	ফাটাকেষ্ট,	
deebating,	ডিবেটিং,	ডিবেটিং,	
goodamjato,	গুদমজাত,	গুদামজাত,	
maszid,	মসজিদ,	মসজিদ,	
granthati,	গ্রন্থাটি,	গ্রন্থটি,	
ekla,	একলা,	একলা,	
nobotom,	নবতম,	নবতম,	
esasiyetasa,	এসজিিটট,	এসোসিয়েটস,	
hooq,	হোক,	হুক,	
carlas,	কার্লস,	কার্লোস,	
eshoshiyetasha,	এসোবিয়তস,	এসোসিয়েটস,	
mufti,	মুফটি,	মুফতি,	
moushum,	মৌশুম,	মৌসুম,	
senabahineeow,	সেনাবাহিনীর,	সেনাবাহিনীও,	
pooding,	পুডিং,	পুডিং,	
setite,	সেটিতে,	সেটিতে,	
olpokichudin,	অল্পকিকিন্দি,	অল্পকিছুদিন,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
mauhajote,	মহাজততে,	মহাজোট,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
byanger,	ব্যাঙ্গের,	ব্যাঙের,	
niketon,	নিকেটন,	নিকেতন,	
khannkaj,	খননকাজ,	খননকাজ,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
chidropathe,	চিদ্রপাথে,	ছিদ্রপথে,	
pachchen,	পাঁছেন,	পাচ্ছেন,	
asovyo,	অসভ্য,	অসভ্য,	
deelibhara,	ডিলিভার,	ডেলিভার,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
pujito,	পুজিত,	পুজিত,	
jor,	জোর,	জ্বর,	
kranti,	ক্রান্তি,	ক্রান্তি,	
americar,	আমেরিকার,	আমেরিকার,	
bhogini,	ভগগিনী,	ভগিনী,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
treta,	ট্রেট,	ত্রেতা,	
bohudeen,	বহুদিন,	বহুদিন,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
messenger,	মেশেঙ্গের,	মেসেঞ্জার,	
ministerer,	মিনিস্টরের,	মিনিস্টারের,	
tuneta,	টুনেতা,	টুনাইট,	
baarbadoj,	বারবাদজ,	বার্বাডোজ,	
nirupito,	নিরূপিত,	নিরূপিত,	
jolrong,	জলররং,	জলরঙ,	
totenhaamer,	তততিহাঁে,	টটেনহামের,	
cbi,	এিএি,	সিবিআই,	
laishenshe,	লেশেন্স,	লাইসেন্স,	
bikaargrasta,	বিকরাগর্্স,	বিকারগ্রস্ত,	
tetela,	টেটেল,	টাইটেল,	
xpresion,	ক্র্সিশন,	এক্সপ্রেশন,	
jati,	জাতি,	যাতি,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
cada,	কোড,	কোডা,	
ojouno,	অযৌনও,	অযৌন,	
sloker,	স্লকের,	শ্লোকের,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
niropeksh,	নিরপ্কেস,	নিরপেক্ষ,	
shomratder,	সম্রাত্দের,	সম্রাটদের,	
dii,	দি,	দিই,	
temoni,	তেমনই,	তেমনই,	
labonaktatar,	লবনাক্ততা,	লবণাক্ততার,	
shrimati,	শ্রীমতী,	শ্রীমতি,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
grambasider,	গ্রমবাসীদের,	গ্রামবাসীদের,	
ruteen,	রুটিন,	রুটিন,	
srichoitonnodeb,	শ্রীমতনন্বতে,	শ্রীচৈতন্যদেব,	
niketoner,	নিকেটনের,	নিকেতনের,	
amor,	আমর,	আমর,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
akhandota,	অখান্দতা,	অখণ্ডতা,	
caramiks,	কারামিক্স,	সিরামিকস,	
carpeet,	কারপিত,	কার্পেট,	
taimas,	টাইমস,	টাইমস্,	
bashite,	বাঁিতে,	বাঁশিতে,	
township,	টাউশ্প,	টাউনশিপ,	
janoganonar,	জনগণনার,	জনগণনার,	
daaktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
hoomasa,	হোমাস,	হোমস,	
modelkey,	মোদেলকে,	মডেলকে,	
niutrinoo,	নিউট্রিনও,	নিউট্রিনো,	
addhattik,	অধ্যাত্বিক,	আধ্যাত্মিক,	
eastar,	ইস্টার,	ইস্টার,	
taholo,	তহলও,	তাহলো,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
enamel,	এনামেল,	এনামেল,	
hajarti,	হাজারটি,	হাজারটি,	
dankaan,	ডাককান,	ডানকান,	
dholeshori,	ধরেশশরই,	ধলেশ্বরী,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
rabeta,	রবেটা,	রাবেতা,	
manabsamajer,	মানবসম্জের,	মানবসমাজের,	
opohoronn,	অপহরণ,	অপহরন,	
ralf,	রলফ,	রালফ,	
siqar,	সিকার,	শিকার,	
procharona,	প্রচারণা,	প্রচারণা,	
anhu,	অনু,	আনহু,	
chaalke,	চালকে,	চালকে,	
balokarok,	বালকারক,	বলকারক,	
sontoshe,	সন্তোষে,	সন্তোষে,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
dijeejer,	দিজিজের,	ডিজিজের,	
phemale,	ফেমালে,	ফিমেল,	
tanoo,	তানু,	তনু,	
chani,	চানী,	ছানি,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
roomantik,	রুমান্তিক,	রোমান্টিক,	
maladobha,	মালদাভা,	মলদোভা,	
modelti,	মডেলটি,	মডেলটি,	
santani,	সন্তানি,	সনাতনী,	
samaptir,	সমাপতির,	সমাপ্তির,	
kompekt,	কমপেক্ট,	কমপ্যাক্ট,	
santose,	সন্ততে,	সন্তোষে,	
abhisongson,	অভিসংসন,	অভিশংসন,	
vittimul,	ভিত্মিমুল,	ভিত্তিমূল,	
homsher,	হমসের,	হোমসের,	
aagom,	আগম,	আগম,	
oichchhik,	উচিচিক,	ঐচ্ছিক,	
dinara,	ডিনার,	ডিনার,	
jolatongko,	জলাতঙংক,	জলাতঙ্ক,	
jalarong,	জলররং,	জলরঙ,	
taffsherer,	তাফফারের,	তাফসীরের,	
nowel,	নোভেল,	নভেল,	
dhauta,	ধাউট,	ধৌত,	
aasirbaad,	আশির্বাদ,	আশির্বাদ,	
bandhubhabaponno,	বন্ধুবনসভান,	বন্ধুভাবাপন্ন,	
bivonno,	বিভন্য,	বিভন্ন,	
rooplal,	রূপলাল,	রূপলাল,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
recondition,	রেমন্ডিশন,	রিকন্ডিশন,	
dharabahiktir,	ধারাবাকিতির,	ধারাবাহিকটির,	
ramantic,	রামানাটিক,	রোমান্টিক,	
prabhu,	প্রভূ,	প্রভু,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
saccar,	সক্কার,	সকার,	
anchalti,	আঞ্চলি,	অঞ্চলটি,	
shtena,	স্টেন,	স্টেন,	
kathmandute,	কথনমদন্তুতে,	কাঠমান্ডুতে,	
creedit,	ক্রিডিত,	ক্রেডিট,	
aajiboner,	আজিবনের,	আজীবনের,	
maniktala,	ম্যাকিটকাল,	মানিকতলা,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
nadike,	নাদিকে,	নদীকে,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
ashiatic,	আশিয়েটিক,	এশিয়াটিক,	
ghoomachhilo,	ঘুম্ছিল,	ঘুমাচ্ছিল,	
fokskon,	ফক্সক,	ফক্সকন,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
charjara,	চারজারা,	চার্জার,	
hajat,	হাজত,	হজত,	
manbey,	মানবে,	মানবে,	
sohokari,	সহকারি,	সহকারী,	
gonocheen,	গণচীন,	গণচীন,	
bishrinkhala,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
jonmato,	জন্মতত,	জন্মাত,	
steitt,	স্টেট,	স্টেইট,	
zuboke,	যুবকে,	যুবকে,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
istan,	ইস্তন,	স্টোন,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
konoroop,	কনররুপ,	কোনরূপ,	
uparjon,	উপারজন,	উপার্জন,	
khali,	খালী,	খালি,	
manahputo,	মনাহপুত,	মনঃপুত,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
machder,	মাঁদের,	মাছদের,	
jeebonjaapon,	জীবনযাপাপন,	জীবনযাপন,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
tinbhager,	তিনভাগের,	তিনভাগের,	
sotorkota,	সতরতকটা,	সতর্কতা,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
venus,	ভেনাস,	ভেনাস,	
kyapashula,	ক্যাপাসুলা,	ক্যাপসুল,	
armenan,	আর্মেনন,	আর্মেনিয়ান,	
romnar,	রমমার,	রমনার,	
byatikramdharmi,	ব্যাতিক্রমধ্যমীর,	ব্যতিক্রমধর্মী,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
laisensa,	লাইসন্স,	লাইসেন্স,	
attacharito,	আত্মচরিত,	অত্যাচারিত,	
sumee,	সুমি,	সুমি,	
ovishangson,	অভিসংসন,	অভিশংসন,	
karmer,	কর্মের,	কর্মের,	
gosti,	গোসটি,	গোষ্ঠী,	
taivan,	তাইভান,	তাইওয়ান,	
pleta,	প্লেট,	প্লেট,	
syfy,	সিফি,	সাইফাই,	
nesans,	নেসান্স,	নেশনস,	
sahokaree,	সহকারি,	সহকারী,	
bupher,	বুফার,	বাফার,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
bagdad,	বাগদাদ,	বাগদাদে,	
torcarir,	তরকারির,	তরকারীর,	
institutioney,	ইন্সটিটুশনে,	ইনস্টিটিউশনে,	
jetam,	জেতম,	যেতাম,	
uchchataro,	উচ্চতর,	উচ্চতর,	
shefa,	সেফ,	শেফ,	
farid,	ফরিদ,	ফরিদ,	
sqalarashipa,	স্কলরাশিপ,	স্কলারশিপ,	
songhitar,	সংঘীতার,	সংহিতার,	
kkompito,	কম্পিত,	কম্পিত,	
sibraz,	শিবরাজ,	শিবরাজ,	
vince,	ভিন্স,	ভিন্স,	
rubeta,	রুবতা,	রাবেতা,	
chalachchitra,	চলচিত্র,	চলচ্চিত্র,	
batikromshali,	ব্যাত্রমশালী,	ব্যতিক্রমধর্মী,	
modelin,	মোডেলিন,	মডেলিং,	
ahalyar,	আহল্যার,	অহল্যার,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
chalake,	চালাকে,	চালকে,	
sikar,	সিকার,	শিকার,	
bipozzonok,	বিপজজনক,	বিপজ্জনক,	
ghamtaa,	ঘম্টা,	ঘোমটা,	
dhyaan,	ধ্যান,	ধ্যান,	
teemplatee,	টেম্পলতি,	টেম্পলেট,	
brooklyn,	ব্রোকলিন,	ব্রুকলিন,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
utpatti,	উৎপত্তি,	উতপত্তি,	
bolechi,	বলেছি,	বলেছি,	
antarctikar,	অন্তর্কটিকার,	অ্যান্টার্কটিকার,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
omarjeeto,	অমারজিত,	অমার্জিত,	
hafsa,	হাফস,	হাফসা,	
