tokei,	তোকেই,	ত্বকেই,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
ekatto,	একত্ব,	একাত্ব,	
barakpur,	ব্যাকারপুর,	বারাকপুর,	
steit,	স্টেইট,	স্টেইট,	
confliqt,	কনফাল্ক্ট,	কনফ্লিক্ট,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
ogovir,	অগভীর,	অগভীর,	
hugheke,	হুঘেকে,	হিউজকে,	
janasamaj,	জনসমাজ,	জনসমাজ,	
assastikar,	অস্বাস্তিকর,	অস্বস্তিকর,	
puzito,	পূজিত,	পুজিত,	
moshzidke,	মস্বিদকে,	মসজিদকে,	
the,	ঠে,	থাই,	
niqela,	নিকেলা,	নিকেল,	
scholastic,	স্কলসিটিক,	স্কলাস্টিক,	
hotodoridro,	হততরদদরর,	হতদরিদ্র,	
hughes,	হুঘেছ,	হিউজেস,	
hazarer,	হাজরের,	হাজারের,	
potkaa,	পটকা,	পটকা,	
skirt,	স্কার্ট,	স্কার্ট,	
hafsa,	হাফসা,	হাফসা,	
adhunik,	অধুনিক,	আধুনিক,	
tyunar,	টুনার,	টিউনার,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
timothi,	তিমথি,	টিমোথি,	
baharampoorer,	বহরামপুরের,	বহরমপুরের,	
parry,	প্যারী,	পেরি,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
bu,	বু,	বু,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
karlasa,	কার্লস,	কার্লোস,	
dibaag,	দিবাগ,	ডিবাগ,	
shikkhakke,	শিক্ষাককে,	শিক্ষককে,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
istara,	ইস্টার,	ইস্টার,	
kredita,	ক্রেডিত,	ক্রেডিট,	
ashangka,	অসং্ক,	আশংকা,	
baarder,	বার্ডের,	বার্ডের,	
bajite,	বাজিতে,	বাজিতে,	
oddure,	অদ্রু,	অদুরে,	
ancholeo,	আঞ্চলেও,	অঞ্চলেও,	
kailas,	কৈলাস,	কৈলাস,	
poster,	পোস্টার,	পোস্টের,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
postake,	পো্তাকে,	পোস্টকে,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
ralof,	রলফ,	রালফ,	
byabaharkarie,	ব্যবহারকারি,	ব্যবহারকারীই,	
spreadshiit,	স্প্রদিশিত,	স্প্রেডশীট,	
malaika,	মালাইক,	মালাইকা,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
bhoolapuka,	ভূলাপুকা,	ভোলাপুক,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
dhormee,	ধর্মি,	ধর্মী,	
shobnom,	শবন্নম,	শবনম,	
dajjha,	দজজা,	দাহ্য,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
haridware,	হারিড্যার,	হরিদ্বারে,	
sorsa,	সর্ষা,	সোর্স,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
durotomm,	দুরতম,	দূরতম,	
jyestha,	জ্যাস্থা,	জ্যেষ্ঠা,	
prettii,	প্রেতি,	প্রিটি,	
toki,	টকি,	তকি,	
mette,	মেটে,	ম্যাট,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
cinematographar,	সিনেমোগ্রাফির,	সিনেমাটোগ্রাফার,	
charrjer,	চার্যের,	চার্জের,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
hundayi,	হান্ডেই,	হুন্দাই,	
gronther,	গ্রন্থের,	গ্রন্থের,	
sorajur,	সরাজুর,	সরযূর,	
khali,	খালী,	খালি,	
meghe,	মেঘে,	মেঘে,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
vobanir,	ভবানীর,	ভবানীর,	
gora,	গোর,	গোর,	
porishongkhanbid,	পরিষংক্ষণবিদ,	পরিসংখ্যানবিদ,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
bishwasho,	বিশ্বাসও,	বিশ্বাসও,	
swajaner,	স্বজনের,	স্বজনের,	
skarrt,	স্কার্ট,	স্কার্ট,	
mithener,	মিথেনের,	মিথেনের,	
veenus,	ভিনুস,	ভেনাস,	
durgoto,	দুর্গত,	দূর্গত,	
dibating,	ডিবটিং,	ডিবেটিং,	
nazad,	নজদ,	নজদ,	
peethey,	পেথে,	পীঠে,	
moqam,	মোকাম,	মোকাম,	
jibnagar,	জীবনগর,	জীবননগর,	
parishrom,	পরিশ্রম,	পরিশ্রম,	
dinara,	দিনারা,	ডিনার,	
rupantor,	রূপান্তর,	রুপান্তর,	
qloud,	ক্লদ,	ক্লাউড,	
ganona,	গণনা,	গননা,	
osoborno,	অসবর্ন,	অসবর্ণ,	
mmadhobbir,	মাধবোবীর,	মাধবীর,	
netherlandey,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
munshi,	মুনশী,	মুন্সী,	
iranayer,	ইরানের,	ইরানের,	
pramathesh,	প্রমথেেশ,	প্রমথেশ,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
sotorkobhabe,	সত্রকভাবে,	সতর্কভাবে,	
nek,	নেক,	নেক,	
silbhee,	সিলভী,	সিলভি,	
probeshan,	প্রবেশন,	প্রবেশন,	
abhidhaner,	অভিধানের,	অভিধানের,	
bandra,	বান্দ্র,	বন্দীরা,	
abhijojan,	অভিযুজন,	অভিযোজন,	
ekbakke,	একবাকে,	একবাক্যে,	
prakalpagulor,	প্রক্লপাগুলোর,	প্রকল্পগুলোর,	
chalabe,	চালাবি,	চালাবে,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
mukherji,	মুখার্জি,	মুখার্জী,	
cruce,	ক্রুস,	ক্রুশ,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
rigthter,	রিঘটের,	রাইটের,	
muhurtoti,	মুহুর্তটি,	মুহুর্তটি,	
weenis,	উইনিস,	ভেনিস,	
sikhra,	শিখরা,	শিখরা,	
goroor,	গরুর,	গরুর,	
bahaati,	বাহাতি,	বাহাতি,	
azijer,	আজিজের,	আজিজের,	
jonoika,	যননিকা,	জনৈকা,	
dines,	ডাইনিস,	দীনেশ,	
pallar,	পললার,	পাল্লার,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
vaabnar,	ভাবনার,	ভাবনার,	
sayid,	সাঈদ,	সাইদ,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
mesenzar,	মেজেন্জার,	মেসেঞ্জার,	
sangasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
grontho,	গ্রন্থ,	গ্রন্থ,	
shajano,	শাজানো,	সাজানো,	
jubokti,	যুবক্তি,	যুবকটি,	
natshi,	নাৎসি,	নাত্সি,	
karmer,	কর্মের,	কর্মের,	
ghumachchilo,	ঘুমাছিলো,	ঘুমাচ্ছিল,	
temonyi,	তেমনই,	তেমনই,	
ottacharito,	অত্তাচারিত,	অত্যাচারিত,	
atwabishvashi,	অত্ববিবাসী,	আত্মবিশ্বাসী,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
alpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
prabhritike,	প্রহ্রীতিকে,	প্রভৃতিকে,	
chhayi,	ছাই,	ছাই,	
toronee,	তরণী,	তরণী,	
poriskoron,	পরিস্কারণ,	পরিষ্করণ,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
kartona,	কর্তন,	করতনা,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
phuda,	ফুড,	ফুড,	
dharavahikbhabe,	ধারাভাভিকভাবে,	ধারাবাহিকভাবে,	
conserwation,	কনাারিজেশন,	কনসারভেশন,	
karmasampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
funding,	ফান্ডিং,	ফান্ডিং,	
gabeshanar,	গবেষণার,	গবেষনার,	
gatibege,	গতিবেগে,	গতিবেগে,	
nandolal,	নন্দোলাল,	নন্দলাল,	
swalpo,	স্বল্প,	স্বল্প,	
debdebi,	দেবদেবি,	দেবদেবী,	
bossonto,	বস্নত,	বসন্ত,	
taholei,	তহলেই,	তাহলেই,	
dhruboker,	ধ্রবকের,	ধ্রুবকের,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
jaak,	যাক,	জাঁক,	
jonosanjog,	জনসাযোগগ,	জনসংযোগ,	
gonona,	গণনা,	গননা,	
shikarder,	স্কারদের,	শিকারদের,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
shcholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
aansareer,	আনসারির,	আনসারীর,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
thare,	থেয়ার,	থরে,	
adbhanced,	অ্যাডভেঞ্ডেড,	অ্যাডভান্সড,	
pudim,	পুদিম,	পুডিং,	
chalta,	চলতো,	চালতা,	
pingna,	পিঙ্ন,	পিংনা,	
prabhritir,	প্রভৃতির,	প্রভৃতির,	
jaanar,	জানার,	জানার,	
shamuk,	স্মাকু,	শামুক,	
lojic,	লোজিক,	লজিক,	
vagadada,	ভাগাদাদা,	বাগদাদ,	
shuperhero,	সুপারেরও,	সুপারহিরো,	
moochi,	মুচি,	মুচি,	
jaatte,	যাততে,	জাতটি,	
jarmaniteo,	জার্মানিতে,	জার্মানিতেও,	
clause,	ক্লাউস,	ক্লজ,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
manohar,	মনোহার,	মনোহর,	
groowth,	গ্রুথ,	গ্রোথ,	
alkatra,	আলকাত্র,	আলকাতরা,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
laagto,	লাগো,	লাগতো,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
dover,	ডভার,	ডোভার,	
ghaghat,	ঘঘঘাট,	ঘাঘট,	
madhukori,	মধুকরী,	মাধুকরী,	
kyashpar,	ক্যাসপার,	ক্যাসপার,	
joisttho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
carlos,	চার্লস,	কার্লোস,	
pacbar,	পাঁবার,	পাঁচবার,	
bonoshri,	বনস্রী,	বনশ্রী,	
transformarer,	ট্রান্সফর্মারের,	ট্রান্সফরমারের,	
builder,	বিল্ডার,	বিল্ডার,	
esasiyetasa,	এসাইসিটস,	এসোসিয়েটস,	
domone,	ডমনে,	দমনে,	
muhit,	মুহিত,	মুহিত,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
phashtara,	ফাস্টার,	ফস্টার,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
kulim,	কুলিম,	কুলিং,	
soptahokal,	সপ্তাপকাল,	সপ্তাহকাল,	
rikondison,	রিকোন্ডিশন,	রিকন্ডিশন,	
bolvodro,	বলভদ্র,	বলভদ্র,	
quata,	কোয়োট,	কোটা,	
praapokke,	প্রাপককে,	প্রাপককে,	
prakalpoguli,	প্রক্লপগুলি,	প্রকল্পগুলি,	
ajijoor,	আজিজুর,	আজিজুর,	
nirapekkho,	নিরাপেক্ষ,	নিরপেক্ষ,	
russad,	রাশদা,	রুশদ,	
neermol,	নির্মল,	নির্মল,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
daakten,	ডাকতেন,	ডাকতেন,	
mousumer,	মৌুউমের,	মৌসুমের,	
toroonderke,	তর্ন্দেরকে,	তরুণদেরকে,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
shaaroker,	স্বরকের,	স্মারকের,	
window,	উইন্ডো,	উইন্ডো,	
taunashhipa,	টানশিপ,	টাউনশিপ,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
korkotkraanti,	কর্কাকটন্তি,	কর্কটক্রান্তি,	
syutara,	স্যুটার,	শ্যুটার,	
gabeshana,	গবেষণা,	গবেষনা,	
bondiira,	বন্দীরা,	বন্দীরা,	
zommu,	জমমু,	জম্মু,	
shashoto,	শাসতো,	শাশ্বত,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
patishapta,	পতিস্পা,	পাটিসাপটা,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
doonata,	ডোনাটা,	ডোনাট,	
