ghumato,	ঘুমত,	ঘুমাতো,	
bhittiti,	ভিটিটি,	ভিত্তিটি,	
horidar,	হরিদার,	হরিদ্বার,	
taurist,	টোরিস্ট,	টুরিস্ট,	
adhito,	অধিত,	অধীত,	
mase,	মাশে,	মাসে,	
kutir,	কুটির,	কুটির,	
bikaargrasta,	বিকাসগ্রস্ট,	বিকারগ্রস্ত,	
phutanto,	ফুতন্ত,	ফুটন্ত,	
bolechi,	বলেছি,	বলেছি,	
charjara,	চার্জারা,	চার্জার,	
jarul,	জরুল,	জারুল,	
iukyaliptasa,	উউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
eenameela,	ইনমেলাল,	এনামেল,	
sarbharti,	সর্বর্তী,	সার্ভারটি,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
qibord,	কিবোর্ড,	কীবোর্ড,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
kkompito,	কম্পিট,	কম্পিত,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
dhoorer,	ধরের,	ধরের,	
samosher,	সমসের,	সমশের,	
twoei,	ত্বইই,	ত্বকেই,	
muhit,	মুহিত,	মুহিত,	
kade,	কাডে,	কোড,	
muhurtoti,	মুহুরত্বীত,	মুহুর্তটি,	
orthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
felto,	ফেলট,	ফেলত,	
coda,	কোড,	কোডা,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
agora,	আগোরা,	আগোরা,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
change,	চঙ্গে,	চেঞ্জ,	
meeting,	মেটিং,	মিটিং,	
zoneete,	জনিতে,	যোনীতে,	
chanoo,	চানু,	চানু,	
natians,	নটশন্যস,	নেশনস,	
shatan,	শতান,	শয়তান,	
gononanatyo,	গণণান্ত,	গণনাট্য,	
bikretader,	বিক্রাতাদের,	বিক্রেতাদের,	
poorohitra,	পুরোহিত্রা,	পুরোহিতরা,	
fokskon,	ফক্ষণ,	ফক্সকন,	
cholochchitreo,	চলচ্ছিত্রে,	চলচ্চিত্রেও,	
debug,	দেবগু,	ডিবাগ,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
marathi,	মারাঠী,	মরাঠি,	
quary,	কায়ারি,	কোয়েরি,	
rajotta,	রাজত্তা,	রাজত্ব,	
komandar,	কমান্ডার,	কমাণ্ডার,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
vodka,	ভোাকা,	ভদকা,	
doobhara,	দুভার,	ডোভার,	
rothin,	রথিন,	রথীন,	
hisabke,	হিসববকে,	হিসাবকে,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
de,	দে,	ডে,	
turkider,	তুর্কীদের,	তুর্কিদের,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
somosto,	সমস্ত,	সমস্ত,	
gage,	গেজ,	গেজ,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
homske,	হোম্কে,	হোমসকে,	
shoili,	সৈলি,	শৈলী,	
potkaa,	পটকা,	পটকা,	
sawam,	স্যামা,	সাওম,	
maila,	মইল,	মাইল,	
fevarite,	ফেভারিতে,	ফেভারিট,	
langhan,	লঙ্ঘন,	লংঘন,	
sten,	স্টেন,	স্টেন,	
nikat,	নিকাত,	নিকট,	
shift,	শিফ্ট,	শিফট,	
samudratate,	সমুদ্রতা,	সমুদ্রতটে,	
qaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
ghantiti,	ঘননটিি,	ঘাঁটিটি,	
shangsthatir,	সংস্থটির,	সংস্থাটির,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
porbotmala,	পর্বতম্াল,	পর্বতমালা,	
obharbhiu,	অভ্রাভি,	ওভারভিউ,	
tinhajar,	তিনহাজার,	তিনহাজার,	
sosharire,	শশারারী,	সশরীরে,	
makhmale,	মক্মলে,	মখমলে,	
steen,	স্টিন,	স্টেন,	
chhatta,	ছটট,	ছোট্ট,	
nesnos,	নেনসন,	নেশনস,	
nirbaha,	নির্বাহ,	নির্বাহ,	
bhugarbhe,	ভুগরেভে,	ভূগর্ভে,	
eekbalke,	একবালকে,	ইকবালকে,	
puzito,	পুজিত,	পুজিত,	
mohiboor,	মহিবুর,	মহিবুর,	
haitasa,	হইঅটস,	হাইটস,	
mousumei,	মৌশমেই,	মৌসুমেই,	
kalniir,	কালনীর,	কালনীর,	
bager,	বাযাজার,	বাগের,	
muladee,	মুলাদী,	মুলাদি,	
pathkromer,	পাঠ্রমের,	পাঠক্রমের,	
ponjeekaar,	পণ্জিকার,	পঞ্জিকার,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
prosadhoni,	প্রসাধানী,	প্রসাধনী,	
homasha,	হোমস,	হোমস,	
shefa,	শেফ,	শেফ,	
nursery,	নার্সারী,	নার্সারি,	
joubonbotee,	যৌবনততী,	যৌবনবতী,	
poshte,	পোষ্টে,	পোষ্টে,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
pravur,	প্রভূর,	প্রভুর,	
suparahira,	সুপারীহার,	সুপারহিরো,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
ibhara,	ইভার,	এভার,	
torkarir,	তরকারীর,	তরকারীর,	
degree,	ডিগ্রী,	ডিগ্রি,	
basalt,	বাসলট,	ব্যাসল্ট,	
greep,	গ্রিপ,	গ্রিপ,	
sikarder,	সিকারদের,	শিকারদের,	
dinesh,	ডাইনেজ,	দীনেশ,	
pratimar,	প্রতিমার,	প্রতিমার,	
hiper,	হিপার,	হাইপার,	
taler,	টেলার,	তালের,	
mirakela,	মারেকেল,	মিরাকেল,	
bhognee,	ভগ্নি,	ভগ্নী,	
khali,	খালী,	খালি,	
foolkopi,	ফুলকপি,	ফুলকপি,	
murader,	মুরাদের,	মুরাদের,	
kindom,	কিন্দম,	কিংডম,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
ruby,	রাবি,	রুবি,	
byabaharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
vip,	বিপ,	ভিআইপি,	
satjoner,	সতজনের,	সাতজনের,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
dwipei,	দ্বীপে,	দ্বীপেই,	
cholochchitratike,	চলচ্চিত্রিটকে,	চলচ্চিত্রটিকে,	
thatchar,	টটচার,	থ্যাচার,	
catholicder,	কাযালিলিদদের,	ক্যাথলিকদের,	
rahi,	রহি,	রাহী,	
maroofer,	মারুফের,	মারুফের,	
plainti,	প্লেন্টি,	প্লেনটি,	
aabarte,	আবর্তে,	আবর্তে,	
prothakey,	প্রাাকে,	প্রথাকে,	
bishshaasho,	বিশ্বাসও,	বিশ্বাসও,	
sahokari,	সহকারী,	সহকারী,	
patjata,	পাঁজতা,	পাটজাত,	
koota,	কোটা,	কোটা,	
pitthey,	পিঠে,	পীঠে,	
vezano,	ভেজানো,	ভেজানো,	
gasthii,	গ্যাঠি,	গোষ্ঠীই,	
madaspushto,	মাদাসপু্ত,	মদদপুষ্ট,	
tecnocrat,	টেকনোর্ট,	টেকনোক্র্যাট,	
vageryi,	ভাগরেই,	ভাগেরই,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
dacop,	ডাকাপ,	দাকোপ,	
milea,	মিলেল,	মাইলে,	
patthkrom,	পাঠ্রম,	পাঠক্রম,	
mangalik,	মঙ্গালিক,	মাঙ্গলিক,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
mohajote,	মহাজতে,	মহাজোট,	
taioyana,	তাইয়ান,	তাইওয়ান,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
deeares,	ডিরেশ,	ডিআরএস,	
grambasheeo,	গ্রামশাবী,	গ্রামবাসীও,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
dayra,	দারো,	ডেরা,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
falkati,	ফলকাটি,	ফলকটি,	
jonesh,	জনন,	জোন্স,	
dorgaho,	দর্গাহ,	দরগাহ,	
hizritey,	হিজরিতে,	হিজরীতে,	
selina,	সেলিনা,	সেলিনা,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
bilati,	বিলাটি,	বিলাতী,	
patengar,	পাটেনার,	পতেঙ্গার,	
showte,	শুট,	শোতে,	
samajik,	সামাজিক,	সামাজিক,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
karu,	কারু,	কারো,	
sanghitar,	সংহীতার,	সংহিতার,	
anchalo,	আঞ্চলো,	অঞ্চলও,	
muktume,	মুক্তমে,	মাকতুম,	
madhoboir,	মাধববর,	মাধবীর,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
neshanasa,	নেশানস,	নেশনস,	
varma,	ভার্মা,	ভার্মা,	
licencedhari,	লাইনেচারারী,	লাইসেন্সধারী,	
mousumti,	মৌসটি,	মৌসুমটি,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
jyaqa,	জ্যাক,	জ্যাক,	
aakabaar,	আকাবার,	আকাবার,	
apoharon,	অপহহণ,	অপহরন,	
bolechile,	বলেছিলে,	বলেছিলে,	
kamij,	কমিজ,	কামিজ,	
spreedashita,	স্প্রেশাদিস,	স্প্রেডশীট,	
sikkhakke,	শিক্ষাককে,	শিক্ষককে,	
bihar,	বিহার,	বিহার,	
pratisthanikvabey,	প্রতিষ্ঠানিকাবে,	প্রাতিষ্ঠানিকভাবে,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
volte,	ভললে,	ভল্ট,	
prety,	প্রেটি,	প্রিটি,	
kanaflikta,	কনফালিক্ত,	কনফ্লিক্ট,	
nirapottamulak,	নিরত্তমূমক,	নিরাপত্তামূলক,	
informetion,	ইনফর্মিশন,	ইনফরমেশন,	
saqara,	সকরা,	সকার,	
pro,	প্র,	প্রো,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
jomaanor,	জমানোর,	জমানোর,	
laishensha,	লাইনেশ,	লাইসেন্স,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
taat,	তাট,	তাত,	
jyaqasana,	জ্যাকাশন,	জ্যাকসন,	
quoota,	কুউটা,	কোটা,	
pyor,	প্যার,	পিওর,	
dasha,	দশা,	দোসা,	
chiroharit,	চিহররীত,	চিরহরিৎ,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
smarak,	স্মরক,	স্মারক,	
gadha,	গাধা,	গাধা,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
naazee,	নাজী,	নাত্সি,	
rena,	রেনা,	রেনো,	
tafsherer,	তফসারের,	তাফসীরের,	
shatoke,	শতকে,	শতকে,	
olpoi,	অলপাই,	অল্পই,	
mett,	মেট,	ম্যাট,	
tempaleta,	টেম্পালেট,	টেম্পলেট,	
artillary,	আর্টিলার,	আর্টিলারি,	
kingdam,	কিংমা,	কিংডম,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
atyacharita,	অট্যাচারিত,	অত্যাচারিত,	
paner,	পানের,	পানের,	
foxkon,	ফক্ষণ,	ফক্সকন,	
sachetanotamulak,	সচ্ছতনামূলক,	সচেতনতামূলক,	
durga,	দুর্গা,	দুর্গ,	
sohopatheekey,	সহপািকে,	সহপাঠীকে,	
doojoo,	দুজও,	ডোজো,	
tat,	তৎ,	তাত,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
hiragaana,	হিরাগান,	হিরাগানা,	
chittronattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
karir,	করির,	কারীর,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
roktokkoron,	রক্তককরণ,	রক্তক্ষরণের,	
tukroti,	টুক্রটি,	টুকরোটি,	
sorsa,	সর্্া,	সোর্স,	
mugdhata,	মুগ্ধতা,	মুগ্ধতা,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
sampadan,	সম্পদন,	সম্পাদন,	
kale,	কালে,	কালে,	
chalochchitreei,	চলচ্চিত্রী,	চলচ্চিত্রেই,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
edaning,	এডানিং,	ইদানিং,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
noditi,	নদীতি,	নদীটি,	
sthapanatir,	স্থাপনার,	স্থাপনাটির,	
prakalpaguli,	প্রক্লপগুলি,	প্রকল্পগুলি,	
purple,	পার্পল,	পার্পেল,	
