nirarthak,	নিরর্থ,	নিরর্থক,	
prakalpogulor,	প্রক্লপুলোর,	প্রকল্পগুলোর,	
anyarup,	অন্যারুপ,	অন্যরূপ,	
armeeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
ishan,	ইসন,	ঈশান,	
mukhabandho,	মুখাবন্ধ,	মুখবন্ধ,	
monjiley,	মন্জিলে,	মঞ্জিলে,	
aziz,	আজিজ,	আজিজ,	
sikkhokbreendo,	শিক্ষ্যার্ণে,	শিক্ষকবৃন্দ,	
sachetanotamulak,	স্যাতেমন্যমূলক,	সচেতনতামূলক,	
bordhitangso,	বর্ধিত্ং,	বর্ধিতাংশ,	
bota,	বতা,	বটা,	
rubio,	রূবি,	রুবিও,	
shrabastee,	শ্রবাস্তি,	শ্রাবস্তী,	
bhittimul,	ভিত্মিল,	ভিত্তিমূল,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
she,	সে,	সে,	
shodhon,	সধধন,	শোধন,	
noditike,	নদিতিকে,	নদীটিকে,	
nodnadir,	ননদ্দীর,	নদনদীর,	
dackop,	ডাকপ,	দাকোপ,	
muhurto,	মুহর্ত,	মুহুর্ত,	
daap,	দাপ,	ড্যাপ,	
kana,	কান,	কণা,	
tookror,	তুকরর,	টুকরোর,	
sathikata,	সথিকা,	সঠিকতা,	
jerushalem,	জারুসলেম,	জেরুসালেম,	
amitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
aakkas,	আককাস,	আককাস,	
aaeereshe,	আইরেশে,	আইরেসে,	
saurse,	সার্সে,	সোর্স,	
gatrey,	গাত্রে,	গাত্রে,	
bhatar,	ভাতার,	ভাতার,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
bidghutey,	বিধুঘতে,	বিদঘুটে,	
ponni,	পন্নি,	পন্নী,	
torkaryr,	তরকারির,	তরকারীর,	
jess,	জেস্স,	জেস,	
shhikar,	শিকার,	শিকার,	
annimated,	অন্নিমেতে,	এনিমেটেড,	
moqam,	মোকাম,	মোকাম,	
naran,	নরর,	নরেন,	
bisnoo,	বিষ্ণ,	বিষ্ণু,	
motar,	মোটার,	মুতার,	
categoryr,	ক্যাগিরির,	ক্যাটাগরির,	
sachetanvabe,	সাচ্তেনভাবে,	সচেতনভাবে,	
obie,	অবি,	ওবিই,	
fixing,	ফিইং,	ফিক্সিং,	
vagini,	ভাগীনি,	ভগিনী,	
ganohatyar,	গণহাত্যার,	গণহত্যার,	
sajanor,	সাজনর,	সাজানোর,	
tigers,	টিজার্স,	টাইগার্স,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
sachetonbhabe,	সাচেতনভাবে,	সচেতনভাবে,	
sushiksar,	সুশিক্র,	সুশিক্ষার,	
chhutee,	ছুটি,	ছুটি,	
shaahaab,	সাহাব,	সাহাব,	
phareeksa,	ফারিক্স,	ফরেক্স,	
songostha,	সংস্ঠ,	সংস্থা,	
ramantika,	রামান্তিক,	রোমান্টিক,	
fern,	ফের্ন,	ফার্ন,	
anupater,	অনুপতের,	অনুপাতের,	
cholocchitrotike,	চলচচ্ততিরকে,	চলচ্চিত্রটিকে,	
nilkomol,	নিলকমল,	নীলকমল,	
bashoborty,	বাসবর্তি,	বশবর্তী,	
grawth,	গ্রাথ,	গ্রোথ,	
muhu,	মুহু,	মুহু,	
debdebier,	দেব্বীবের,	দেবদেবীর,	
gazipore,	গাজীপরে,	গাজীপুর,	
bossonto,	বস্্ন্ত,	বসন্ত,	
upobaasher,	উপবাসের,	উপবাসের,	
bane,	বানে,	বনে,	
khodeza,	খোদেজ,	খোদেজা,	
kirkuk,	কিরুক,	কিরকুক,	
shahoshikatar,	সাহসিকাতার,	সাহসিকতার,	
sikha,	সিখ,	শিখ,	
sahoocorzoe,	সহহর্যো,	সাহচর্যে,	
puzito,	পুজিত,	পুজিত,	
license,	লিইন্সে,	লাইসেন্স,	
shahab,	শাবা,	সাহাব,	
sangrahak,	সংগরহা,	সংগ্রাহক,	
chowdhuryo,	চৌধ্র্য,	চৌধুরীও,	
yaak,	যাক,	ইয়াক,	
parry,	পারি,	পেরি,	
dearas,	ডিরাস,	ডিআরএস,	
chirokumari,	চিকরুমারী,	চিরকুমারী,	
shangkalone,	সংকালনে,	সংকলনে,	
dharabiktir,	ধরবাকিতির,	ধারাবাহিকটির,	
zealand,	জিলান্ড,	জিল্যান্ড,	
mittrota,	মিত্রতা,	মিত্রতা,	
chalachchitreo,	চললাচ্রিত্যে,	চলচ্চিত্রেও,	
dupleks,	ডুল্ক্স,	ডুপ্লে,	
siiteyi,	সিইটেই,	শীতেই,	
banduk,	বা্দুকু,	বন্দুক,	
thor,	থোর,	থর,	
chhatogolpe,	ছাতগললপে,	ছোটগল্পে,	
aameenar,	আমিনার,	আমিনার,	
attorkite,	আত্রকৃতে,	অতর্কিতে,	
ooporostho,	উপর্ষ্থ,	উপরস্থ,	
turkey,	তুরকে,	তুর্কি,	
engineering,	এংনেনিরিং,	ইঞ্জিনিয়ারিং,	
kadarer,	কাদারের,	কদরের,	
raia,	রাই,	রায়,	
maahe,	মাহে,	মাহে,	
hughke,	হুখকে,	হিউজকে,	
jestha,	জেস্থ,	জ্যেষ্ঠা,	
temonti,	টেমন্টি,	তেমনটি,	
tafasir,	তাফাসির,	তাফসীর,	
sarbharer,	সর্ভারের,	সার্ভারের,	
maricha,	মারিচ,	মরিচা,	
enamel,	এনামেল,	এনামেল,	
renoo,	রেনু,	রেনো,	
jaanachhe,	জানাছে,	জানাচ্ছে,	
vagni,	ভাগনি,	ভগ্নী,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
kulim,	কুলিম,	কুলিং,	
sector,	সেক্টর,	সেক্টর,	
chalochchitra,	চললচ্ত্র,	চলচ্চিত্র,	
qarqa,	কার্ক,	কার্ক,	
gaze,	গজে,	গেজ,	
odhito,	অধিত,	অধীত,	
jwoluk,	জ্বুলক,	জ্বলুক,	
besirbhagi,	বিশ্রভাগী,	বেশিরভাগই,	
khele,	খেলে,	খেলে,	
enashiyenta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
plena,	প্লেন,	প্লেন,	
abatar,	অবাতার,	অবতার,	
onnkita,	অন্কিত,	অঙ্কিতা,	
shosha,	শোষ,	শশা,	
rajtontrey,	রাজন্ত্রে,	রাজতন্ত্রে,	
chironton,	চির্ন্ত,	চিরন্তন,	
hundai,	হান্ডাই,	হুন্দাই,	
artilleri,	আর্টিললের,	আর্টিলারি,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
chilahaati,	চিলাহাতি,	চিলাহাটি,	
embeda,	এমেবে,	এম্বেড,	
unit,	উনিত,	ইউনিট,	
varshon,	ভার্ষন,	ভারশন,	
zerusalem,	জারুসলেল,	জেরুসালেম,	
ruble,	রুবলে,	রুবল,	
somoshtigoto,	সমস্তিত,	সমষ্টিগত,	
songosthatike,	সংস্্থাতিকে,	সংস্থাটিকে,	
shkalashtika,	স্কালাষ্টিক,	স্কলাস্টিক,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
bhumija,	ভূমিজ,	ভূমিজ,	
bulano,	বুলান,	বুলান,	
gorrer,	গর্রের,	গোরের,	
oitijjhey,	ঐতিযাজে,	ঐতিহ্যে,	
tennise,	টেননিসে,	টেনিসে,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
auxfordey,	আউস্র্ডে,	অক্সফোর্ডে,	
ibhaner,	ইভানের,	ইভানের,	
ghatla,	ঘটল,	ঘটল,	
mitro,	মিত্র,	মিত্র,	
dhhaby,	ধাবি,	ঢাবি,	
nodigulir,	নদিগুলির,	নদীগুলির,	
gosthike,	গোষ্তিকে,	গোষ্ঠীকে,	
udvaboney,	উদ্ববনে,	উদ্ভাবনে,	
pravritite,	প্রভিতিতে,	প্রভৃতিতে,	
dii,	দি,	দিই,	
chef,	চেফ,	শেফ,	
kompeeto,	কম্পিত,	কম্পিত,	
shangkaloner,	সংকললের,	সংকলনের,	
arekdol,	আরেকদল,	আরেকদল,	
gaafeeloti,	গাফফলিতি,	গাফিলতি,	
cho,	চো,	ছোঁ,	
aagera,	আগের,	আগোরা,	
arakaner,	আরকাণের,	আরাকানের,	
enamela,	এনামেল,	এনামেল,	
kkunti,	কুন্টি,	কুন্তী,	
ganona,	গণনা,	গননা,	
samsher,	সম্ষের,	সমশের,	
ekpashe,	একপাশে,	একপাশে,	
koode,	কোডে,	কোড,	
makhmale,	মাখমলে,	মখমলে,	
masey,	মাসে,	মাসে,	
apochesta,	অপোচেস্ট,	অপচেষ্টা,	
neemitte,	নিমিত্তে,	নিমিত্তে,	
shakkhatkarer,	শক্ষ্যকারের,	সাক্ষাত্কারের,	
teentir,	টিন্টির,	তিনটির,	
olympicer,	অলিম্পের,	অলিম্পিকের,	
daltyagi,	দাল্যগা,	দলত্যাগী,	
sontoshe,	সন্তশে,	সন্তোষে,	
rajbondir,	রাজবন্দীর,	রাজবন্দীর,	
sayaneda,	সায়েন,	সায়ানাইড,	
kuary,	কুরি,	কোয়েরি,	
durvaggo,	দূর্ভগ্গ,	দূর্ভাগ্য,	
silbhi,	সিলভি,	সিলভি,	
uchchatara,	উচ্চতার,	উচ্চতর,	
bibader,	বিবাদের,	বিবাদের,	
hiiragana,	হিরগাণ,	হিরাগানা,	
tuku,	টুকু,	টুকু,	
udbhabony,	উদ্ববনী,	উদ্ভাবনী,	
bhugole,	ভুগলে,	ভূগোলে,	
oncholshomuh,	অন্চলমূম,	অঞ্চলসমূহ,	
bai,	বাই,	বাঈ,	
udbodhaner,	উদ্বধানের,	উদ্বোধনের,	
oswasteekor,	অস্বস্তিকের,	অস্বস্তিকর,	
nafisa,	নাফিস,	নাফিসা,	
starker,	স্টরকের,	স্টার্কের,	
shotokey,	শতকে,	শতকে,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
taalgaachh,	তালাগ,	তালগাছ,	
corymb,	করিম্ব,	করিম,	
keraam,	কেরাম,	কেরাম,	
gojano,	গোজন,	গজানো,	
venna,	ভেন্ন,	ভেন্না,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
ajuhat,	অজুহাত,	অজুহাত,	
bikargrasto,	বিকারর্্স্ত,	বিকারগ্রস্ত,	
dibidh,	দিবিধ,	দ্বিবিধ,	
sharther,	সর্থের,	স্বার্থের,	
chalochchitroi,	চললচ্ত্রী,	চলচ্চিত্রই,	
parshwey,	পার্শে,	পার্শ্বে,	
asif,	আসিফ,	আসিফ,	
sumi,	সুমি,	সুমি,	
alubokhara,	অলুবক্রা,	আলুবোখারা,	
oichchheek,	অচিছিক,	ঐচ্ছিক,	
saazanor,	সাজনার,	সাজানোর,	
augustin,	আগুস্টিন,	অগাস্টিন,	
haila,	হাইল,	হইল,	
jalrang,	জল্রাং,	জলরঙ,	
superheroo,	সুপেরেহুর,	সুপারহিরো,	
abdur,	আব্দুর,	আবদুর,	
mukherjee,	মুখার্জি,	মুখার্জী,	
cheentaikaree,	চিন্তাাকারী,	ছিনতাইকারী,	
lokeshon,	লোকেশন,	লোকেশন,	
grootha,	গ্রোথ,	গ্রোথ,	
siddhantao,	সিদ্ধন্ত,	সিদ্ধান্তও,	
skora,	স্করা,	স্কোর,	
banijyikvittey,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
kade,	কাডে,	কোড,	
sylvi,	স্লিভ,	সিলভি,	
venkatesh,	ভেন্কেশ,	ভেঙ্কটেশ,	
poripaker,	পরিপাকের,	পরিপাকের,	
nabbata,	নবব্ত,	নাব্যতা,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
sharoker,	শরকের,	স্মারকের,	
planey,	প্লানে,	প্লেনে,	
modeeling,	মদেলিং,	মডেলিং,	
vaisaho,	বৈহাস,	ভাইসহ,	
attaar,	আত্যার,	আত্তার,	
laiceensee,	লাইনেস্নি,	লাইসেন্স,	
dhnoka,	ধ্যকা,	ধোঁকা,	
manushey,	মানুসে,	মানুষে,	
barnis,	বার্নিস,	বার্নিশ,	
shelinar,	সেলিনার,	সেলিনার,	
skarrt,	স্কার্ট,	স্কার্ট,	
prostutkarak,	প্রস্ত্তুকার,	প্রস্তুতকারক,	
pouro,	পূর,	পৌর,	
sachetanbhabe,	সাচেতনভাবে,	সচেতনভাবে,	
asar,	আসার,	আসর,	
toufik,	তৌিক,	তৌফিক,	
dijnii,	দিজনী,	ডিজনী,	
zubokra,	যুবক্র,	যুবকরা,	
ishtone,	ইস্টনে,	স্টোন,	
addhattikota,	আদ্যাত্তিক,	আধ্যাত্মিকতা,	
transhform,	ট্রান্সর্ম,	ট্রান্সফর্ম,	
pyatarna,	প্যার্্র,	প্যাটার্ন,	
karpeeta,	কর্পিত,	কার্পেট,	
peterkey,	পেটারকে,	পিটারকে,	
patiganit,	পািগানিত,	পাটিগণিত,	
