zoneete,	জনিতে,	যোনীতে,	
bonkey,	বানকে,	বনকে,	
grontho,	গ্রথথ,	গ্রন্থ,	
mmeloborrne,	মেলাবরন্নে,	মেলবোর্নে,	
grovth,	গ্রথথ,	গ্রোথ,	
pyetarna,	প্যেট্রন,	প্যাটার্ন,	
chalochchitreer,	চলচচচ্্তের,	চলচ্চিত্রের,	
seater,	সেটের,	সিটের,	
dadader,	দদদাের,	দাদাদের,	
bhaabaaponno,	ভাবপপন্,	ভাবাপন্ন,	
mosjid,	মসস্দি,	মসজিদ,	
bhalobasake,	ভালাবাবে,	ভালোবাসাকে,	
iub,	ইউব,	আইইউবি,	
dhhaabi,	ধবি,	ঢাবি,	
dharabahiker,	ধারাবাহীকের,	ধারাবাহিকের,	
footballerder,	ফোত্বললাদের,	ফুটবলারদের,	
kaaferder,	কাফাদের,	কাফেরদের,	
hosney,	হাসনে,	হোসনে,	
monzile,	মন্জিলে,	মঞ্জিলে,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
bocchon,	ব্চচন,	বচ্চন,	
doulaa,	দোলা,	দৌলা,	
tochnoch,	তথচচ,	তছনছ,	
moofti,	মোউটি,	মুফতি,	
dijeejer,	দিজিজের,	ডিজিজের,	
oncoltike,	অন্যককককে,	অঞ্চলটিকে,	
sabrakomer,	সব্্রমমের,	সবরকমের,	
aarakaner,	আরাকাের,	আরাকানের,	
karmakandeo,	কর্মান্ডে,	কর্মকাণ্ডেও,	
dael,	ডেলল,	ডেইল,	
korkot,	কর্কত,	কর্কট,	
garjan,	গর্জন,	গর্জন,	
grotha,	গ্রথ,	গ্রোথ,	
netsi,	নেটসি,	নাত্সি,	
gazipore,	গাজিপর,	গাজীপুর,	
talaal,	টাললল,	তালাল,	
kande,	কা্ডে,	কাণ্ডে,	
neerbaho,	নির্বহ,	নির্বাহ,	
bangobandhu,	বংন্বন্ধ,	বঙ্গবন্ধু,	
pluse,	প্লুস,	প্লাসে,	
baron,	বারণ,	ব্যারন,	
loukik,	লুকিক,	লৌকিক,	
choudhurio,	চৌধররি,	চৌধুরীও,	
rajtantrey,	রাজন্ত্তার,	রাজতন্ত্রে,	
mathews,	মাঠেস,	ম্যাথিউস,	
soundarjyo,	সন্দ্য্য্য,	সৌর্ন্দয্য,	
nabyata,	নাব্তা,	নাব্যতা,	
sarboshaktimaan,	সর্ব্্কাশকননন,	সর্বশক্তিমান,	
vaisaho,	ভৈশাহহ,	ভাইসহ,	
phutantoa,	ফুতনতত,	ফুটন্ত,	
alaoler,	আলাললের,	আলাওলের,	
rajtontrokey,	রাজ্ত্্তকেে,	রাজতন্ত্রকে,	
irana,	এরান,	ইরান,	
asamanno,	আসমান্য,	অসামান্য,	
seekkhakrom,	শিক্ষর্ম,	শিক্ষাক্রম,	
porobortii,	পরবর্তি,	পরর্বতী,	
karmasampadan,	কর্মম্পপন,	কর্মসম্পাদন,	
bishwanath,	বিশ্বান,	বিশ্বনাথ,	
nir,	নির,	নির,	
bhartuky,	ভার্তু,	ভর্তুকি,	
shaahocharjo,	সহচার্য্য,	সাহচর্য,	
byakhyatita,	ব্যাযাতততত,	ব্যাখ্যাতীত,	
chhotogalper,	ছত্পপললের,	ছোটগল্পের,	
bhittiei,	ভিত্যিই,	ভিত্তিই,	
vushi,	ভুশি,	ভুষি,	
papri,	পাপ্রি,	পাপরি,	
buffer,	ফুফের,	বাফার,	
juktorastroshoho,	যুক্তররস্থহহ,	যুক্তরাষ্ট্রসহ,	
reejur,	রিজুর,	রিজুর,	
lutheran,	লোটারন,	লুথেরান,	
addhatikotar,	অধ্যতিকতার,	আধ্যাত্মিকতার,	
heriser,	হিরিসের,	হ্যারিসের,	
chaalabi,	চালাবি,	চালাবে,	
dhauto,	ধাতত,	ধৌত,	
manushtikey,	মন্প্কিকে,	মানুষটিকে,	
mukhomandal,	মুখ্নান্ড,	মুখমণ্ডল,	
bim,	বিম,	বীম,	
chalachchitroi,	চলচচচচ্রি,	চলচ্চিত্রই,	
faskari,	ফাস্কারি,	ফাঁসকারী,	
kaansaat,	কাসাত,	কানসাট,	
naneer,	নানির,	নানীর,	
safin,	সাফিন,	সাফিন,	
digrio,	দিগ্রি,	ডিগ্রিও,	
utpatti,	উৎপত্তি,	উতপত্তি,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
seektara,	সেক্টার,	সেক্টর,	
truup,	ত্রুপ,	ট্রুপ,	
sikkhokbreendo,	শিক্ষ্বক্্ণ্ণ,	শিক্ষকবৃন্দ,	
anchalgulote,	অন্যচলললতে,	অঞ্চলগুলোতে,	
kaushalgata,	কৌশাগগতা,	কৌশলগত,	
krantee,	ক্রান্টি,	ক্রান্তি,	
ghurchen,	ঘোর্ছেন,	ঘুরেছেন,	
rohasyati,	রহস্যাতি,	রহস্যটি,	
bisnuu,	বিশ্যুু,	বিষ্ণু,	
honduras,	হন্দরর,	হন্ডুরাস,	
steitt,	স্টেট,	স্টেইট,	
dhoka,	ধোকা,	ধোঁকা,	
somrat,	সম্রত,	সম্রাট,	
byabaharkarie,	ব্যাহাারারী,	ব্যবহারকারীই,	
oiteejye,	অতিজজে,	ঐতিহ্যে,	
credit,	ক্রেডিট,	ক্রেডিট,	
anchalo,	অনচচলল,	অঞ্চলও,	
hertz,	হার্ট,	হার্জ,	
utkhater,	উৎক্তার,	উৎখাতের,	
ssumita,	সুমিত,	সুমিতা,	
advoot,	অদ্ভতত,	অদ্ভুত,	
bamna,	ব্যান,	বামনা,	
byaboshtha,	ব্যবস্থ,	ব্যাবস্থা,	
teestaar,	টেস্টার,	তিস্তার,	
wenis,	ইযেনিং,	ভেনিস,	
manjushree,	মন্যুসীর,	মঞ্জুশ্রী,	
chedon,	চেদন,	ছেদন,	
evar,	এভের,	এভার,	
siqhar,	শিখার,	শিকার,	
sloker,	স্লককের,	শ্লোকের,	
pathkromer,	পথ্রমমের,	পাঠক্রমের,	
baaraak,	বারাক,	বারাক,	
query,	কুউরি,	কোয়েরি,	
postay,	পাস্টা,	পোষ্টে,	
roy,	রো,	রায়,	
sooraarop,	সরররপ,	সুরারোপ,	
tecnokryat,	টেকক্্যাক্ট,	টেকনোক্র্যাট,	
noiteekvabe,	নৈতিকাবে,	নৈতিকভাবে,	
dibug,	দিবুগ,	ডিবাগ,	
koonti,	কোনটি,	কুন্তী,	
unhu,	উনু,	উঁহু,	
tarbiner,	তারবিনের,	টারবাইনের,	
radhanogor,	রাননগগোর,	রাধানগর,	
dolguloo,	দললুলো,	দলগুলোও,	
merjito,	মারজিত,	মার্জিত,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
oindreela,	অন্দ্রিলাল,	ঐন্দ্রিলা,	
sommotir,	সম্মিত,	সম্মতির,	
aminar,	আমিনার,	আমিনার,	
prakalpotike,	প্রাক্তাপককেক,	প্রকল্পটিকে,	
ponthaar,	পন্থার,	পন্থার,	
roktokshoroner,	রক্ত্ষক্ষণের,	রক্তক্ষরণের,	
dharavassyokar,	ধার্বাসাকার,	ধারাভাষ্যকার,	
batsmanei,	ব্যাস্মানে,	ব্যাটসম্যানই,	
ekoirakom,	একোকরমম,	একইরকম,	
manabmoner,	মন্মানের,	মানবমনের,	
satarkotar,	সত্তারতার,	সতর্কতার,	
cheentai,	চিন্তাই,	ছিনতাই,	
rena,	রেন,	রেনো,	
ovishangsan,	অভিশসনন,	অভিশংসন,	
doltagi,	দ্লাতাই,	দলত্যাগী,	
proshtutkarok,	প্রত্্ত্রককার,	প্রস্তুতকারক,	
bidghootey,	বিদ্গতে,	বিদঘুটে,	
sahocorjo,	সহচ্র্য,	সাহচর্য,	
iispredsheet,	ইস্স্প্র্সিট,	স্প্রেডশীট,	
jaroori,	জারররি,	জরূরী,	
stonahenza,	স্ত্নান্যান,	স্টোনহেঞ্জ,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
safiin,	সফিন,	সাফিন,	
pathkramer,	পথ্্রমের,	পাঠক্রমের,	
bhandare,	ভান্দার,	ভাণ্ডারে,	
hastantar,	হাস্তান্টার,	হস্তান্তর,	
ved,	ভেড,	বেদ,	
henna,	হেন্ন,	হেনা,	
daaktikiter,	দাক্তিকেতের,	ডাকটিকিটের,	
atok,	আতক,	আটক,	
gronthati,	গ্রথাতি,	গ্রন্থটি,	
reesideencee,	রেসিন্ডিন,	রেসিডেন্স,	
homeser,	হামেসের,	হোমসের,	
moonshi,	মনসি,	মুন্সি,	
muhurto,	মুহর্ত,	মুহুর্ত,	
thakeni,	ঠাকানে,	থাকেনি,	
mehonoti,	মেহনতি,	মেহনতি,	
plato,	প্লাত,	প্লেটো,	
elakaa,	এলকাক,	এলাকা,	
messenger,	মেসেন্গের,	মেসেঞ্জার,	
bishwaashshoi,	বিশ্বসাসী,	বিশ্বাসই,	
dibeting,	ডেবেটিং,	ডিবেটিং,	
bhugarbhe,	ভুগররভে,	ভূগর্ভে,	
mojdoor,	মদ্দর,	মজদুর,	
dayna,	ডানন,	ডায়না,	
sachetonvabe,	সাচানতাবাবে,	সচেতনভাবে,	
asociates,	অস্যাসেটেস,	এসোসিয়েটস,	
mitrader,	মিত্রদের,	মিত্রদের,	
naphisa,	নাফিস,	নাফিসা,	
onnyorup,	অন্য্রপপ,	অন্যরূপ,	
chalochchitraeeo,	চলচচচচ্রাই,	চলচ্চিত্রেও,	
nesnosh,	নেনসস,	নেশনস,	
spreadsiit,	স্প্র্টেশিশ,	স্প্রেডশীট,	
gandhio,	গণ্ধি,	গান্ধীও,	
masters,	মাস্ট্রস,	মাস্টার্স,	
arasie,	আরসাই,	আরসিএ,	
ogradut,	অগ্রুত,	অগ্রদূত,	
restaurant,	রেস্ট্রান্ট,	রেষ্টুরেন্ট,	
dhanchey,	ধাঁচে,	ধাঁচে,	
bed,	বেড,	বেদ,	
tenisa,	টেনিস,	টেনিস,	
modelling,	মদেলিলিং,	মডেলিং,	
bibade,	বিবাদে,	বিবাদে,	
keo,	কেও,	কেও,	
emarjenshi,	এম্রান্সিন,	এমার্জেন্সি,	
chutite,	চুতিতে,	ছুটিতে,	
jonomukhee,	জনুমুখী,	জনমুখী,	
vool,	ভুল,	উল,	
garnar,	গর্নার,	গার্নার,	
kraanti,	ক্রানটি,	ক্রান্তি,	
aameenaar,	আমেনার,	আমিনার,	
sourse,	সৌর্স,	সোর্স,	
nepchuner,	নেপনচের,	নেপচুনের,	
khur,	খুর,	ক্ষুর,	
maktum,	মাক্তুম,	মাকতুম,	
rupart,	রপপর্ট,	রুপার্ট,	
drishyoke,	দৃষ্যকে,	দৃশ্যকে,	
pulse,	পুলসে,	পালস,	
abdune,	অব্দুনে,	আবদুন,	
soundarjo,	সন্দ্র্য,	সৌর্ন্দয্য,	
sharoker,	শররকের,	স্মারকের,	
anshograhone,	অংস্গগগহেে,	অংশগ্রহনের,	
jhankar,	জানকার,	ঝঙ্কার,	
kadorer,	কদদের,	কদরের,	
khanankaj,	খানানাক,	খননকাজ,	
roktokshoroney,	রক্তর্ষণণে,	রক্তক্ষরণে,	
pattern,	পাত্ট্র,	প্যাটার্ন,	
jonoshongjog,	জনসনগগগগ,	জনসংযোগ,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
heena,	হিন,	হেনা,	
kaleo,	কলেল,	কালেও,	
amarendra,	আমান্র্ডের,	অমরেন্দ্র,	
shaswato,	সাস্বত,	শাশ্বত,	
bahaati,	বাহাতি,	বাহাতি,	
blaker,	ব্লাকের,	ব্ল্যাকের,	
booroon,	বররণ,	বোরন,	
jati,	জাতি,	যাতি,	
sthaponatir,	স্থাপানতার,	স্থাপনাটির,	
bahubar,	বাহবার,	বহুবার,	
nazad,	নাদদ,	নজদ,	
fartha,	ফার্থ,	ফার্থ,	
rajshri,	রাজস্রী,	রাজশ্রী,	
embi,	এমিবি,	এমবি,	
satjon,	সত্জন,	সাতজন,	
aabahon,	আবাহন,	আবাহন,	
direktareta,	ডিরেক্টের,	ডিরেক্টরেট,	
prrajanankaal,	প্রান্নালল,	প্রজননকাল,	
caramiks,	কারাকিক,	সিরামিকস,	
ashamorthito,	আস্মার্তিত,	অসমর্থিত,	
carzito,	কার্জিত,	চার্জিত,	
chalabe,	চালাবে,	চালাবে,	
chhanake,	ছানকে,	ছানাকে,	
kriseenta,	ক্রিস্টন,	ক্রিসেন্ট,	
makang,	মাকাঙ,	মেকং,	
dakshinangsho,	দক্ষিংংং,	দক্ষিণাংশ,	
jerakam,	জারাক,	যেরকম,	
siropa,	সিরপ,	শিরোপা,	
niranjon,	নির্জন,	নিরঞ্জন,	
