keke,	কেক,	কেকে,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
asabhyaa,	অসভ্য,	অসভ্য,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
dooburira,	দুবুরীরা,	ডুবুরিরা,	
iyutha,	ইউথ,	ইয়ুথ,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
purbancoler,	পূর্বাঙ্কলের,	পূর্বাঞ্চলের,	
injiniyarsha,	ইন্জিনির্স,	ইঞ্জিনিয়ার্স,	
opochesta,	অপচেষ্ট,	অপচেষ্টা,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
lokkhero,	লক্ষ্যের,	লক্ষেরও,	
mitrer,	মিত্রের,	মিত্রের,	
jacksoner,	যাকসনের,	জ্যাকসনের,	
depootee,	ডিপোটি,	ডেপুটি,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
seekkhokbrindo,	শিক্ষক্রণ্দ,	শিক্ষকবৃন্দ,	
nikoter,	নিকটের,	নিকটের,	
abheedhaneeck,	অভিধানক,	অভিধানিক,	
sumeeta,	সুমিতা,	সুমিতা,	
uruu,	উরু,	উরু,	
trayte,	ট্রেট,	ট্রেতে,	
samanwitabhabey,	সমানীতভাবে,	সমন্বিতভাবে,	
aunty,	আন্টি,	আন্টি,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
sainyasoho,	সৈন্যসহ,	সৈন্যসহ,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
khamba,	ক্ষম্ব,	খাম্বা,	
bhaibonder,	ভাইন্দের,	ভাইবোনদের,	
paner,	পানের,	পানের,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
enginearing,	ইঞ্জিনারিং,	ইঞ্জিনিয়ারিং,	
caramiks,	ক্যারমিক্স,	সিরামিকস,	
nortokike,	নর্টকিকে,	নর্তকীকে,	
doloo,	দলু,	ডলু,	
pretishta,	প্রেটিষ্ট,	প্রতিষ্টা,	
jins,	জিন্স,	জিন্স,	
dhalur,	ঢালুর,	ঢালুর,	
myari,	ম্যারি,	ম্যারি,	
browser,	ব্রাসের,	ব্রাউজার,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
omanisha,	অমনিস,	অমানিশা,	
cena,	চেনা,	সিনা,	
sofyr,	সফীর,	সোফির,	
kara,	কারো,	কর,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
ssteit,	স্টেইট,	স্টেইট,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
daakteekite,	ডাক্টিকেতে,	ডাকটিকিটে,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
sekarone,	সেকারনে,	সেকারণে,	
karmopontha,	কর্মপন্থ,	কর্মপন্থা,	
unitshoho,	উনিতঃস,	ইউনিটসহ,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
phakay,	ফাকে,	ফাকে,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
dhojovongo,	ধধবযঙ্গ,	ধ্বজভঙ্গ,	
ul,	উল,	উল,	
odoore,	অদুরে,	অদুরে,	
phokser,	ফক্সের,	ফক্সের,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
somaptir,	সমপত্র,	সমাপ্তির,	
daaoon,	দাউন,	ডাউন,	
jathan,	যথন,	যথন,	
aqabar,	আকাবার,	আকাবার,	
akmat,	আকমাত,	একমত,	
jotinke,	জতিনকে,	যতীনকে,	
sotorkokari,	সত্রককারী,	সতর্ককারী,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
opohoronn,	অপহরণ,	অপহরন,	
sheramiksh,	সেরামিক্স,	সিরামিকস,	
vageroi,	ভাগেরই,	ভাগেরই,	
bhenasha,	ভেনাস,	ভেনাস,	
gardeen,	গার্ডিন,	গার্ডেন,	
sontoshe,	সন্তোষে,	সন্তোষে,	
khorsed,	খর্ষেদ,	খোরশেদ,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
nikela,	নিকেল,	নিকেল,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
doover,	ডুভার,	ডোভার,	
sharthe,	সার্থে,	স্বার্থে,	
bishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
meshenjar,	মেশেঞ্জর,	মেসেঞ্জার,	
cheerokoomari,	চিরকুমারী,	চিরকুমারী,	
akabar,	আকাবার,	আকাবার,	
baruklin,	ব্যারকলিন,	ব্রুকলিন,	
bishesyo,	বিশেষ,	বিশেষ্য,	
soshorire,	শশরীরে,	সশরীরে,	
masazida,	মাসাজীদ,	মসজিদ,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
qarima,	করিম,	করিম,	
porjotoker,	পর্যটকের,	পর্যটকের,	
borana,	বরাণা,	বোরন,	
teksuser,	টেকসসার,	টেক্সাসের,	
jyeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
kamola,	কমলা,	কামলা,	
cholesi,	চলেশি,	চলেছি,	
maithili,	মেইথলি,	মৈথিলি,	
bronje,	ব্রঞ্জ,	ব্রোঞ্জ,	
domonmulok,	দমনমূলক,	দমনমূলক,	
bahal,	বহল,	বহাল,	
nodigulo,	নদিগুলো,	নদীগুলো,	
ingrejraa,	ইংরেজারা,	ইংরেজরা,	
bagdad,	বাগদাদ,	বাগদাদ,	
moshzidshoho,	মসিদসসহ,	মসজিদসহ,	
thime,	থাইম,	থিমে,	
vogni,	ভগ্নী,	ভগ্নী,	
shnaipara,	স্নাপার,	স্নাইপার,	
ruvbla,	রুবলা,	রুবল,	
osamarik,	অসমারিক,	অসামরিক,	
parqim,	পার্কিং,	পার্কিং,	
dhhabi,	ঢবি,	ঢাবি,	
saya,	সেয়,	সোয়া,	
baarbaadoj,	বারবাদোজ,	বার্বাডোজ,	
barnish,	বার্নিস,	বার্নিশ,	
shithilatar,	সিথিলতার,	শিথিলতার,	
kaferderkey,	কাফেরদকে,	কাফেরদেরকে,	
spostotoi,	স্পষ্টতই,	স্পষ্টতই,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
nickel,	নিকেল,	নিকেল,	
elakati,	এলাকটি,	এলাকাটি,	
surkey,	সুর্কে,	সুরকে,	
vittio,	ভিত্যীও,	ভিত্তিও,	
deeputi,	দিপুতি,	ডেপুটি,	
bondhuvabaponyo,	বন্ধবাবন্প,	বন্ধুভাবাপন্ন,	
aazeez,	আজিজ,	আজিজ,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
mosjidsaha,	মসজিদসহ,	মসজিদসহ,	
mosjidke,	মসজিদকে,	মসজিদকে,	
byabaharkareederke,	ব্যবারাহকরিদেে,	ব্যবহারকারীদেরকে,	
kibord,	কিবোর্ড,	কীবোর্ড,	
darjeeling,	ডার্জালিং,	দার্জিলিং,	
siddhantagulo,	সিদ্ন্তাগুলো,	সিদ্ধান্তগুলো,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
shyutara,	স্যুটার,	শ্যুটার,	
barack,	বরাক,	বারাক,	
vishad,	বিষাদ,	বিষদ,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
tuneta,	টুনেটা,	টুনাইট,	
bimata,	বিমতা,	বিমাতা,	
hilse,	হিলসে,	হিলসে,	
tanight,	টানিঘট,	টুনাইট,	
azimkey,	আজিমকে,	আজিমকে,	
janosomaj,	জনসমাজ,	জনসমাজ,	
oitijjha,	ঐতিয্ঘ,	ঐতিহ্য,	
hafej,	হাফেজ,	হাফেয,	
pracharana,	প্রচারনা,	প্রচারণা,	
cholocchitroi,	চলচ্ত্রই,	চলচ্চিত্রই,	
soori,	সুরি,	সুরি,	
kortam,	কর্তম,	করতাম,	
jamkaalo,	জমকালো,	জমকালো,	
tintikey,	টিনটিকে,	তিনটিকে,	
foster,	ফো্টের,	ফস্টার,	
ajimpur,	আজিমপুর,	আজিমপুর,	
bolechi,	বলেছি,	বলেছি,	
firozaa,	ফিরোজা,	ফিরোজা,	
dhhalur,	ঢালুর,	ঢালুর,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
shootar,	সুতার,	শ্যুটার,	
mmadhobbir,	মাধবীর,	মাধবীর,	
serverey,	সার্ভেরে,	সার্ভারে,	
dabarer,	দাবরের,	দাবারের,	
eukalyptus,	ইকোলিপ্টাস,	ইউক্যালিপ্টাস,	
teereesa,	টেরেস,	টেরেসা,	
cocaine,	কোকেন,	কোকেইন,	
queri,	কুয়ারি,	কোয়েরি,	
dhas,	ধাস,	ধস,	
istane,	ইস্টান,	স্টোন,	
hyundai,	হাইন্ডই,	হুন্দাই,	
kartana,	কর্তন,	করতনা,	
meg,	মেগ,	মেগ,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
ballroom,	বালুরম,	বলরুম,	
stationey,	স্টেশনে,	ষ্টেশনে,	
chorbon,	চর্বন,	চর্বন,	
jibanjapon,	জীবনাজপন,	জীবনযাপন,	
sarsa,	সর্ষ,	সোর্স,	
dokkhinangsho,	দক্ষিণাশশ,	দক্ষিণাংশ,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
qibord,	কিবোর্ড,	কীবোর্ড,	
adhyattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
zuktorastroshoho,	যুক্তরাস্ট্র,	যুক্তরাষ্ট্রসহ,	
moldova,	মল্দভা,	মলদোভা,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
sulke,	সুলকে,	শুল্কে,	
deeputy,	দিপুতি,	ডেপুটি,	
asociates,	অসোসিযেটস,	এসোসিয়েটস,	
gronthotyke,	গ্রন্থটিকে,	গ্রন্থটিকে,	
sadhwi,	সাধবই,	সাধ্বী,	
elakatikey,	এলাকাটিকে,	এলাকাটিকে,	
balokarok,	বালকারক,	বলকারক,	
jamaanor,	জামানোর,	জমানোর,	
besuro,	বেশুর,	বেসুর,	
sohopathike,	সহপাথিকে,	সহপাঠীকে,	
dibeeta,	দিবিতা,	ডিবেট,	
temontee,	টেমন্টি,	তেমনটি,	
shajanor,	সাজানোর,	সাজানোর,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
roi,	রই,	রায়,	
matthews,	ম্যাথিস,	ম্যাথিউস,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
sahocorrze,	সহরকর্যে,	সাহচর্যে,	
attobishwasi,	অত্বমিশ্বাসী,	আত্মবিশ্বাসী,	
temone,	টেমনে,	তেমনই,	
bongobondhu,	বঙ্গবন্ধ,	বঙ্গবন্ধু,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
lajiqa,	লাজিক,	লজিক,	
gaje,	গজে,	গেজ,	
vorkendro,	ভরযাকেন্দ্র,	ভরকেন্দ্র,	
stonahenja,	স্টনাহেঞ্জ,	স্টোনহেঞ্জ,	
benj,	বেঁজ,	বেঞ্জ,	
ester,	এস্টের,	ইস্টার,	
itostato,	ইতস্তাত,	ইতস্তত,	
kartona,	কর্তন,	করতনা,	
chilahati,	চিলাহটি,	চিলাহাটি,	
pab,	পা,	পাব,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
chhaanee,	ছানে,	ছানি,	
soccer,	সকচের,	সকার,	
orthonitir,	অর্থনীটির,	অর্থনীতির,	
thatchar,	থাচার,	থ্যাচার,	
siqar,	শিকার,	শিকার,	
sheepha,	সেফ,	শেফ,	
janar,	জানার,	জানার,	
bizepi,	বিজেপি,	বিজেপি,	
cruce,	ক্রুস,	ক্রুশ,	
longhaner,	লংঘনের,	লংঘনের,	
shchalastik,	স্কলাষ্টিক,	স্কলাস্টিক,	
chhuteete,	ছুটিতে,	ছুটিতে,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
female,	ফেমালে,	ফিমেল,	
sikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
toki,	টোকি,	তকি,	
nothivuktir,	নথিভক্তির,	নথিভুক্তির,	
kona,	কোন,	কণা,	
sausaje,	সৌসজে,	সসেজ,	
ovarviu,	অভার্যিও,	ওভারভিউ,	
aarcie,	আর্চি,	আরসিএ,	
bongsho,	বংশ,	বংশ,	
soomo,	সুমো,	সুমো,	
ganohotyake,	গণণত্যকে,	গণহত্যাকে,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
ahollar,	আহলার,	অহল্যার,	
sikhra,	শিখ্রা,	শিখরা,	
janachhe,	জনাচ্ছে,	জানাচ্ছে,	
amudey,	আমুদে,	আমুদে,	
uter,	উটের,	উটের,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
graambaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
