sofir,	শফীর,	সোফির,	
nederlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
bonbhumite,	বন্ভূমিতে,	বনভূমিতে,	
jommoo,	জমমও,	জম্মু,	
planea,	প্ল্যানে,	প্লেনে,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
dajyo,	দাজ্য,	দাহ্য,	
silbhee,	শিলভী,	সিলভি,	
kana,	কানা,	কণা,	
abosare,	আবসরে,	অবসরে,	
romancho,	রমাঞ্চ,	রোমাঞ্চ,	
nogonyo,	নগোনও,	নগণ্য,	
tenish,	টেনিস,	টেনিস,	
babylone,	বাবললনে,	ব্যাবিলনে,	
bodhirata,	বদিরতা,	বধিরতা,	
deily,	ডেইলি,	ডেইলি,	
conserwation,	কনসার্েশশন,	কনসারভেশন,	
shcore,	স্কোর,	স্কোর,	
kota,	কোট,	কোটা,	
ganokontho,	গণকান্থ,	গণকণ্ঠ,	
sqirt,	স্কার্ট,	স্কার্ট,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
farid,	ফরিদ,	ফরিদ,	
maile,	মেলে,	মাইলি,	
bait,	বয়াট,	বাইট,	
nobotomo,	নবতম,	নবতম,	
grot,	গ্রট,	গ্রোথ,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
shotodha,	শতধা,	শতধা,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
sthapona,	স্থাপনা,	স্থাপনা,	
rohoshyor,	রহস্যর,	রহস্যর,	
maadla,	মাদ্লা,	মাদলা,	
bota,	বোঁটা,	বটা,	
shringgey,	শৃঙ্গে,	শৃঙ্গে,	
isosiyitasa,	এস্সিটেস,	এসোসিয়েটস,	
rayyaleti,	রয়লেটি,	রয়্যালটি,	
timathy,	তিমথি,	টিমোথি,	
dhyanastha,	ধ্যানস্থা,	ধ্যানস্থ,	
shhikha,	শিখা,	শিখ,	
bimata,	বিমতা,	বিমাতা,	
kanaflikta,	কাফাল্কিট,	কনফ্লিক্ট,	
moushum,	মৌসম,	মৌসুম,	
chaabir,	চাবির,	চাবির,	
hook,	হোক,	হুক,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
opohoron,	অপহরণ,	অপহরন,	
bonoshree,	বনস্রী,	বনশ্রী,	
simaa,	সীমা,	সীমা,	
attar,	আত্মার,	আত্তার,	
besinay,	বেশিনাই,	বেসিনে,	
laaisensh,	লেইস্স,	লাইসেন্স,	
routiner,	রাউটিনের,	রুটিনের,	
licensedhari,	লিসেন্সারিারি,	লাইসেন্সধারী,	
madhobir,	মধববীর,	মাধবীর,	
chorchito,	চরিচত,	চর্চিত,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
bojhey,	বহে,	বোঝে,	
sahokaree,	সহকারি,	সহকারী,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
kiiborder,	কীবর্দের,	কীবোর্ডের,	
noitik,	নৈটিক,	নৈতিক,	
sathikota,	সাথিকতা,	সঠিকতা,	
firoz,	ফিরজ,	ফিরোজ,	
mataram,	মতারোম,	মাতারাম,	
chedropathe,	ছেদ্রপথে,	ছিদ্রপথে,	
ghetu,	ঘটি,	ঘেটু,	
vip,	ভীপ,	ভিআইপি,	
superheiroo,	সুপারিহেরও,	সুপারহিরো,	
shilvar,	শিলভার,	সিলভার,	
romantic,	রোম্যান্টিক,	রোমান্টিক,	
apachesta,	অপােেস্টা,	অপচেষ্টা,	
lotheeran,	লাঠিরণ,	লুথেরান,	
bizepi,	বিজেপি,	বিজেপি,	
qredita,	ক্রেডিট,	ক্রেডিট,	
tokei,	তোকেই,	ত্বকেই,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
holdeeng,	হোলডেং,	হোল্ডিং,	
station,	স্টেশন,	ষ্টেশন,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
dackop,	ডাকাপ,	দাকোপ,	
ray,	রে,	রায়,	
uporital,	উপরিতাল,	উপরিতল,	
jomkalo,	জলকালো,	জমকালো,	
sushukkhar,	সুশুখ্যার,	সুশিক্ষার,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
kanai,	কানাই,	কানাই,	
susama,	সুষম,	সুসম,	
petrol,	পেট্রোল,	পেট্রোল,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
utsahi,	উত্সাহী,	উৎসাহী,	
sikkhagata,	শিক্ষাগা,	শিক্ষাগত,	
delivar,	দেলিভার,	ডেলিভার,	
pracharanamulak,	প্রচারনামূলক,	প্রচারণামূলক,	
motke,	মকটে,	মতকে,	
samanyoi,	সমন্্যই,	সামান্যই,	
bupher,	বুফার,	বাফার,	
chalochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bolokarak,	বলককারক,	বলকারক,	
parichchhannata,	পরিচ্ছন্নতা,	পরিচ্ছন্নতা,	
probhritir,	প্রভূতির,	প্রভৃতির,	
nishad,	নিশাদ,	নিষাদ,	
euroo,	ইউরু,	ইউরো,	
moshzidtir,	মস্জিদটির,	মসজিদটির,	
somoshti,	সমস্তি,	সমষ্টি,	
sontoshpur,	সন্তুপপুর,	সন্তোষপুর,	
tecnokryat,	টেকনোক্রেট,	টেকনোক্র্যাট,	
shastra,	শাস্ত্র,	শাস্ত্র,	
bhumijo,	ভূমিজ,	ভূমিজ,	
teenti,	তিনটি,	তিনটি,	
tate,	তাটে,	তাতে,	
godabori,	গদাবরী,	গোদাবরী,	
lag,	লাগ,	লগ,	
plate,	প্লটট,	প্লেট,	
se,	সেই,	সে,	
dharavashyokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
foltir,	ফলটার,	ফলটির,	
boonot,	বুনোত,	বুনট,	
deool,	ডিওল,	দেউল,	
haraten,	হারাতেন,	হারাতেন,	
manikya,	মাণিক্য,	মানিক্য,	
netherland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
jwarer,	যারের,	জ্বরের,	
debug,	দেবুগ,	ডিবাগ,	
ekhaate,	এখাতে,	একহাতে,	
dharabahikotitey,	ধারাবাহিকতিতে,	ধারাবাহিকটিতে,	
tistaar,	টিস্তার,	তিস্তার,	
dhache,	ঢাঁে,	ধাঁচে,	
asietic,	আশিতিক,	এশিয়াটিক,	
potka,	পত্কা,	পটকা,	
manu,	মনু,	মনু,	
oedipush,	অদিপুষ,	ইডিপাস,	
jesha,	জেস,	জেস,	
lesensa,	লেসেস্স,	লাইসেন্স,	
shikarer,	শিকাের,	শিকারের,	
petenter,	পেটেন্টার,	পেটেন্টের,	
sarbhare,	সর্ভারে,	সার্ভারে,	
expose,	এক্সপোজ,	এক্সপোজ,	
blagaarara,	ব্লাগারের,	ব্লগাররা,	
aarik,	আরিক,	আরিক,	
ulcer,	উল্সার,	আলসার,	
parinati,	পরিণতি,	পরিণতি,	
protijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
patterne,	পতটার্ন,	প্যাটার্নে,	
torkarir,	তরকারীর,	তরকারীর,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
eemeergeency,	এমেরজিং্সি,	এমার্জেন্সি,	
remacry,	রেমাক্রি,	রেমাক্রী,	
sahajlabhbhotar,	সহজাভভাতার,	সহজলভ্যতার,	
bolatkar,	বোলককার,	বলাৎকার,	
aagera,	আগেরা,	আগোরা,	
somraatraa,	সম্রাত্রা,	সম্রাটরা,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
santoshpore,	সন্তসপপর,	সন্তোষপুর,	
asabhyaa,	অসভ্য,	অসভ্য,	
pujita,	পূজিতা,	পূজিতা,	
kiutie,	কিউটিই,	কিউটি,	
nodigulo,	নদীগুলো,	নদীগুলো,	
neemitte,	নিমিত্যে,	নিমিত্তে,	
neurooloogy,	নিরালজি,	নিউরোলজি,	
choity,	চৈতি,	চৈতি,	
gosthyti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
beda,	বেদা,	বেদ,	
dhos,	ধ্বস,	ধস,	
postay,	পোস্তে,	পোস্টে,	
archimedeser,	অর্কিডেমেসের,	আর্কিমিডিসের,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
nodiitike,	নদীতীকে,	নদীটিকে,	
sudha,	সুধ,	সুধা,	
asamanjashapurna,	আসমানপূস্রণ,	অসামঞ্জস্যপূর্ণ,	
turkider,	তুর্কীদের,	তুর্কিদের,	
sorajur,	সরাজুর,	সরযূর,	
teemplatee,	টিম্পলতট,	টেম্পলেট,	
sohokari,	সহকারি,	সহকারী,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
biru,	বিরু,	বীরু,	
chirokumari,	চিরকুরমী,	চিরকুমারী,	
lotharan,	লোথারণ,	লুথেরান,	
kaalniir,	কালনির,	কালনীর,	
ashonka,	আসঙ্কা,	আশংকা,	
moochi,	মুচি,	মুচি,	
directorete,	ডিরেক্টরিতে,	ডিরেক্টরেট,	
talgachh,	টালগাছ,	তালগাছ,	
nartakike,	নর্তকীকে,	নর্তকীকে,	
tonight,	তনিঘট,	টুনাইট,	
manmath,	মনমাথ,	মন্মথ,	
taims,	টাইমস,	টাইমস্,	
melborroner,	মেলবর্নরের,	মেলবোর্নের,	
ekshor,	একসর,	একশোর,	
swapad,	স্বপদ,	শ্বাপদ,	
byomkesh,	ব্যামকেশ,	ব্যোমকেশ,	
maddhobir,	মধ্যবীর,	মাধবীর,	
modelling,	মোডেলিং,	মডেলিং,	
gaafeeloti,	গ্যাফিলটি,	গাফিলতি,	
ponni,	পন্নী,	পন্নী,	
the,	দি,	থাই,	
oppohoron,	অপহরণ,	অপহরন,	
rajtantrey,	রাজত্নন্ত্রে,	রাজতন্ত্রে,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
bashitey,	বাশিতে,	বাঁশিতে,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
seector,	সিক্টর,	সেক্টর,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
nirikhe,	নিরিখে,	নিরিখ,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
oiteejyer,	ঐতিহ্যের,	ঐতিহ্যের,	
mandape,	মণ্ডপে,	মন্ডপে,	
obotar,	অবতার,	অবতার,	
elaakaai,	এলাকাই,	এলাকাই,	
cheerontan,	চিরত্যান,	চিরন্তন,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
perther,	পের্থের,	পার্থের,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
agradut,	অগ্রাডাউ,	অগ্রদূত,	
lajiker,	লাজিকের,	লজিকের,	
naitikatabodh,	নৈতিকতাবাদ,	নৈতিকতাবোধ,	
kartam,	কার্টাম,	করতাম,	
shangkalone,	সংকলনে,	সংকলনে,	
neelabh,	নীলভ,	নীলাভ,	
songkoloney,	সংকলনে,	সংকলনে,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
miitar,	মিটার,	মিত্র,	
uzobekeestaan,	উজবাকিস্তান,	উজবেকিস্তান,	
mitroder,	মিত্রদের,	মিত্রদের,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
gyate,	জ্ঞাতে,	গ্যেটে,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
sotorkota,	সর্তকতা,	সতর্কতা,	
khorsed,	খরসেদ,	খোরশেদ,	
breaqthrough,	বৃরক্রুঘ,	ব্রেকথ্রু,	
abhiyojan,	অভিযাজন,	অভিযোজন,	
itastata,	ইতস্ততা,	ইতস্তত,	
khagen,	খাজেন,	খগেন,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
tegara,	টেগার,	টাইগার,	
kraim,	ক্রাম,	ক্রাইম,	
borana,	বরাণা,	বোরন,	
thyachar,	থ্যাচার,	থ্যাচার,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
ghatla,	ঘটালা,	ঘটল,	
chitranattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
karmer,	কারমের,	কর্মের,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
ganona,	গণনা,	গণনা,	
obhijojon,	অভিযোজন,	অভিযোজন,	
sangkalaney,	সংকলানে,	সংকলনে,	
garjon,	গর্জন,	গর্জন,	
ovisongson,	অভিসং্ন,	অভিশংসন,	
sperm,	স্পার্ম,	স্পার্ম,	
jibjontu,	জীবজন্তু,	জীবজন্তু,	
gaichey,	গাইছে,	গাইছে,	
naubihar,	নৌবির,	নৌবিহার,	
piruzali,	পিরুজালী,	পিরুজালী,	
