chirohorit,	চিহরিত,	চিরহরিৎ,	
aholyar,	আহল্যার,	অহল্যার,	
mootar,	মোটার,	মুতার,	
mile,	মাইল,	মিলে,	
sotorkokaree,	সত্রককারী,	সতর্ককারী,	
tiner,	টিনের,	তিনের,	
shkirt,	স্কার্ট,	স্কার্ট,	
asamorik,	আসামরিক,	অসামরিক,	
jwalbe,	জ্বলবে,	জ্বলবে,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
ralf,	রাল্ফ,	রালফ,	
asif,	আসিফ,	আসিফ,	
bhorkendra,	ভোরেক্দ্র,	ভরকেন্দ্র,	
chalachchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bagdade,	বাজদাদে,	বাগদাদে,	
jathaartho,	যথার্থ,	যথার্থ,	
chhedon,	ছেদন,	ছেদন,	
shannal,	স্ন্নাল,	সান্যাল,	
jansha,	জনস,	জন্স,	
temon,	টেমন,	তেমন,	
bahati,	বাহতি,	বাহাতি,	
niropekshtar,	নিরপপক্ষাতর,	নিরপেক্ষতার,	
shakkhatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
plasse,	প্লাসে,	প্লাসে,	
odure,	অদূরে,	অদুরে,	
cuti,	কুটি,	কিউটি,	
khaneker,	খানেকের,	খানেকের,	
meterey,	মেটারে,	মিটারে,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
sollallhoo,	সল্লাল্লু,	সল্লাল্লাহু,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
sporsher,	স্পর্শের,	স্পর্শের,	
footbalarer,	ফুটবলরের,	ফুটবলারের,	
ganoporibahan,	গণপরিবহন,	গণপরিবহন,	
polashir,	পলাশির,	পলাশীর,	
shcholashtic,	স্কোলসাস্টিক,	স্কলাস্টিক,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
oteeteo,	অটিতেও,	অতীতেও,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
roshider,	রশিদের,	রশিদের,	
thakani,	ঠাকানি,	থাকেনি,	
samabesh,	সমবেশ,	সমাবেশ,	
nagorik,	নাগরিক,	নাগরিক,	
odhit,	অধিত,	অধীত,	
carzito,	কর্জিত,	চার্জিত,	
concerter,	কনসার্টের,	কানসাটের,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
sahokari,	সহকারি,	সহকারী,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
shaswata,	শাস্বত,	শাশ্বত,	
kathmandutey,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
mosjidke,	মসজিদকে,	মসজিদকে,	
mandanda,	মানদন্ড,	মানদণ্ড,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
veenus,	ভেনাস,	ভেনাস,	
sthapanagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
deebatee,	দেবাতি,	ডিবেট,	
azizur,	আজিজুর,	আজিজুর,	
necker,	নেকার,	নেকের,	
aaloteo,	আলোতেও,	আলোতেও,	
samudratatey,	সমুদ্রততে,	সমুদ্রতটে,	
byepass,	ব্যাপস,	বাইপাস,	
parabortee,	পরবর্তী,	পরর্বতী,	
adbhut,	অদ্ভূত,	অদ্ভুত,	
taresa,	তরেসা,	টেরেসা,	
harisoner,	হারিশনের,	হ্যারিসনের,	
pyor,	প্যার,	পিওর,	
sooresh,	সুরেশ,	সুরেশ,	
dayra,	দেরা,	ডেরা,	
gazee,	গেজ,	গেজ,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
bhalta,	ভাল্ট,	ভল্ট,	
alpokichudin,	অল্পকিছুদিন,	অল্পকিছুদিন,	
sarjur,	সার্জুর,	সরযূর,	
debdebee,	দেবদীবি,	দেবদেবী,	
gonosakkhorota,	গণসাখারতা,	গণসাক্ষরতা,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
huge,	হুগে,	হিউজ,	
steena,	স্টেন,	স্টেন,	
kande,	কান্ডে,	কাণ্ডে,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
kaas,	কাস,	কাস,	
agradut,	আগ্রাদুত,	অগ্রদূত,	
shithilata,	সিথীলতা,	শিথিলতা,	
uttor,	উত্তর,	উওর,	
parksh,	পার্কস,	পার্কস,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
hoteltee,	হটেলটি,	হোটেলটি,	
armstronz,	আর্স্ট্রম্জ,	আর্মস্ট্রং,	
chhilonaa,	ছিলনা,	ছিলনা,	
shudhui,	সুধ্যু,	শুধুই,	
pharanyeta,	ফারান্যাট,	ফরম্যাট,	
uponisoder,	উপনিষদের,	উপনিষদের,	
hiragaana,	হিরাগান,	হিরাগানা,	
odoore,	অদুরে,	অদুরে,	
peeth,	পিথ,	পীঠ,	
ashor,	আশর,	আসর,	
haphsa,	হাফসা,	হাফসা,	
shaatjoner,	সাতজনের,	সাতজনের,	
nirmol,	নির্মল,	নির্মল,	
baek,	বেক,	বাইক,	
ispreedsheet,	এস্পৃদেশিত,	স্প্রেডশীট,	
ghumata,	ঘুমতা,	ঘুমাতো,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
snepara,	স্পেনার,	স্নাইপার,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
laisense,	লেসেন্স,	লাইসেন্স,	
byaboharkariderkey,	ব্যবহারকারকেরকে,	ব্যবহারকারীদেরকে,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
parsher,	পার্সের,	পার্শ্বের,	
mitroyo,	মিত্রো,	মিত্রও,	
monzhostho,	মঞ্ঝস্থ,	মঞ্চস্থ,	
durg,	দার্গ,	দুর্গ,	
biswashwo,	বিশ্বাস্ব,	বিশ্বাসও,	
shaluk,	শালুক,	শালুক,	
kreedita,	ক্রিডিত,	ক্রেডিট,	
crescenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
hola,	হলা,	হোল,	
zerusalemer,	জেরুসলাইমের,	জেরুজালেমের,	
ayantarketika,	অন্টার্টেকিক,	অ্যান্টার্কটিকা,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
joonsa,	জুনসা,	জোন্স,	
alonkaron,	অলঙকরণ,	অলঙ্করণ,	
pooroheetke,	পুরহিতকে,	পুরোহিতকে,	
abdi,	অব্দি,	অব্দি,	
dweepgoolo,	দ্বিপগুলো,	দ্বীপগুলো,	
jalrang,	জলরাং,	জলরঙ,	
upobasi,	উপবাসী,	উপবাসী,	
dharavahiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
laiseensee,	লেসেন্স,	লাইসেন্স,	
elakatikey,	এলাকাটিকে,	এলাকাটিকে,	
akkharke,	আক্ষারকে,	অক্ষরকে,	
post,	পোস্ট,	পোষ্ট,	
pachok,	পাছক,	পাচক,	
cinematographer,	সিনোট্যাগ্রাফের,	সিনেমাটোগ্রাফার,	
torokareer,	তরকারির,	তরকারীর,	
cherechhe,	চেরেছে,	ছেড়েছে,	
playtey,	প্লেটে,	প্লেটে,	
itastata,	ইতাস্টট,	ইতস্তত,	
shapholler,	সাফলের,	সাফল্যের,	
hitakar,	হিতাকার,	হিতকর,	
dharavassokar,	ধারাভাষ্যার,	ধারাভাষ্যকার,	
shourshe,	সৌর্সে,	সোর্স,	
elakatey,	এলাকাতে,	এলাকাতে,	
maryir,	মেরির,	ম্যারির,	
hamasa,	হমাসা,	হোমস,	
koruna,	করুনা,	করুণা,	
hijriite,	হিজরিতে,	হিজরীতে,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
sheo,	সিও,	সেও,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
pyaleshtainer,	প্যালেস্টাইনের,	প্যালেস্টাইনের,	
patthon,	পাঠান,	পঠন,	
talgach,	তলগাছ,	তালগাছ,	
dephinesana,	ডিফিনিশন,	ডেফিনেশন,	
avetara,	অভাতার,	অবতার,	
purohitra,	পুরহিত্র,	পুরোহিতরা,	
fising,	ফিশিং,	ফিসিং,	
porbotmala,	পর্বতত্মালা,	পর্বতমালা,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
parinoti,	পরিনতি,	পরিণতি,	
ajim,	আজিম,	আজিম,	
sayeed,	সাঈদ,	সাইদ,	
bojhe,	বোঝে,	বোঝে,	
sahochorjo,	সহচর্য,	সাহচর্য,	
mahe,	মাহে,	মাহে,	
categoryer,	ক্যাটেররির,	ক্যাটাগরির,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
susamo,	সুসম,	সুসম,	
meghacchonno,	মেঘাচ্ছন্য,	মেঘাচ্ছন্ন,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
dibya,	দিব্য,	দিব্যা,	
shaartho,	সার্থ,	স্বার্থ,	
uddhritto,	উদ্ধৃত্য,	উদ্ধৃত,	
sahajlabhbhatar,	সহজলভাবতার,	সহজলভ্যতার,	
kortona,	কর্তনা,	করতনা,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
jalarong,	জলারং,	জলরঙ,	
grip,	গ্রিপ,	গ্রিপ,	
monzooshree,	মন্জুরী,	মঞ্জুশ্রী,	
idipas,	এদিপাশ,	ইডিপাস,	
shilver,	সিলভার,	সিলভার,	
poonch,	পুঁচ,	পুঞ্চ,	
azaadeer,	আজাদীর,	আজাদীর,	
ghoorsen,	ঘুরেন,	ঘুরেছেন,	
vangley,	ভাঙলে,	ভাঙলে,	
qanaphliqta,	কাফাফললিক্ট,	কনফ্লিক্ট,	
tarunderke,	তারুন্দারকে,	তরুণদেরকে,	
hamburgey,	হাম্বর্গে,	হামবুর্গে,	
horash,	হরাশ,	হোরাস,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
allah,	আল্লাহ,	আল্লাহ্,	
bhogini,	ভগিনী,	ভগিনী,	
vittiti,	ভিত্তিটি,	ভিত্তিটি,	
hatodaridra,	হতোদরীদরর,	হতদরিদ্র,	
jeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
jolorong,	জলরং,	জলরঙ,	
melobborner,	মেলবর্নের,	মেলবোর্নের,	
paitey,	পাইতে,	পাইতে,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
isan,	আসান,	ঈশান,	
sausaje,	সৌসাজে,	সসেজ,	
aachhis,	আছিস,	আছিস,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
pletoo,	প্লেটু,	প্লেটো,	
prapokke,	প্রাপককে,	প্রাপককে,	
jathan,	যথান,	যথন,	
arunima,	অরুনিমা,	অরুণিমা,	
ketechilo,	কেটেছিল,	কেটেছিল,	
mahindra,	মাহিন্দ্র,	মাহিন্দ্রা,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
prokolpoguli,	প্রকলপপগুলি,	প্রকল্পগুলি,	
mozdur,	মজদুর,	মজদুর,	
poper,	পপার,	পোপের,	
timoothy,	তিমুথি,	টিমোথি,	
parking,	পার্কিং,	পার্কিং,	
muhammader,	মুহাম্মদের,	মুহম্মদের,	
seektara,	সেক্টার,	সেক্টর,	
charger,	চার্গের,	চার্জের,	
setan,	সেটান,	শয়তান,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
dokangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
bossontoke,	বসন্তকে,	বসন্তকে,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
qredita,	ক্রেডিত,	ক্রেডিট,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
vezano,	ভেজানো,	ভেজানো,	
baharamporer,	বাহরামপুরের,	বহরমপুরের,	
forid,	ফরিদ,	ফরিদ,	
deebating,	দেবতিং,	ডিবেটিং,	
nebhatey,	নেভাতে,	নেভাতে,	
kaaferder,	কাফারদের,	কাফেরদের,	
antorbhukta,	অন্নর্ভূক্ত,	অন্তর্ভুক্ত,	
kormoyi,	করমই,	কর্মই,	
charchita,	চর্চিত,	চর্চিত,	
scorey,	স্করে,	স্কোরে,	
diyares,	ডিয়ারেস,	ডিআরএস,	
bidrup,	বিদ্রূপ,	বিদ্রূপ,	
birishirite,	বিরিশিরিতে,	বিরিশিরিতে,	
mulgoto,	মূলগত,	মূলগত,	
arakaner,	আরকণের,	আরাকানের,	
seqtara,	সেক্টর,	সেক্টর,	
chargito,	চর্গিত,	চার্জিত,	
