hitaishi,	হিটাইসই,	হিতৈষী,	
qaferderkey,	কাফরদেরকে,	কাফেরদেরকে,	
sharok,	স্বরক,	স্মারক,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
dai,	দা,	ডে,	
tecno,	টেকনো,	টেকনো,	
swastir,	স্বশ্তির,	স্বস্তির,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
bait,	ব্যাট,	বাইট,	
uponeeshoder,	উপনীষদের,	উপনিষদের,	
mirakela,	মিরাকেল,	মিরাকেল,	
sheat,	সিট,	সিট,	
addabaz,	আদ্াবাজ,	আড্ডাবাজ,	
pattarn,	পটার্ন,	প্যাটার্ন,	
formet,	ফরমেট,	ফরম্যাট,	
gajiipur,	গাজীপুর,	গাজীপুর,	
qor,	কোর,	কর,	
ramzaner,	রামজানের,	রমযানের,	
kushomva,	কুষম্ভ,	কুশুম্বা,	
gorib,	গরিব,	গরিব,	
daankaan,	ডাঙ্কান,	ডানকান,	
osshoshtikor,	অস্বস্তিকর,	অস্বস্তিকর,	
sahakari,	সহকারি,	সহকারী,	
totenhaamer,	টটেহহামের,	টটেনহামের,	
harbur,	হারবুর,	হারবার,	
naitikatabodh,	নৈতিকাতব,	নৈতিকতাবোধ,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
moushum,	মৌসুম,	মৌসুম,	
khalidkay,	খলিদে,	খালিদকে,	
credit,	ক্রিডিট,	ক্রেডিট,	
satarkatar,	সত্তরকাটার,	সতর্কতার,	
hazat,	হাতত,	হজত,	
veemsen,	ভিমসন,	ভীমসেন,	
taffsherer,	তাফস্রের,	তাফসীরের,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
iyutha,	ইউোথ,	ইয়ুথ,	
setio,	সেটিও,	সেটিও,	
gananatya,	গণনাত্য,	গণনাট্য,	
infarmatian,	ইনফারমেশন,	ইনফরমেশন,	
abheegomon,	অভিগমন,	অভিগমন,	
provritite,	প্রবৃতিতে,	প্রভৃতিতে,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
kottar,	কত্তর,	কট্টর,	
dweepgoolo,	দ্বীপগুলো,	দ্বীপগুলো,	
futonta,	ফুটন্ট,	ফুটন্ত,	
chetonagato,	চেতনাগত,	চেতনাগত,	
taatey,	তাঁতে,	তাতে,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
bonkey,	বোঁকে,	বনকে,	
depootee,	ডিপোটি,	ডেপুটি,	
melobborne,	মেলবর্নে,	মেলবোর্নে,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
kuley,	কুলে,	কুলে,	
morodeho,	মরদেহ,	মরদেহ,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
jerujalem,	জেরুজালেম,	জেরুসালেম,	
galpokar,	গল্পকার,	গল্পকার,	
labonaktotar,	লবনাক্ততা,	লবণাক্ততার,	
sahoocorzoe,	সহচুর্যে,	সাহচর্যে,	
foster,	ফোস্টার,	ফস্টার,	
khorsed,	খর্ষেদ,	খোরশেদ,	
byaaran,	ব্যারন,	ব্যারন,	
lesense,	লেইসেন্সে,	লাইসেন্স,	
krej,	ক্রেজ,	ক্রেজ,	
haphsa,	হাফস,	হাফসা,	
foxer,	ফক্সের,	ফক্সের,	
cholocchitrotike,	চলচ্রিত্যটিকে,	চলচ্চিত্রটিকে,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
maithili,	মাইথিলি,	মৈথিলি,	
chaity,	চাইতি,	চৈতি,	
hari,	হ্যারি,	হরি,	
koreempur,	করিমপুর,	করিমপুর,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
gujaber,	গুজবের,	গুজবের,	
elaakaati,	এলাকাটি,	এলাকাটি,	
saoum,	সাওম,	সাওম,	
clause,	ক্লাসে,	ক্লজ,	
adbhansed,	অ্যাডভান্সদে,	অ্যাডভান্সড,	
nilkuthir,	নিলকুঠির,	নীলকুঠির,	
proo,	প্রো,	প্রো,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
dhoorer,	ধরের,	ধরের,	
silvar,	সিলভার,	সিলভার,	
samle,	স্যামলে,	সামলে,	
okritakarjo,	অকৃত্রাক্য,	অকৃতকার্য,	
debdebie,	দেবদেবী,	দেবদেবী,	
romantiq,	রোমান্টিক,	রোমান্টিক,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
tennis,	টেনিস,	টেনিস,	
baarbadoj,	বার্বাদোজ,	বার্বাডোজ,	
silvee,	সিলভী,	সিলভি,	
jibjantu,	জীবন্যুত,	জীবজন্তু,	
parswer,	পার্সের,	পার্শ্বে,	
eideen,	ইদিন,	এইদিন,	
muradke,	মুরাদকে,	মুরাদকে,	
manushi,	মানুসি,	মানুষী,	
laesens,	লাইনেস্স,	লাইসেন্স,	
japanira,	জাপানীরা,	জাপানিরা,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
oporeeshodhito,	অপরিশোধিত,	অপরিশোধিত,	
robe,	রোব,	রবে,	
suhasini,	সুসাহিনী,	সুহাসিনী,	
gorer,	গরের,	গোরের,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
hugheske,	হুগেশকে,	হিউজকে,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
damanmulak,	দমান্মূলক,	দমনমূলক,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
shaleha,	সালেহ,	সালেহা,	
nodiiteyi,	নদীতেই,	নদীতেই,	
mache,	মাছে,	মাছে,	
booponer,	বুপনের,	বপনের,	
basake,	বসাকে,	বাসাকে,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
seema,	সীমা,	সীমা,	
shajanor,	সাজানোর,	সাজানোর,	
gotibegey,	গতিবেগে,	গতিবেগে,	
shphingtar,	স্ফিন্টর,	স্ফিংটার,	
hepara,	হাইপার,	হাইপার,	
omeettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
jatak,	যাতক,	জাতক,	
lisens,	লাইসেন্স,	লাইসেন্স,	
jesa,	জেস,	জেস,	
sayeed,	সাইদ,	সাইদ,	
rikondison,	রিকন্ডিশন,	রিকন্ডিশন,	
volt,	ভল্ট,	ভল্ট,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
masto,	মোস্ত,	মাস্ত,	
ekkoghore,	একঘুরে,	একঘরে,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
sidharther,	সিধার্থের,	সিদ্ধার্থের,	
faranyata,	ফররন্যটা,	ফরম্যাট,	
shhayatana,	সাইটন,	শয়তান,	
gaiche,	গাইছে,	গাইছে,	
deilee,	দিলি,	ডেইলি,	
elakate,	ইলাকাতে,	এলাকাতে,	
sabrakamer,	সব্রকামের,	সবরকমের,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
shookna,	শুক্ন,	শুকনা,	
nagorikke,	নাগরিককে,	নাগরিককে,	
kormokarer,	কর্মকারের,	কর্মকারের,	
naraphooka,	নারাফুকা,	নরফোক,	
saseeja,	সাসীজা,	সসেজ,	
shoshoa,	শস্য,	শশা,	
palki,	পল্কি,	পাল্কি,	
eekbalke,	ইকবালকে,	ইকবালকে,	
blagaarara,	ব্লগার,	ব্লগাররা,	
rakibul,	রাকিবুল,	রকিবুল,	
saamaanya,	সামান্য,	সামান্য,	
parbatya,	পর্বতা,	পার্বত্য,	
euroo,	ইউরো,	ইউরো,	
oshovyo,	অসহ্য,	অসভ্য,	
ase,	আসি,	আসে,	
shuter,	সুতের,	শ্যুটার,	
ghetoo,	ঘেতু,	ঘেটু,	
johny,	জনি,	জনি,	
kaansaat,	কানসাট,	কানসাট,	
creesceent,	ক্রেসিন্ট,	ক্রিসেন্ট,	
atitkale,	অতিতকালে,	অতীতকালে,	
odhit,	অধিত,	অধীত,	
jonee,	যোনি,	জনি,	
pujit,	পুজিত,	পুজিত,	
eshokol,	এসকল,	এসকল,	
ghesha,	ঘেস,	ঘেঁষা,	
bhugole,	ভূগলে,	ভূগোলে,	
nabom,	নবোম,	নবম,	
chhilonaa,	ছিলনা,	ছিলনা,	
ghatlo,	ঘাতলো,	ঘটল,	
marry,	ম্যারি,	ম্যারি,	
bayii,	বায়,	বাঈ,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
ganoporibahan,	গণপরিবহন,	গণপরিবহন,	
chapol,	চপাল,	চপল,	
maudelke,	মদেলকে,	মডেলকে,	
dholeshori,	ধলেশরি,	ধলেশ্বরী,	
nek,	নেক,	নেক,	
routine,	রাউটিন,	রুটিন,	
mach,	ম্যাচ,	মাছ,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
itastato,	ইটাস্টত,	ইতস্ততঃ,	
ting,	টিং,	টিং,	
laatimer,	লাটিমের,	লাটিমের,	
huqar,	হুকার,	হুকার,	
goreeb,	গরিব,	গরিব,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
blacker,	ব্লকের,	ব্ল্যাকের,	
mosjidtir,	মজিদ্তির,	মসজিদটির,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
jibanjapon,	জীবন্যপপন,	জীবনযাপন,	
peshto,	পেস্ট,	পেষ্ট,	
licencedhari,	লিনেস্্ধাধারী,	লাইসেন্সধারী,	
homshke,	হমস্কে,	হোমসকে,	
mumtajer,	মমতাজের,	মুমতাজের,	
licenshing,	লাইনসেন্সিং,	লাইসেন্সিং,	
paner,	পানের,	পনের,	
shaahoshikataar,	সাহাসিকতার,	সাহসিকতার,	
jansa,	জনসা,	জন্স,	
associatees,	অ্যাসোসেটেস,	এসোসিয়েটস,	
chasee,	চাষী,	চেস,	
mosan,	মশান,	মোশন,	
netsi,	নেটসি,	নাত্সি,	
koro,	কররও,	কর,	
utsahi,	উত্সাহী,	উৎসাহী,	
embaed,	এম্বাড,	এম্বেড,	
subade,	সুবাদে,	সুবাদে,	
bolechi,	বলেছি,	বলেছি,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
moushumti,	মৌসুমটি,	মৌসুমটি,	
felto,	ফেলতট,	ফেলত,	
anchalo,	অঞ্চালো,	অঞ্চলও,	
mett,	ম্যাট,	ম্যাট,	
daaraa,	ডারা,	দারা,	
sheekarer,	শিকারের,	শিকারের,	
jeans,	জিন্স,	জিন্স,	
breakthrough,	ব্রেক্ররুঘ,	ব্রেকথ্রু,	
vaabnar,	ভাবনার,	ভাবনার,	
jaandrel,	জ্যান্ড্রাল,	জাঁদরেল,	
bocchoner,	বচচ্নের,	বচ্চনের,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
qibord,	কিবোর্ড,	কীবোর্ড,	
snipar,	স্নিপার,	স্নাইপার,	
parqs,	পার্কস,	পার্কস,	
karlosa,	কার্লস,	কার্লোস,	
cherechhe,	চেরেছে,	ছেড়েছে,	
anodhikar,	অনোধিকার,	অনধিকার,	
jeebnagar,	জীবন্গর,	জীবননগর,	
orthat,	অর্থাত,	অর্থাৎ,	
adhyatmikatar,	অধ্যাতিক্ার,	আধ্যাত্মিকতার,	
badei,	বদেই,	বাদেই,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
ankeeta,	অংকেতা,	অঙ্কিতা,	
shringa,	শ্রিঙ্গ,	শৃঙ্গ,	
peterkey,	পেটারকে,	পিটারকে,	
reno,	রেইনো,	রেনো,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
kada,	কাদ,	কোড,	
nabotom,	নবতম,	নবতম,	
superhiro,	সুপারহাইরো,	সুপারহিরো,	
shelina,	সেলিন,	সেলিনা,	
somratder,	সম্রতদের,	সম্রাটদের,	
shkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
asiph,	আসিফ,	আসিফ,	
station,	স্টেশন,	ষ্টেশন,	
karaa,	কারা,	কারো,	
bapokotor,	ব্যাপকতার,	ব্যাপকতর,	
maudeler,	মডেলের,	মডেলের,	
kanayi,	কানই,	কানাই,	
akritakarja,	আকৃত্রকার্য,	অকৃতকার্য,	
khur,	খুর,	ক্ষুর,	
airish,	আইরিশ,	আইরিস,	
capshule,	ক্যাপলল,	ক্যাপসুল,	
nirikho,	নিরিখ্য,	নিরিখ,	
mailer,	মেলের,	মেইলের,	
