aatto,	আত্ত্ব,	আত্ম,	
onodhikaar,	অনধধিকার,	অনধিকার,	
kheylechen,	খেলেছেন,	খেলেছেন,	
ramantika,	রাম্যান্তিক,	রোমান্টিক,	
manshe,	মানসে,	মানুষে,	
noiteek,	নৈতিক,	নৈতিক,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
steena,	স্টেন,	স্টেন,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
fulkopi,	ফুলকোপি,	ফুলকপি,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
sepha,	সেফ,	শেফ,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
chaka,	চাকা,	চাকা,	
jaanar,	জানার,	জানার,	
sector,	সেক্টর,	সেক্টর,	
ralf,	রাফ,	রালফ,	
manhputa,	মানপুতা,	মনঃপুত,	
pothnirdeshona,	পথনির্দেশন,	পথনির্দেশনা,	
spancer,	স্পন্সের,	স্পেন্সার,	
pushti,	পুষ্টি,	পুষ্টি,	
joqy,	জকি,	জকি,	
nesans,	নেসন্স,	নেশনস,	
iunita,	ইউনিত,	ইউনিট,	
anano,	অনানো,	আনানো,	
sanghitar,	সং্্তির,	সংহিতার,	
kaareer,	কারির,	কারীর,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
qyathaliqa,	ক্যাথালিক,	ক্যাথলিক,	
prapokkey,	প্রাপক্ষে,	প্রাপককে,	
agradut,	অগ্রাুত,	অগ্রদূত,	
pathanirdeshana,	পথনির্দেশন,	পথনির্দেশনা,	
harisoner,	হরিসনের,	হ্যারিসনের,	
chintaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
hepataitisha,	হেপটায়েট,	হেপাটাইটিস,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
auttacharer,	অটট্যারের,	অত্যাচারের,	
porikhar,	পরিক্ষার,	পরিখার,	
qara,	কারা,	কর,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
samanyo,	সাম্ন্য,	সামান্য,	
domonmoolok,	দামন্ুলো,	দমনমূলক,	
said,	সেড,	সাইদ,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
nikate,	নিকটে,	নিকটে,	
hepetaitisa,	হ্যাপেটেট,	হেপাটাইটিস,	
dhanni,	ধন্নি,	ধন্যি,	
aazaan,	আজান,	আজান,	
juboke,	যুবকে,	যুবকে,	
lambatey,	লম্বাতে,	লম্বাটে,	
horidar,	হরিদার,	হরিদ্বার,	
rockibul,	রকিক্যুল,	রকিবুল,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
proteesthasoho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
chhutir,	ছুটির,	ছুটির,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
monmotho,	মন্মথ,	মন্মথ,	
mumtazer,	মম্তদের,	মুমতাজের,	
bishwaashshoi,	বিশ্বাসী,	বিশ্বাসই,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
shphingtar,	স্ফিন্টর,	স্ফিংটার,	
talaa,	তলা,	তালা,	
angurer,	অঙুগুরের,	আঙ্গুরের,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
roomantic,	রোমানাতিক,	রোমান্টিক,	
silver,	সিলভের,	সিলভার,	
pingnaa,	পিঙ্গা,	পিংনা,	
bifal,	বিফল,	বিফল,	
bitlaser,	বিটলসের,	বিটলসের,	
tarun,	তারুণ,	তরুন,	
emarjenshi,	এমারনেস্সি,	এমার্জেন্সি,	
emiratas,	এমেরাট,	এমিরেটাস,	
michilti,	মিছিলিট,	মিছিলটি,	
tikka,	টিক্,	টিক্কা,	
chho,	ছো,	ছোঁ,	
jack,	যাঁক,	জ্যাক,	
digreeo,	দিগ্রীও,	ডিগ্রিও,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
ovishangson,	অভিশাসাসন,	অভিশংসন,	
milekhanek,	মিলেখনক,	মাইলখানেক,	
favourite,	ফ্যাওরেটি,	ফেভারিট,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
mmadhuri,	মাধধুরি,	মাধুরী,	
tiger,	তিজের,	টাইগার,	
agamaner,	আগমানের,	আগমনের,	
homsher,	হমমসের,	হোমসের,	
silbhi,	শিলভি,	সিলভি,	
avijojan,	অভিযোজন,	অভিযোজন,	
sontoshe,	সন্তাসে,	সন্তোষে,	
apochesta,	অপচেষ্ট,	অপচেষ্টা,	
miley,	মিলে,	মাইলে,	
reejideencee,	রেজিডেন্সি,	রেসিডেন্স,	
jothon,	যথান,	যথন,	
enginiiring,	ইনজিনিন্রিং,	ইঞ্জিনিয়ারিং,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
aiieubi,	আইএউবি,	আইইউবি,	
mit,	মিত,	মিট,	
thanvi,	থাঁ্গি,	থানভী,	
lutheeran,	লুথররন,	লুথেরান,	
durgatir,	দুর্গতির,	দুর্গটির,	
naker,	নাকের,	নেকের,	
chirohorith,	চিরাহরিত,	চিরহরিৎ,	
edaningkale,	এদনিন্যালে,	ইদানীংকালে,	
instant,	ইন্স্্টান্ট,	ইনস্ট্যান্ট,	
sofier,	সফীর,	সোফির,	
boarana,	বরান,	বোরন,	
coner,	কনের,	কনের,	
marketing,	মার্কেনিং,	মার্কেটিং,	
sosej,	সসেজ,	সসেজ,	
sangkalaney,	সংকগানে,	সংকলনে,	
konagulo,	কোনগুলো,	কণাগুলো,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
kartana,	কর্তন,	করতনা,	
anadhikar,	অনাধিকার,	অনধিকার,	
shrichaitanyadev,	শ্রীচৈত্যান্ডে,	শ্রীচৈতন্যদেব,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
kormer,	কর্মের,	কর্মের,	
aagost,	আগস্ট,	আগষ্ট,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
feroza,	ফেরোজা,	ফিরোজা,	
ekshor,	একশার,	একশোর,	
kansat,	কনসটাত,	কানসাট,	
canflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
jalatanko,	জলাতন্ক,	জলাতঙ্ক,	
nopdnodir,	নপ্দনাদীর,	নদনদীর,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
parq,	পার্ক,	পার্ক,	
peshto,	পেস্ট,	পেষ্ট,	
skart,	স্কর্ট,	স্কার্ট,	
sahazlabhbhotar,	সহযোগ্যাতের,	সহজলভ্যতার,	
veniser,	ভেনিসের,	ভেনিসের,	
ingrejra,	ইংরের্ড,	ইংরেজরা,	
parisankhyanvid,	পরিসংখ্যান্ধ,	পরিসংখ্যানবিদ,	
emgee,	এমজী,	এমজি,	
mautke,	মৌটকে,	মতকে,	
vabotarini,	ভবতরণী,	ভবতারিণী,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
breq,	ব্র্যাক,	ব্রেক,	
monir,	মনির,	মনির,	
hariken,	হারিকেন,	হ্যারিকেন,	
aazaadir,	আজাদীর,	আজাদীর,	
faksa,	ফক্স,	ফক্স,	
horinner,	হরিননের,	হরিণের,	
babyloney,	বাবলিগনে,	ব্যাবিলনে,	
chalake,	চালাকে,	চালকে,	
dhojobhongo,	ধগোভ্গ,	ধ্বজভঙ্গ,	
maszid,	মস্গীদ,	মসজিদ,	
neemitto,	নিমিত্ত,	নিমিত্ত,	
shoya,	শোয়া,	সোয়া,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
manee,	মানি,	মানে,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
sitting,	সিট্টিং,	সিটিং,	
yaaq,	যাক,	ইয়াক,	
khalid,	খলিদ,	খালিদ,	
qrita,	কৃত,	ক্রীট,	
nirdesika,	নির্দেশকা,	নির্দেশিকা,	
ivil,	ইভিল,	ইভিল,	
engrejer,	ইংরেজের,	ইংরেজের,	
daale,	ডালে,	ডালে,	
rightsh,	রাইটস্থ,	রাইটস,	
sipa,	সীপা,	শিপ,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
seektara,	সেক্টর,	সেক্টর,	
qloud,	ক্লাডড,	ক্লাউড,	
jwaluk,	জ্বলক,	জ্বলুক,	
janmato,	জন্মত,	জন্মাত,	
kyatagorir,	ক্যাটাগরীর,	ক্যাটাগরির,	
nilphamarir,	নিলফমামরীর,	নীলফামারীর,	
darzi,	দর্জি,	দরজি,	
dalu,	দালু,	ডালু,	
meshenger,	মেসেন্জের,	মেসেঞ্জার,	
peri,	পেরি,	পেরি,	
laeshesh,	লেসেস,	লাইসেন্স,	
hiranee,	হিরণি,	হিরানি,	
swajaner,	স্বানের,	স্বজনের,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
choudhurike,	চৌধুদিতে,	চৌধুরীকে,	
soommita,	সুম্ত,	সুমিতা,	
bohubar,	বহুবার,	বহুবার,	
dhonni,	ধনবনি,	ধন্যি,	
kranti,	ক্রান্তি,	ক্রান্তি,	
hizri,	হিজরি,	হিজরী,	
parse,	পার্স,	পার্শ্বে,	
maradeha,	মারারেহা,	মরদেহ,	
akik,	একিক,	আকিক,	
alubokhara,	অলোভক্ষারা,	আলুবোখারা,	
duckten,	ডাকতেন,	ডাকতেন,	
charrjito,	চার্দিত,	চার্জিত,	
mitrao,	মিতরও,	মিত্রও,	
sobche,	সবচে,	সবচে,	
bhugole,	ভুগলে,	ভূগোলে,	
snaipara,	স্নাইপর,	স্নাইপার,	
satjoner,	সত্যজনের,	সাতজনের,	
shangkalonti,	সংকালনটি,	সংকলনটি,	
ponjikaar,	পণ্জিকার,	পঞ্জিকার,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
vobtarini,	ভব্তরীী,	ভবতারিণী,	
nishader,	নিশাদের,	নিষাদের,	
nevatey,	নেভাতে,	নেভাতে,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
gezetted,	গেজেটেয়েড,	গেজেটেড,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
airesey,	আইরেশে,	আইরেসে,	
shoili,	শৈলী,	শৈলী,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
rabeta,	রবেত,	রাবেতা,	
jommoo,	জম্ম,	জম্মু,	
bosonto,	বসন্ত,	বসন্ত,	
bhalobaas,	ভালবাসা,	ভালোবাসা,	
sweety,	স্বেতি,	সুইটি,	
koota,	কোট,	কোটা,	
shikhbey,	শিখ্যে,	শিখবে,	
transafarma,	ট্রান্সম্র্ম,	ট্রান্সফর্ম,	
saainyo,	সাইন্য,	সৈন্য,	
sotorkotar,	সত্তরতার,	সতর্কতার,	
guzober,	গুজবের,	গুজবের,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
oindreela,	ঐন্দ্রেল,	ঐন্দ্রিলা,	
ddebet,	ড্বেবেট,	ডিবেট,	
rakibul,	রাকিবুল,	রকিবুল,	
shho,	শা,	শো,	
anchaltikey,	অঞ্চলতিকে,	অঞ্চলটিকে,	
antarctica,	অন্টর্ক্টিক,	অ্যান্টার্কটিকা,	
laabonii,	লাবণী,	লাবনী,	
attar,	আত্মার,	আত্তার,	
fake,	ফেক,	ফাকে,	
sorsa,	সর্ষা,	সোর্স,	
uporitale,	উপরিতালে,	উপরিতলে,	
dhoka,	ঢোকা,	ধোঁকা,	
societytey,	সকিিতিতে,	সোসাইটিতে,	
pretty,	প্রেট্তি,	প্রিটি,	
bonovumite,	বনুভূমিতে,	বনভূমিতে,	
birder,	বীর্রের,	বার্ডের,	
maunjiley,	মাউন্লিই,	মঞ্জিলে,	
darji,	দর্জি,	দরজি,	
antarktika,	অন্তর্কৃত,	অ্যান্টার্কটিকা,	
sloker,	স্লকের,	শ্লোকের,	
prastutkarok,	প্রস্তুতকর্ক,	প্রস্তুতকারক,	
teemothee,	টেমোথ,	টিমোথি,	
orgho,	অর্ঘ,	অর্ঘ্য,	
uchchatara,	উচ্চতার,	উচ্চতর,	
hoteeltite,	হতেলেটি,	হোটেলটিতে,	
japanira,	জাপানীরা,	জাপানিরা,	
gobeshonar,	গবেষণার,	গবেষনার,	
ganokontho,	গণকক্ত,	গণকণ্ঠ,	
konflikt,	কনফালিক্স,	কনফ্লিক্ট,	
obeekol,	অবিকাল,	অবিকল,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
