nesnos,	নেন্নস,	নেশনস,	
prodip,	প্রদীপ,	প্রদীপ,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
prai,	প্রাই,	প্রায়,	
hevy,	হেভি,	হেভি,	
monir,	মনির,	মনির,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
vagadada,	ভাগাদা,	বাগদাদ,	
siddhantao,	সিদ্ধানতাও,	সিদ্ধান্তও,	
boudhheer,	বৌদ্ধির,	বৌদ্ধের,	
kodom,	কদম,	কদম,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
windo,	উইন্দ,	উইন্ডো,	
aarmstrong,	আরম্টম্র,	আর্মস্ট্রং,	
ajuhath,	অজুহাঠ,	অজুহাত,	
bhabatarini,	ভব্তরিনী,	ভবতারিণী,	
kuchir,	কুচির,	কুচির,	
itostato,	ইতস্ততত,	ইতস্তত,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
anchalgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
dailee,	দাইলে,	ডেইলি,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
hoshein,	হোসেন,	হোসেইন,	
verma,	ভারমা,	ভার্মা,	
lidars,	লিডার্স,	লিডার্স,	
debating,	ডেবাটিং,	ডিবেটিং,	
khoor,	খোর,	ক্ষুর,	
bordhitangsho,	বর্ধিতাংশ,	বর্ধিতাংশ,	
odhit,	অধিত,	অধীত,	
parry,	প্যারি,	পেরি,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
cholocchitroke,	চালচিচ্যক্রকে,	চলচ্চিত্রকে,	
nirgun,	নির্জান,	নির্গুণ,	
jatinkey,	জতিনকে,	যতীনকে,	
abhidhaner,	অভিধানের,	অভিধানের,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
bhootara,	ভোটার,	ভোটার,	
rokibul,	রকিবুল,	রকিবুল,	
reliance,	রিলিয়ান্স,	রিলায়েন্স,	
samoshti,	সমসটি,	সমষ্টি,	
shoreefer,	শরীফের,	শরিফের,	
swalpo,	স্বল্প,	স্বল্প,	
jyaqa,	জ্যাক,	জ্যাক,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
agomonke,	আগোমনকে,	আগমনকে,	
saarbhaarti,	সারভারটি,	সার্ভারটি,	
janoikaa,	জননকা,	জনৈকা,	
tarbine,	টারবিনে,	টারবাইন,	
dwip,	দ্বীপ,	দীপ,	
bhabani,	ভবানী,	ভবানী,	
bhaider,	বাইডের,	ভাইদের,	
eidaning,	ইডডনং,	ইদানীং,	
nischitrupe,	নিশ্চিত্রপেপে,	নিশ্চিতরূপে,	
modelling,	মোডালিং,	মডেলিং,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
enginears,	এন্জিনার্স,	ইঞ্জিনিয়ার্স,	
dhhaby,	ঢাবি,	ঢাবি,	
moonshi,	মুনশী,	মুন্সি,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
dilam,	দিলম,	দিলাম,	
obhijojan,	অভিযোজন,	অভিযোজন,	
edaningkale,	এডানিকলাে,	ইদানীংকালে,	
kantojir,	কান্তজীর,	কান্তজির,	
scoree,	স্করি,	স্কোরে,	
umedpoor,	উমেদপুর,	উমেদপুর,	
vageryi,	ভাগেরই,	ভাগেরই,	
nilabho,	নীলভ,	নীলাভ,	
hiragaana,	হিরাগানা,	হিরাগানা,	
agomoney,	আগমমনে,	আগমনে,	
farid,	ফেরিদ,	ফরিদ,	
dhaleshorii,	ধেলেশরী,	ধলেশ্বরী,	
ashok,	আশোক,	আশোক,	
phakay,	ফাকে,	ফাকে,	
musolmanra,	মুসলমমনারা,	মুসলমানরা,	
shuchonakal,	শূচনাকাল,	সূচনাকাল,	
dibeeta,	দিবিতা,	ডিবেট,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
omanisha,	অমানিস,	অমানিশা,	
daebug,	দেবুগ,	ডিবাগ,	
modelti,	মোদেলটি,	মডেলটি,	
shorsha,	সোর্স,	সোর্স,	
ceema,	কেম,	সীমা,	
vittiti,	ভিত্টিটি,	ভিত্তিটি,	
khalidke,	খালিকে,	খালিদকে,	
timathy,	তিমথি,	টিমোথি,	
krus,	ক্রাস,	ক্রুশ,	
songbadmadhyomgulote,	সংবাদমযুগ্লকে,	সংবাদমাধ্যমগুলোতে,	
obolokon,	অবলকন,	অবলোকন,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
mautke,	মাটকে,	মতকে,	
rathin,	রথিন,	রথীন,	
emarzensi,	এমার্জেন্জি,	এমার্জেন্সি,	
musalmanderkey,	মুসলামন্দকে,	মুসলমানদেরকে,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
poste,	পোস্টে,	পোষ্টে,	
aansaarir,	আনসারির,	আনসারীর,	
grameryi,	গ্রামারেই,	গ্রামেরই,	
sotteo,	সত্যেও,	সত্ত্বেও,	
nathibhukta,	নথিভূক্ত,	নথিভুক্ত,	
nischay,	নিশ্চে,	নিশ্চয়,	
talaal,	তালাল,	তালাল,	
breakthrough,	বৃক্তরাঘ,	ব্রেকথ্রু,	
trayte,	ট্রেইট,	ট্রেতে,	
elakatir,	এলাকটটির,	এলাকাটির,	
blacq,	ব্লক,	ব্ল্যাক,	
cbi,	সিবি,	সিবিআই,	
parpel,	পার্পেল,	পার্পেল,	
nischitarupey,	নিশ্চিত্বরূপে,	নিশ্চিতরূপে,	
shashoto,	শাশত,	শাশ্বত,	
letter,	লেটার,	লেটার,	
prapokkey,	প্রাপকে,	প্রাপককে,	
nilkamal,	নিল্কমাল,	নীলকমল,	
tecno,	টেকনো,	টেকনো,	
sayaneda,	সায়েনে,	সায়ানাইড,	
mett,	মেট,	ম্যাট,	
ghursen,	ঘুর্ষেন,	ঘুরেছেন,	
qaroo,	কারু,	কারো,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
dibbay,	ডিবে,	দিব্যা,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
arke,	আরকে,	আরকে,	
parshwer,	পার্শের,	পার্শ্বের,	
kadom,	কাদম,	কদম,	
surti,	সূর্তি,	সুরটি,	
maahe,	মাহে,	মাহে,	
saptahokal,	সপ্তহহাল,	সপ্তাহকাল,	
ansareer,	আনসার,	আনসারীর,	
shumo,	শুমো,	সুমো,	
tempaleta,	টেম্পললট,	টেম্পলেট,	
ajijoor,	আজিজুর,	আজিজুর,	
rajballabh,	রাজবললব,	রাজবল্লভ,	
potengar,	পতেঙ্গার,	পতেঙ্গার,	
bolovodro,	বলবদরর,	বলভদ্র,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
sainyo,	সৈন্য,	সৈন্য,	
arina,	এরিনা,	এরিনা,	
oncoleo,	অঁঁকলেও,	অঞ্চলেও,	
upobaashee,	উপবাষী,	উপবাসী,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
astikota,	অস্তিকোতা,	আস্তিকতা,	
aaireesh,	আইরিশ,	আইরিস,	
coode,	কোড,	কোড,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
manee,	মানী,	মানে,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
rushd,	রুশশ,	রুশদ,	
bahubar,	বহুবর,	বহুবার,	
parqim,	পার্কিং,	পার্কিং,	
bondikey,	বন্দিকে,	বন্দীকে,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
ujobekeestaner,	উজবেকিক্তানের,	উজবেকিস্তানের,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
kormoke,	কর্মকে,	কর্মকে,	
utsaha,	উত্সাহ,	উৎসাহ,	
udbodhoni,	উদ্বধনী,	উদ্বোধনী,	
ganoporibahoner,	গণপরিবানের,	গণপরিবহনের,	
chaanu,	চানু,	চানু,	
chirokoomari,	চিরকোমারী,	চিরকুমারী,	
jeansh,	জিন্স,	জিন্স,	
braille,	ব্রেল,	ব্রেইল,	
jaistho,	জৈস্ঠ্য,	জ্যৈষ্ঠ,	
aiieubi,	আইইউআবি,	আইইউবি,	
jeebanjapon,	জীবনজাপন,	জীবনযাপন,	
laaj,	লাজ,	লাজ,	
leader,	লেডার,	লিডার,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
monmotho,	মনমম,	মন্মথ,	
musalmanderke,	মুসলামন্দকে,	মুসলমানদেরকে,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
carzito,	সার্জিত,	চার্জিত,	
kodorer,	কদরের,	কদরের,	
ujobekeestan,	উজবেকিষ্তান,	উজবেকিস্তান,	
naubihar,	নবিহার,	নৌবিহার,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
panera,	পানেরা,	পনের,	
hoteelti,	হটিলটি,	হোটেলটি,	
meghey,	মেঘে,	মেঘে,	
aksathe,	একসাথে,	একসাথে,	
parinati,	পরিনাটি,	পরিণতি,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
jeebonnogor,	জীবননগর,	জীবননগর,	
nodiitei,	নদীতেই,	নদীতেই,	
antarctika,	অন্টার্টিকা,	অ্যান্টার্কটিকা,	
sheekar,	শিকার,	শিকার,	
break,	ব্রেক,	ব্রেক,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
abheedhaneeck,	অভিধানেক,	অভিধানিক,	
urur,	ঊরুর,	উরুর,	
novell,	ন্যাভেল,	নভেল,	
prema,	প্রেম,	প্রাইম,	
holdin,	হোলদিন,	হোল্ডিং,	
koieri,	কায়রি,	কোয়েরি,	
shoccar,	সক্যার,	সকার,	
bholapuka,	ভোলাপুকা,	ভোলাপুক,	
jomaanor,	জমানোর,	জমানোর,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
foshter,	ফোস্টার,	ফস্টার,	
paikar,	পাইকার,	পাইকার,	
beshirvagyi,	বেশীরভাগই,	বেশিরভাগই,	
stoneeheengee,	স্ট্নেহিং,	স্টোনহেঞ্জ,	
aipiela,	এপিলে,	আইপিএল,	
taioyana,	টাইওয়ান,	তাইওয়ান,	
doula,	দৌলা,	দৌলা,	
upobasi,	উপবাসী,	উপবাসী,	
kibord,	কিবোর্ড,	কীবোর্ড,	
manushtikey,	মনুষ্টকে,	মানুষটিকে,	
uposthitir,	উপস্থিটির,	উপস্থিতির,	
rautine,	রাউটিন,	রুটিন,	
machhe,	মাছে,	মাছে,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
pradeep,	প্রাদীপ,	প্রদীপ,	
dharavahikti,	ধারাভাকিতি,	ধারাবাহিকটি,	
ezenda,	এজেন্ড,	এজেন্ডা,	
stonehenge,	স্ট্নেহেঙ্গে,	স্টোনহেঞ্জ,	
daakope,	ডাকপপে,	দাকোপ,	
abhidhaaneec,	আভিধানক,	অভিধানিক,	
protijogi,	প্রতিযোগি,	প্রতিযোগী,	
avatara,	অভাতরা,	অবতার,	
besinay,	বেসিনে,	বেসিনে,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
asamonjoshopurno,	অসমাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
sakara,	শ্কারা,	সাকার,	
dharabahikotitey,	ধারাবাহিকতে,	ধারাবাহিকটিতে,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
joonsa,	জোন্স,	জোন্স,	
quartar,	কোর্টার,	কোয়ার্টার,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
kalam,	কলম,	কালাম,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
koyari,	কোয়ারি,	কোয়েরি,	
doover,	দুভের,	ডোভার,	
primo,	প্রিমো,	প্রিমো,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
pancbaar,	পাঁচবার,	পাঁচবার,	
baek,	ব্যাক,	বাইক,	
dakope,	ডাকপপে,	দাকোপ,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
korkotkrantee,	কর্কক্রানটি,	কর্কটক্রান্তি,	
hishaber,	হিসেবের,	হিসাবের,	
rekhapat,	রেক্ষপত,	রেখাপাত,	
gadha,	গাধা,	গাধা,	
turky,	টার্কি,	তুর্কি,	
azizur,	আজিজুর,	আজিজুর,	
thyachara,	থ্যাচার,	থ্যাচার,	
konphlict,	কাফল্লকট,	কনফ্লিক্ট,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
meetar,	মিটার,	মিত্র,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
chaktir,	চক্তির,	চাকতির,	
