nagarikderkey,	নগরীকদ্রে,	নাগরিকদেরকে,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
poddhotitei,	পদ্ধতিতে,	পদ্ধতিতেই,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
langhon,	লঙ্ঘন,	লংঘন,	
velcome,	ভেলকমে,	ওয়েলকাম,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
oitijjer,	ঐতিয্যের,	ঐতিহ্যের,	
siter,	সিটের,	সিটের,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
veenish,	ভেনিস,	ভেনিস,	
janapath,	জনপথ,	জনপথ,	
ateetkale,	অতীতকালে,	অতীতকালে,	
phareqsa,	ফরেক্স,	ফরেক্স,	
aiiub,	আইভ,	আইইউবি,	
soomi,	সুমি,	সুমি,	
dinner,	ডিনের,	ডিনার,	
vittiei,	ভিট্যই,	ভিত্তিই,	
majdur,	মাজদুর,	মজদুর,	
grambashi,	গ্রাম্াসী,	গ্রামবাসী,	
ujbekistan,	উজ্েবিক্তান,	উজবেকিস্তান,	
ship,	শিপ,	শিপ,	
smaraker,	স্মরকের,	স্মারকের,	
manob,	মানব,	মানব,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
veenus,	ভেনুস,	ভেনাস,	
tanight,	ট্যানিট,	টুনাইট,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
joisttho,	জযৈষ্ঠ,	জ্যৈষ্ঠ,	
kanayi,	কানাই,	কানাই,	
soceitykey,	সোচিতকে,	সোসাইটিকে,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
vaibonder,	ভাববেনদের,	ভাইবোনদের,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
bamnii,	বামনই,	বামনী,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
sthaponar,	স্থাপনার,	স্থাপনার,	
whole,	হোলে,	হোল,	
dhaleshorii,	ধালেশরই,	ধলেশ্বরী,	
tonga,	তঙ্গ,	টোঙ্গা,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
vooter,	ভোটের,	ভোটার,	
avatara,	অভতার,	অবতার,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
beekaargrasta,	বিকারগ্রস্থ,	বিকারগ্রস্ত,	
ancholke,	আঞ্চলকে,	অঞ্চলকে,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
dhyanostho,	ধানসন্থ,	ধ্যানস্থ,	
sthaponatir,	স্থাপনতির,	স্থাপনাটির,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
debdebi,	দেবদেবী,	দেবদেবী,	
queery,	কুউরি,	কোয়েরি,	
parabortee,	পরবর্তী,	পরর্বতী,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
jeebjontu,	জীবন্ততু,	জীবজন্তু,	
murli,	মুর্লি,	মুরলী,	
patthkromer,	পাঠ্রক্রমের,	পাঠক্রমের,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
sheepha,	সেফ,	শেফ,	
sangharshik,	সংংর্ষিক,	সাংঘর্ষিক,	
ganesher,	গনেসের,	গণেশের,	
shukna,	শুকনা,	শুকনা,	
phix,	ফিক্স,	ফিক্স,	
sollallhoo,	সল্লাল্লুহ,	সল্লাল্লাহু,	
porishongkhyanbid,	পরিসংখ্যাবনিদ,	পরিসংখ্যানবিদ,	
peterer,	পেটারের,	পিটারের,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
desiseyer,	ডেসিসির,	ডিজিজের,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
kortonaa,	কর্তনা,	করতনা,	
aazeez,	আজিজ,	আজিজ,	
postay,	পোস্টে,	পোস্টে,	
fulkopi,	ফুলকোপি,	ফুলকপি,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
phokshkon,	ফক্ষক,	ফক্সকন,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
darada,	দরদা,	দারদা,	
antarvuktimulak,	অন্তর্ভূত্চুকুক,	অন্তর্ভুক্তিমূলক,	
prodiiper,	প্রদিদের,	প্রদীপের,	
niro,	নিরো,	নির,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
naitik,	নৈতিক,	নৈতিক,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
saurse,	সার্স,	সোর্স,	
ongkush,	অংকুষ,	অংকুশ,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
chirontan,	চিরন্তান,	চিরন্তন,	
soorti,	সূর্তি,	সুরটি,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
sombhobonaow,	সম্ভববনু,	সম্ভবনাও,	
foxer,	ফক্সের,	ফক্সের,	
saseja,	সাসেজ,	সসেজ,	
highcommissionay,	হাইকমিশনা,	হাইকমিশনে,	
skirt,	স্কার্ট,	স্কার্ট,	
elaakao,	এলাকাও,	এলাকাও,	
rubyo,	রুব্য,	রুবিও,	
dologuloo,	দলগুলো,	দলগুলোও,	
ukeliptash,	উকেলিপট্স,	ইউক্যালিপ্টাস,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
enginiiring,	ইঙ্গিরিগ,	ইঞ্জিনিয়ারিং,	
dibet,	দিবেত,	ডিবেট,	
dosheeder,	দশীদের,	দোষীদের,	
asovvo,	অসভ্য,	অসভ্য,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
mulgoto,	মুলগত,	মূলগত,	
bhittimul,	ভিট্তিমূল,	ভিত্তিমূল,	
ghotol,	ঘটল,	ঘটল,	
bagda,	বাদগা,	বাগদা,	
oshtader,	অস্তাদের,	ওস্তাদের,	
hartz,	হার্ট,	হার্জ,	
ooeepokar,	উইপেকার,	উইপোকার,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
rajatwa,	রাজতব্,	রাজত্ব,	
besirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
teemothee,	তিমথী,	টিমোথি,	
maudelder,	ম্যাডেলদের,	মডেলদের,	
subadey,	সুবাদে,	সুবাদে,	
bronzer,	ব্রোঞ্জের,	ব্রোঞ্জের,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
transhform,	ট্রান্সমোর্,	ট্রান্সফর্ম,	
hole,	হলে,	হোল,	
puzito,	পুজিত,	পুজিত,	
wenus,	ভাননুস,	ভেনাস,	
itastato,	ইতস্তট,	ইতস্ততঃ,	
hondooras,	হন্ডুরাস,	হন্ডুরাস,	
satjaner,	সৎজনের,	সাতজনের,	
parishrami,	পরিশ্রামী,	পরিশ্রমী,	
komaatei,	কমাতেই,	কমাতেই,	
nojoder,	নজদের,	নজদের,	
turqi,	টুর্কি,	তুর্কি,	
jerushalema,	জেরুসাইমে,	জেরুসালেম,	
log,	লোগ,	লগ,	
platey,	প্লেটে,	প্লেটে,	
satjan,	সতজন,	সাতজন,	
leaders,	লিডার্স,	লিডার্স,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
roialti,	রোল্টটি,	রয়্যালটি,	
bosturyi,	বস্তুর্যে,	বস্তুরই,	
atok,	অতক,	আটক,	
silwar,	সিলভার,	সিলভার,	
nartakike,	নার্টকিকে,	নর্তকীকে,	
fishing,	ফিসিং,	ফিসিং,	
bhotara,	ভোটরা,	ভোটার,	
vodka,	ভোদকা,	ভদকা,	
tahalo,	তাহালো,	তাহলো,	
myat,	ম্যাট,	ম্যাট,	
gaarnaar,	গার্নার,	গার্নার,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
bhadaqa,	ভাদকা,	ভদকা,	
abolokon,	অবলককন,	অবলোকন,	
boring,	বরিং,	বোরিং,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
lajik,	লাজিক,	লজিক,	
konaan,	কোনান,	কোনান,	
moshjidshoho,	মসিিদ্বসহ,	মসজিদসহ,	
eenameela,	ইনমেল,	এনামেল,	
debdebie,	দেবদেবী,	দেবদেবী,	
krishenta,	ক্রিষ্টেন্ট,	ক্রিসেন্ট,	
mangoleek,	মাঙগোলিক,	মাঙ্গলিক,	
pustir,	পুষ্টির,	পুষ্টির,	
shatokeo,	শতকেও,	শতকেও,	
ganakantha,	গণকা্ঠ,	গণকণ্ঠ,	
utsaho,	উৎসহ,	উৎসাহ,	
shqolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
manushgulor,	মানুসগুলোর,	মানুষগুলোর,	
daakticketer,	ডাক্তিক্তের,	ডাকটিকিটের,	
chutite,	চুটিতে,	ছুটিতে,	
gajipur,	গাজিপুর,	গাজীপুর,	
sikarer,	শিকারের,	শিকারের,	
parswer,	পার্সর,	পার্শ্বের,	
sushri,	সুশ্রি,	সুশ্রী,	
shenior,	সেনির,	সিনিয়র,	
zerusalemer,	জেরুসামারের,	জেরুজালেমের,	
source,	সার্স,	সোর্স,	
ohong,	অহং,	অহং,	
toroon,	তরুণ,	তরুন,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
asamanno,	অসমান্ন,	অসামান্য,	
jesthatar,	যেষ্ঠাতার,	জ্যেষ্ঠতার,	
kloud,	ক্লুড,	ক্লাউড,	
messengerer,	মেসেঙ্গের,	মেসেঞ্জারের,	
kanasarabheeshana,	কনসোরেশন,	কনসারভেশন,	
trayte,	ট্রাইটে,	ট্রেতে,	
caramics,	ক্যামেকিস,	সিরামিকস,	
jesh,	জেস,	জেস,	
monu,	মনু,	মনু,	
digrio,	ডিগ্রী,	ডিগ্রিও,	
salim,	সালিম,	সেলিম,	
oviyojan,	অভিযোজন,	অভিযোজন,	
engineering,	ইঙ্গিনিগ,	ইঞ্জিনিয়ারিং,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
taigara,	টাইগার,	টাইগার,	
taalaal,	তালাল,	তালাল,	
shangkalonti,	সংক্লান্তি,	সংকলনটি,	
silver,	সিলভার,	সিলভার,	
municipal,	মিউনিপুল,	মিউনিসিপ্যাল,	
vatar,	ভাটার,	ভাতার,	
modelti,	ম্যাডেলটি,	মডেলটি,	
nikataner,	নিকটনের,	নিকেতনের,	
modelgulo,	মদেদগুলো,	মডেলগুলো,	
mangolik,	মাঙগোলিক,	মাঙ্গলিক,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
dailee,	ডাইলি,	ডেইলি,	
vorkendro,	ওর়াকেন্দ্র,	ভরকেন্দ্র,	
parka,	পার্ক,	পার্ক,	
mutar,	মুটার,	মুতার,	
maile,	মেলে,	মাইল,	
yoneetey,	যনিতে,	যোনীতে,	
shoccar,	সক্চার,	সকার,	
akten,	আঁকতেন,	অকটেন,	
daily,	ডেইলি,	ডেইলি,	
qiuti,	কিউটি,	কিউটি,	
arthanitike,	অর্থনিতিকে,	অর্থনীতিকে,	
engil,	ইঞ্জিল,	ইঞ্জিল,	
beshirbhagei,	বেশিরভাগেই,	বেশিরভাগেই,	
deliwer,	ডেলিভের,	ডেলিভার,	
popeke,	পপেকে,	পোপকে,	
ghumacchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
ankita,	অংকিত,	অঙ্কিতা,	
mosjidsaha,	মসসিদসহ,	মসজিদসহ,	
uposhthit,	উপস্থিত,	উপস্থিত,	
parijan,	পরিজন,	পরিজন,	
rajtontrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
shaater,	সাতের,	শ্যুটার,	
abikol,	অবিকল,	অবিকল,	
prachin,	প্রাচীন,	প্রাচীন,	
manur,	মানুর,	মনুর,	
adhattikotar,	আধ্যাত্তকতার,	আধ্যাত্মিকতার,	
batsmanyi,	বাসমহন্যী,	ব্যাটসম্যানই,	
ponnee,	পন্যী,	পন্নী,	
prakalpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
alpo,	আল্প,	অল্প,	
parjataker,	পর্যটকের,	পর্যটকের,	
vvejaano,	ভেজানও,	ভেজানো,	
bibechya,	বিবেছ্য,	বিবেচ্য,	
odhuna,	অধুনা,	অধুনা,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
jathaarthobhaabe,	যথার্থাবে,	যথার্থভাবে,	
elaakati,	এলাকাতি,	এলাকাটি,	
torkareer,	তরকারীর,	তরকারীর,	
mashajida,	মাহাজিদ,	মসজিদ,	
uttar,	উত্তর,	উওর,	
sanatoni,	সানাত্নি,	সনাতনী,	
harris,	হ্যারিস,	হ্যারিস,	
pouro,	পৌরও,	পৌর,	
unitgulo,	ইউনিগগুলো,	ইউনিটগুলো,	
ispreedshit,	ইস্পর্দিসিত,	স্প্রেডশীট,	
dibug,	দিবুগ,	ডিবাগ,	
gandho,	গান্ধ,	গন্ধ,	
anish,	অনিষ,	আনিস,	
mugdha,	মুগধা,	মুগ্ধ,	
dail,	ডেল,	ডেইল,	
salmaner,	সালামনের,	সালমানের,	
sahoocorzo,	সাহকর্জ,	সাহচর্য,	
