alauler,	আলালের,	আলাওলের,	
bheenama,	ভীনামা,	ভেনম,	
taunashhipa,	তৌনাশিপ,	টাউনশিপ,	
abhinetar,	অভিনেতার,	অভিনেতার,	
advanced,	আ্যাডভেন্সেড,	অ্যাডভান্সড,	
olympik,	অলম্পিক,	অলিম্পিক,	
suma,	সুমা,	সুমো,	
ancholtitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
rightsh,	রিঘটস,	রাইটস,	
aazadir,	আজাদীর,	আজাদীর,	
shithilatar,	শিথিলার,	শিথিলতার,	
metroopalitana,	ম্যার্টোপোলেনন,	মেট্রোপলিটন,	
oncholshomuh,	অঞ্চচসমূহ,	অঞ্চলসমূহ,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
shahabike,	শাহাবিকে,	সাহাবীকে,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
elakaai,	এলাকাই,	এলাকাই,	
tovnship,	তানশিপ,	টাউনশিপ,	
madrasake,	মাদ্রসাকে,	মাদ্রাসাকে,	
khele,	খেলে,	খেলে,	
siddhantake,	সিদ্ধানতাকে,	সিদ্ধান্তকে,	
patisapta,	পতিসাপত,	পাটিসাপটা,	
andamana,	আন্দমান,	আন্দামান,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
danaqana,	দানাকান,	ডানকান,	
dankan,	দাঁকান,	ডানকান,	
nathibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
chalochchitreeo,	চলচিত্রীয়,	চলচ্চিত্রেও,	
kooda,	কোড,	কোড,	
ameerica,	অমিরিকা,	আমেরিকা,	
bidrohiderkey,	বিদ্যধির্ধকে,	বিদ্রোহীদেরকে,	
amar,	আমার,	আমর,	
sheekarer,	শিকারের,	শিকারের,	
pack,	প্যাক,	প্ল্যাক,	
chaalabi,	চালাবি,	চালাবে,	
shektore,	সেক্টরে,	সেক্টরে,	
oshamorik,	অসামরিক,	অসামরিক,	
phern,	ফ্যান্,	ফার্ন,	
lokkheryo,	লক্ষেরও,	লক্ষেরও,	
jacksan,	জক্ষ্যান,	জ্যাকসন,	
kormozog,	কর্মজোগ,	কর্মযোগ,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
toruner,	তরুণের,	তরুণের,	
priimoo,	প্রিমো,	প্রিমো,	
karmasansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
charger,	চার্গের,	চার্জের,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
procharona,	প্রচারণা,	প্রচারণা,	
rajpurohit,	রাগপুরহিত,	রাজপুরোহিত,	
kiiborder,	কিবার্ডের,	কীবোর্ডের,	
dacope,	ডাকো,	দাকোপ,	
gonosakkhorota,	গণস্বকর্তা,	গণসাক্ষরতা,	
vabatarini,	ভাবতরীণী,	ভবতারিণী,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
naubotom,	নবতম,	নবতম,	
enginiiring,	ইন্াইনিরিং,	ইঞ্জিনিয়ারিং,	
shaalehaa,	সালেহা,	সালেহা,	
manush,	মানুস,	মানুষ,	
dakop,	ডাকপ,	দাকোপ,	
hook,	হুক,	হুক,	
kormokarer,	কর্মকারের,	কর্মকারের,	
elaakaao,	এলাকাও,	এলাকাও,	
samanno,	সমান্য,	সামান্য,	
omkar,	অম্কার,	ওঙ্কার,	
dhalur,	ঢালুর,	ঢালুর,	
surkey,	সুরকে,	সুরকে,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
durtomo,	দূর্তমও,	দূরতম,	
jonmaat,	জন্মাত,	জন্মাত,	
arik,	আরিক,	আরিক,	
tiner,	টিনের,	তিনের,	
ganokontho,	গণকান্থ,	গণকণ্ঠ,	
sahojlabhbhatar,	সহযোলভভাতার,	সহজলভ্যতার,	
romantika,	রোমন্তিক,	রোমান্টিক,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
elakaasoho,	এলাকাহস,	এলাকাসহ,	
paner,	পানের,	পনের,	
crescenter,	ক্রেসেস্টের,	ক্রিসেন্টের,	
saajano,	সাজানো,	সাজানো,	
spencer,	স্পেন্সের,	স্পেন্সার,	
talal,	তালাল,	তালাল,	
bongshokey,	বংশকে,	বংশকে,	
semai,	সেমাই,	সেমাই,	
mousumeo,	মৌসূমেও,	মৌসুমেও,	
gandhiyo,	গণ্ধিও,	গান্ধীও,	
neshanasa,	নেশানস,	নেশনস,	
vip,	ভিপ,	ভিআইপি,	
aashanka,	আশনকা,	আশংকা,	
dokaanei,	দকানেই,	দোকানেই,	
shikar,	শিকার,	শিকার,	
rothin,	রথিন,	রথীন,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
muladi,	মুলাদী,	মুলাদি,	
prapokkey,	প্রাপককে,	প্রাপককে,	
hud,	হুড,	হুড,	
biphal,	বিফল,	বিফল,	
shantaa,	শান্তা,	সান্তা,	
minister,	মিনিস্টার,	মিনিস্টার,	
shashoto,	শাষত,	শাশ্বত,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
the,	ঠে,	থাই,	
overveu,	অভেরভভ,	ওভারভিউ,	
pashaner,	পাশনের,	পাষাণের,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
dorgaaho,	দর্াাহ,	দরগাহ,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
shodhan,	শোধান,	শোধন,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
silwar,	শিল্বার,	সিলভার,	
ayantarqatiqa,	আয়ান্টররককটিক,	অ্যান্টার্কটিকা,	
maadla,	মাদলা,	মাদলা,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
saaralya,	সারাল্য,	সারল্য,	
eidhyaning,	এইধানিং,	ইদানীং,	
maudelder,	মৌদ্লেদের,	মডেলদের,	
shhikar,	শিকার,	শিকার,	
vabanir,	ভবনীর,	ভবানীর,	
aunty,	আন্টি,	আন্টি,	
eshiyatiqa,	এসিয়াটিক,	এশিয়াটিক,	
robe,	রবে,	রবে,	
abadamaner,	অবদমানের,	অবদমনের,	
bamander,	বামান্দের,	বামনদের,	
eshkol,	এসকল,	এসকল,	
se,	সে,	সে,	
transhform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
shulkey,	শুলকে,	শুল্কে,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
baipasa,	বাইপাস,	বাইপাস,	
clintoner,	ক্লিন্টানের,	ক্লিনটনের,	
istoniya,	ইস্টানিয়া,	এস্তোনিয়া,	
ateetkale,	আতিকাালে,	অতীতকালে,	
ranadip,	রণমীপ,	রণদীপ,	
koda,	কোড,	কোডা,	
neemitto,	নিমিত্ব,	নিমিত্ত,	
nutan,	নুটান,	নূতন,	
licencer,	লিকেন্সের,	লাইসেন্সের,	
shnaipara,	স্নার,	স্নাইপার,	
daaktikit,	দাক্তিকিত,	ডাকটিকিট,	
uindoo,	উইন্ডু,	উইন্ডো,	
gajetted,	গাজেট্টেড,	গেজেটেড,	
onupater,	অনুপতের,	অনুপাতের,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
tarbiner,	তারবিনের,	টারবাইনের,	
temontee,	টেমনটি,	তেমনটি,	
kaalki,	কালকি,	কালকি,	
machhe,	মাছে,	মাছে,	
parsher,	পারসের,	পার্শ্বের,	
horus,	হররাস,	হোরাস,	
kadom,	কাদ,	কদম,	
shochindro,	সচিন্দ্র,	শচীন্দ্র,	
abhigomon,	অভিগমন,	অভিগমন,	
jeerusaleem,	জিরুসালিম,	জেরুসালেম,	
nirapekkhotaar,	নিরাপক্ষতার,	নিরপেক্ষতার,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
direqtareta,	ডিরেক্টেরট,	ডিরেক্টরেট,	
besuro,	বেশুর,	বেসুর,	
eevil,	ইভিল,	ইভিল,	
sektara,	সেক্টর,	সেক্টর,	
azadeer,	আজদের,	আজাদীর,	
hoonayin,	হোনাইন,	হুনাইন,	
shhcholashtic,	স্লোলাস্টিক,	স্কলাস্টিক,	
mohish,	মহিশ,	মহিষ,	
dito,	দিত,	দিতো,	
assoociates,	অস্সোসেয়েট,	এসোসিয়েটস,	
monjeele,	মঞ্জীলে,	মঞ্জিলে,	
torabganj,	তরবাযাঞ্জ,	তোরাবগঞ্জ,	
skart,	স্কার্ট,	স্কার্ট,	
majdur,	মাজদুর,	মজদুর,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
debaag,	দেবাগ,	ডিবাগ,	
porishromi,	পরিশ্রমী,	পরিশ্রমী,	
varote,	ভারতে,	ভারতে,	
ohalyar,	ওহল্যার,	অহল্যার,	
byabaharkariderke,	ব্যবহারাকীরদেকে,	ব্যবহারকারীদেরকে,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
transcom,	ট্রান্সসম,	ট্রান্সকম,	
omanisha,	অমনেশ,	অমানিশা,	
musalmanra,	মুসলম্নার,	মুসলমানরা,	
hajaribag,	হাজীরবাগ,	হাজারিবাগ,	
soshorire,	সশরীরে,	সশরীরে,	
songasthatike,	সংস্যাটটিকে,	সংস্থাটিকে,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
aakkaas,	আক্াাস,	আককাস,	
novell,	নওেল,	নভেল,	
keo,	কেও,	কেউ,	
manabmaner,	মানবমানের,	মানবমনের,	
noiteek,	নৈতিক,	নৈতিক,	
puding,	পুডিং,	পুডিং,	
theland,	টেলান্ড,	থাইল্যান্ড,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
anchaltike,	আঞ্চলিতকে,	অঞ্চলটিকে,	
eenameel,	এনমেল,	এনামেল,	
vushito,	ভুষিত,	ভূষিত,	
ias,	ইয়াস,	আইএএস,	
vabanipur,	ভবনীপুর,	ভবানীপুর,	
pyaleshtainer,	প্যালেস্টাইনের,	প্যালেস্টাইনের,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
heemi,	হেমি,	হিমি,	
dharer,	ধারের,	ধরের,	
jemy,	জেমি,	জেমি,	
baabul,	বাবুল,	বাবুল,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
gejetade,	গেজেটাদে,	গেজেটেড,	
boron,	বরণ,	বোরন,	
chaabir,	চবির,	চাবির,	
oncholgoolote,	অঞ্চলগগোতে,	অঞ্চলগুলোতে,	
jesthatar,	যেষ্থাতার,	জ্যেষ্ঠতার,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
hole,	হলে,	হোল,	
tourisht,	তুরিস্ট,	টুরিস্ট,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
bosanta,	বসন্ত,	বসন্ত,	
sulke,	সুলকে,	শুল্কে,	
orhan,	অর্হান,	ওরহান,	
manhputo,	মন্ধুত্ত,	মনঃপুত,	
abosore,	অবসরে,	অবসরে,	
ingrezra,	ইংরেজরা,	ইংরেজরা,	
allahabadey,	আল্লাহাবাদে,	এলাহাবাদে,	
addhattikotar,	অধ্যতিকতার,	আধ্যাত্মিকতার,	
sakaar,	সাকার,	সকার,	
sarboporee,	সর্বপুরী,	সর্বোপরী,	
nagarik,	নাগরিক,	নাগরিক,	
golakriti,	গোলকৃতি,	গোলাকৃতি,	
makang,	মককাং,	মেকং,	
agenda,	অগেন্দ,	এজেন্ডা,	
dinifition,	ডিনিফিশন,	ডেফিনেশন,	
america,	অ্যারিকা,	আমেরিকা,	
niuroolaji,	নিউরুলজি,	নিউরোলজি,	
utsahomulak,	উত্সমূলক,	উৎসাহমূলক,	
matrirup,	ম্যাতিরূপ,	মাতৃরূপ,	
taruner,	তারুনের,	তরুণের,	
melborne,	মেলব্র্ণে,	মেলবোর্নে,	
jerushalema,	জারুডালাই,	জেরুসালেম,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
artherer,	আর্থেরের,	আর্থারের,	
ujbekistan,	উজাবিক্সতান,	উজবেকিস্তান,	
aaeereshe,	আইরেশ,	আইরেসে,	
elaka,	এলাকা,	এলাকা,	
hebhi,	হেভি,	হেভি,	
haze,	হাজে,	হেজ,	
ranodeep,	রণদীপ,	রণদীপ,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
chal,	চল,	চাল,	
doover,	দুভের,	ডোভার,	
