anekeri,	অনেকেরী,	অনেকেরই,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
asocietes,	অসেসিতেস,	এসোসিয়েটস,	
paschater,	পাশ্চাতের,	পশ্চাতের,	
gaziipur,	গাজীপুর,	গাজীপুর,	
carpeet,	কার্পিট,	কার্পেট,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
maddhukkori,	মধ্যককারী,	মাধুকরী,	
ganochiener,	গণচ্ছিনের,	গণচীনের,	
akrup,	একরাপ,	একরূপ,	
horipur,	হরীপুর,	হরিপুর,	
treenda,	ট্রিন্ডা,	ট্রেন্ড,	
nutoner,	নতউনের,	নূতনের,	
dasha,	দশা,	দোসা,	
tanteera,	তানটাররা,	তাঁতিরা,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
metere,	মেটারে,	মিটারে,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
jarool,	জরুল,	জারুল,	
jocqey,	জকি,	জকি,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
rohasyor,	রহাস্যর,	রহস্যর,	
heightsh,	হাইটস,	হাইটস,	
gaadha,	গাধা,	গাধা,	
steit,	স্টেট,	স্টেইট,	
saarbhaarer,	সারভারের,	সার্ভারের,	
chhon,	ছোন,	ছোঁ,	
baasaa,	বাসা,	বাসা,	
pachbar,	পাঁচবার,	পাঁচবার,	
sooter,	সূতের,	শ্যুটার,	
jeten,	জেতেন,	যেতেন,	
parkim,	পার্কিং,	পার্কিং,	
enjineerinj,	এঞ্জিনির্জ,	ইঞ্জিনিয়ারিং,	
troop,	ট্রুপ,	ট্রুপ,	
plasse,	প্লেস,	প্লাসে,	
temani,	তেমনি,	তেমনই,	
sabaner,	সাবানের,	সাবানের,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
deily,	ডেলি,	ডেইলি,	
fising,	ফিশিং,	ফিসিং,	
anchaltite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
oedipush,	এদিপাস,	ইডিপাস,	
eiling,	এইলিং,	ইলিং,	
nodimaatrik,	নোমিদাত্রিক,	নদীমাতৃক,	
satarkatar,	সতারকাটার,	সতর্কতার,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
retasa,	রেটস,	রাইটস,	
muhu,	মুহু,	মুহু,	
ceramiksh,	কেরামিক্স,	সিরামিকস,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
dweepkey,	দ্বীপকে,	দ্বীপকে,	
mandondo,	মন্দন্ড,	মানদণ্ড,	
charbon,	চার্বন,	চর্বন,	
nogore,	নগরে,	নগরে,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
bagdader,	বাগদাদের,	বাগদাদের,	
whole,	ওলে,	হোল,	
suparichito,	সুপরিচিত,	সুপরিচিত,	
taoonship,	তাউন্সিপ,	টাউনশিপ,	
gasthike,	গোস্থিকে,	গোষ্ঠীকে,	
toronee,	তরণী,	তরণী,	
bosstonto,	বস্তন্ত,	বসন্ত,	
sikha,	শিখা,	শিখ,	
chhuteer,	ছুটির,	ছুটির,	
naubotom,	নবতত,	নবতম,	
letterey,	লেটারে,	লেটারে,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
geeja,	গেজ,	গেজ,	
temon,	টেমন,	তেমন,	
dharabahikbhabe,	ধারাভাবিকভাবে,	ধারাবাহিকভাবে,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
kraantikaale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
srichoitonnodeb,	শ্রীচীতনাদ্বে,	শ্রীচৈতন্যদেব,	
poste,	পোস্টে,	পোস্টে,	
shiqha,	শিখা,	শিখ,	
skart,	স্কার্ট,	স্কার্ট,	
chaalkee,	চালকি,	চালকে,	
conan,	কোন,	কোনান,	
kadam,	কাদাম,	কদম,	
nischitorupey,	নিশ্শিতূরূপে,	নিশ্চিতরূপে,	
paree,	পারী,	পাড়ে,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
sakara,	সকরা,	সাকার,	
mukherji,	মুখার্জি,	মুখার্জী,	
qyapasula,	ক্যাসপুলা,	ক্যাপসুল,	
gabeshokgon,	গবেষগকন,	গবেষকগণ,	
shasankorta,	শাসনকর্ত,	শাসনকর্তা,	
parqs,	পার্কস,	পার্কস,	
toler,	তলের,	তালের,	
chirota,	চিরতা,	চিরতা,	
eporjanta,	এপর্যন্ত,	এপর্যন্ত,	
baraakpur,	বারকাপুর,	বারাকপুর,	
ameerica,	অ্যামিরিকা,	আমেরিকা,	
kartana,	কর্টন,	করতনা,	
partha,	পার্থ,	পার্থ,	
shilbar,	শিলবার,	সিলভার,	
inapharameshhana,	ইনফররমমেশন,	ইনফরমেশন,	
durg,	ডার্গ,	দুর্গ,	
mathieu,	ম্যথিউ,	ম্যাথিউ,	
laaisensh,	লাইেন্স,	লাইসেন্স,	
karmoi,	কর্মই,	কর্মই,	
shikarder,	শিকারদের,	শিকারদের,	
chon,	চোন,	ছোঁ,	
vugol,	ভুগল,	ভূগোল,	
modeeling,	মোডিংলিং,	মডেলিং,	
ganokantha,	গণকণ্ঠা,	গণকণ্ঠ,	
nagorik,	নাগরিক,	নাগরিক,	
alngkoron,	অলযকর্কণ,	অলঙ্করণ,	
taiteela,	টাইটেল,	টাইটেল,	
durotomm,	দুরোট্ম,	দূরতম,	
shreeshree,	শ্রীশীর,	শ্রীশ্রী,	
majdur,	মজদুর,	মজদুর,	
ateeteo,	এতিতেও,	অতীতেও,	
aaminar,	আমিনার,	আমিনার,	
rupantar,	রূপান্তর,	রুপান্তর,	
machhti,	মাচটি,	মাছটি,	
maaktoome,	মাককতমে,	মাকতুম,	
selina,	সেলিনা,	সেলিনা,	
ganonatto,	গণনাত্ত,	গণনাট্য,	
ragi,	রাগী,	রাগী,	
phox,	ফো্ক,	ফক্স,	
governerer,	গভর্নরের,	গভর্ণরের,	
pro,	প্র,	প্রো,	
dai,	দা,	ডে,	
jeebonto,	জীবনত্ত,	জীবন্ত,	
kaamla,	কমলা,	কামলা,	
chhooti,	ছুটি,	ছুটি,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
somraatraa,	সম্রাত্রা,	সম্রাটরা,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
sarbhare,	সারভারে,	সার্ভারে,	
bhorpur,	ভর্পুর,	ভরপুর,	
sangbadmadhyome,	সংবাদ্যমধ্যে,	সংবাদমাধ্যমে,	
upobaashee,	উপবাষী,	উপবাসী,	
karka,	কার্কা,	কার্ক,	
shorifer,	শরীফের,	শরিফের,	
bhushito,	ভূষিত,	ভূষিত,	
senabahinio,	সেনাবাহিন,	সেনাবাহিনীও,	
garora,	গারোরা,	গারোরা,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
sikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
piruzali,	পিরুজালি,	পিরুজালী,	
cyanide,	স্যানিড,	সায়ানাইড,	
romnar,	রমনার,	রমনার,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
satarkakari,	সতারকারী,	সতর্ককারী,	
juboksoho,	যুবক্ষ,	যুবকসহ,	
lompot,	লম্পট,	লম্পট,	
transhapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
imirgincy,	এমির্জিন্সি,	এমার্জেন্সি,	
darjiling,	ডার্জিংিল,	দার্জিলিং,	
choshon,	চোষণ,	চোষণ,	
licenshe,	লিসেন্সে,	লাইসেন্স,	
shima,	সিম,	সীমা,	
hotodoreedro,	হতোদরদির,	হতদরিদ্র,	
footballerder,	ফুটবল্ডার,	ফুটবলারদের,	
chhed,	ছেদ,	ছেদ,	
renoo,	রেনু,	রেনো,	
ved,	ভেড,	বেদ,	
ancholei,	অঞ্চলেই,	অঞ্চলেই,	
shodhan,	সোধনা,	শোধন,	
bharma,	ভর্মা,	ভার্মা,	
rilayensa,	রিলেয়েন্স,	রিলায়েন্স,	
arekdol,	আরেকদল,	আরেকদল,	
noditei,	নদীতেই,	নদীতেই,	
qoyeri,	কোয়েরি,	কোয়েরি,	
khalidke,	খলিদকে,	খালিদকে,	
basiney,	বাসিনে,	বেসিনে,	
porobortii,	পরবর্তী,	পরর্বতী,	
kyamone,	ক্যামনে,	কেমনে,	
tarunke,	তরুণকে,	তরুণকে,	
joruri,	জরুরি,	জরূরী,	
elaakaa,	এলাকা,	এলাকা,	
krishenta,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
kuley,	কুলে,	কুলে,	
shithilota,	সীথিলতা,	শিথিলতা,	
phastara,	ফোস্টার,	ফস্টার,	
ias,	আস,	আইএএস,	
dubate,	দুবাতে,	ডুবাতে,	
hillse,	হিলসে,	হিলসে,	
vdp,	ডিএপি,	ভিডিপি,	
bodhir,	বধধির,	বধির,	
pra,	প্রা,	প্রো,	
uthaney,	উঠানে,	উঠানে,	
airesey,	এইরেসে,	আইরেসে,	
ragee,	রাগী,	রাগী,	
ala,	আলা,	আলা,	
meghnadbodh,	মেঘনবাদধ,	মেঘনাদবধ,	
porizoner,	পরিজনের,	পরিজনের,	
heelse,	হেলসে,	হিলসে,	
archimedeser,	আর্কিমেডের,	আর্কিমিডিসের,	
prokalpagulo,	প্রকলগালুলো,	প্রকল্পগুলো,	
jakser,	যাক্ষের,	যক্ষের,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
songhar,	সংঘার,	সংহার,	
bidrohiderke,	বিদ্রদিহরেে,	বিদ্রোহীদেরকে,	
ovishongshon,	অভিষংশন,	অভিশংসন,	
michilti,	মিশিলটি,	মিছিলটি,	
turkmeen,	তার্কমিন,	তুর্কমেন,	
silvee,	সিলভি,	সিলভি,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
lendol,	লেন্ডল,	লেন্ডল,	
madelim,	ম্যাডেলিং,	মডেলিং,	
gandhir,	গান্ধীর,	গান্ধীর,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
gonesher,	গণেশের,	গণেশের,	
digrike,	দিগ্রীকে,	ডিগ্রিকে,	
ekar,	একার,	একার,	
graambasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
olpokichudin,	অল্পক্ছুনিক,	অল্পকিছুদিন,	
gujob,	গুজব,	গুজব,	
azimke,	আজিমকে,	আজিমকে,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
khanankaj,	খনানাজা,	খননকাজ,	
jubokey,	যুবকে,	যুবকে,	
laaishenshh,	লাইেন্স,	লাইসেন্স,	
conshervation,	কনসারভেশন,	কনসারভেশন,	
doonata,	দুনাটা,	ডোনাট,	
chaaltaa,	চালতা,	চালতা,	
prachurzer,	প্রচুর্য্রের,	প্রাচুর্যের,	
babilon,	ব্বীলন,	ব্যাবিলন,	
phirti,	ফিরটি,	ফিরতি,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
abhidhaner,	অভিধানের,	অভিধানের,	
spostotoi,	স্পষ্টটি,	স্পষ্টতই,	
debdebi,	দেবদেবী,	দেবদেবী,	
toufik,	সাফিক,	তৌফিক,	
sommotir,	সম্মটির,	সম্মতির,	
chiraharit,	চিরাহিত,	চিরহরিৎ,	
gondogol,	গণ্ডগগল,	গন্ডগোল,	
pillai,	পিল্লাই,	পিল্লাই,	
itastato,	ইতস্তাত,	ইতস্ততঃ,	
peoples,	পিপ্লেস,	পিপলস্,	
horidare,	হরিদারে,	হরিদ্বারে,	
vodka,	ভোকা,	ভদকা,	
masters,	মাস্টার্স,	মাস্টার্স,	
cheef,	চিফ,	শেফ,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
provur,	প্রভূর,	প্রভুর,	
romantiq,	রোমান্টিক,	রোমান্টিক,	
kara,	কারা,	কারো,	
dinar,	ডাইনার,	ডিনার,	
engrezra,	ইংরেজেরা,	ইংরেজরা,	
chalchhee,	চালচি,	চলছে,	
mukkho,	মূক্ষ,	মুখ্য,	
alankorana,	অলংকরণা,	অলঙ্করণ,	
donata,	ডোনাটা,	ডোনাট,	
salafeta,	সালাফট,	সালফেট,	
zibonnogor,	জীবননগর,	জীবননগর,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
ddheke,	ঢেকে,	ঢেকে,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
janomukhi,	জনমুখী,	জনমুখী,	
bhagini,	ভাগিনী,	ভগিনী,	
timoothi,	তিমূথি,	টিমোথি,	
