estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
jivjontu,	জীব্যান্ত,	জীবজন্তু,	
mahasova,	মহাসভা,	মহাসভা,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
lokeshon,	লোকেশন,	লোকেশন,	
bhugten,	ভুগেট,	ভুগতেন,	
tep,	টেপ,	ট্যাপ,	
antarvuktimulok,	আন্তর্ভূকিমকল্কা,	অন্তর্ভুক্তিমূলক,	
zillul,	জিল্লুল,	জিল্লুল,	
rushad,	রুশদ,	রুশদ,	
primoo,	প্রীম,	প্রিমো,	
janasangyog,	জনসঙ্গাগও,	জনসংযোগ,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
ramonar,	রমনার,	রমনার,	
samashti,	সমস্টি,	সমষ্টি,	
dargah,	দরগ্গ,	দরগাহ,	
shaarok,	সারক,	স্মারক,	
sanmukh,	সং্মুখ,	সন্মুখ,	
bipojjonok,	বিপযজ্জনক,	বিপজ্জনক,	
bloggerra,	ব্লগেররা,	ব্লগাররা,	
mat,	মা,	ম্যাট,	
shooknaa,	শুকনা,	শুকনা,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
shasonkarta,	শাসনকরতা,	শাসনকর্তা,	
chat,	ছাট,	চ্যাট,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
chhutee,	ছুটি,	ছুটি,	
uuipoka,	উইপাকা,	উইপোকা,	
cilahati,	চিলাহাটি,	চিলাহাটি,	
sahocorjo,	সহচর্য,	সাহচর্য,	
phixing,	ফিকিসিং,	ফিক্সিং,	
olpoi,	অল্পই,	অল্পই,	
nirvachokder,	নির্বাচক্ের,	নির্বাচকদের,	
madhobike,	মাধবীকে,	মাধবীকে,	
ateeteo,	আতিতেও,	অতীতেও,	
barak,	বারাক,	বারাক,	
ceramiksh,	সেরামিক্স,	সিরামিকস,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
nirbahey,	নির্বাহে,	নির্বাহে,	
roomantic,	রোমন্টিক,	রোমান্টিক,	
manahputo,	মানাপুত,	মনঃপুত,	
venkates,	ভেনকাটিস,	ভেঙ্কটেশ,	
gacher,	গাছের,	গাছের,	
prochondota,	প্রচন্ডতা,	প্রচণ্ডতা,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
benke,	বেঁকে,	বেঁকে,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
charchito,	চার্চিত,	চর্চিত,	
anisha,	অনিশা,	আনিস,	
abhishangsan,	অভিসংসান,	অভিশংসন,	
sporsher,	স্পোর্সের,	স্পর্শের,	
sorting,	শর্টিং,	সর্টিং,	
dhani,	ধনি,	ধানি,	
chaalta,	চালতা,	চালতা,	
koommatei,	কমাতেই,	কমাতেই,	
matthew,	মাঠেও,	ম্যাথিউ,	
beam,	বেম,	বীম,	
dhauto,	ধাত,	ধৌত,	
siniyara,	সিনিয়ার,	সিনিয়র,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
rayyaleti,	রেয়ালটি,	রয়্যালটি,	
bocchon,	বকচ্চন,	বচ্চন,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
itostato,	ইত্স্তত,	ইতস্ততঃ,	
shhepha,	সেফ,	শেফ,	
gabeshakgon,	গবেষকাগণ,	গবেষকগণ,	
janake,	জানাকে,	জানাতে,	
korta,	কোর্ট,	করতা,	
nirupito,	নিরুপিত,	নিরূপিত,	
bihar,	বিহার,	বিহার,	
anchalsamuher,	আঞ্চলসমূহের,	অঞ্চলসমূহের,	
nagarikera,	নাগরিকারা,	নাগরিকেরা,	
oorgho,	অর্ঘ,	অর্ঘ্য,	
dosheeder,	দোসীদের,	দোষীদের,	
dhrubak,	ধ্রুবক,	ধ্রুবক,	
loukeek,	লৌকিক,	লৌকিক,	
ganochin,	গণছিন,	গণচীন,	
dharagulo,	ধারগুলো,	ধারাগুলো,	
heeavy,	হেভি,	হেভি,	
abodamaner,	অবদমনের,	অবদমনের,	
korkotkrantee,	কর্কক্রন্টি,	কর্কটক্রান্তি,	
kraim,	ক্রেম,	ক্রাইম,	
astikota,	অস্তিকতা,	আস্তিকতা,	
dijeejer,	দিজিজের,	ডিজিজের,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
ajeempur,	আজিমপুর,	আজিমপুর,	
enginears,	ইঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
pyatarne,	প্যাটার্ন,	প্যাটার্নে,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
uporitol,	উপরিতল,	উপরিতল,	
dighol,	দিঘল,	দীঘল,	
siddhantake,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
baire,	বারে,	বাইরে,	
zesh,	জেস,	জেস,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
vumija,	ভূমিজা,	ভূমিজ,	
bharma,	ভার্ম,	ভার্মা,	
shithilota,	সিথিলতা,	শিথিলতা,	
vogirath,	ভগগিরথ,	ভগীরথ,	
plena,	প্লেন,	প্লেন,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
planey,	প্লেনে,	প্লেনে,	
nogorey,	নগরে,	নগরে,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
state,	স্টেট,	স্টেইট,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
chhootite,	ছুটিতে,	ছুটিতে,	
pooroheetra,	পুরহহিত্রা,	পুরোহিতরা,	
shannal,	স্যান্লাল,	সান্যাল,	
vittiow,	ভিট্যুও,	ভিত্তিও,	
maarmaader,	মার্মাদের,	মারমাদের,	
ul,	উল,	উল,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
ketechilo,	কেটেছিল,	কেটেছিল,	
tenisa,	টেনিস,	টেনিস,	
shommoteer,	সম্মতির,	সম্মতির,	
mumtajer,	মুতাজের,	মুমতাজের,	
alauler,	আলালের,	আলাওলের,	
gori,	গরি,	গোরি,	
rekhapat,	রেখাপাত,	রেখাপাত,	
teemothi,	তেমথি,	টিমোথি,	
meshenger,	মেসেঞ্জের,	মেসেঞ্জার,	
baharamapurer,	বহরামপুরের,	বহরমপুরের,	
ruby,	রাবি,	রুবী,	
bhugole,	ভূগোলে,	ভূগোলে,	
deelibhara,	ডেলিভার,	ডেলিভার,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
khele,	খেলে,	খেলে,	
torooner,	তরুণের,	তরুণের,	
silabhara,	সিলভার,	সিলভার,	
shef,	শেফ,	শেফ,	
oboshore,	অবসরে,	অবসরে,	
dolu,	দলু,	ডলু,	
aazan,	আজান,	আজান,	
injiniyarsa,	ইনজিজের্স,	ইঞ্জিনিয়ার্স,	
oojbekistan,	উজ্বেক্তিন,	উজবেকিস্তান,	
bimaataa,	বিমাতা,	বিমাতা,	
manohputo,	মননুপুত,	মনঃপুত,	
akai,	একাই,	একাই,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
peterer,	পেতারের,	পিটারের,	
bondiira,	বন্দিরা,	বন্দীরা,	
rahie,	রাহি,	রাহি,	
poshte,	পোষ্টে,	পোষ্টে,	
nyeta,	ম্যাট,	ম্যাট,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
sinake,	সিনাকে,	সিনাকে,	
bonshi,	বংশি,	বংশী,	
yuroo,	ইউরো,	ইউরো,	
saurse,	সার্স,	সোর্স,	
wodka,	ওডকা,	ভদকা,	
doorger,	দুর্গের,	দুর্গের,	
milekhaanek,	মেলেখানে,	মাইলখানেক,	
shpredshiit,	স্প্রেশ্ষিত,	স্প্রেডশীট,	
mootar,	মোটর,	মুতার,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
satorkovabe,	সতর্কভাবে,	সতর্কভাবে,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
keram,	কেরম,	কেরাম,	
chalochchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
associetes,	অ্যাসোসিয়েট্স,	এসোসিয়েটস,	
mumtaz,	মমতাজ,	মুমতাজ,	
harbar,	হার্বার,	হারবার,	
paste,	পাস্টে,	পেষ্ট,	
bonovumi,	বনভূমি,	বনভূমি,	
somratder,	সম্রতদের,	সম্রাটদের,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
mozdoor,	মজদুর,	মজদুর,	
shhikara,	শিকার,	শিকার,	
prabhur,	প্রভূর,	প্রভুর,	
asavyo,	অসভ্য,	অসভ্য,	
beetlaser,	বিটলসের,	বিটলসের,	
americar,	আমেরিকার,	আমেরিকার,	
deil,	ডেল,	ডেইল,	
se,	সে,	সে,	
chainge,	চেযান্জ,	চেঞ্জ,	
novel,	নোভেল,	নভেল,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
shikar,	শিকার,	শিকার,	
bhenasa,	ভেনাসা,	ভেনাস,	
codey,	কোডে,	কোডে,	
daayitto,	দৈত্য,	দায়িত্ব,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
ekshoti,	একশটি,	একশোটি,	
paab,	পাব,	পাব,	
chhooti,	ছুটি,	ছুটি,	
anchalgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
joubanbati,	যৌবনবাতি,	যৌবনবতী,	
sobrakomer,	সবরকমের,	সবরকমের,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
valapuk,	ভালাপুক,	ভোলাপুক,	
balroom,	বলরুম,	বলরুম,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
ganoporibahoner,	গণপরিবহানের,	গণপরিবহনের,	
chaktir,	চাকটির,	চাকতির,	
zubokti,	যুবক্তি,	যুবকটি,	
nake,	নাক,	নেক,	
huk,	হুক,	হুক,	
sangostha,	সংস্থা,	সংস্থা,	
nandolal,	না্দলল,	নন্দলাল,	
ekbakke,	একবাককে,	একবাক্যে,	
grambaaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
haitasa,	হইটস,	হাইটস,	
mmehonoti,	মেহনতী,	মেহনতি,	
boudha,	বৌদ্ধ,	বৌদ্ধ,	
kooyeri,	কোয়েরি,	কোয়েরি,	
beca,	বেকা,	বেচা,	
naraphooka,	নারুফোক,	নরফোক,	
kiutie,	কিউটি,	কিউটি,	
bona,	বোনা,	বোনা,	
shibraj,	শিবরাজ,	শিবরাজ,	
source,	সার্স,	সোর্স,	
megher,	মেঘের,	মেঘের,	
naitikatavodh,	নৈতিকাথাবেধ,	নৈতিকতাবোধ,	
aazadeer,	আজাদীর,	আজাদীর,	
timesh,	টাইমস,	টাইমস্,	
gezeted,	গেজেটেড,	গেজেটেড,	
bisshonath,	বিশ্ণনাথ,	বিশ্বনাথ,	
upobaashee,	উপবাসী,	উপবাসী,	
vugoley,	ভূগোলে,	ভূগোলে,	
moldowa,	মলদোোও,	মলদোভা,	
postkay,	পোস্টকে,	পোস্টকে,	
uddhritto,	উদ্ধৃত,	উদ্ধৃত,	
uindoos,	উইন্ডো,	উইন্ডোস,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
niketaner,	নিকেতনের,	নিকেতনের,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
homeser,	হোমেসের,	হোমসের,	
pouro,	পৌরও,	পৌর,	
wagadada,	ভাগাদা,	বাগদাদ,	
thetcher,	থেচেচার,	থ্যাচার,	
songbadmadhyamgulote,	সংবাদমহগুলোতে,	সংবাদমাধ্যমগুলোতে,	
jotota,	যতটা,	যতোটা,	
rockibul,	রকিবুল,	রকিবুল,	
jamkalo,	জামকালো,	জমকালো,	
shoilee,	শৈলী,	শৈলী,	
prakar,	প্রকার,	প্রকার,	
baik,	ব্যাক,	বাইক,	
techno,	টেকনো,	টেকনো,	
chalochchitreei,	চলচিত্রে,	চলচ্চিত্রেই,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
eesosiyeetasa,	এসিসিয়েট্স,	এসোসিয়েটস,	
yuqeliptas,	ইউক্লিপিট্স,	ইউক্যালিপ্টাস,	
tafsherer,	তাফসের,	তাফসীরের,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
okritakarja,	অকৃতকার্য,	অকৃতকার্য,	
besooro,	বেসরো,	বেসুর,	
