shashoto,	শাসত,	শাশ্বত,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
daily,	দৈলি,	ডেইলি,	
tate,	টেট,	তাতে,	
claus,	ক্লাউস,	ক্লজ,	
akram,	একরাম,	আকরাম,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
ramjaner,	রমজানের,	রমযানের,	
cholesi,	চলেসি,	চলেছি,	
hili,	হিলি,	হিলি,	
hillse,	হিলস,	হিলসে,	
uddhritto,	উদ্ধৃত্,	উদ্ধৃত,	
dunkan,	দুনকান,	ডানকান,	
kaushalgata,	কৌসলগত,	কৌশলগত,	
daakten,	ডাকতেন,	ডাকতেন,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
gonona,	গণনা,	গননা,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
ekroop,	একরূপ,	একরূপ,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
boponer,	বপনের,	বপনের,	
silwer,	সিলভার,	সিলভার,	
harbor,	হার্বর,	হারবার,	
arakani,	আরকানি,	আরাকানী,	
lainde,	লইন্ডে,	ল্যান্ডে,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
manobmoner,	মানবনমনের,	মানবমনের,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
selinar,	সেলিনার,	সেলিনার,	
japanira,	জাপানীরা,	জাপানিরা,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
ase,	আসে,	আসে,	
saaed,	সাঈদ,	সাইদ,	
mododpusto,	মদদপুষ্ট,	মদদপুষ্ট,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
imarjinsi,	এমার্জিনসি,	এমার্জেন্সি,	
kobootorer,	কবুতরের,	কবুতরের,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
nodnodir,	নদন্যদির,	নদনদীর,	
azijer,	আজিজের,	আজিজের,	
shulfate,	সুলফাতে,	সালফেট,	
vobani,	ভবানী,	ভবানী,	
joneser,	জনসের,	জোন্সের,	
windows,	উইন্ডো,	উইন্ডোস,	
maladabha,	মালাদাভা,	মলদোভা,	
darzi,	দর্জি,	দরজি,	
iispredshiit,	ইস্প্রেসিট,	স্প্রেডশীট,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
cheef,	চিফ,	শেফ,	
morathi,	মরাঠি,	মরাঠি,	
gabeshona,	গবেষণা,	গবেষনা,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
bite,	বিটে,	বাইট,	
salphat,	সালফাত,	সালফেট,	
bahjya,	বাহ্য,	বাহ্য,	
chenza,	চেঞ্জা,	চেঞ্জ,	
kool,	কোল,	কুল,	
nischay,	নিশ্যে,	নিশ্চয়,	
konphlict,	কনফিিক্ট,	কনফ্লিক্ট,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
jati,	জাতি,	যাতি,	
ateeteo,	এতিতেও,	অতীতেও,	
parinoti,	পরিনতি,	পরিণতি,	
mesenjjarer,	মেজেনজারের,	মেসেঞ্জারের,	
keraam,	কেরাম,	কেরাম,	
jeerusaleem,	জিরুসলীম,	জেরুসালেম,	
huge,	হুগে,	হিউজ,	
seat,	সেট,	সিট,	
madrajer,	মদ্রজের,	মাদ্রাজের,	
daoon,	দাউন,	ডাউন,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
buffer,	বাফার,	বাফার,	
societytey,	সোসিটিতে,	সোসাইটিতে,	
venish,	ভেনিস,	ভেনিস,	
somaazeri,	সমাজারী,	সমাজেরই,	
feroza,	ফেরোজা,	ফিরোজা,	
maudeling,	মাডালিং,	মডেলিং,	
phimela,	ফিমেল,	ফিমেল,	
nutan,	নিটান,	নূতন,	
deeliveer,	দিলিভীর,	ডেলিভার,	
adhyattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
mookhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
prothakey,	প্রথাকে,	প্রথাকে,	
bhadaqa,	ভাদাকা,	ভদকা,	
ivir,	আইভির,	এভার,	
bahaati,	বাহাটি,	বাহাতি,	
emarjensi,	এমার্জেন্সি,	এমার্জেন্সি,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
bhenama,	ভেনাম,	ভেনম,	
sahocorjo,	সহচর্য,	সাহচর্য,	
rubi,	রুবি,	রুবী,	
beshirvagei,	বেশীরভাগই,	বেশিরভাগেই,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
koreempoor,	করিমপুর,	করিমপুর,	
satarko,	সতর্ক,	সতর্ক,	
modeling,	মোডলিং,	মডেলিং,	
primoo,	প্রিমও,	প্রিমো,	
sibiai,	সিবিই,	সিবিআই,	
torabganj,	তারাবগঞ্জ,	তোরাবগঞ্জ,	
bishwaashshoi,	বিশ্বসাই,	বিশ্বাসই,	
haphsa,	হাফস,	হাফসা,	
haripur,	হরিপুর,	হরিপুর,	
chhatto,	ছাটট,	ছোট্ট,	
ispredsit,	ইস্প্রেসিট,	স্প্রেডশীট,	
bupher,	বাফের,	বাফার,	
karmosampadan,	কর্মসমম্পণ,	কর্মসম্পাদন,	
nondolaal,	নন্দলাল,	নন্দলাল,	
chhai,	ছাই,	ছাই,	
sakar,	সকর,	সকার,	
baffer,	বাফের,	বাফার,	
venush,	বেনাস,	ভেনাস,	
roza,	রোজা,	রোযা,	
hariken,	হরিকেন,	হ্যারিকেন,	
sikar,	শিকার,	শিকার,	
billaho,	বিল্লাহ,	বিল্লাহ,	
totenhaamer,	তোটনাহামের,	টটেনহামের,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
karater,	করাতের,	কারাতের,	
siramiker,	সিরামিকের,	সিরামিকের,	
aajeej,	আজিজ,	আজিজ,	
spencer,	স্পেন্সার,	স্পেন্সার,	
taalgaachh,	তালগাছা,	তালগাছ,	
eukalyptush,	ইকযালিউটিপাস,	ইউক্যালিপ্টাস,	
bifol,	বিফল,	বিফল,	
sinakey,	সিনাকে,	সিনাকে,	
neurologi,	নৌরোলজি,	নিউরোলজি,	
gejeteda,	গেজেটেড,	গেজেটেড,	
tennys,	টেনাসি,	টেনিস,	
venom,	বেনম,	ভেনম,	
obie,	ওবি,	ওবিই,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
jibjontu,	জীবনযুত্,	জীবজন্তু,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
aksathe,	একসাথে,	একসাথে,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
cantan,	কন্টন,	ক্যান্টন,	
janes,	জনেস,	জোন্স,	
chomoski,	চমসকসি,	চমস্কি,	
mosharrof,	মোশাররফ,	মশাররফ,	
chitronattakar,	চিত্রনাট্মকার,	চিত্রনাট্যকার,	
abhinetar,	অভিনেতর,	অভিনেতার,	
choudhurider,	চৌধুরিদের,	চৌধুরীদের,	
bondii,	বন্ডি,	বন্দী,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
toroonraa,	তরণরা,	তরুণরা,	
robot,	রবত,	রোবোট,	
chutir,	চুটির,	ছুটির,	
omarjito,	অমর্জিত,	অমার্জিত,	
votar,	ভোটার,	ভোটার,	
okhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
mandando,	মানদন্ড,	মানদণ্ড,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
stark,	স্ট্র্ক,	স্টার্ক,	
deenesh,	দীনেস,	দীনেশ,	
aidin,	এইদিন,	এইদিন,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
bim,	বিম,	বীম,	
mahibur,	মহিিবর,	মহিবুর,	
sqalastiqa,	স্কলস্টিক,	স্কলাস্টিক,	
taresa,	তারেস,	টেরেসা,	
gronthowo,	গ্রন্থাও,	গ্রন্থও,	
fimela,	ফাইমেল,	ফিমেল,	
shringga,	শ্রীঙা,	শৃঙ্গ,	
mandape,	মন্ডপে,	মন্ডপে,	
venkatesh,	ভেইনকেটিস,	ভেঙ্কটেশ,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
karpeeta,	কর্পিট,	কার্পেট,	
sectore,	স্কেটার,	সেক্টরে,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
porishkaran,	পরিস্কাণ,	পরিষ্করণ,	
jakkher,	যক্ষের,	যক্ষের,	
tenish,	টেনিশ,	টেনিস,	
bosante,	বসন্তে,	বসন্তে,	
anodhikaar,	অনধিকার,	অনধিকার,	
moshleh,	মসলেহ,	মোসলেহ,	
prokalpeo,	প্রকালকেও,	প্রকল্পেও,	
avereste,	অভযারেস্ট,	এভারেস্টে,	
foks,	ফক্স,	ফক্স,	
dhormi,	ধর্মী,	ধর্মী,	
udbodhoni,	উদ্ববনী,	উদ্বোধনী,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
sucre,	সুক্র,	সাকার,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
saras,	সরস,	সরস,	
zins,	জিনস,	জিন্স,	
bondira,	বন্দিরা,	বন্দীরা,	
shaapholler,	সাফলের,	সাফল্যের,	
katbe,	কাটবে,	কাটবে,	
juboke,	যুবকে,	যুবকে,	
khaaneker,	খানেকের,	খানেকের,	
chhootite,	ছুটিতে,	ছুটিতে,	
sqalarashipa,	স্কলোরিশিপ,	স্কলারশিপ,	
jyeshtha,	জ্যেস্থ্য,	জ্যেষ্ঠা,	
sadena,	সদদেন,	সাডেন,	
soomita,	সুমিতা,	সুমিতা,	
vittio,	ভিত্তিও,	ভিত্তিও,	
yuroo,	ইউরো,	ইউরো,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
mukhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
alsaar,	আলসার,	আলসার,	
bohoodin,	বহুদীন,	বহুদিন,	
dijeejer,	ডিজিজের,	ডিজিজের,	
injiniyarim,	ইঞ্জিনিরামিং,	ইঞ্জিনিয়ারিং,	
gobeshona,	গবেষণা,	গবেষনা,	
chalochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
jonopoth,	জনপথ,	জনপথ,	
eura,	ইউরা,	ইউরো,	
nirupita,	নিরূপিতা,	নিরূপিত,	
zubokshoho,	যুবকসহ,	যুবকসহ,	
shapad,	সাপাদ,	শ্বাপদ,	
chamsky,	চামকসিক,	চমস্কি,	
anodhikar,	অনধধিকার,	অনধিকার,	
soores,	সুরেশ,	সুরেশ,	
jokrit,	যকৃত,	যকৃৎ,	
timoothy,	টিমুথি,	টিমোথি,	
towraat,	তৌরাত,	তওরাত,	
mase,	মেস,	মাসে,	
probhritite,	প্রভূতিতে,	প্রভৃতিতে,	
salafeta,	সালফাইট,	সালফেট,	
korimkey,	করিমকে,	করিমকে,	
beetlaser,	বিটলাসের,	বিটলসের,	
holuder,	হলুদের,	হলুদের,	
victar,	ভিক্টার,	ভিক্টর,	
uporitale,	উপরিতালে,	উপরিতলে,	
totokshon,	ততকশষণ,	ততক্ষন,	
paab,	পাব,	পাব,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
fanser,	ফাঁসের,	ফাঁসের,	
aqabar,	একাবার,	আকাবার,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
kareer,	কারির,	কারীর,	
olpo,	অল্প,	অল্প,	
aakabar,	আকাবার,	আকাবার,	
telaakucha,	তেলাকাচা,	তেলাকুচা,	
thechar,	থেসার,	থ্যাচার,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
thailyanda,	থৈল্যান্ড,	থাইল্যান্ড,	
pravritike,	প্রভূতীকে,	প্রভৃতিকে,	
nathivookteer,	নথিযভুক্তির,	নথিভুক্তির,	
miley,	মিলে,	মাইলে,	
tochnochh,	তচ্ছ,	তছনছ,	
nutaner,	নূতাের,	নূতনের,	
wault,	ওয়াল্ট,	ভল্ট,	
sontoshe,	সন্তঃষে,	সন্তোষে,	
vorodwaj,	ভররদাজ,	ভরদ্বাজ,	
brittakarey,	বৃত্তাকারে,	বৃত্তাকারে,	
poscime,	পশ্চিমে,	পশ্চিমে,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
avinetar,	অভিনেটর,	অভিনেতার,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
nadnadir,	নদন্বাদির,	নদনদীর,	
deqe,	ডেকে,	ডেকে,	
vorpur,	ভররপুর,	ভরপুর,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
jorer,	জোরের,	জ্বরের,	
jomkaalo,	জমকালক,	জমকালো,	
stanehenge,	স্টেনেঙ্গে,	স্টোনহেঞ্জ,	
