jacqson,	জেকসন,	জ্যাকসন,	
harbour,	হার্বার,	হারবার,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
soomi,	সুমি,	সুমি,	
starcer,	স্টার্সের,	স্টার্কের,	
nodiiteyi,	নদীতেই,	নদীতেই,	
shithilatar,	সিথিলাটার,	শিথিলতার,	
dazjo,	দজ্য,	দাহ্য,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
keo,	কিও,	কেও,	
thetcher,	থেচার,	থ্যাচার,	
chaaka,	চাকা,	চাকা,	
jerusalem,	জেরুসামেল,	জেরুসালেম,	
teamothy,	টিমথি,	টিমোথি,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
elaaka,	এলাকা,	এলাকা,	
agibon,	আগিবন,	আজীবন,	
aalaaoler,	আলালের,	আলাওলের,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
nodike,	নদীকে,	নদীকে,	
jyesthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
ting,	টিং,	টিং,	
orunima,	অরুণিম,	অরুণিমা,	
bocchon,	বচ্ছন,	বচ্চন,	
shikare,	শিকারে,	শিকারে,	
ddhake,	ঢেকে,	ঢেকে,	
machhti,	মাছটি,	মাছটি,	
shikhra,	শিখরা,	শিখরা,	
ssosha,	শসা,	শশা,	
chalai,	চালাই,	চালাবে,	
edaning,	এডানিং,	ইদানিং,	
peeth,	পিঠ,	পীঠ,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
ancholtee,	আঞচলটি,	অঞ্চলটি,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
spancer,	স্পন্সের,	স্পেন্সার,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
nodigulir,	নদীগুলির,	নদীগুলির,	
aatto,	আত্ম,	আত্ম,	
chire,	চিরে,	চিরে,	
jathartho,	যাথার্থ,	যথার্থ,	
doula,	ডৌল,	দৌলা,	
chetnagato,	চিতনাগত,	চেতনাগত,	
samanwitabhabe,	সমান্তিভাবে,	সমন্বিতভাবে,	
machsoho,	মাসসহ,	মাছসহ,	
thakeni,	থাকেনি,	থাকেনি,	
joluk,	জলুক,	জ্বলুক,	
vittiteo,	ভিট্তিতেও,	ভিত্তিতেও,	
venuser,	ভেনাসের,	ভেনাসের,	
kodom,	কদম,	কদম,	
shoya,	শোয়া,	সোয়া,	
bikretara,	বিক্রেতা,	বিক্রেতারা,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
shpreadshhiit,	স্প্রেডসিট,	স্প্রেডশীট,	
sookumari,	সুকুমারী,	সুকুমারী,	
vasturyi,	বস্তুরই,	বস্তুরই,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
horeener,	হরেনের,	হরিণের,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
codee,	কোড,	কোডে,	
istonia,	ইস্তোনিয়া,	এস্তোনিয়া,	
tottobar,	তত্তাবার,	তওবার,	
modhyekar,	মধ্যার,	মধ্যেকার,	
dharmee,	ধর্মী,	ধর্মী,	
kona,	কোনা,	কোনা,	
abatar,	অবার,	অবতার,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
superheiro,	সুপারহার,	সুপারহিরো,	
mascat,	মাসকাট,	মাস্কাট,	
machgulo,	মাছগুলো,	মাছগুলো,	
sniper,	স্নিপের,	স্নাইপার,	
ingrejraa,	ইংরেজারা,	ইংরেজরা,	
phala,	ফাল,	পোলো,	
salim,	সলিম,	সেলিম,	
banijyikvittey,	বানিজ্যিকভিতে,	বাণিজ্যিকভিত্তিতে,	
okhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
protul,	প্রতুল,	প্রতুল,	
boshoborti,	বসববর্তী,	বশবর্তী,	
udor,	উদর,	উদর,	
inziniyarim,	ইন্জিনিয়ান,	ইঞ্জিনিয়ারিং,	
muladi,	মুলাদী,	মুলাদি,	
shajano,	শাজন,	সাজানো,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
pooroheetke,	পুরোহিতকে,	পুরোহিতকে,	
bhogirath,	ভগিরাথ,	ভগীরথ,	
sipa,	শিপ,	শিপ,	
baharamporer,	বহরামপুরের,	বহরমপুরের,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
proshtotto,	প্রস্তত্ব,	প্রস্ত্তত,	
palbongsher,	পালববংশের,	পালবংশের,	
ekbakye,	একবাক্যে,	একবাক্যে,	
farider,	ফরিদের,	ফরিদের,	
meloonborrone,	মেলনবর্গণে,	মেলবোর্নে,	
ajimpoor,	অজিমপুর,	আজিমপুর,	
aazaadeer,	আজাদির,	আজাদীর,	
anish,	আনিষ,	আনিস,	
rohosyo,	রহস্য,	রহস্য,	
agamane,	আগমনে,	আগমনে,	
aalaa,	আলা,	আলা,	
masterer,	মাস্টারের,	মাস্টারের,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
monmotho,	মনমোথ,	মন্মথ,	
saptahokal,	সপ্তাহক,	সপ্তাহকাল,	
resorte,	রিসর্টে,	রিসোর্টে,	
bijito,	বিজিত,	বিজিত,	
kloj,	ক্লোজ,	ক্লজ,	
porinoti,	পরিনতি,	পরিণতি,	
onkush,	অঙকুশ,	অংকুশ,	
niketaner,	নিকটের,	নিকেতনের,	
cheentaikaree,	ছিনতাইকারী,	ছিনতাইকারী,	
footonto,	ফুটন্ট,	ফুটন্ত,	
ottacharito,	অত্তাচারিত,	অত্যাচারিত,	
jonogononar,	জনগণনার,	জনগণনার,	
shaddhii,	সাধি,	সাধ্বী,	
engrejra,	ইংরেজার,	ইংরেজরা,	
venna,	ভেনা,	ভেন্না,	
atyacarito,	অত্যাচারিত,	অত্যাচারিত,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
durga,	দুর্গা,	দুর্গ,	
sinematographar,	সিনেমাফররা,	সিনেমাটোগ্রাফার,	
patjata,	পাটজাত,	পাটজাত,	
asavya,	অস্ব,	অসভ্য,	
horeedware,	হরিদ্বারে,	হরিদ্বারে,	
kaleo,	কালেও,	কালেও,	
harja,	হার্জ,	হার্জ,	
turkmen,	তার্কমেন,	তুর্কমেন,	
latimer,	ল্যামিটার,	লাটিমের,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
skalastik,	স্কালস্টিক,	স্কলাস্টিক,	
sotorkokaree,	সত্তরকারী,	সতর্ককারী,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
pashan,	পাসন,	পাষাণ,	
konoroop,	কনোরুপ,	কোনরূপ,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
azaadir,	আযাদির,	আজাদীর,	
jandrel,	যান্ড্রেল,	জাঁদরেল,	
jeess,	জিস,	জেস,	
miitar,	মিটার,	মিত্র,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
thishisher,	ঠিসিসের,	থিসিসের,	
vabuk,	ভাবুক,	ভাবুক,	
dayana,	ডোয়ান,	ডায়না,	
dosa,	দোসা,	দোসা,	
tiger,	টিজের,	টাইগার,	
maryir,	মেরির,	ম্যারির,	
tottoraat,	তত্ত্বা,	তওরাত,	
boikalyo,	বৈকল্য,	বৈকল্য,	
mitroder,	মিত্রদের,	মিত্রদের,	
dosheeder,	দশীদের,	দোষীদের,	
songbadmadhyomgulote,	সংবাদকম্মতলে,	সংবাদমাধ্যমগুলোতে,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
janamukhi,	জনমুখী,	জনমুখী,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
land,	লন্ড,	ল্যান্ড,	
amitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
shima,	সীম,	সীমা,	
horiddar,	হরিদর,	হরিদ্বার,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
grambaashio,	গ্রামবাসওও,	গ্রামবাসীও,	
tecnocrat,	টেকনোর্রট,	টেকনোক্র্যাট,	
jolorong,	জলরর্গ,	জলরঙ,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
partha,	পার্থ,	পার্থ,	
samratder,	সমরতদের,	সম্রাটদের,	
atyacharita,	অত্যাচারিত,	অত্যাচারিত,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
khanankaj,	খননকাজ,	খননকাজ,	
nirabata,	নীরবতা,	নিরবতা,	
mausumei,	মৌসুমেই,	মৌসুমেই,	
dakteekiter,	ডাক্তিতের,	ডাকটিকিটের,	
procharonamulok,	প্রচারনামূলক,	প্রচারণামূলক,	
charrjer,	চার্জের,	চার্জের,	
sphincter,	স্ফিন্টার,	স্ফিংটার,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
nanir,	নানীর,	নানীর,	
thraugh,	ট্রাঘ,	থ্রু,	
bishad,	বিশদ,	বিষদ,	
caramiks,	ক্যারিমিক্স,	সিরামিকস,	
siddhantogulo,	সিদ্ধান্গগুলো,	সিদ্ধান্তগুলো,	
ranangoney,	রণনঙ্গনে,	রণাঙ্গনে,	
michilti,	মিশিলটি,	মিছিলটি,	
nagarik,	নগরীক,	নাগরিক,	
miley,	মিলে,	মাইলি,	
foolkopi,	ফুলকপপি,	ফুলকপি,	
hiiragana,	হিরাগা,	হিরাগানা,	
akhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
postay,	পোস্ট,	পোষ্টে,	
dayra,	ডের,	ডেরা,	
prabhuder,	প্রভূদের,	প্রভুদের,	
bodhirota,	বধিরতা,	বধিরতা,	
taranee,	তরণে,	তরণী,	
pravritike,	প্রভৃতিকে,	প্রভৃতিকে,	
batikromshali,	ব্যাতিক্রমসালী,	ব্যতিক্রমধর্মী,	
cholchhe,	চলছে,	চলছে,	
nodiike,	নদীকে,	নদীকে,	
elaakaai,	এলাকাই,	এলাকাই,	
shhyutara,	স্যুটার,	শ্যুটার,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
naitik,	নৈতিক,	নৈতিক,	
chalo,	চালো,	চলো,	
tafasir,	তফসির,	তাফসীর,	
korusher,	ক্রুসের,	ক্রুশের,	
asamonjoshopurno,	অসম্যসনপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
debeting,	ডেবিটিং,	ডিবেটিং,	
zuboke,	যুবকে,	যুবকে,	
taatey,	তাঁতে,	তাতে,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
tuleche,	তুলেছে,	তুলেছে,	
enashiyenta,	এনসসয়েন্ট,	এনসিয়েন্ট,	
samudrotate,	সমুদ্রতা,	সমুদ্রতটে,	
dokan,	ডোকান,	দোকান,	
dollu,	দললু,	ডলু,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
shipa,	শিপ,	শিপ,	
unit,	ইউনিত,	ইউনিট,	
heebhi,	হেভি,	হেভি,	
qarpeta,	কর্প,	কার্পেট,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
jyeshtha,	জ্যাস্ঠা,	জ্যেষ্ঠা,	
grovth,	গ্রা,	গ্রোথ,	
nondolaal,	নন্দোলাল,	নন্দলাল,	
larshon,	লর্সন,	লারসন,	
olympik,	অলিম্পিক,	অলিম্পিক,	
sekarone,	সেকারণে,	সেকারণে,	
hertz,	হার্ট,	হার্জ,	
podarthobidder,	পদার্থবিদ্যার,	পদার্থবিদদের,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
dwipgulo,	দ্বীপুলো,	দ্বীপগুলো,	
toroonke,	তরুণকে,	তরুণকে,	
badei,	বাদে,	বাদেই,	
miraclee,	মিরাকেল,	মিরাকেল,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
randeep,	রণ্ডীপ,	রণদীপ,	
cholesi,	চলেসি,	চলেছি,	
heeja,	হিজ,	হেজ,	
kommatei,	কমাতেই,	কমাতেই,	
hatodaridra,	হতদরিদর্য,	হতদরিদ্র,	
deenesh,	ডিনেস,	দীনেশ,	
zones,	জোন,	জোন্স,	
canservatian,	কনসার্েশন,	কনসারভেশন,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
garner,	গার্নের,	গার্নার,	
towbaar,	তাবার,	তওবার,	
faksa,	ফক্স,	ফক্স,	
fern,	ফার্ন,	ফার্ন,	
