chherechhe,	ছেরেছে,	ছেড়েছে,	
sookumari,	সুকুমারি,	সুকুমারী,	
koommatei,	কমাতেই,	কমাতেই,	
hoila,	হইল,	হইল,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
lande,	ল্যান্ডে,	ল্যান্ডে,	
nagorikke,	নগরিককে,	নাগরিককে,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
bafar,	বাফার,	বাফার,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
murad,	মুরাদ,	মুরাদ,	
elakaao,	এলেকাও,	এলাকাও,	
bhootara,	ভুটার,	ভোটার,	
bhaibonera,	ভাইবেনের,	ভাইবোনেরা,	
basaake,	বাসাকে,	বাসাকে,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
sahinsatar,	সহিনসতার,	সহিংসতার,	
sthaponatir,	স্থাপনাটির,	স্থাপনাটির,	
aksathei,	একসাথেই,	একসাথেই,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
babilon,	ব্যাবিলন,	ব্যাবিলন,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
aidii,	আইদি,	আইডিই,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
romantik,	রোম্যান্টিক,	রোমান্টিক,	
loha,	লোহ,	লোহা,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
ashocheton,	অসচেছন,	অসচেতন,	
lambatey,	ল্যামবেটে,	লম্বাটে,	
probhritir,	প্রভীতির,	প্রভৃতির,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
nadigulo,	নদিগুলো,	নদীগুলো,	
shaddhi,	সাধি,	সাধ্বী,	
taitela,	টাইটেল,	টাইটেল,	
windo,	উইন্ডো,	উইন্ডো,	
uthhaane,	উঠানে,	উঠানে,	
moshjidke,	মস্জিদকে,	মসজিদকে,	
bait,	বেইট,	বাইট,	
sanbadmadhyame,	সংবাদধাধ্যমে,	সংবাদমাধ্যমে,	
pishach,	পিশাচ,	পিশাচ,	
chalachchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
torunderke,	টরুন্ডারকে,	তরুণদেরকে,	
drisser,	দৃশ্যের,	দৃশ্যের,	
byaboharkarike,	ব্যবহহারককারীকে,	ব্যবহারকারীকে,	
paltechey,	প্যালটেেে,	পাল্টেছে,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
crescenter,	ক্রিস্টেন্টের,	ক্রিসেন্টের,	
baasake,	বাসাকে,	বাসাকে,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
spreadshiit,	স্প্রীদশিত,	স্প্রেডশীট,	
ohalyar,	অহাল্যর,	অহল্যার,	
aashanka,	আশঙ্ক,	আশংকা,	
nirbahey,	নির্বাহে,	নির্বাহে,	
bijito,	বিজিত,	বিজিত,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
norfolk,	নরফোলক,	নরফোক,	
angurer,	অঙ্গুরের,	আঙ্গুরের,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
tatey,	তাটে,	তাতে,	
deool,	দিওল,	দেউল,	
vimshen,	ভিমসেন,	ভীমসেন,	
diniphition,	ডিনিফিনিশন,	ডেফিনেশন,	
maudelti,	মাউডেলটি,	মডেলটি,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
hijri,	হিজরি,	হিজরী,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
shilpajata,	শিল্পজতা,	শিল্পজাত,	
bibade,	বিবাদে,	বিবাদে,	
lettar,	ল্যাটার,	লেটার,	
swalpo,	স্বল্প,	স্বল্প,	
protijogi,	প্রতিযোগি,	প্রতিযোগী,	
aembed,	এমবেড,	এম্বেড,	
qaro,	কারও,	কারো,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
bihar,	বিহার,	বিহার,	
batsmanyi,	বাসমান্ি,	ব্যাটসম্যানই,	
jesthatar,	জেষ্ঠাতার,	জ্যেষ্ঠতার,	
overveu,	অভার্ভে,	ওভারভিউ,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
saabyastha,	সবব্যস্থা,	সাব্যস্থ,	
shreeshree,	শ্রীশরি,	শ্রীশ্রী,	
nodnodir,	নদ্যদির,	নদনদীর,	
garora,	গোরোরা,	গারোরা,	
qarpeta,	কর্পেট,	কার্পেট,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
homser,	হমসের,	হোমসের,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
swapod,	স্বপদ,	শ্বাপদ,	
umedpoor,	উমেদপুর,	উমেদপুর,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
laagto,	লাগত,	লাগতো,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
neker,	নেকের,	নেকের,	
sangasthagulo,	সংস্থলগুলো,	সংস্থাগুলো,	
rabe,	রেবে,	রবে,	
alpakichudin,	অল্পকিচিদ,	অল্পকিছুদিন,	
bangyer,	বাঙ্জের,	ব্যাঙের,	
phood,	ফুড,	ফুড,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
udar,	উদার,	উদর,	
akshoti,	অক্ষটি,	একশোটি,	
birder,	বীর্ডের,	বার্ডের,	
baharamporer,	বহরামপুরের,	বহরমপুরের,	
ekbakye,	একবাকে,	একবাক্যে,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
spredashita,	স্পের্শদিত,	স্প্রেডশীট,	
attacharito,	অত্মচারিত,	অত্যাচারিত,	
byabaharkarie,	ব্যবহহারকারি,	ব্যবহারকারীই,	
sazanor,	সাজানোর,	সাজানোর,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
dajjha,	দাজা,	দাহ্য,	
shulkey,	সুলকে,	শুল্কে,	
atmobishvashi,	অত্মবিবাসী,	আত্মবিশ্বাসী,	
graambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
chetnagato,	ছেতনাগত,	চেতনাগত,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
sikhra,	শিখ্র,	শিখরা,	
armastram,	আর্মস্ত্রম,	আর্মস্ট্রং,	
siite,	শীতে,	শীতে,	
jens,	জেন্স,	জিন্স,	
licenshing,	লিলেন্সিং,	লাইসেন্সিং,	
faad,	ফাঁদ,	ফুড,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
dakten,	ডাকতেন,	ডাকতেন,	
dhache,	ঢাচে,	ধাঁচে,	
artillery,	অর্টিলারি,	আর্টিলারি,	
sosej,	শশেজ,	সসেজ,	
maarmaader,	মার্মাদের,	মারমাদের,	
anodhikar,	অনধিকার,	অনধিকার,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
baugey,	বৌগে,	বাগে,	
prapokke,	প্রাপক্কে,	প্রাপককে,	
afzal,	আফজাল,	আফজল,	
provu,	প্রভূ,	প্রভু,	
siiter,	শীটের,	শীতের,	
diyi,	দিই,	দিই,	
chintaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
charjito,	চার্জিত,	চার্জিত,	
roshider,	রশিদের,	রশিদের,	
ajeemke,	আজিমকে,	আজিমকে,	
maila,	মেল,	মাইল,	
ramdhanu,	রমধধুন,	রামধনু,	
ekhaate,	এখাতে,	একহাতে,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
shuperhero,	সুপারহারও,	সুপারহিরো,	
dakhbaar,	দাখবার,	দেখবার,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
gononanatyo,	গণনান্ত্,	গণনাট্য,	
tafasir,	তফসির,	তাফসীর,	
abadamoner,	অবদামনের,	অবদমনের,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
kromo,	ক্রোমো,	ক্রম,	
queri,	কুরি,	কোয়েরি,	
boner,	বোনের,	বনের,	
aarke,	আর্কে,	আরকে,	
samanwitavabe,	সমান্তভাবতে,	সমন্বিতভাবে,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
ghenshe,	ঘেনসে,	ঘেঁষে,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
hariken,	হারিকেন,	হ্যারিকেন,	
faskari,	ফসকারি,	ফাঁসকারী,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
bea,	বি,	বি,	
sonmukh,	সন্মুখ,	সন্মুখ,	
guzober,	গুজবের,	গুজবের,	
hatochokito,	হতোচকিত,	হতচকিত,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
saarbharer,	সারভারের,	সার্ভারের,	
abikal,	অবিকাল,	অবিকল,	
spredsheet,	স্প্রেডটিত,	স্প্রেডশীট,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
farider,	ফরিদের,	ফরিদের,	
dang,	ডাং,	ডং,	
jommu,	জম্মু,	জম্মু,	
keyboard,	কিবোর্ড,	কীবোর্ড,	
goore,	গুরে,	গোর,	
beeru,	বিরু,	বীরু,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
janoika,	জানাইকা,	জনৈকা,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
toufik,	তৌফিক,	তৌফিক,	
mukhabandha,	মুখবন্ধা,	মুখবন্ধ,	
temas,	টেমস,	টাইমস্,	
bjp,	বিজিপি,	বিজেপি,	
ever,	ইভার,	এভার,	
nagaland,	নগল্যান্ড,	নাগাল্যান্ড,	
byabaharkareeke,	ব্যবহহারককারীকে,	ব্যবহারকারীকে,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
dinesh,	ডাইনেস,	দীনেশ,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
capsul,	কপযাসল,	ক্যাপসুল,	
cheph,	চেফ,	শেফ,	
twakei,	ত্বাকেই,	ত্বকেই,	
dharavassyokar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
pingna,	পিঙ্গা,	পিংনা,	
shite,	সীটে,	শীতে,	
aminar,	অমিনার,	আমিনার,	
khargoser,	খার্গসের,	খরগোসের,	
victar,	ভিক্টর,	ভিক্টর,	
shomsti,	সমস্টি,	সমষ্টি,	
jemser,	জেমসের,	জেমসের,	
bhenasha,	ভেনস,	ভেনাস,	
jamjamat,	জামজামত,	জমজমাট,	
artilary,	অর্টিলারি,	আর্টিলারি,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
shphingtar,	স্ফিন্টার,	স্ফিংটার,	
shomratder,	সম্রাত্দের,	সম্রাটদের,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
kings,	কিংস,	কিংস,	
durgotir,	দুর্গতির,	দুর্গটির,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
kalkarkhana,	কল্কর্ডনা,	কলকারখানা,	
gunoman,	গুণমান,	গুণমান,	
lajiqa,	লাজিক,	লজিক,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
americar,	অ্যামেরিকার,	আমেরিকার,	
taigara,	টাইগার,	টাইগার,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
nirbaha,	নির্বাহ,	নির্বাহ,	
kattor,	কাট্টর,	কট্টর,	
armshtrong,	আর্সম্টোর্ন,	আর্মস্ট্রং,	
keui,	কিউই,	কেউই,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
prabhura,	প্রভূরা,	প্রভুরা,	
chaalabi,	চালাবি,	চালাবে,	
ponni,	পণ্নি,	পন্নী,	
deily,	ডেই,	ডেইলি,	
thai,	ঠাই,	থাই,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
disni,	ডিজনি,	ডিজনী,	
habsi,	হবসি,	হাবশী,	
balatkar,	বললকাার,	বলাৎকার,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
sipht,	সিফট,	শিফট,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
dheke,	ঢেঁকি,	ঢেকে,	
nikat,	নিকট,	নিকট,	
goroor,	গরুর,	গরুর,	
provuder,	প্রোভাডের,	প্রভুদের,	
