siitei,	সিতেই,	শীতেই,	
wrighter,	হ্রিটার,	রাইটের,	
mozdur,	মজদুর,	মজদুর,	
brookoleen,	ব্রুকলিন,	ব্রুকলিন,	
krechi,	ক্রেচি,	করেছি,	
ogovir,	অগভির,	অগভীর,	
shikshakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
shucharita,	শুচারিতা,	সুচরিতা,	
bojhey,	বোঝে,	বোঝে,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
deputi,	ডিপুটি,	ডেপুটি,	
laishensha,	লযেশন,	লাইসেন্স,	
sahooseekotar,	সহশুকতার,	সাহসিকতার,	
metropalitana,	মেট্রোপলিটোনন,	মেট্রোপলিটন,	
daakticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
koota,	কুতা,	কোটা,	
shaddhi,	শদ্ধি,	সাধ্বী,	
jani,	জানি,	জনি,	
asaciates,	এস্যাচিয়েটস,	এসোসিয়েটস,	
eokee,	ইওকে,	এওকি,	
lutherana,	লুথেরানা,	লুথেরান,	
jonmobhumitir,	জন্মভূমিতির,	জন্মভূমিটির,	
shingping,	শিংপিং,	শিংপিং,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
chanoo,	চানু,	চানু,	
sahozlabhbhatar,	সহজলহবভার,	সহজলভ্যতার,	
rahi,	রাহি,	রাহী,	
uponishad,	উপনিষাদ,	উপনিষদ,	
bonshi,	বনশি,	বংশী,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
qaro,	কারো,	কারো,	
ciima,	সিইম,	সীমা,	
greep,	গ্রিপ,	গ্রিপ,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
santoshpore,	সান্তোষ্পরে,	সন্তোষপুর,	
probhura,	প্রভুরা,	প্রভুরা,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
nariider,	নারীদের,	নারীদের,	
musalmanderke,	মুসলমাঁদকেরকে,	মুসলমানদেরকে,	
saamaanya,	সামান্য,	সামান্য,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
hisabagyan,	হিসাবজ্ঞান,	হিসাবজ্ঞান,	
shakara,	শাকারা,	সাকার,	
bhabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
bandhan,	বাঁধন,	বাঁধন,	
maila,	মাইলা,	মাইল,	
vortuki,	ভোরটুকি,	ভর্তুকি,	
engrejra,	এংরেজরা,	ইংরেজরা,	
modele,	মডেলে,	মডেলে,	
niharkantibabu,	নিহারকান্তিবাবু,	নিহারকান্তিবাবু,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
juboksoho,	যুবকসহ,	যুবকসহ,	
sushposhtolikhito,	সুষ্পশ্থিকিত,	সুষ্পষ্টলিখিত,	
itastata,	ইতাস্টতা,	ইতস্তত,	
dalee,	লালি,	ডালে,	
utkhaat,	উৎকাত,	উত্খাত,	
hafsa,	হাফা,	হাফসা,	
rudiger,	রুদিগের,	রুদিগের,	
grambasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
neelfamarir,	নেলফামারির,	নীলফামারীর,	
koruna,	করুনা,	করুণা,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
meghacchonno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
chalochchitrei,	চলচচ্ত্রেই,	চলচ্চিত্রেই,	
ashirbadatri,	অশীর্বদাত্রী,	আশীর্বাদাত্রী,	
shajano,	শাজানো,	সাজানো,	
treebhuj,	ত্রিভূজ,	ত্রিভূজ,	
vorkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
pray,	প্রেয়,	প্রায়,	
hul,	হুল,	হুল,	
jund,	জান্ড,	জুন্দ,	
bishwaashshke,	বিশ্বশ্ষকে,	বিশ্বাসকে,	
tottorat,	তত্ত্বরাট,	তওরাত,	
spreedashita,	স্প্রিডিশিটা,	স্প্রেডশীট,	
siqhar,	শিখার,	শিকার,	
jerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
grauth,	গ্রাউথ,	গ্রোথ,	
francine,	ফ্রান্সিন,	ফ্রান্সিন,	
directorate,	ডাইরেক্টরেট,	ডিরেক্টরেট,	
drabyatah,	দ্রব্যাথা,	দ্রব্যতঃ,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
gabhaskaar,	গভবস্কার,	গাভাস্কার,	
pratisthanik,	প্রতিস্থানিক,	প্রাতিষ্ঠানিক,	
hena,	হেন,	হেনা,	
siit,	সিত,	শীত,	
freelancerra,	ফ্রীল্যান্সার,	ফ্রিল্যান্সাররা,	
haripur,	হরিপুর,	হরিপুর,	
byke,	বিইকিকে,	বাইক,	
kogake,	কোগাকে,	কোগাকে,	
shikara,	শিকারা,	শিকার,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
obosan,	অবসান,	অবসান,	
poschime,	পশ্চিমে,	পশ্চিমে,	
bosantake,	বসানটাকে,	বসন্তকে,	
ukeliptas,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
ovidhaner,	অভিধানের,	অভিধানের,	
golimodhye,	গোলিমধ্যে,	গলিমধ্যে,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
soleel,	সলিল,	সলিল,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
bhoutikeshu,	ভৌতিকেশু,	ভৌতিকেষু,	
dadapur,	দাদাপুর,	দাদাপুর,	
khargosher,	খারগশের,	খরগোসের,	
desiseyer,	ডেসিসেয়ের,	ডিজিজের,	
deepan,	দীপন,	দীপন,	
bbosben,	ব্যবস্বেন,	বসবেন,	
mulor,	মুলোর,	মুলোর,	
nagorikra,	নাগোরিকরা,	নাগরিকেরা,	
quota,	কুওটা,	কোটা,	
laatimer,	লাতিমের,	লাটিমের,	
bongshokey,	বংশকে,	বংশকে,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
aakaabaar,	আকাবার,	আকাবার,	
bohoodin,	বহউদিন,	বহুদিন,	
samanyai,	সামান্যই,	সামান্যই,	
militaryr,	মিলিটারির,	মিলিটারির,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
foloshrutite,	ফলশ্রুটিতে,	ফলশ্রুতিতে,	
musalmani,	মুসলমানি,	মুসলমানই,	
shatodha,	শতোধা,	শতধা,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
omanisa,	ওমানিসা,	অমানিশা,	
manoharpur,	মনোহরপুর,	মনোহরপুর,	
vangley,	ভ্যাংলে,	ভাঙলে,	
totokson,	টোটোকন,	ততক্ষন,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
laaisensh,	লেইসেন্স,	লাইসেন্স,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
saseza,	সাসেজা,	সসেজ,	
supparak,	সুপপারক,	সুপ্পারক,	
tarkale,	তারকলে,	তারকালে,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
hossne,	হোসনে,	হোসনে,	
ekshoti,	একশটি,	একশোটি,	
booksar,	বুকসার,	বুক্সার,	
hoondayi,	হুন্দায়ি,	হুন্দাই,	
konruup,	কনরুউপ,	কোনরূপ,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
bulano,	বুলানো,	বুলান,	
mukharji,	মুখর্জি,	মুখার্জী,	
victor,	ভিক্টর,	ভিক্টর,	
shlok,	শ্লক,	শ্লোক,	
saainyo,	সাইন্য,	সৈন্য,	
langhangulir,	লঙ্ঘনগুলির,	লঙ্ঘনগুলির,	
agomoney,	অগোময়ে,	আগমনে,	
serology,	সেরোলজি,	সেরোলজি,	
bhittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
vagini,	ভ্যাজিনি,	ভগিনী,	
tarkareer,	তারকারীর,	তরকারীর,	
aansareer,	আঁসারীর,	আনসারীর,	
byaktikegreptar,	ব্যক্তিক্গে্তত্তর,	ব্যক্তিকেগ্রেপ্তার,	
thaii,	থাই,	থাই,	
oncholsomuho,	অঞ্চসমূল,	অঞ্চলসমূহ,	
pharn,	ফার্ন,	ফার্ন,	
unchiyechilo,	উঁচিয়াছিল,	উঁচিয়েছিল,	
laaisheesh,	লাইশিস,	লাইসেন্স,	
dhamshrenite,	ধামশ্রেণীতে,	ধামশ্রেণীতে,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
hetimganje,	হেতিমগঞ্জে,	হেতিমগঞ্জে,	
stander,	স্ট্যান্ডার,	স্ট্যাণ্ডের,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
marodeho,	মারোদহ,	মরদেহ,	
laaishenshh,	লেইশেনশ,	লাইসেন্স,	
times,	টামেস,	টাইমস্,	
icelands,	আইসেল্যান্ড,	আইসল্যান্ডসহ,	
jonee,	জনে,	জনি,	
oikhan,	ঐখান,	ঐখান,	
graambaashee,	গ্রামবাশী,	গ্রামবাসী,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
bojata,	বোজাটা,	বোজাটা,	
aborto,	আবর্ত,	আবর্ত,	
shoriph,	শরীি,	শরিফ,	
dobhaar,	দোভার,	ডোভার,	
simaa,	সিমা,	সীমা,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
deliver,	ডেলিভার,	ডেলিভার,	
humira,	হুমিরা,	হুমিরা,	
jotinkey,	জটিনকে,	যতীনকে,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
nabayug,	নবায়ুগ,	নবযুগ,	
chinto,	চিন্ত,	চিনতো,	
choopi,	চুপি,	চুপি,	
soheensotar,	সোহীনসতার,	সহিংসতার,	
avisongson,	আভিসংসন,	অভিশংসন,	
jahangirbad,	জাহাঙ্গীরবাদ,	জাহাঙ্গীরবাদ,	
cs,	সিএস,	সিএস,	
banshite,	বাঁথিতে,	বাঁশিতে,	
kampita,	কম্পিতা,	কম্পিত,	
monchosthol,	মঞ্চস্থল,	মঞ্চস্থল,	
rokkhonabekkhoner,	রক্ষণাবেক্ষণের,	রক্ষণাবেক্ষণের,	
ajij,	আজিজ,	আজিজ,	
ujbekistaner,	উজবেক্সিতানের,	উজবেকিস্তানের,	
ajibooner,	আজিবনের,	আজীবনের,	
huka,	হুকা,	হুক,	
thyachara,	থ্যাচরা,	থ্যাচার,	
poderthobid,	পদের্থবিদ,	পদার্থবিদ,	
toxoid,	টক্সোড,	টক্সয়েড,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
ardasho,	আর্দাশো,	আর্দশ,	
hingsar,	হিংসার,	হিংসার,	
himchi,	হিমচি,	হিমচি,	
premo,	প্রেমো,	প্রিমো,	
obharbhiu,	অভারভু,	ওভারভিউ,	
vabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
nadike,	নাদিকে,	নদীকে,	
dharavassokar,	ধারাভাষ্কর,	ধারাভাষ্যকার,	
engreziteo,	এংরেজিতেও,	ইংরেজিতেও,	
maaktoome,	মাক্তুমে,	মাকতুম,	
foreks,	ফরেক্স,	ফরেক্স,	
balabhadra,	বালাভদ্র,	বলভদ্র,	
bishasey,	বিশাসে,	বিশ্বাসে,	
neshnos,	নেশনোস,	নেশনস,	
kanuner,	কানুনের,	কানুনের,	
falak,	ফালাক,	ফলক,	
mukhomandaley,	মুখোমন্ডলে,	মুখমণ্ডলে,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
baipass,	বাইপাস,	বাইপাস,	
onchalti,	অঁচালটি,	অঞ্চলটি,	
holding,	হোল্ডিং,	হোল্ডিং,	
caroline,	ক্যারোলিন,	ক্যরোলিন,	
middleton,	মিডলটেন,	মিডলটন,	
monzushree,	মন্ুর্রী,	মঞ্জুশ্রী,	
comoros,	কমোরোস,	কোমোরোস,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
byathapather,	ব্যথাপথের,	ব্যথাপথের,	
neerbahe,	নিরবাহে,	নির্বাহে,	
generalissimo,	জেনারেলাসিমো,	জেনারেলিসিমো,	
teksuser,	টেকসুসের,	টেক্সাসের,	
