narsaari,	নরসারী,	নার্সারি,	
korle,	কোর্লে,	করলে,	
shef,	শেফ,	শেফ,	
longhan,	লোংঘান,	লংঘন,	
uthhaane,	উঠানে,	উঠানে,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
abheedhaneek,	অভিধানক,	অভিধানিক,	
sambatsarkal,	সম্বাত্তককল,	সম্বৎসরকাল,	
sahojatprobritti,	সহজাতাপ্রব্ত্তি,	সহজাতপ্রবৃত্তি,	
bim,	বিম,	বিম,	
aamor,	আমোর,	আমর,	
hoonayin,	হুনয়ানী,	হুনাইন,	
serup,	সেরুপ,	সেরূপ,	
ghetu,	ঘেটু,	ঘেটু,	
roopdan,	রূপদান,	রুপদান,	
panda,	পান্ড,	পান্ডে,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
doorger,	ডুরগের,	দুর্গের,	
antarctica,	অ্যান্টার্টিকা,	অ্যান্টার্কটিকা,	
rakshanbhag,	রক্ষণগাভ,	রক্ষণভাগ,	
ghumacchilo,	ঘুমাচিছিল,	ঘুমাচ্ছিল,	
kortona,	কর্তনা,	করতনা,	
armeenian,	আর্মিনিয়ান,	আর্মেনিয়ান,	
jatata,	জাতাতা,	যতোটা,	
prarthitao,	প্রার্থিতাও,	প্রার্থীতাও,	
masjidke,	মাসিজিকে,	মসজিদকে,	
monzushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
mekong,	মেকং,	মেকং,	
hitaishi,	হিতাইশী,	হিতৈষী,	
ghumachchila,	ঘুমাচ্ছিলা,	ঘুমাচ্ছিল,	
chitlar,	চিতলার,	চিতলার,	
carlosh,	কার্লোস,	কার্লোস,	
modhumotii,	মধুমতিই,	মধুমতী,	
tintikey,	তিনটিকে,	তিনটিকে,	
gonesher,	গণেশের,	গণেশের,	
adbhanced,	অ্যাডভাঞ্ভ,	অ্যাডভান্সড,	
pet,	পেট,	পেত,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
baipash,	বৈইপাশ,	বাইপাস,	
omanisa,	ওমানিসা,	অমানিশা,	
soomita,	সৌমিতা,	সুমিতা,	
conservetion,	কনসেরভেশন,	কনসারভেশন,	
kormyi,	কর্মি,	কর্মই,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
jotharthovabey,	যথারভাবায়ে,	যথার্থভাবে,	
yanqee,	যানকি,	ইয়াংকি,	
nichols,	নিচোল,	নিকলস,	
nosihote,	নসীহতে,	নসিহতে,	
bhaisaho,	ভৈসহ,	ভাইসহ,	
orbeet,	অরবিত,	অরবিট,	
aosafur,	আওসাফুর,	আওশাফুর,	
jaunotar,	যৌনতার,	যৌনতার,	
khali,	খালি,	খালি,	
anyarup,	অন্রাূপ,	অন্যরূপ,	
plasse,	প্লাসে,	প্লাসে,	
bohudeen,	বহুদিন,	বহুদিন,	
fanse,	ফ্যানসে,	ফাঁসে,	
neck,	নেক্,	নেক,	
osthishondhi,	অষ্থিশন্ধী,	অস্থিসন্ধি,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
superheroo,	সুপেরাহেরও,	সুপারহিরো,	
giitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
musolmanera,	মুসোলামেরা,	মুসলমানেরা,	
brahmanera,	ব্রহহমেনারা,	ব্রাহ্মণেরা,	
sanghitar,	সংহিতার,	সংহিতার,	
ancholsomuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
korush,	কোরুশ,	ক্রুশ,	
bandi,	বান্দি,	বন্দী,	
asif,	আসিফ,	আসিফ,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
pancbaar,	পাঁচবার,	পাঁচবার,	
sompadon,	সম্পাদন,	সম্পাদন,	
mathews,	মাথেস,	ম্যাথিউস,	
maktum,	মাকতুম,	মাকতুম,	
feemalee,	ফিমালি,	ফিমেল,	
ghatla,	ঘাতলা,	ঘটল,	
batom,	বাতম,	বাটম,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
bangobandhu,	বাঙ্গবাধধুন,	বঙ্গবন্ধু,	
adhunikkale,	আধুনিকালে,	আধুনিককালে,	
scorey,	স্কোরে,	স্কোরে,	
utpatti,	উৎপাটটি,	উতপত্তি,	
baju,	বাজু,	বাজু,	
konar,	কোনার,	কণার,	
jothon,	যথন,	যথন,	
seekkhokbrindo,	শিক্ষবকৃণ্দ্,	শিক্ষকবৃন্দ,	
akkheperi,	অক্ষেপীরে,	আক্ষেপেরই,	
mohit,	মহিত,	মুহিত,	
hondooras,	হন্ড্রাস,	হন্ডুরাস,	
madhobeer,	মাধবীর,	মাধবীর,	
taholo,	তাহোলো,	তাহলো,	
qaro,	কারো,	কারো,	
swartho,	স্বার্থ,	স্বার্থ,	
ansareer,	আনসারীর,	আনসারীর,	
taxikeo,	ট্যাক্সিকেও,	ট্যাক্সিকেও,	
baipass,	বাইপাস,	বাইপাস,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
musalmanderke,	মুসল্নার্ডেককে,	মুসলমানদেরকে,	
mukhomondoler,	মুখমন্দললের,	মুখমণ্ডলের,	
abosare,	অবসারে,	অবসরে,	
remacry,	রেমার্ি,	রেমাক্রী,	
kloud,	ক্লুড,	ক্লাউড,	
dhos,	ধোস,	ধস,	
magrey,	ম্যাগ্রে,	ম্যাগ্রে,	
folleni,	ফললেনি,	ফলেনি,	
japanostho,	যাপানস্থ,	জাপানস্থ,	
suiza,	সুইজা,	সুইজা,	
dologuloo,	দলগুলোও,	দলগুলোও,	
monir,	মনির,	মনির,	
sanaktakaran,	সনক্তকাণ,	সনাক্তকরণ,	
choshon,	চোশন,	চোষণ,	
tyapa,	ত্যাপা,	ট্যাপ,	
banglota,	বাংলতা,	বাংলোটা,	
kaale,	কালে,	কালে,	
sudrishya,	সুদ্রীশ্য,	সুদৃশ্য,	
nothiboddho,	নথিবদ্ধ,	নথিবদ্ধ,	
maritimer,	মারিটিমের,	মেরিটাইমের,	
dharavahikbhabe,	ধরভাবিভাবে,	ধারাবাহিকভাবে,	
bhramapraban,	ভ্রমাপ্রবাণ,	ভ্রমপ্রবণ,	
musallati,	মুসল্তি,	মুসল্লাটি,	
jamjamat,	জম্জামাত,	জমজমাট,	
postac,	পোস্টাক,	পোস্টকে,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
rubala,	রুবালা,	রুবল,	
narsinghomgulor,	নারসিহগুলোর,	নার্সিংহোমগুলোর,	
motabolombira,	মোটাবলবিরা,	মতাবলম্বীরা,	
harasta,	হারস্তা,	হারাস্তা,	
deliver,	ডেলিভের,	ডেলিভার,	
himsrot,	হিমস্রোট,	হিমস্রোত,	
kormoi,	কর্মই,	কর্মই,	
neermol,	নিরমল,	নির্মল,	
prodiiper,	প্রদিপের,	প্রদীপের,	
ishahak,	ইশাহাক,	ইসাহাক,	
dharavahik,	ধররাবিহ,	ধারাবাহিক,	
chalachchitra,	চলচাচত্ত,	চলচ্চিত্র,	
manbe,	মানবে,	মানবে,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
mozlis,	মজলিস,	মজলিশ,	
eura,	ইউরা,	ইউরো,	
masto,	মাস্টো,	মাস্ত,	
suchonakal,	সুচনাকাল,	সূচনাকাল,	
fasir,	ফাসির,	ফাসীর,	
abhijitda,	অভিযিত্া,	অভিজিতদা,	
anandamahale,	আনন্দমহলে,	আনন্দমহলে,	
chaka,	চাকা,	চাকা,	
sorting,	সর্টিং,	সর্টিং,	
nirbachokder,	নির্বাচকের,	নির্বাচকদের,	
kormokarer,	কর্মকারের,	কর্মকারের,	
asbab,	আস্বাব,	আসবাব,	
shresthoshcho,	শ্রেষ্ঠশ্চ,	শ্রেষ্ঠশ্চ,	
hepatetisa,	হেপাতেসিটা,	হেপাটাইটিস,	
engrezder,	এঙ্গারদের,	ইংরেজদের,	
murad,	মুরাদ,	মুরাদ,	
ghaghat,	ঘাঘাত,	ঘাঘট,	
welaqama,	ওেলাকামা,	ওয়েলকাম,	
sectore,	সিক্টরে,	সেক্টরে,	
meloonborrone,	মেলোবর্পনে,	মেলবোর্নে,	
baharamporer,	বহরমর্পের,	বহরমপুরের,	
awatar,	আবতার,	অবতার,	
elakaai,	এলাকাই,	এলাকাই,	
shotodha,	শতধা,	শতধা,	
drissogoolote,	দৃস্সগুলোতে,	দৃশ্যগুলোতে,	
tep,	টেপ,	ট্যাপ,	
dharavahiker,	ধরভাহীকের,	ধারাবাহিকের,	
karmoi,	কারমোই,	কর্মই,	
spreadshiit,	স্প্রেশিডিট,	স্প্রেডশীট,	
poripaker,	পরিপাকের,	পরিপাকের,	
chakti,	চক্তি,	চাকতি,	
pleta,	প্লেটা,	প্লেটো,	
hafej,	হাফেজ,	হাফেয,	
porizoner,	পরিজনের,	পরিজনের,	
rojapalaner,	রোজাপালানের,	রোজাপালনের,	
neerbachoker,	নিরবাচকের,	নির্বাচকের,	
goonoman,	গৌনমান,	গুণমান,	
kekru,	কেকরু,	কেকরু,	
siropa,	সিরোপা,	শিরোপা,	
dantahin,	দন্তাহীন,	দন্তহীন,	
ostad,	অস্তা,	ওস্তাদ,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
arthurer,	আরথুরের,	আর্থারের,	
balabhadra,	বলভভদ্র,	বলভদ্র,	
shhow,	শোউ,	শো,	
bbiswasho,	ব্বিশ্বাশ,	বিশ্বাসও,	
phutbolarder,	ফাটবলালদের,	ফুটবলারদের,	
nazranar,	নজরানার,	নাজরানার,	
ajibon,	আজিবন,	আজীবন,	
dito,	দিতো,	দিতো,	
fake,	ফাকে,	ফাকে,	
karu,	কারু,	কারু,	
mukhamandoler,	মুখমান্ডলের,	মুখমণ্ডলের,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
hetimganje,	হেতিমাঞ্জে,	হেতিমগঞ্জে,	
inphormeshon,	ইনফারসমন,	ইনফরমেশন,	
irish,	ইরিশ,	আইরিস,	
asaktibandhan,	অসক্তিনব্ধন,	আসক্তিবন্ধন,	
gabeshonar,	গাবেশনার,	গবেষনার,	
dombhoke,	দমভোকে,	দম্ভকে,	
chikitshar,	চিকিৎশার,	চিকিত্সার,	
tintir,	তিন্তির,	তিনটির,	
rena,	রেনা,	রেনো,	
maner,	মানের,	মানে,	
rohosyo,	রহস্য,	রহস্য,	
minishtarer,	মিনিশ্টারের,	মিনিস্টারের,	
maladabha,	মালাদাভা,	মলদোভা,	
karir,	কারির,	কারীর,	
mumtajer,	মুম্তাজের,	মুমতাজের,	
nek,	নেক,	নেক,	
krus,	ক্রুস,	ক্রুশ,	
shithilata,	শিথিলতা,	শিথিলতা,	
borkhastokritora,	বরখকস্তৃকিরা,	বরখাস্তকৃতরা,	
shten,	শ্টেন,	স্টেন,	
futonta,	ফুতোন্টা,	ফুটন্ত,	
monroe,	মন্রো,	মনেরোর,	
showtey,	শুট,	শোতে,	
niroja,	নিরোজা,	নিরোজা,	
cholechi,	চলেছি,	চলেছি,	
boshoborti,	বশবর্তি,	বশবর্তী,	
carzar,	চারজার,	চার্জার,	
oblivion,	অবিভিভন,	অবলিভিয়ন,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
uparjon,	উপারজন,	উপার্জন,	
nagorikderkey,	নাগরিকদেকে,	নাগরিকদেরকে,	
scholarship,	স্কলর্শরপ,	স্কলারশিপ,	
bonshi,	বন্ি,	বংশী,	
chokhwala,	চোখবালা,	চোখওয়ালা,	
shajano,	শাজানো,	সাজানো,	
gej,	জেজ,	গেজ,	
atorkitey,	আতরকিতেই,	অতর্কিতে,	
kisti,	কিস্তি,	কিস্তি,	
ateetkaale,	অতিকটালে,	অতীতকালে,	
terlarang,	টেরলারং,	তেরলারং,	
chalochchitraeei,	চালচ্ছ্রত্রী,	চলচ্চিত্রেই,	
shudhir,	শুধির,	শুধীর,	
fongli,	ফংলি,	ফংলি,	
salsa,	সালসা,	সালসা,	
orunima,	অরুনিমা,	অরুণিমা,	
agomonke,	আগমনকে,	আগমনকে,	
horidbar,	হোরিদবার,	হরিদ্বার,	
