shucharita,	শুচারিতা,	সুচরিতা,	
chikkingsasoho,	চিক্সিংসহ,	চিকিংসাসহ,	
hosto,	হোস্তো,	হস্ত,	
thabai,	থাবাই,	থাবাই,	
srichoitonnodeb,	শ্রীচহতন্দবেদ,	শ্রীচৈতন্যদেব,	
satyaky,	সত্যক্যি,	সাত্যকি,	
gazetted,	গ্যাজেট্ট,	গেজেটেড,	
rahee,	রাহী,	রাহি,	
segular,	সেগুলার,	সেগুলোর,	
dembakreeti,	দেম্বাকর্তিতি,	ডিম্বাকৃতি,	
jamkaalo,	জামকালো,	জমকালো,	
oncholeo,	অন্চলেও,	অঞ্চলেও,	
nilfamarir,	নীলমারমীর,	নীলফামারীর,	
horipur,	হরিপুর,	হরিপুর,	
elbamtite,	এলবাম্টিতে,	এলবামটিতে,	
ancholtike,	অ্যান্লোটিকে,	অঞ্চলটিকে,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
promodwara,	প্রমোদ্বারা,	প্রমদ্বারা,	
balaruma,	বালারুমা,	বলরুম,	
harees,	হারিস,	হ্যারিস,	
bosano,	বসানো,	বসানো,	
oitijje,	ঐতিহ্যে,	ঐতিহ্যে,	
krusher,	ক্রুশের,	ক্রুশের,	
torunra,	তরুনরা,	তরুণরা,	
upobaashee,	উপবাশী,	উপবাসী,	
zeebonto,	জীবন্ত,	জীবন্ত,	
porinoti,	পরিনটি,	পরিণতি,	
nyeta,	নেইটা,	ম্যাট,	
raagei,	রাগেই,	রাগেই,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
vagni,	ভাগনি,	ভগ্নী,	
edmiral,	এডমিরাল,	এডমিরাল,	
swadhinotatukui,	স্বাধীনতাটুুুই,	স্বাধীনতাটুকুই,	
bulan,	বুলান,	বুলান,	
aanaan,	আনান,	আনান,	
liedtke,	লিইডটকে,	লইডটক,	
hamburgey,	হ্যাম্বগর্গে,	হামবুর্গে,	
adwanced,	অ্যাডব্যান্ড,	অ্যাডভান্সড,	
kormobuddhite,	কর্মবুদ্ধিতে,	কর্মবুদ্ধিতে,	
peeth,	পিথ,	পীঠ,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
faase,	ফাযাসে,	ফাঁসে,	
rayyalati,	রায়্যললতি,	রয়্যালটি,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
dipke,	ডিপকে,	দ্বীপকে,	
rushod,	রুশোদ,	রুশদ,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
magrey,	ম্যাগ্রে,	ম্যাগ্রে,	
adhyatmik,	অধ্যাম্তিক,	আধ্যাত্মিক,	
bhardwaj,	ভর্দবাজ,	ভরদ্বাজ,	
aalaa,	আলা,	আলা,	
oindrila,	ঐন্ডিরলা,	ঐন্দ্রিলা,	
shoriph,	শরিফ,	শরিফ,	
toroonra,	তরুনরা,	তরুণরা,	
dokan,	ডোকান,	দোকান,	
balatarin,	বালাটারিন,	বালাতারিয়ান,	
kampita,	কাম্পিতা,	কম্পিত,	
dai,	দাইই,	ডে,	
sikkharthirao,	সিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
bopoon,	বাউন,	বপন,	
parq,	পার্ক,	পার্ক,	
bakhyateet,	বাখ্যাতিত,	ব্যাখ্যাতীত,	
renoo,	রেনু,	রেনো,	
majdur,	মাজদুর,	মজদুর,	
gandhiio,	গান্ধিও,	গান্ধীও,	
jhijhi,	ঝিঝি,	ঝিঝি,	
muktijuddhojato,	মুক্তিযুদ্ধতাও,	মুক্তিযুদ্ধজাত,	
epiela,	এপিয়ালা,	আইপিএল,	
redcrosser,	রেড্রোস্সের,	রেডক্রসের,	
chhotogolper,	ছোটগল্পের,	ছোটগল্পের,	
dinara,	দিনারা,	ডিনার,	
somraat,	সম্রাত,	সম্রাট,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
miraqela,	মিরাকেলা,	মিরাকেল,	
pothnirdeshona,	পথনির্দেশন,	পথনির্দেশনা,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
ganokantha,	গণকান্থা,	গণকণ্ঠ,	
shudhir,	শুধীর,	শুধীর,	
mitrata,	মিত্রাটা,	মিত্রতা,	
ghoor,	ঘুর,	ঘুর,	
satan,	সাতান,	শয়তান,	
aviyojan,	অভিযোজজন,	অভিযোজন,	
probhuder,	প্রভুদের,	প্রভুদের,	
abosare,	অবসারে,	অবসরে,	
ashanka,	আশাঙ্কা,	আশংকা,	
sallallahu,	সল্লাল্লাহু,	সল্লাল্লাহু,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
amarika,	আমারিকা,	আমেরিকা,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
aagera,	আগেরা,	আগোরা,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
chalake,	চালাকে,	চালকে,	
toching,	টোচিং,	টোচিং,	
greenald,	গ্রিনলল্ড,	গ্রিনল্ড,	
bufer,	বাফার,	বাফার,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
becha,	বেচা,	বেচা,	
remission,	রিমিশন,	রিমিশন,	
wagadada,	ওয়াগাড়াড়া,	বাগদাদ,	
sharif,	শারফফ,	শরিফ,	
jaistho,	জাইশ্থ,	জ্যৈষ্ঠ,	
boner,	বনের,	বনের,	
chalachchitrer,	চলচচ্ছিত্রের,	চলচ্চিত্রের,	
taronee,	তারণী,	তরণী,	
venkates,	ভেঙ্কাটস,	ভেঙ্কটেশ,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
dala,	দালা,	দলা,	
swairacharibirodhi,	স্বারারিবারোধিরি,	স্বৈরাচারীবিরোধী,	
debdebie,	দেবদেবী,	দেবদেবী,	
sten,	স্টেন,	স্টেন,	
nachiketa,	নচিকেটা,	নচিকেতা,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
nichupattir,	নিচুপত্তির,	নিচুপট্টির,	
institutione,	ইন্সটিটিউশন,	ইনস্টিটিউশনে,	
krus,	ক্রুস,	ক্রুশ,	
pronoti,	প্রোনীতি,	প্রণতি,	
deenesh,	দেনেশ,	দীনেশ,	
touraat,	তৌরাত,	তওরাত,	
madhnagar,	মাধনগর,	মাধনগরের,	
foks,	ফকস,	ফক্স,	
umb,	উমমিবি,	ইউএমবি,	
manush,	মানুশ,	মানুষ,	
transhapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
akkheperi,	আক্ষেপেরই,	আক্ষেপেরই,	
karpeter,	কারপেটের,	কার্পেটের,	
shnaipara,	শ্নাইপারা,	স্নাইপার,	
standards,	স্ট্যানাডার্ডস,	স্টান্ডার্ডস,	
rohosyo,	রোহস্য,	রহস্য,	
bbosben,	ব্বসবেন,	বসবেন,	
miitar,	মিইটার,	মিত্র,	
prosadhoni,	প্রসাধনি,	প্রসাধনী,	
boiragirhat,	বৈরাগিরহাট,	বৈরাগিরহাট,	
damakalkarmirao,	দমকাল্ররিমারও,	দমকলকর্মীরাও,	
mousumeo,	মুউসমূয়,	মৌসুমেও,	
qlauda,	ক্লুডাড়া,	ক্লাউড,	
chaalaabi,	চালাবী,	চালাবে,	
mukherjee,	মুখেরজি,	মুখার্জী,	
chalochchitreei,	চালচ্চিত্রীয়,	চলচ্চিত্রেই,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
madrasi,	মাদ্রাসি,	মাদ্রাজি,	
akai,	আকাই,	একাই,	
grahoksebai,	গ্রহককেবাই,	গ্রাহকসেবায়,	
omkar,	ওমকার,	ওঙ্কার,	
gaziipur,	গাজিইপুর,	গাজীপুর,	
ganesh,	গেনেশ,	গণেশ,	
kobutorer,	কবুতরের,	কবুতরের,	
maudelgulo,	মাডেলগুলো,	মডেলগুলো,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
serveray,	সারভেরা,	সার্ভারে,	
harza,	হারজা,	হার্জ,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
timathi,	তিমাথি,	টিমোথি,	
jyesthaa,	জ্যেস্থা,	জ্যেষ্ঠা,	
fansi,	ফ্যানসি,	ফাঁসী,	
pratijogira,	প্রতিযোগিয়ার,	প্রতিযোগীরা,	
supplenza,	সাপ্লেজা,	সাপলেঞ্জা,	
iqbalke,	ইকবলকে,	ইকবালকে,	
brekthrough,	বৃক্তের্ঘু,	ব্রেকথ্রু,	
acrolect,	অ্যাক্রোলেক্ট,	অ্যাক্রোলেক্ট,	
bossonte,	বসন্তে,	বসন্তে,	
shoreefpur,	শরিফপুর,	শরিফপুর,	
homeser,	হোমেসের,	হোমসের,	
jolrang,	জলরাং,	জলরঙ,	
tawnship,	তাউনশিপ,	টাউনশিপ,	
rokibul,	রোকিবুল,	রকিবুল,	
shahanara,	শাহানারা,	শাহানারা,	
farid,	ফারিদ,	ফরিদ,	
nirmolotaa,	নির্মোলতা,	নির্মলতা,	
sharifpur,	শরিফপুরের,	শরিফপুর,	
debeting,	ডেবেটিং,	ডিবেটিং,	
chiroharit,	চিরোহারিত,	চিরহরিৎ,	
karecho,	কারেছো,	করেছ,	
alumni,	আলুমনি,	অ্যালমনি,	
eokee,	ইইকি,	এওকি,	
turkamena,	টুর্কমেনা,	তুর্কমেন,	
lutharen,	লুথারেন,	লুথেরান,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
superheroo,	সুপারহহরে,	সুপারহিরো,	
beam,	বিএমএ,	বিম,	
popke,	পোপকে,	পোপকে,	
patrol,	পাযাট্রোল,	পেট্রোল,	
chemjong,	চেমজং,	চেমজং,	
michhilti,	মিছিলটি,	মিছিলটি,	
amarjito,	আমারজিত,	অমার্জিত,	
dubaate,	ডুবাতে,	ডুবাতে,	
chhooti,	ছুটি,	ছুটি,	
ganochien,	গ্যানোচিয়েন,	গণচীন,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
laishenshim,	লাইশেন্সম,	লাইসেন্সিং,	
kazianis,	কাজিয়ানিস,	কাজানিস,	
rayyaleti,	রায়্যেলটি,	রয়্যালটি,	
juakhelar,	জুয়াখেলার,	জুয়াখেলার,	
hooq,	হুক,	হুক,	
dhyanastha,	ধ্যানস্থা,	ধ্যানস্থ,	
nanir,	নানির,	নানীর,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
hijri,	হিজরি,	হিজরী,	
susamo,	সুসামো,	সুসম,	
purbanchaler,	পুরবঞ্চলের,	পূর্বাঞ্চলের,	
ganaporibahaner,	গণপরিবহহনের,	গণপরিবহনের,	
definition,	ডিফিনিশন,	ডেফিনেশন,	
shrabosty,	শ্রাবস্টি,	শ্রাবস্তী,	
remakri,	রিমাক্রি,	রেমাক্রী,	
torikher,	তরিখের,	তরিখের,	
dhani,	ধানি,	ধানি,	
sweety,	স্বিত,	সুইটি,	
zakharovar,	জাখাভোভার,	জাখারোভার,	
ssahocorze,	স্হাহোর্জে,	সাহচর্যে,	
gazeetteed,	গাজিত্তিদ,	গেজেটেড,	
hizriite,	হিজরিইটে,	হিজরীতে,	
shainyader,	শৈন্যাদের,	সৈন্যদের,	
bage,	বাগে,	বাগে,	
quata,	কুয়াতা,	কোটা,	
syfy,	সিফি,	সাইফাই,	
atmiyasulabh,	আত্মিয়সলাভ,	আত্মীয়সুলভ,	
dola,	ডোলা,	দলা,	
edaningkale,	এডানিংলালে,	ইদানীংকালে,	
dagmukta,	দাগমুক্ত,	দাগমুক্ত,	
upobasee,	উপবাসী,	উপবাসী,	
kharar,	খারার,	খরার,	
bibader,	বিবাদের,	বিবাদের,	
pitiler,	পিটিলের,	পিটিলের,	
gandhariir,	গান্ধারির,	গান্ধারীর,	
iuro,	আইআরো,	ইউরো,	
jhanjra,	ঝাঁজরা,	ঝাঁজরা,	
asamanyo,	অসমান্য,	অসামান্য,	
fooloo,	ফুলো,	পোলো,	
bhandar,	ভান্দার,	ভাণ্ডার,	
konar,	কোনার,	কণার,	
quota,	কুওটা,	কোটা,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
