rena,	রেনা,	রেনো,	
abheedhaaneeck,	অবিধানিক,	অভিধানিক,	
ghetu,	ঘেটু,	ঘেটু,	
grauth,	গ্রাথ,	গ্রোথ,	
jocqey,	জককে,	জকি,	
toxoid,	টক্সোড,	টক্সয়েড,	
path,	পাথ,	পাথ,	
ooipokar,	ঐপপকার,	উইপোকার,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
hool,	হুল,	হুল,	
joones,	জনসে,	জোন্স,	
vandar,	ভান্ডার,	ভাণ্ডার,	
niknayman,	নিক্নাম্মান,	নিকনেইমান,	
abhijitda,	অভিজিৎদা,	অভিজিতদা,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
byaboharkariyi,	ব্যবহারকারীই,	ব্যবহারকারীই,	
atak,	আটাক,	আটক,	
venush,	ভেনুশ,	ভেনাস,	
bisnukey,	বিস্কুইকে,	বিষ্ণুকে,	
prokolpogulikei,	প্রকল্পগুলিকেই,	প্রকল্পগুলিকেই,	
kisti,	কিস্তি,	কিস্তি,	
patrol,	প্যাটরল,	পেট্রোল,	
yuro,	য়ুরো,	ইউরো,	
dhanche,	ধানচে,	ধাঁচে,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
gaj,	গ্যাজ,	গেজ,	
horas,	হোরাস,	হোরাস,	
hillse,	হিলসে,	হিলসে,	
teoner,	তেওনের,	টিওনার,	
juakhelar,	যুয়াখালের,	জুয়াখেলার,	
choopi,	চুপি,	চুপি,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
vangley,	ভ্যাংলি,	ভাঙলে,	
krush,	ক্রুশ,	ক্রুশ,	
jibnagore,	জীবনাগরে,	জীবননগর,	
ajeeboner,	আজিবনের,	আজীবনের,	
chikitshar,	চিকিত্সার,	চিকিত্সার,	
uporitale,	উপরিতালে,	উপরিতলে,	
pathkrom,	পাঠকরম,	পাঠক্রম,	
juktorashtreo,	যুক্তরাষ্ট্রেও,	যুক্তরাষ্ট্রেও,	
durgotsabe,	দুর্গোৎসবে,	দুর্গোৎসবে,	
bhenicer,	ভেনিসের,	ভেনিসের,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
phood,	ফুড,	ফুড,	
lahano,	লাহানো,	লাহানো,	
hooldim,	হুল্ডিং,	হোল্ডিং,	
ul,	ইউএল,	উল,	
chhooteete,	ছোটিতে,	ছুটিতে,	
hastamathun,	হস্তমাঠুন,	হস্তমথুন,	
dharmee,	ধর্মী,	ধর্মী,	
teennis,	টেনেস,	টেনিস,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
sohinsotar,	সোহিনসতার,	সহিংসতার,	
munjur,	মুঞ্জুর,	মুনজুর,	
wagadada,	ওয়াগাদা,	বাগদাদ,	
bharotiyotar,	ভারতীয়তার,	ভারতীয়তার,	
salmaner,	সালমানের,	সালমানের,	
michir,	মিছির,	মিচির,	
mataram,	মাতারাম,	মাতরম,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
patjata,	পাটজাতা,	পাটজাত,	
koordider,	কোর্িদের,	কুর্দিদের,	
disposes,	ডিস্পোজেস,	ডিসপোজেস,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
swostir,	স্বস্তির,	স্বস্তির,	
jibanto,	জীবনত্ব,	জীবন্ত,	
foxer,	ফক্সার,	ফক্সের,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
balabhadra,	বালাভা্র,	বলভদ্র,	
elakatir,	এলাকাটির,	এলাকাটির,	
porobortii,	পরবর্তী,	পরর্বতী,	
desiseyer,	ডেসিসেয়ার,	ডিজিজের,	
slatgulor,	স্ল্যাটগুলোর,	স্ল্যাটগুলোর,	
vool,	ভোল,	উল,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
iuro,	ইউরু,	ইউরো,	
jamaanor,	জামানোর,	জমানোর,	
sahojlovyotar,	সহযোগ্যসল্তার,	সহজলভ্যতার,	
grotha,	গ্রোথা,	গ্রোথ,	
jesh,	জেশ,	জেস,	
kormoi,	কর্মই,	কর্মই,	
janmat,	জানমত,	জন্মাত,	
chhayi,	ছায়ি,	ছাই,	
jommu,	জম্মু,	জম্মু,	
sayatana,	সায়তান,	শয়তান,	
mausumer,	মৌসুমের,	মৌসুমের,	
muradke,	মুরাডকে,	মুরাদকে,	
dharmantor,	ধর্মান্তর,	ধর্মান্তর,	
orbit,	অরবিট,	অরবিট,	
deejeejer,	দিজেজের,	ডিজিজের,	
parisankhanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
ronangane,	রোনাঙ্গনে,	রণাঙ্গনে,	
bonnypran,	বন্নীর্রাণ,	বন্যপ্রাণ,	
bhabarlaler,	ভাবারলালের,	ভবরলালের,	
lekhaksattwar,	লেখকসত্ত্বর,	লেখকসত্ত্বার,	
hughes,	হিঘেস,	হিউজেস,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
venisey,	ভেনিসে,	ভেনিসে,	
akeeb,	আকিব,	আকিব,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
daybhager,	দায়াভের,	দায়ভাগের,	
chongar,	চঙ্গার,	চোঙ্গার,	
seo,	সেও,	সেও,	
licensin,	লাইসেন্সিন,	লাইসেন্সিং,	
chandil,	চান্দিল,	চান্ডিল,	
shomser,	শম্সের,	সমশের,	
airish,	আইরিশ,	আইরিস,	
khilaphat,	খিলাফাত,	খিলাফত,	
tistar,	তিস্তার,	তিস্তার,	
aziboner,	আজিবনের,	আজীবনের,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
beauby,	বিউবি,	বিউবি,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
pinogbagke,	পিনোগবাগকে,	পিনগবাগকে,	
marketin,	মার্কেটিন,	মার্কেটিং,	
satarka,	সতরকা,	সতর্ক,	
anagarikra,	অনাগারিকরা,	অনাগরিকরা,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
female,	ফেমালে,	ফিমেল,	
homsher,	হোমশের,	হোমসের,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
detik,	ডেটিক,	দেতিক,	
battery,	ব্যাটারি,	ব্যাটারী,	
korimkey,	করিমকে,	করিমকে,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
auttacharer,	অটথাচারের,	অত্যাচারের,	
mukhamandoler,	মুখামান্ডলের,	মুখমণ্ডলের,	
danab,	দানাব,	দানব,	
kraanti,	ক্রান্তি,	ক্রান্তি,	
sarjur,	সররজুর,	সরযূর,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
pitiler,	পিতিলের,	পিটিলের,	
nirbaho,	নির্বাহ,	নির্বাহ,	
feroza,	ফেরোজা,	ফিরোজা,	
oncholeo,	অঁচলেও,	অঞ্চলেও,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
probhura,	প্রভুরা,	প্রভুরা,	
adorso,	আদরসো,	আর্দশ,	
sukumaree,	সুকুমারী,	সুকুমারী,	
reejideencee,	রিজিলিন্স,	রেসিডেন্স,	
anchalo,	আঁচালো,	অঞ্চলও,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
seramiks,	সেরামিক্স,	সিরামিকস,	
dhaanche,	ধানচে,	ধাঁচে,	
tiger,	টিগের,	টাইগার,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
kiibord,	কিবার্ড,	কীবোর্ড,	
pustir,	পুস্তির,	পুষ্টির,	
baarnis,	বারনিস,	বার্নিশ,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
distibutor,	ডিস্টিবুটোর,	ডিস্টিবিউটারের,	
dajhyo,	দাঝ্য,	দাহ্য,	
gingbhalobasen,	গিনভালোবেসেন,	গিংভালোবাসেন,	
andra,	আন্দ্রা,	আন্ড্রা,	
amanisa,	আমানিসা,	অমানিশা,	
munot,	মুনোট,	মুনোট,	
zeebonto,	জীবন্ত,	জীবন্ত,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
hafsa,	হাফসা,	হাফসা,	
delibhara,	ডেলীভরা,	ডেলিভার,	
ray,	রায়,	রায়,	
gabeshonar,	গবেষণার,	গবেষনার,	
surakarder,	সুরকর্দের,	সুরকারদের,	
attorkite,	আ্যাটরটিকে,	অতর্কিতে,	
vvimsenn,	ভিভিএমএনএস,	ভীমসেন,	
aflatoxin,	আফ্লাটক্সিন,	আ্যফ্ল্যাটক্সিন,	
kale,	কলে,	কালে,	
jonoikaa,	জনোকায়া,	জনৈকা,	
husni,	হুসনি,	হুসনি,	
khudhartara,	ক্ষুধারতারা,	ক্ষুধার্তরা,	
orthobochorke,	অর্থবছরকে,	অর্থবছরকে,	
norpholk,	নরফোলক,	নরফোক,	
kotibondhe,	কটিবন্ধে,	কটিবন্ধে,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
capsule,	ক্যাপসুলে,	ক্যাপ্সুল,	
taatey,	তাতে,	তাতে,	
tenishe,	তেনিশে,	টেনিসে,	
siitei,	শিতেই,	শীতেই,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
parka,	পারকা,	পার্ক,	
suraropito,	সুরারোপিত,	সুরারোপিত,	
paira,	পায়ারা,	পাইরা,	
sharthe,	শার্থে,	স্বার্থে,	
firozaa,	ফিরোজা,	ফিরোজা,	
elbamtite,	এলবামটিতে,	এলবামটিতে,	
nirdesika,	নির্দেসিকা,	নির্দেশিকা,	
ddebet,	ড্ডিবেট,	ডিবেট,	
fasir,	ফাসির,	ফাসীর,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
dhanijomite,	ধানিজয়তিতে,	ধানিজমিতে,	
bhejaano,	ভেজানো,	ভেজানো,	
durarohini,	দুরারোহিনী,	দুরারোহিণী,	
abadamoner,	আবাদামনের,	অবদমনের,	
jolaatonko,	জলাাতনকো,	জলাতঙ্ক,	
nakkal,	নকককল,	নক্কল,	
bhujangta,	ভুজাংটা,	ভুজঙ্গটা,	
reshmirekha,	রেশমিরেখা,	রেশমীরেখা,	
esoosiyetasa,	এসুসিয়েটস,	এসোসিয়েটস,	
waal,	ওয়াল,	উল,	
jolrang,	জলরাং,	জলরঙ,	
himsrot,	হিমস্রোট,	হিমস্রোত,	
torunderke,	তরুনদেরকে,	তরুণদেরকে,	
shahjapur,	শাহজাপুর,	শাহজাপুর,	
carlos,	কার্লোস,	কার্লোস,	
aalaa,	আলা,	আলা,	
neck,	নেক,	নেক,	
bbosonto,	ব্যবস্ত,	বসন্ত,	
pader,	পাদের,	প্যাডের,	
yanqee,	যানকি,	ইয়াংকি,	
huk,	হুক,	হুক,	
satyaky,	সত্যকি,	সাত্যকি,	
gonesher,	গনেশের,	গণেশের,	
puroheetder,	পুরোহিতদের,	পুরোহিতদের,	
beila,	বেইলা,	বেইলা,	
dapadpi,	দাপদপী,	দাপাদপি,	
phokser,	ফক্সের,	ফক্সের,	
madhabike,	মাধবীকে,	মাধবীকে,	
monchosthol,	মঞ্চস্থল,	মঞ্চস্থল,	
hondooras,	হন্দুরাস,	হন্ডুরাস,	
pacchi,	পাচচি,	পাচ্ছি,	
cxt,	সিসিসিটি,	সিএক্সটি,	
nanabornobishishto,	নানাবর্ণবিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
dweepgoolotey,	দ্বীপগলগুলোতে,	দ্বীপগুলোতে,	
tarkareer,	তারকারীর,	তরকারীর,	
khitkar,	খিটকার,	ক্ষিতকর,	
carloos,	কার্লাস,	কার্লোস,	
freekeh,	ফ্রিকেহ,	ফ্রিকেহ,	
palashir,	পলাশির,	পলাশীর,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
seguloi,	সেগুলোই,	সেগুলোই,	
lirikti,	লিরিকটি,	লিরিকটি,	
kramp,	ক্রাম্প,	ক্র্যাম্প,	
balokarak,	বালকারাক,	বলকারক,	
generalissimo,	জেনারেলিসমিও,	জেনারেলিসিমো,	
