pragreesa,	প্রোগ্রীসা,	প্রগ্রেস,	
vugoley,	ভুগোলে,	ভূগোলে,	
taffsherer,	তাফশেরের,	তাফসীরের,	
foreks,	ফোরেক্স,	ফরেক্স,	
pader,	পাদির,	প্যাডের,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
oncholke,	অঁছকলে,	অঞ্চলকে,	
sangsakti,	সংসক্তি,	সংসক্তি,	
taderek,	তাদেরেক,	তাদেরেক,	
shamshernagar,	শমশেরনগর,	শমশেরনগর,	
koota,	কোটা,	কোটা,	
eesa,	ইইএসএএ,	আইএএস,	
makhno,	মাখ্ন,	মাখনো,	
daakten,	ডাকততেন,	ডাকতেন,	
peengna,	পিংনা,	পিংনা,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
miitar,	মিটার,	মিত্র,	
ceramiker,	সেরামিকের,	সিরামিকের,	
asovyo,	অসভ্য,	অসভ্য,	
madhukori,	মধুকোরী,	মাধুকরী,	
doneta,	দোনেটা,	ডোনাট,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
kaia,	কাইয়া,	কায়া,	
yaak,	যাক,	ইয়াক,	
neshnosh,	নেশনোষ,	নেশনস,	
francine,	ফ্রান্সাইন,	ফ্রান্সিন,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
jerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
kurdira,	কুরদিরার,	কুর্দিরা,	
eexpreession,	ইক্সপ্রেশন,	এক্সপ্রেশন,	
overholing,	ওভারহলিং,	ওভারহোলিং,	
direectoratee,	ডিরেক্টরাট,	ডিরেক্টরেট,	
pakhtunistan,	পাখতুনিস্তান,	পাখতুনিস্তান,	
sthapanagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
taigara,	টাইগারা,	টাইগার,	
tennis,	টেনিস,	টেনিস,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
anandamahale,	আনন্দমাহলে,	আনন্দমহলে,	
sanaktokaron,	সনক্তকারণ,	সনাক্তকরণ,	
firozaa,	ফিরোজা,	ফিরোজা,	
chalochchitraeer,	চালচ্ছিত্রীর,	চলচ্চিত্রের,	
bhandti,	ভাঁদটি,	ভাণ্ডটি,	
proboleme,	প্রবলেমে,	প্রবলেমে,	
pathanirdeshona,	পাঠানির্দেশনা,	পথনির্দেশনা,	
shahurgulor,	শহুরগুলোর,	শহুরগুলোর,	
purbancoler,	পূর্বান্কলের,	পূর্বাঞ্চলের,	
bibader,	বিবাদের,	বিবাদের,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
bondhuvabaponyo,	বন্ধুবাবাপ্্য,	বন্ধুভাবাপন্ন,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
tolemy,	টলেমি,	টলেমির,	
mukharji,	মুখার্জি,	মুখার্জী,	
query,	কোরি,	কোয়েরি,	
taunsheep,	তৌনশীপ,	টাউনশিপ,	
kadakhonchar,	কাদাখোঁচার,	কাদাখোঁচার,	
institutione,	ইন্্টিটিটুউন,	ইনস্টিটিউশনে,	
mekapgulo,	মেকাপগুলো,	মেকআপগুলো,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
roopdaan,	রোপডান,	রুপদান,	
uponeesoder,	উপনেসদের,	উপনিষদের,	
godamjato,	গদামজাত,	গুদামজাত,	
abeganuvutir,	আবেগুনাভুতির,	আবেগানুভূতির,	
rahi,	রাহি,	রাহী,	
pyetarna,	প্যাটেরন,	প্যাটার্ন,	
disposes,	ডিসপোসেস,	ডিসপোজেস,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
saifai,	সাইফাই,	সাইফাই,	
eura,	ইউরা,	ইউরো,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
shubhag,	শুভাগ,	শুভাগ,	
chotogolper,	চতগগল্পের,	ছোটগল্পের,	
gyandas,	জ্ঞানদাস,	জ্ঞানদাস,	
niketon,	নিকেতন,	নিকেতন,	
deputy,	ডিপুটি,	ডেপুটি,	
sqirt,	স্কির্ট,	স্কার্ট,	
poripaker,	পরিপাকের,	পরিপাকের,	
pharn,	ফার্ন,	ফার্ন,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
leaders,	লিডারস,	লিডার্স,	
bangulzai,	বাঙ্গুল্াই,	বঙ্গুলিজাই,	
marry,	মারি,	ম্যারি,	
sonaktokaran,	সনাক্তকারণ,	সনাক্তকরণ,	
tooku,	টুকু,	টুকু,	
kingsh,	কিংশ,	কিংস,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
vault,	ভাল্ট,	ভল্ট,	
baaiq,	বাইক,	বাইক,	
satarka,	সতর্ক,	সতর্ক,	
janamukhi,	জননমুখী,	জনমুখী,	
anchalgoolir,	অঞ্চলগুলোর,	অঞ্চলগুলির,	
concerter,	কনসারটের,	কানসাটের,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
ebhara,	এভারা,	এভার,	
mulor,	মুলোর,	মুলোর,	
durlabhatwang,	দুর্লভভ্তং,	দুর্লভত্বং,	
jackey,	জ্যাকে,	জকি,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
aabarte,	আবার্তে,	আবর্তে,	
ganochien,	গণছিয়েন,	গণচীন,	
asamonjasyopurno,	অসামঞ্জসমযপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
sumita,	সুমিতা,	সুমিতা,	
mohammadi,	মোহা্মদী,	মুহাম্মদী,	
khali,	খালি,	খালি,	
chyeta,	চিয়াটা,	চ্যাট,	
turkeyder,	টুর্কিদের,	তুর্কিদের,	
shainyader,	শৈন্যদের,	সৈন্যদের,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
mumtajer,	মুমতাজের,	মুমতাজের,	
tokeo,	টোকেও,	টোকেও,	
zeebonto,	জীবন্ত,	জীবন্ত,	
onchalti,	অন্চলটি,	অঞ্চলটি,	
gobeshonar,	গবেষণার,	গবেষনার,	
boiragirhat,	বৈরাগীরহাট,	বৈরাগিরহাট,	
maarmaader,	মার্মাদের,	মারমাদের,	
kayartara,	কায়ারটার,	কোয়ার্টার,	
qirq,	কির্ক,	কার্ক,	
vaider,	ভাইদের,	ভাইদের,	
saras,	সারাস,	সরস,	
thyachara,	থায়ারা,	থ্যাচার,	
dai,	দইই,	ডে,	
sabrakamer,	সব্রকামের,	সবরকমের,	
agamane,	আগামানে,	আগমনে,	
towraat,	তোরাত,	তওরাত,	
jomjamat,	জমজামাত,	জমজমাট,	
saabyastha,	সব্যস্থ,	সাব্যস্থ,	
rajendracholer,	রাজেন্দ্রাালোর,	রাজেন্দ্রচোলের,	
homshke,	হোমসকে,	হোমসকে,	
themekey,	থেমেকে,	থিমকে,	
adorso,	আদর্স,	আর্দশ,	
doorger,	ডুর্গের,	দুর্গের,	
bim,	বিআমআম,	বিম,	
airish,	আইরিশ,	আইরিস,	
courtcaser,	কোর্টকেসের,	কোর্টকেসের,	
chakundite,	চাকুণ্ডিতে,	চাকুন্দিতে,	
kiuti,	কিউটি,	কিউটি,	
chasee,	চাসী,	চেস,	
homeser,	হমেসের,	হোমসের,	
joumana,	যৌমানা,	জুমানা,	
akheli,	আখেলি,	আখেলী,	
madeling,	মেডেলিং,	মডেলিং,	
kailashrao,	কালাশরাও,	কৈলাশরাও,	
bamni,	বামনি,	বামনী,	
sausage,	সৌগেে,	সসেজ,	
rajyotiro,	রাজ্যপিরও,	রাজ্যটিরও,	
noditir,	নদীটির,	নদীটির,	
wagadada,	ওয়াগাদা,	বাগদাদ,	
taunship,	টাউনশিপ,	টাউনশিপ,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
talgach,	তালগাছ,	তালগাছ,	
aaziz,	আজিজ,	আজিজ,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
asamorik,	আসামরিক,	অসামরিক,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
zoubankal,	যৌবানকাল,	যৌবনকাল,	
pillai,	পিল্লাই,	পিল্লাই,	
stona,	স্তোনা,	স্টোন,	
shakar,	শাকার,	সকার,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
bashoborty,	বাশবর্তী,	বশবর্তী,	
serveray,	সার্ভারে,	সার্ভারে,	
bhangle,	ভাঙ্গলে,	ভাঙলে,	
taholo,	তাহলো,	তাহলো,	
timoothi,	তিমোথি,	টিমোথি,	
vorkendra,	ভোরকেন্দ্র,	ভরকেন্দ্র,	
akeeb,	আকিব,	আকিব,	
olympicer,	অলিম্পাইর,	অলিম্পিকের,	
bairey,	বাইরে,	বাইরে,	
asovya,	অসভ্যা,	অসভ্য,	
eporjonto,	এপরজন্ত,	এপর্যন্ত,	
daaun,	ডাউন,	ডাউন,	
satan,	সাতান,	শয়তান,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
chalachchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
gaje,	গাজে,	গেজ,	
notikotar,	নতিকতার,	নৈতিকতার,	
as,	এসেএ,	অস,	
somonnitobhabe,	সমোনিতভাবে,	সমন্বিতভাবে,	
asamanyo,	অসামন্য,	অসামান্য,	
champa,	চা্পা,	চাঁপা,	
sumi,	সুমি,	সুমি,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
emarjenshi,	এমারজেন্সি,	এমার্জেন্সি,	
antarctica,	অ্যান্টররটিকটা,	অ্যান্টার্কটিকার,	
epiela,	এপিলে,	আইপিএল,	
seramiks,	সেরামিকস,	সিরামিকস,	
cholechi,	চলেছি,	চলেছি,	
shikhaboudi,	শিখাবৌদি,	শিখাবৌদি,	
ghoshanapatratio,	ঘোষণাপত্রটিও,	ঘোষণাপত্রটিও,	
shucharita,	শুচারিতা,	সুচরিতা,	
lidars,	লিদারস,	লিডার্স,	
mesenjjar,	মেসেনজার,	মেসেঞ্জার,	
noiteek,	নৈটিক,	নৈতিক,	
atmobonchito,	আত্মবঞ্চিত,	আত্মবঞ্চিত,	
headquartus,	হেডকুরাটা,	হেডকোয়ার্টাস,	
anagarikra,	অনাগারিকরা,	অনাগরিকরা,	
reshidensha,	রেশীডেন্স,	রেসিডেন্স,	
edseler,	এডসেলের,	এডসেলের,	
gronther,	গ্রন্থের,	গ্রন্থের,	
sangbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
argead,	আরজেড,	আর্জিদ,	
roopdan,	রোপদান,	রুপদান,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
oxite,	অক্সটাইট,	অক্সাইট,	
garora,	গ্যারোরা,	গারোরা,	
moonshi,	মুনশি,	মুন্সি,	
sumoo,	সুমো,	সুমো,	
greenald,	গ্রিনাল্ড,	গ্রিনল্ড,	
uqeliptas,	ইকেলিপ্টাস,	ইউক্যালিপ্টাস,	
renoo,	রেনু,	রেনো,	
vimsen,	ভিমসেন,	ভীমসেন,	
chitlar,	চিতলার,	চিতলার,	
aajeej,	আজিজ,	আজিজ,	
matt,	ম্ট,	ম্যাট,	
dharmantor,	ধর্মান্তর,	ধর্মান্তর,	
addhattikotar,	আদ্ধাত্মিকতার,	আধ্যাত্মিকতার,	
bollov,	বল্লোভ,	বল্লভ,	
popke,	পপ্পকে,	পোপকে,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
pare,	প্যারে,	পাড়ে,	
dakten,	ডাকতেন,	ডাকতেন,	
sangkoolan,	সংকুলান,	সংকুলান,	
chaanoo,	চানু,	চানু,	
bhogiroth,	ভোগীরথ,	ভগীরথ,	
huk,	হুক,	হুক,	
debeting,	ডেবেটিং,	ডিবেটিং,	
uposhthit,	উপশ্থিত,	উপস্থিত,	
damakalkarmirao,	দমকলকর্মীরাও,	দমকলকর্মীরাও,	
vobani,	ভোবানী,	ভবানী,	
blasterke,	ব্লাস্টারকে,	ব্লাস্টারকে,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
