cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
title,	টিতল,	টাইটেল,	
wictor,	উইকটর,	ভিক্টর,	
prijon,	প্রিজন,	প্রিজন,	
avisongson,	অভিসংসন,	অভিশংসন,	
catholicbad,	ক্যাথলিকবাদ,	ক্যাথলিকবাদ,	
peshto,	পেষ্ট,	পেষ্ট,	
raiialati,	রাইয়ালাটি,	রয়্যালটি,	
shaddhi,	শাদ্ধী,	সাধ্বী,	
bairey,	বেয়েরে,	বাইরে,	
chalachchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
dadar,	দাদার,	দাদার,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
aaps,	এপিএস,	এএপিএস,	
yucalyptus,	যুকালপিটাস,	ইউক্যালিপ্টাস,	
aatto,	আ্যাটো,	আত্ম,	
becha,	বেচা,	বেচা,	
rashedul,	রাশেদুল,	রাশিদুল,	
deebug,	দীবুগ,	ডিবাগ,	
surakarder,	সুরকরদের,	সুরকারদের,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
baipass,	বাইপাস,	বাইপাস,	
mutar,	মুতার,	মুতার,	
mookhomandoler,	মোখমন্দলের,	মুখমণ্ডলের,	
choudry,	চৌদ্রী,	চৌধুরী,	
neemeette,	নিমেত্তে,	নিমিত্তে,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
utkhaat,	উৎখাত,	উত্খাত,	
firoza,	ফিরোজা,	ফিরোজা,	
dadapur,	দাদাপুর,	দাদাপুর,	
chemjong,	চেমজং,	চেমজং,	
indra,	ইন্দ্র,	ইন্দ্র,	
kaande,	কান্ডে,	কাণ্ডে,	
senabahinio,	সেনাবাহিনীও,	সেনাবাহিনীও,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
deepan,	দীপান,	দীপন,	
talaal,	তালাল,	তালাল,	
taposgoner,	তাপসগণের,	তাপসগণের,	
aswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
heart,	হোর্ট,	হার্ট,	
jerushalema,	জেরুশালেমা,	জেরুসালেম,	
phareeksa,	ফরেকস,	ফরেক্স,	
eevil,	ইভিল,	ইভিল,	
nepchooner,	নেপচৌনের,	নেপচুনের,	
ayumi,	আয়ুমি,	আয়ুমি,	
shasheja,	শাসেজা,	সসেজ,	
ddheela,	ঢিলা,	ঢিলা,	
hafej,	হাফেজ,	হাফেয,	
ekatto,	একাত্ত,	একাত্ব,	
tonoo,	টনউ,	তনু,	
nikote,	নিকোতে,	নিকটে,	
bbiseshyer,	ব্বিবেষ্যের,	বিশেষ্যের,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
modelgulo,	মডেলগুলো,	মডেলগুলো,	
qyantana,	ক্যান্তনা,	ক্যান্টন,	
ohalyar,	ওহাল্যার,	অহল্যার,	
dembakreeti,	ডেম্বকৃতি,	ডিম্বাকৃতি,	
dhos,	ধোস,	ধস,	
matorom,	মাতোরম,	মাতরম,	
video,	ভিদেও,	ভিডিয়োও,	
bongsho,	বংশ,	বংশ,	
manushera,	মনুষেরা,	মানুষেরা,	
ultrasonography,	আলট্রোস্টোসরামী,	আলট্রাসনোগ্রাফিও,	
marodeho,	মারোদেহ,	মরদেহ,	
sinaake,	সিনাকে,	সিনাকে,	
dinar,	দিনার,	ডিনার,	
tiuning,	টিউনিং,	টিউনিং,	
temone,	টেমনে,	তেমনই,	
nibobondhonkrito,	নিববন্ধনকৃত,	নিববন্ধনকৃত,	
bojata,	বোজাতা,	বোজাটা,	
aziza,	আজিজা,	আজিজা,	
panchbar,	পাঁচবার,	পাঁচবার,	
tokeo,	টোকেও,	টোকেও,	
jaanachhe,	যানাচে,	জানাচ্ছে,	
bokahoke,	বোকাহোকে,	বকাহকে,	
protibedokrao,	প্রতিবদেকরাও,	প্রতিবেদকরাও,	
quary,	কোয়ারি,	কোয়েরি,	
oncoleo,	অনকোলেও,	অঞ্চলেও,	
maailey,	মেইলে,	মাইলে,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
kormobuddhite,	কর্মবুদ্ধিতে,	কর্মবুদ্ধিতে,	
dobhaar,	দোভার,	ডোভার,	
eekbalke,	একবালকে,	ইকবালকে,	
abheedhaaneeck,	অভেধানিক,	অভিধানিক,	
khoor,	খরর,	ক্ষুর,	
sangkoolan,	সংকুলন,	সংকুলান,	
biswashi,	বিশ্বশি,	বিশ্বাসই,	
anandamahale,	আনন্দমহলে,	আনন্দমহলে,	
sompadon,	সম্পাদন,	সম্পাদন,	
gabinius,	গাবিনিয়াস,	গাবিনিআস,	
militaryr,	মিলিটারীর,	মিলিটারির,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
phutonta,	ফুটনটা,	ফুটন্ত,	
jerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
hepatitis,	হেপাটাইটিস,	হেপাটাইটিস,	
dupleks,	ডুপ্লেক্স,	ডুপ্লে,	
shattoki,	শত্তকী,	সাত্যকি,	
ahalyar,	আহাল্যার,	অহল্যার,	
stoic,	স্টোইক,	স্টোয়িক,	
upacharjo,	উপাচার্য,	উপাচার্য,	
gaddaphii,	গাড়ভিই,	গাদ্দাফী,	
noteti,	নোটেটি,	নোটটি,	
internship,	ইন্টারনিশপ,	ইন্টার্নশিপ,	
arifin,	আরিফিন,	আরিফিন,	
bhyaatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
macbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
lidars,	লিডার্স,	লিডার্স,	
jerusalema,	জেরুসালেমা,	জেরুসালেম,	
firti,	ফিরটি,	ফিরতি,	
kortam,	কোরতাম,	করতাম,	
kartona,	কার্োনা,	করতনা,	
rupantarer,	রূপন্তরের,	রুপান্তরের,	
soommo,	সুমু,	সুমো,	
lendl,	লেন্ডল,	লেন্ডল,	
sausage,	সৌসাগে,	সসেজ,	
neerbahe,	নির্বাহে,	নির্বাহে,	
oncholsomuho,	অঞ্চকসমূহ,	অঞ্চলসমূহ,	
procharjontrogulo,	প্রচারযোত্তগুলো,	প্রচারযন্ত্রগুলো,	
batikromi,	বাতিক্রমি,	ব্যতিক্রমী,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
anusthane,	অনুষ্ঠানে,	অনুষ্ঠানে,	
shahurgulor,	শহুরগুলোর,	শহুরগুলোর,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
harysoner,	হার্সনের,	হ্যারিসনের,	
beem,	বিএম,	বিম,	
abarte,	আবার্তে,	আবর্তে,	
dormroome,	ডররমরুম,	ডর্মরুমে,	
uzobekeestaan,	উজোবেকবিস্তান,	উজবেকিস্তান,	
madhuri,	মধুরী,	মাধুরী,	
deobonde,	দেওবন্দে,	দেওবন্দে,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
chandrimaa,	চান্দ্রীমা,	চন্দ্রিমা,	
sangbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
ahalya,	আহল্যা,	অহল্যা,	
haris,	হারিস,	হ্যারিস,	
mathieu,	মাঠিউ,	ম্যাথিউ,	
bhoutikeshu,	ভৌতিকেষু,	ভৌতিকেষু,	
shiulijhra,	শিউলিহরা,	শিউলিঝরা,	
torunra,	তোরুনরা,	তরুণরা,	
urey,	ইউরে,	ইউরি,	
ragei,	রাগেই,	রাগেই,	
hoteltite,	হোটেলটিতে,	হোটেলটিতে,	
amburi,	আম্বুরী,	আম্বুরি,	
bhimsenkei,	ভীমসেনকেই,	ভীমসেনকেই,	
daayitto,	ডায়িত্ব,	দায়িত্ব,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
amontronkarider,	আমন্ত্রণকারীদের,	আমন্ত্রণকারীদের,	
mase,	মাসে,	মাসে,	
dai,	দাই,	দিই,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
parabortee,	পারবর্তী,	পরর্বতী,	
bhandti,	ভান্ডটি,	ভাণ্ডটি,	
canflikt,	ক্যানফ্লিক্ট,	কনফ্লিক্ট,	
volivoler,	ভলিভলের,	ভলিভলের,	
aholyar,	অহল্যার,	অহল্যার,	
ekla,	একলা,	একলা,	
saalsa,	সালসা,	সালসা,	
somoibo,	সময়ব,	সমৈব,	
dwijenbabuder,	দ্বিজেনবাবুদের,	দ্বিজেনবাবুদের,	
ovinetar,	অভিনেটার,	অভিনেতার,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
tahorir,	তাহরীর,	তাহরীর,	
manohputa,	মানোপুতা,	মনঃপুত,	
modhyekar,	মধ্যেকর,	মধ্যেকার,	
gyandaas,	জ্ঞানদাস,	জ্ঞানদাস,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
lampot,	লাম্পট,	লম্পট,	
karima,	কারিমা,	করিম,	
bondhuvabaponyo,	বন্ধুবাবাপন্য,	বন্ধুভাবাপন্ন,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
wodka,	ওয়েকা,	ভদকা,	
chalochchitreer,	চলচ্চিত্রীর,	চলচ্চিত্রের,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
dhani,	ধনি,	ধানি,	
palestine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
tokee,	তোঁক,	তকি,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
doula,	দৌলা,	দৌলা,	
bagdad,	বাগদাদ,	বাগদাদে,	
habshi,	হাবশি,	হাবশী,	
plate,	প্লেট,	প্লেটে,	
jonmobhumitir,	জন্মভূমিতির,	জন্মভূমিটির,	
teestar,	টিস্টার,	তিস্তার,	
kamla,	কামলা,	কামলা,	
kanasarabhesana,	কননারাষেশন,	কনসারভেশন,	
homshke,	হোমশকে,	হোমসকে,	
prodiiper,	প্রদীপের,	প্রদীপের,	
somraatra,	সোমরাত্র,	সম্রাটরা,	
evaner,	ইভানের,	ইভানের,	
edaning,	এডানিং,	ইদানিং,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
dharavahikbhabe,	ধারাভাদিখভাবে,	ধারাবাহিকভাবে,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
pathanatak,	পাথানতক,	পথনাটক,	
tateo,	তাতেও,	তাতেও,	
rajotwo,	রাজত্ব,	রাজত্ব,	
moshzidtike,	মশজিদটিকে,	মসজিদটিকে,	
bondishalatei,	বন্ধিশালাতেই,	বন্দিশালাতেই,	
anhu,	আনহু,	আনহু,	
baait,	বাইট,	বাইট,	
stagecraft,	স্টেগেক্রাফ্ট,	স্টেজক্রাফট,	
sursur,	সুরসুর,	সুরসুর,	
agomonke,	আগমনকে,	আগমনকে,	
nirapattamulok,	নিরাপত্তমূলক,	নিরাপত্তামূলক,	
prakalpagulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
jhimochchilo,	ঝিমোচ্ছিল,	ঝিমোচ্ছিলো,	
soundorjotakei,	সৌন্দর্যটাকেই,	সৌন্দর্যটাকেই,	
heze,	হেজে,	হেজ,	
rena,	রেন,	রেনো,	
bifol,	বিফোল,	বিফল,	
sahittekder,	সাহিত্যেকদের,	সাহিত্যেকদের,	
naajii,	নাজি,	নাত্সি,	
charpanch,	চারপঞ্চ,	চারপাঁচ,	
gafeeloti,	গাফিলোটি,	গাফিলতি,	
america,	আমেরিকা,	আমেরিকা,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
shasonkarta,	শাসনকার্তা,	শাসনকর্তা,	
veenish,	ভীনিশ,	ভেনিস,	
anagarikra,	অনাগরিকরা,	অনাগরিকরা,	
shotodha,	শতধা,	শতধা,	
sthitiko,	স্থিতিকও,	স্থিতিকো,	
kada,	কোদা,	কোডা,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
madhobeer,	মধবীর,	মাধবীর,	
srabosty,	স্রাবোস্টি,	শ্রাবস্তী,	
uttor,	উত্তর,	উওর,	
mithener,	মিথেনের,	মিথেনের,	
