windows,	উইন্ডোাস,	উইন্ডোস,	
buth,	বুথ,	বুথ,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
ovidhaner,	অভিধানের,	অভিধানের,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
bbiswashke,	বিবিশ্বাসকে,	বিশ্বাসকে,	
osoborno,	অসবর্ণ,	অসবর্ণ,	
tennis,	টেনিস,	টেনিস,	
gore,	গোর,	গোর,	
kormoi,	কর্মই,	কর্মই,	
modele,	মডেলে,	মডেলে,	
saqara,	সাকারা,	সকার,	
upacharjo,	উপাচার্য,	উপাচার্য,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
dibya,	দিব্য,	দিব্যা,	
joubanbatee,	যৌবনবাতে,	যৌবনবতী,	
cheekitshar,	চিকিৎশার,	চিকিত্সার,	
aqram,	আকরাম,	আকরাম,	
mumtaz,	মুমতাজ,	মুমতাজ,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
chhutochhooti,	ছুটোছুটি,	ছুটোছুটি,	
argho,	অর্ঘ,	অর্ঘ্য,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
ummool,	উম্মুল,	উম্মুল,	
rakhete,	রাখেতে,	রাখেতে,	
spenser,	স্পেন্সের,	স্পেন্সার,	
makame,	মাকামে,	মাকামে,	
sangbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
basaalt,	ব্যাসাল্ট,	ব্যাসল্ট,	
gabhaskaar,	গাভসকার,	গাভাস্কার,	
nodimaatrik,	নদীমাতার্ক,	নদীমাতৃক,	
shangkulaan,	সঙ্কুলান,	সংকুলান,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
cholochchitraeeo,	চলচ্চিত্রাওেও,	চলচ্চিত্রেও,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
kani,	কানি,	কানি,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
naobihar,	নাওবিহার,	নৌবিহার,	
harees,	হারিস,	হ্যারিস,	
oxforde,	অক্সফোর্ডে,	অক্সফোর্ডে,	
akhandata,	অখণ্ডটা,	অখণ্ডতা,	
senabahineeow,	সেনাবাহিনী,	সেনাবাহিনীও,	
samajikatar,	সমজীকতার,	সামাজিকতার,	
sambatsarkal,	সম্বাসতরকাল,	সম্বৎসরকাল,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
dong,	ডং,	ডং,	
pharn,	ফর্ন,	ফার্ন,	
dooburira,	ডুবুরিরা,	ডুবুরিরা,	
faskari,	ফাসকারী,	ফাঁসকারী,	
dhhaabi,	ঢাবি,	ঢাবি,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
zommu,	জম্মু,	জম্মু,	
venice,	ভেনিসে,	ভেনিস,	
minishtarer,	মিনিস্তারের,	মিনিস্টারের,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
laishensh,	লাইশেশ,	লাইসেন্স,	
shatodha,	শাতোধা,	শতধা,	
tarkale,	তারকালে,	তারকালে,	
labonaaktotaar,	লবণাকততবতার,	লবণাক্ততার,	
vaisoho,	ভাইসহ,	ভাইসহ,	
pariyech,	পারিয়েছ,	পরিয়েছ,	
kandy,	কান্ডি,	ক্যান্ডি,	
pillai,	পিল্লাই,	পিল্লাই,	
satarkokari,	সাতরককারী,	সতর্ককারী,	
sausagee,	সৌজসে,	সসেজ,	
poderthobid,	পদের্থবিদ,	পদার্থবিদ,	
meghachchanno,	মেঘাচ্ছান্ন,	মেঘাচ্ছন্ন,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
jocqey,	জককি,	জকি,	
turbiner,	তুরবিনের,	টারবাইনের,	
fatkabazare,	ফাককাবাজারে,	ফাটকাবাজারে,	
tahorir,	তাহরীর,	তাহরীর,	
abodamaner,	অবদামানের,	অবদমনের,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
shainyader,	শৈন্যাদের,	সৈন্যদের,	
jakatke,	জাকাতকে,	যাকাতকে,	
cholchhee,	চলছি,	চলছে,	
ceramiksh,	সিরামিক্স,	সিরামিকস,	
paira,	পাইরা,	পাইরা,	
sikarder,	সিকারদের,	শিকারদের,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
rashedul,	রাশেদুল,	রাশিদুল,	
geographics,	জিগ্রাফিক্স,	জিওগ্রাফিকস,	
kormyi,	কর্মই,	কর্মই,	
ghetu,	ঘেটু,	ঘেটু,	
onupater,	অনুপাতের,	অনুপাতের,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
dhanak,	ধনক,	ধানক,	
monchosthol,	মঞ্চস্থল,	মঞ্চস্থল,	
krus,	ক্রুস,	ক্রুশ,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
cholochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
chomski,	চমস্কি,	চমস্কি,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
firozaa,	ফিরোজাও,	ফিরোজা,	
priseflex,	প্রিসফ্লেক্স,	প্রাইজফ্লেক্স,	
pohnpeic,	পোন্সওয়েক,	ফোনপেইক,	
jolrong,	জলরং,	জলরঙ,	
nyeta,	নায়েটা,	ম্যাট,	
cholochchitratike,	চলচ্চিত্রাটিকে,	চলচ্চিত্রটিকে,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
jonesh,	জনেশ,	জোন্স,	
rilayensha,	ঋলিয়েনশা,	রিলায়েন্স,	
flirt,	ফ্লির্ট,	ফ্লার্ট,	
nothiboddho,	নথিবদ্ধ,	নথিবদ্ধ,	
kareer,	করির,	কারীর,	
hijritey,	হিজরিতে,	হিজরীতে,	
dormetori,	দর্মোটারি,	ডরমিটরি,	
sahittopritite,	সাহিত্যপ্রীতে,	সাহিত্যপ্রীতিতে,	
armeeniyana,	আর্মিণীয়,	আর্মেনিয়ান,	
bodhir,	বোধীর,	বধির,	
chakti,	চাকতি,	চাকতি,	
alaul,	আলাউল,	আলাওল,	
grambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
chire,	চিরে,	চিরে,	
erokomer,	এরকমের,	এরকমের,	
chiroharit,	চিরহারিত,	চিরহরিৎ,	
addabaj,	আড্ডাবাজ,	আড্ডাবাজ,	
ministara,	মিনিস্তার,	মিনিস্টার,	
bhuushito,	ভূষুতিত,	ভূষিত,	
duburir,	ডুবুরির,	ডুবুরির,	
azijer,	আজিজের,	আজিজের,	
asaktibandhan,	অস্কিতবন্ধন,	আসক্তিবন্ধন,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
durgotsab,	দুর্গোৎসব,	দুর্গোৎসব,	
iksaprishana,	ইক্ষপ্রিষণা,	এক্সপ্রেশন,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
sikha,	সিখা,	শিখ,	
torkarir,	তররকারীর,	তরকারীর,	
blacq,	ব্ল্যাক,	ব্ল্যাক,	
balithubar,	বালিখুবার,	বালিথুবার,	
simons,	সিমন্স,	সিমন্স,	
sponsorshipe,	স্পন্সর্ষীপে,	স্পন্সরশীপে,	
laagche,	লাগছে,	লাগছে,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
kaande,	কান্দে,	কাণ্ডে,	
aranyani,	অরণ্যানী,	অরণ্যানী,	
titarer,	তিতারের,	তিতারের,	
prachando,	প্রাচণ্ড,	প্রচণ্ড,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
nisader,	নিষাদের,	নিষাদের,	
akten,	আকতেন,	অকটেন,	
artore,	আর্তোর,	আর্টরে,	
manjushri,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
jatata,	জাতাতা,	যতোটা,	
yuro,	যুরো,	ইউরো,	
rakkhandurga,	রক্ষণদূর্গ,	রক্ষণদুর্গ,	
nepchooner,	নেপচুনের,	নেপচুনের,	
footballerra,	ফুটবলাররা,	ফুটবলাররা,	
enginiiring,	ইঞ্জিনির়ারিং,	ইঞ্জিনিয়ারিং,	
ghomta,	ঘোমটা,	ঘোমটা,	
elaakati,	এলাকাটি,	এলাকাটি,	
larson,	লারসন,	লারসন,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
marmader,	মারমাদের,	মারমাদের,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
nek,	নেক,	নেক,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
vagini,	ভাগিনী,	ভগিনী,	
saarbharti,	সরভর্তি,	সার্ভারটি,	
quota,	কোওটা,	কোটা,	
sikara,	সিকারা,	শিকার,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
cheess,	চিস,	চেস,	
chhootochhuti,	ছোটছৌটি,	ছুটোছুটি,	
themekey,	থেমেকে,	থিমকে,	
taunasipa,	তৌনসীপা,	টাউনশিপ,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
gatibege,	গাতিবেগে,	গতিবেগে,	
shite,	শিতে,	শীতে,	
potka,	পটকা,	পটকা,	
taffsherer,	তাফশেরের,	তাফসীরের,	
sokkhomotabriddhi,	সক্ষমতাবৃদ্ধি,	সক্ষমতাবৃদ্ধি,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
planea,	প্লানে,	প্লেনে,	
duhsthanostho,	দুঃস্থানস্থ,	দুঃস্থানস্থ,	
nadike,	নাদিকে,	নদীকে,	
niknayman,	নিকনাযাম,	নিকনেইমান,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
bhupal,	ভুপাল,	ভূপাল,	
arg,	আরগ,	আর্গ,	
primoo,	প্রীমিও,	প্রিমো,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
moshzidtike,	মসবিতটিকে,	মসজিদটিকে,	
dhila,	ধীলা,	ঢিলা,	
juboksoho,	যুবকসহ,	যুবকসহ,	
babare,	বাবারে,	বাবারে,	
elaakate,	এলাকাতে,	এলাকাতে,	
capsule,	ক্যাপসুল,	ক্যাপ্সুল,	
ekbakke,	একবাককে,	একবাক্যে,	
bedantodhormo,	বেদান্তধর্ম,	বেদান্তধর্ম,	
america,	আমেরিকা,	আমেরিকা,	
keuoi,	কেও,	কেউই,	
accountdharira,	অকাউন্টধারীরা,	একাউন্টধারীরা,	
marmaraa,	মর্মরা,	মারমারা,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
showtey,	সাটে,	শোতে,	
anagarikra,	অনাগারিকরা,	অনাগরিকরা,	
kalnir,	কালনির,	কালনীর,	
bhikkharthe,	ভিক্ষার্থে,	ভিক্ষার্থে,	
nibirbhabe,	নিবীরভাবে,	নিবিরভাবে,	
delibhara,	দেলিভারা,	ডেলিভার,	
playtey,	প্লেইট,	প্লেটে,	
koota,	কোটা,	কোটা,	
jahara,	জাহারা,	যাহরা,	
mooney,	মুনে,	মুনে,	
shatan,	শতান,	শয়তান,	
kathmandute,	কাঠমান্ডতে,	কাঠমান্ডুতে,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
veemsen,	ভিমসেন,	ভীমসেন,	
nodiitei,	নদীইতেই,	নদীতেই,	
mosharroph,	মোশারফর,	মশাররফ,	
govindarajan,	গোবিন্দরাজন,	গোবিন্দরাজন,	
maaktoome,	মাক্তুমে,	মাকতুম,	
ramachandranke,	রামান্দ্রনকে,	রামাচন্দ্রনকে,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
chilona,	চিলোনা,	ছিলনা,	
kingsh,	কিংস,	কিংস,	
khoakshir,	খোয়াক্ষীর,	খোয়াক্ষীর,	
hoil,	হেল,	হইল,	
impaction,	ইম্প্যাকেশন,	ইমপ্যাকশন,	
kul,	কুল,	কুল,	
koordira,	কর্্দিরা,	কুর্দিরা,	
chaalaabi,	চালাবি,	চালাবে,	
akhando,	অখণ্ডও,	অখন্ড,	
krechi,	ক্রেচি,	করেছি,	
