goonoman,	গনোমান,	গুণমান,	
daltyagi,	দাল্ত্যাগী,	দলত্যাগী,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
mitro,	মিত্রো,	মিত্র,	
boudher,	বৌধের,	বৌদ্ধের,	
votarer,	ভোটারের,	ভোটারের,	
nachar,	নাচার,	নাচার,	
karmojog,	কারমোোগ,	কর্মযোগ,	
ankanshilpe,	অঁকালশিল্পে,	অঙ্কনশিল্পে,	
kagbeni,	কাগবেনি,	কাগবেনি,	
bhenkates,	ভেঙ্কাটেস,	ভেঙ্কটেশ,	
crashlands,	ক্রাশল্যান্ডস,	ক্র্যাশল্যান্ডস,	
thabai,	থাবাই,	থাবাই,	
sayatana,	সায়াতানা,	শয়তান,	
aakkas,	আক্কাস,	আককাস,	
progresh,	প্রগ্রেশ,	প্রগ্রেস,	
catholicbad,	ক্যাথোলিক্যাড,	ক্যাথলিকবাদ,	
dweepgoolotey,	ড্বিগপুলেট,	দ্বীপগুলোতে,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
vobobibhuti,	ভববিভূতি,	ভববিভূতি,	
jandrel,	জান্ড্রেল,	জাঁদরেল,	
hojurer,	হজুরের,	হজুরের,	
parkin,	পারকিন,	পার্কিং,	
uposhthit,	উপস্থিত,	উপস্থিত,	
jibanto,	জীবান্ত,	জীবন্ত,	
kloud,	ক্লাউড,	ক্লাউড,	
dipankar,	দিপানকর,	দিপঙ্কর,	
hydrological,	হাইড্রোলিক্যাল,	হাইড্রোলজিক্যাল,	
samratder,	সম্রাদদের,	সম্রাটদের,	
churger,	চুর্গের,	চার্জের,	
kanader,	কানাদের,	কণাদের,	
banglota,	বাংলোটা,	বাংলোটা,	
chalochchitraeer,	চালচ্চিত্রার,	চলচ্চিত্রের,	
saazano,	সাজানো,	সাজানো,	
bishshasho,	বিশ্বাষ,	বিশ্বাসও,	
somonwitobhabey,	সোমন্মিভাবে,	সমন্বিতভাবে,	
tochhnochh,	তচ্ছন,	তছনছ,	
kabutorer,	কাবুতরের,	কবুতরের,	
arekdol,	আরেকডল,	আরেকদল,	
paadee,	পাড়ি,	পাড়ে,	
harza,	হারজা,	হার্জ,	
grushko,	গ্রুস্কো,	গ্রুশকো,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
tikta,	টিকটা,	তিক্ত,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
teman,	টেমান,	তেমন,	
soinyo,	সৈন্য,	সৈন্য,	
prakalpoguli,	প্রকলপপুলি,	প্রকল্পগুলি,	
shikara,	শিকারা,	শিকার,	
batikromi,	বাতিক্রমী,	ব্যতিক্রমী,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
kanar,	কানার,	কণার,	
pleta,	প্লেটা,	প্লেটো,	
distance,	ডিসট্যান্স,	ডিসট্যান্স,	
panthar,	পান্থার,	পন্থার,	
eshtonia,	এস্তনিয়া,	এস্তোনিয়া,	
monchostho,	মন্চস্থ,	মঞ্চস্থ,	
purohitra,	পুরহিত্রা,	পুরোহিতরা,	
stagecraft,	স্টেগেটক্রাফ,	স্টেজক্রাফট,	
osommotite,	অসম্ততিতে,	অসম্মতি,	
vaibon,	ভাইবন,	ভাইবোন,	
janamukhi,	জানামুখী,	জনমুখী,	
palkee,	পালকে,	পাল্কি,	
achintopurer,	অচিন্তপুরের,	অচিন্তপুরের,	
utpotti,	উৎপত্তি,	উতপত্তি,	
upbrazillian,	আপ্রেজিলিয়ান,	আপব্রাজিলিয়ান,	
fuss,	ফুস,	ফাস,	
pretty,	প্রেটি,	প্রিটি,	
debdebyr,	ডেবডেবারির,	দেবদেবীর,	
durgatsober,	দুর্গতস্ববের,	দুর্গোৎসবে,	
shukrabab,	শুক্রবাব,	শুক্রবাব,	
chowdhuryke,	চৌধুরকে,	চৌধুরীকে,	
duburir,	দুবুরির,	ডুবুরির,	
milekhaanek,	মিলেখানেক,	মাইলখানেক,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
logic,	লোগিক,	লজিক,	
bujhtepari,	বুঝেতপারী,	বুঝতেপারি,	
review,	রেভিয়াব,	রিভিউও,	
humner,	হামনার,	হামনার,	
idyi,	ইদ্ি,	আইডিই,	
gagee,	গ্যাগী,	গেজ,	
tiunara,	তিউনারা,	টিউনার,	
dubaate,	দুবাতে,	ডুবাতে,	
prarthonakokkher,	প্রার্থনাক্ষের,	প্রার্থনাকক্ষের,	
bongsho,	বংশ,	বংশ,	
heepatitis,	হেপাটিটিস,	হেপাটাইটিস,	
dadapur,	দাদাপুর,	দাদাপুর,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
oedipus,	ওড়েপুস,	ইডিপাস,	
dokan,	দোকান,	দোকান,	
karlei,	কারলেই,	করলেই,	
bosantake,	বসনাতাকে,	বসন্তকে,	
leaders,	লিডার্স,	লিডার্স,	
siddhantoo,	সিদ্ধান্তও,	সিদ্ধান্তও,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
foxer,	ফক্সার,	ফক্সের,	
abhidhaanick,	অভিচানিক,	অভিধানিক,	
vedanta,	ভেদান্তা,	বেদান্ত,	
bondi,	বন্দি,	বন্দী,	
dhaanche,	ধাঁছে,	ধাঁচে,	
shhashtra,	সাস্ত্রা,	শাস্ত্র,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
jansa,	জানসা,	জন্স,	
porishongkhanbid,	পরিশ্খবানবিদ,	পরিসংখ্যানবিদ,	
ongkush,	অংকুশ,	অংকুশ,	
songkulan,	সংকুলান,	সংকুলান,	
noitik,	নৈটিক,	নৈতিক,	
amorendro,	অমরেন্দ্রে,	অমরেন্দ্র,	
paner,	পানের,	পানের,	
baibasthaar,	বৈবস্থার,	ব্যবস্থার,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
champa,	চাম্পা,	চাঁপা,	
ekshoti,	একশোটি,	একশোটি,	
protyokkhovabey,	প্রত্যক্ষবাযে,	প্রত্যক্ষভাবে,	
eevil,	ইভিল,	ইভিল,	
akatwa,	আকাত্ব,	একাত্ব,	
hoil,	হইল,	হইল,	
suparharo,	সুপারহারো,	সুপারহিরো,	
satyaky,	সাত্যাকি,	সাত্যকি,	
pathkrom,	পাঠকর্ম,	পাঠক্রম,	
probeshan,	প্রবেশন,	প্রবেশন,	
tarkareer,	তারকারীর,	তরকারীর,	
juboksoho,	যুবকসহ,	যুবকসহ,	
markeetim,	মার্কিটিম,	মার্কেটিং,	
tirmijii,	তীর্মিজি,	তিরমিজি,	
panchashjon,	পাঞ্চাশজন,	পঞ্চাশজন,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
selim,	সেলিম,	সেলিম,	
nyeta,	ন্যাটা,	ম্যাট,	
turbiner,	টারবিনের,	টারবাইনের,	
simaa,	সিমা,	সীমা,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
favorite,	ফ্যাভোরিতে,	ফেভারিট,	
chalaabi,	চালাবি,	চালাবে,	
opohoron,	অপহরণ,	অপহরন,	
pakhtunistan,	পাখতুনীত্নান,	পাখতুনিস্তান,	
nachiketa,	নাচিকেটা,	নচিকেতা,	
fiksing,	ফিকসিং,	ফিক্সিং,	
cholochchitraeeo,	চলচ্চিত্রীও,	চলচ্চিত্রেও,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
oboshore,	অবশরে,	অবসরে,	
jaadrel,	যাদ্রেল,	জাঁদরেল,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
rastagulikeo,	রাসতাগুলিকেও,	রাস্তাগুলিকেও,	
sadbi,	সাদবি,	সাধ্বী,	
basermick,	ব্যাসেরমিক,	বেসারমিক,	
miraclee,	মিরাক্লি,	মিরাকেল,	
promodwara,	প্রমোদ্বারা,	প্রমদ্বারা,	
bondiira,	বন্দিয়ার,	বন্দীরা,	
lekhaksattwar,	লেখাতস্তবরর,	লেখকসত্ত্বার,	
metropolitan,	মেট্রোপিলিটান,	মেট্রোপলিটন,	
tottorat,	টত্তরাট,	তওরাত,	
hitaishi,	হিতাইশী,	হিতৈষী,	
horas,	হোরাস,	হোরাস,	
nirgamon,	নির্গামোন,	নির্গমন,	
shikshakbrindo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
kichudinpar,	কিছুদিনপার,	কিছুদিনপর,	
aflatoxin,	আফলাটক্সিন,	আ্যফ্ল্যাটক্সিন,	
vangley,	ভ্যাংলে,	ভাঙলে,	
supreetira,	সুপ্রীতীরা,	সুপ্রীতিরা,	
chenza,	চেনজা,	চেঞ্জ,	
kantojir,	কান্তজির,	কান্তজির,	
primoo,	প্রীমৌ,	প্রিমো,	
chaka,	চাকা,	চাকা,	
shoreefer,	শরিফার,	শরিফের,	
dhadhiye,	ধাধিয়ে,	ধাধিয়ে,	
neelkamal,	নীলকমাল,	নীলকমল,	
elakatay,	এলাকাতায়,	এলাকাতে,	
masto,	মাস্তো,	মাস্ত,	
votar,	ভোটার,	ভোটার,	
matorom,	মাতরোম,	মাতরম,	
anutpadanshil,	অনুৎপদনশীল,	অনুৎপাদনশীল,	
turkamena,	টুর্কামেনা,	তুর্কমেন,	
sahinsatar,	সহিনসতার,	সহিংসতার,	
qarqa,	কার্া,	কার্ক,	
lendol,	লেন্ডল,	লেন্ডল,	
shotodha,	শতধা,	শতধা,	
firti,	ফিরতি,	ফিরতি,	
ashociatesh,	এশোশিয়েটেস,	এসোসিয়েটস,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
nathivukteer,	নথিভূক্তির,	নথিভুক্তির,	
juboke,	যুবককে,	যুবকে,	
saarbhaarti,	সারভার্তি,	সার্ভারটি,	
deputi,	দেপুটি,	ডেপুটি,	
bhittow,	ভিত্তুব,	ভিত্তিও,	
maadla,	মাডলা,	মাদলা,	
ahalya,	আহল্যা,	অহল্যা,	
asommoti,	অসম্মতি,	অসম্মতি,	
ganesh,	গণেশ,	গণেশ,	
dalip,	দালিপ,	দালিপ,	
schilling,	স্কিলিং,	শিলিং,	
bonobhumi,	বনভূমি,	বনভূমি,	
sarajibonbyapi,	সরাজীবন্যবাপী,	সারাজীবনব্যাপী,	
artilary,	আর্টিলারি,	আর্টিলারি,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
everage,	এভারেজ,	এভারেজ,	
dewaben,	দেওয়াবেন,	দেওয়াবেন,	
graminphonor,	গ্রামিফন্োর,	গ্রামীণফোনর,	
laat,	ল্যাট,	লাট,	
ameettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
ekla,	একলা,	একলা,	
qor,	কোর,	কর,	
laps,	ল্যাপস,	ল্যাপস,	
reliance,	রিলিয়ান্স,	রিলায়েন্স,	
kathghera,	কাঘঘেরা,	কাঠঘেরা,	
pillai,	পিল্লাই,	পিল্লাই,	
annorup,	অন্যরূপ,	অন্যরূপ,	
unchiyechilo,	উঁচিয়েছিল,	উঁচিয়েছিল,	
kailashrao,	কৈলশ্রও,	কৈলাশরাও,	
shikhbe,	শিখবে,	শিখবে,	
steena,	স্টেন,	স্টেন,	
byan,	ব্যান,	ব্যাং,	
grambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
rajpur,	রাজপুর,	রাজপুর,	
harja,	হার্জা,	হার্জ,	
deil,	ডেলল,	ডেইল,	
aro,	আরো,	আরও,	
abti,	আবতি,	আবতি,	
rockibul,	রকিবুল,	রকিবুল,	
laiseensim,	লাইসিনমিম,	লাইসেন্সিং,	
bejiye,	বেজিয়ে,	বেজিয়ে,	
roopmatro,	রুপমাত্র,	রূপমাত্র,	
sofie,	সোফি,	সোফি,	
taitela,	টাইটেল,	টাইটেল,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
