bhenasha,	ভেনাশা,	ভেনাস,	
mozdur,	মজদুর,	মজদুর,	
themeke,	থেমেকে,	থিমকে,	
talgachh,	তালগাছ,	তালগাছ,	
manoharpur,	মনোহরাপুর,	মনোহরপুর,	
stonehenje,	স্টোনেহ্যে,	স্টোনহেঞ্জ,	
ashiatic,	অ্যাশিয়াটিক,	এশিয়াটিক,	
bohudin,	বহুদিন,	বহুদিন,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
tanshree,	তানশ্রী,	তানশ্রী,	
paolasthi,	পাওলাস্থি,	পাওলাসথি,	
romarder,	রোমারদের,	রোমারদের,	
mojlish,	মজলিশ,	মজলিশ,	
kuresher,	কুরেশের,	কুরেশের,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
choritrotakeo,	চরিত্রটাকেও,	চরিত্রটাকেও,	
chadake,	চড়াকে,	চড়াকে,	
makame,	মাকামে,	মাকামে,	
sohinsotar,	সোহিনসতার,	সহিংসতার,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
bashoborty,	বাশবর্তী,	বশবর্তী,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
bosante,	বসান্তে,	বসন্তে,	
conservetion,	কনজারভেশন,	কনসারভেশন,	
alsaar,	অলসার,	আলসার,	
greenald,	গ্রিনাল্ড,	গ্রিনল্ড,	
dakticket,	ডক্িিেেট,	ডাকটিকিট,	
zarniz,	জার্নিজ,	জারনিজ,	
suparichiti,	সুপারিচাটি,	সুপরিচিতি,	
peeri,	পীরি,	পেরি,	
maley,	মালি,	মালে,	
dufresne,	ডাফরেন্স,	ডুফরেস্ন,	
mathews,	ম্যাথভস,	ম্যাথিউস,	
jolaatonko,	জলাযত্ন,	জলাতঙ্ক,	
heawy,	হিইয়ি,	হেভি,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
uddhrita,	উদ্ধিতা,	উদ্ধৃত,	
mokhmoley,	মোখলমে,	মখমলে,	
tata,	তাতা,	তাতা,	
bollov,	বলয়লভ,	বল্লভ,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
restuarant,	রেস্টুরেয়ান্ট,	রেষ্টুরেন্ট,	
zakharovar,	জখরাওবার,	জাখারোভার,	
echhti,	এছতি,	এছটি,	
casper,	ক্যাসপার,	ক্যাসপার,	
songasthaner,	সংস্থানের,	সংস্থানের,	
khalid,	খালিদ,	খালিদ,	
chal,	চাল,	চাল,	
siqhar,	সিখার,	শিকার,	
girilal,	গিরিলাল,	গিরিলাল,	
prodiiper,	প্রদিপের,	প্রদীপের,	
poroborti,	পরবর্তী,	পরর্বতী,	
chanoo,	চানু,	চানু,	
dong,	ডং,	ডং,	
tigmanshu,	টিগমানশু,	তিগমংশু,	
aakaabaar,	আকাবার,	আকাবার,	
muhurtati,	মুহুর্তটি,	মুহুর্তটি,	
aanaan,	অনান,	আনান,	
utpotti,	উৎপত্তি,	উতপত্তি,	
daakteekite,	ডাক্তিটিতে,	ডাকটিকিটে,	
thyachar,	থ্যাচার,	থ্যাচার,	
satjaner,	সাতজনের,	সাতজনের,	
niharkantibabu,	নীহারকৃনিতবাবু,	নিহারকান্তিবাবু,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
naajii,	নাজি,	নাত্সি,	
anusthane,	অনুষ্ঠানে,	অনুষ্ঠানে,	
sohokari,	সহকারী,	সহকারী,	
institutione,	ইনষ্টিটিউনন,	ইনস্টিটিউশনে,	
jackey,	জ্যাকে,	জকি,	
dooburir,	ডুবুরির,	ডুবুরির,	
dobhara,	ডোভারা,	ডোভার,	
mulor,	মুলোর,	মুলোর,	
antercticker,	এন্টারকেটিকসের,	অ্যান্টার্কটিকের,	
seekkhokbrindo,	শাক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
sallallahu,	সাল্লালাহুলু,	সল্লাল্লাহু,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
rahee,	রাহি,	রাহী,	
lajik,	লাজিক,	লজিক,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
batikromee,	বাটিক্রমি,	ব্যতিক্রমী,	
kindom,	কিন্দম,	কিংডম,	
qara,	কারা,	কর,	
nabyata,	নব্যতা,	নাব্যতা,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
shiulijhra,	শিউলিগরা,	শিউলিঝরা,	
shourshe,	শৌর্শে,	সোর্স,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
ganosachetanata,	গণসচেতনত,	গণসচেতনতা,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
sift,	সিফট,	শিফট,	
firti,	ফিরটি,	ফিরতি,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
install,	ইন্সটেল,	ইন্সটল,	
bandra,	বান্দ্রার,	বন্দীরা,	
anagarikra,	অনাগারিকরা,	অনাগরিকরা,	
kayech,	কায়েচ,	কায়েছ,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
dishani,	দিশানী,	দিশানি,	
istoone,	ইস্তুনে,	স্টোন,	
overholing,	ওভারহলিং,	ওভারহোলিং,	
harasta,	হারাস্তা,	হারাস্তা,	
chomski,	চমস্কি,	চমস্কি,	
taranee,	তারানী,	তরণী,	
helly,	হেলি,	হিলি,	
charpanch,	চরপাঞ্চ,	চারপাঁচ,	
karmakarke,	কারমাকারকে,	কর্মকারকে,	
ceramiker,	সেরামিকের,	সিরামিকের,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
banglota,	বাংলোটা,	বাংলোটা,	
canservatian,	ক্যানসেরভটশা,	কনসারভেশন,	
rubidium,	রুবিদিউম,	রুবিডিয়াম,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
bhupal,	ভুপাল,	ভূপাল,	
obhaarbhiu,	অভারভিউ,	ওভারভিউ,	
jatotaa,	জাতোতা,	যতোটা,	
mekon,	মেকন,	মেকং,	
sondhisthaponer,	সন্ধিস্থাপনের,	সন্ধিস্থাপনের,	
teoyana,	তেওয়ান,	তাইওয়ান,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
rahee,	রাহি,	রাহি,	
granada,	গ্র্যানাডা,	গ্র্যানাডা,	
batsmanei,	ব্যাটসম্যানেই,	ব্যাটসম্যানই,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
manob,	মনোব,	মানব,	
kheylechen,	খেয়েলেছেন,	খেলেছেন,	
machhti,	মাছটি,	মাছটি,	
paripakey,	পরিপাকে,	পরিপাকে,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
ancholsomuho,	অ্যাঙ্চলসমূহ,	অঞ্চলসমূহ,	
ala,	আলা,	আলা,	
mag,	ম্যাগ,	এমএজি,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
sulfatee,	সুলফাতে,	সালফেট,	
eevil,	ইভিল,	ইভিল,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
skolastik,	স্কোলস্টিক,	স্কলাস্টিক,	
ajeem,	আজেম,	আজিম,	
choddo,	চোদ্দো,	চোদ্দো,	
qanasarabheshana,	কনসারেশন,	কনসারভেশন,	
ponero,	পনেরও,	পনের,	
bharpur,	ভারপুর,	ভরপুর,	
kanader,	কানাদের,	কণাদের,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
banshite,	বাঁশিতে,	বাঁশিতে,	
pluck,	প্লোক,	প্ল্যাক,	
bhangchur,	ভাংচুর,	ভাংচুর,	
ikboler,	ইকবলের,	ইকবলের,	
ovinetar,	অভিনেতার,	অভিনেতার,	
dara,	দারা,	দারা,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
peerry,	পিরি,	পেরি,	
saamaanya,	সমম্নয,	সামান্য,	
latsaheb,	লটসাহেব,	লাটসাহেব,	
kaathhaamaandu,	কাঠামন্দু,	কাঠমান্ডু,	
dhanche,	ধাঁচে,	ধাঁচে,	
societykey,	সোসিটিকে,	সোসাইটিকে,	
manibhaijaner,	মণিভাইজানের,	মণিভাইজানের,	
golghare,	গোলঘরে,	গোলঘরে,	
paira,	পাইরা,	পাইরা,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
samany,	স্যামানি,	সামান্য,	
karuna,	করুনা,	করুণা,	
khalidke,	খালিদকে,	খালিদকে,	
scholars,	স্কলার্স,	স্কলার্স,	
ajeejer,	আজিজের,	আজিজের,	
emargency,	এমারজেন্সি,	এমার্জেন্সি,	
shikkharrthirao,	শিক্ষার্থীরারও,	শিক্ষার্থীরাও,	
jamseder,	জাসমেদের,	জামসেদের,	
sangkulaan,	সংকুলন,	সংকুলান,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
neelkamal,	নীলকামাল,	নীলকমল,	
shansthagulo,	শান্তখাগুলো,	সংস্থাগুলো,	
falak,	ফালাক,	ফলক,	
farhetin,	ফারহেটিন,	ফারহেতিন,	
ekekrokom,	একেকরকম,	একেকরকম,	
colgirl,	কলগার্ল,	কলগার্ল,	
tintikey,	টিনটিকে,	তিনটিকে,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
dubaate,	দুবাতে,	ডুবাতে,	
koomarir,	কুমারির,	কুমারীর,	
bosontokke,	বসন্তককে,	বসন্তকে,	
konisttha,	কোনষষ্ঠা,	কনিষ্ঠ,	
sinaake,	সিনাকে,	সিনাকে,	
bonke,	বনকে,	বনকে,	
toler,	টোলের,	তালের,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
artilary,	আর্টিলারি,	আর্টিলারি,	
damodar,	দামোদার,	দামদর,	
hupile,	হুপিলে,	হুপিলে,	
puroheetder,	পুরোহিতদের,	পুরোহিতদের,	
baaiq,	বাইক,	বাইক,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
serology,	সেরোলজি,	সেরোলজি,	
manushe,	মানুষে,	মানুষে,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
bhangle,	ভাংলে,	ভাঙলে,	
ganoporibahoner,	গণপরিবহণের,	গণপরিবহনের,	
pratiyogita,	প্রতিয়গীত,	প্রতিযোগীতা,	
gardeen,	গার্ডিন,	গার্ডেন,	
uporitoler,	উপরিতলের,	উপরিতলের,	
saifullahil,	সাইফুল্লাহিল,	সাইফুল্লাহিল,	
safiha,	সফিহা,	সাফিহা,	
hojurer,	হজুরের,	হজুরের,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
erajyobasi,	এরাজ্যবাসী,	এরাজ্যবাসী,	
sipa,	সিপা,	শিপ,	
qrisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
charukala,	চারুকালা,	চারুকলা,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
asamorik,	আসামরিক,	অসামরিক,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
tolemyr,	টোলেমির,	টলেমির,	
prarthitao,	প্রার্থীতাও,	প্রার্থীতাও,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
bolatkar,	বলাতকর,	বলাৎকার,	
parkin,	পারকিন,	পার্কিং,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
nirbahe,	নির্বাহে,	নির্বাহে,	
milayatane,	মিলয়টনে,	মিলায়তনে,	
paroner,	পারণের,	পারণের,	
sadbi,	সাদবি,	সাধ্বী,	
dumaa,	দুমায়া,	দুমা,	
tep,	টিইপি,	ট্যাপ,	
larson,	লারসন,	লারসন,	
ujobekeestan,	উজবেকসিতান,	উজবেকিস্তান,	
jaaygata,	জাইগাটা,	জায়গাটা,	
khanonkaj,	খানকনজজ,	খননকাজ,	
carlo,	কারলো,	কার্লো,	
pratiyogitar,	প্রতিয়গীতার,	প্রতিযোগীতার,	
ghaghat,	ঘাঘাট,	ঘাঘট,	
harris,	হারিস,	হ্যারিস,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
chokhwala,	চোখভালা,	চোখওয়ালা,	
koordira,	কোর্দিরা,	কুর্দিরা,	
anisa,	আনিসা,	আনিস,	
footbalarer,	ফুটবারের,	ফুটবলারের,	
