ganaparibahan,	গণপরিবহহ,	গণপরিবহন,	
danab,	দানাব,	দানব,	
salmaner,	স্যালমেনের,	সালমানের,	
ansarir,	আনসারির,	আনসারীর,	
maila,	মাইলা,	মাইল,	
perry,	পেরি,	পেরি,	
apad,	আপাদ,	আপদ,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
gejetade,	গেজেটাদে,	গেজেটেড,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
lahano,	লাহানো,	লাহানো,	
kinenni,	কিনেননি,	কিনেননি,	
dufresne,	ডুফ্রেনি,	ডুফরেস্ন,	
dalnata,	দলনাটা,	ডালনাটা,	
bhogni,	ভোগনি,	ভগ্নী,	
soinyo,	সৈনি,	সৈন্য,	
humner,	হুমনার,	হামনার,	
dacope,	ড্যাকোপ,	দাকোপ,	
shpredshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
dewaben,	দেওবায়েন,	দেওয়াবেন,	
torkareer,	তরকারীর,	তরকারীর,	
iub,	আইব,	আইইউবি,	
gopalrao,	গোপালরাও,	গোপালরাও,	
osoborno,	অসবর্ণ,	অসবর্ণ,	
proshtutkarok,	প্রস্তুতাকরক,	প্রস্তুতকারক,	
deh,	দেহ,	দেহ্,	
poketchorder,	পকেতচর্দের,	পকেটচরদের,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
bii,	বুইটিএ,	বি,	
choudry,	চৌদরি,	চৌধুরী,	
vins,	ভিনস,	ভিন্স,	
feemalee,	ফিমালি,	ফিমেল,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
shekarone,	শেকারণে,	সেকারণে,	
breq,	বির্ক,	ব্রেক,	
soheensotar,	সহহনসতার,	সহিংসতার,	
sadadyarao,	সদাদ্যারও,	সদদ্যরাও,	
mohit,	মহিত,	মুহিত,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
sikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
nabayug,	নবায়গু,	নবযুগ,	
dorneca,	ডর্েনা,	ডরনেকা,	
odeb,	ওডেব,	ওদেব,	
reetesh,	রেটেশ,	রিতেশ,	
patishapta,	পতিশপ্ত,	পাটিসাপটা,	
seekkharthirao,	শীক্ষার্থীরাও,	শিক্ষার্থীরাও,	
soleel,	সোলিল,	সলিল,	
monzooshree,	মনজুশ্রী,	মঞ্জুশ্রী,	
niphelheim,	নিফেলেহিম,	নিফেলহেইম,	
cholchhe,	চলচ্ছে,	চলছে,	
samoshtigato,	সমষ্টিগত,	সমষ্টিগত,	
goteehin,	গতিহীন,	গতিহীন,	
militaryr,	মিলিটারির,	মিলিটারির,	
larson,	লরনসন,	লারসন,	
satarkabhabey,	সতর্কভাবে,	সতর্কভাবে,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
longhan,	লংহান,	লংঘন,	
saramukhe,	সরমুখে,	সারামুখে,	
bongshokey,	বংশকে,	বংশকে,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
masjidti,	মসসিদটি,	মসজিদটি,	
toler,	টোলের,	তালের,	
ovarview,	ওভারভভিইজ,	ওভারভিউ,	
aachhis,	আছিস,	আছিস,	
sikkharrtheerao,	শিক্ষার্থীরীরাও,	শিক্ষার্থীরাও,	
ghoshanapatratio,	ঘোষণাপাত্রটিও,	ঘোষণাপত্রটিও,	
arthurer,	আর্থুরের,	আর্থারের,	
nirbahi,	নির্বাহী,	নির্বাহি,	
addhattikotar,	অদ্ধাত্তিকতার,	আধ্যাত্মিকতার,	
saalsa,	সালসা,	সালসা,	
orunima,	ওরুণিমা,	অরুণিমা,	
asaktibandhan,	অসৎক্ষিবন্ধন,	আসক্তিবন্ধন,	
karpeter,	কারপেটের,	কার্পেটের,	
suraropito,	সুরারপিত,	সুরারোপিত,	
bongsho,	বংশ,	বংশ,	
mozdoor,	মজদুর,	মজদুর,	
prokar,	প্রকার,	প্রকার,	
victor,	ভিক্টর,	ভিক্টর,	
naazi,	নাজি,	নাত্সি,	
parjotaker,	পার্যটাকের,	পর্যটকের,	
shikara,	শিকারা,	শিকার,	
onkush,	অঙ্কুশ,	অংকুশ,	
nirobota,	নিরবতা,	নিরবতা,	
forma,	ফরমা,	ফর্মা,	
sanaktokaran,	সননক্তকরণ,	সনাক্তকরণ,	
existing,	এক্সিস্টিং,	এক্সিসটিং,	
hurricane,	হ্যারিচানে,	হ্যারিকেন,	
bishshasho,	বিশশাস,	বিশ্বাসও,	
shahanara,	শাহানারা,	শাহানারা,	
nathivukteer,	নথিভুক্তির,	নথিভুক্তির,	
manushsoho,	মানুষসহ,	মানুষসহ,	
michhilti,	মিছিলটি,	মিছিলটি,	
utpotti,	উৎপত্তি,	উতপত্তি,	
duiekdiner,	ডুইইকেনিির,	দুইএকদিনের,	
mahafezkhanar,	মহাফেজ্ানার,	মহাফেজখানার,	
pleeta,	প্লিটা,	প্লেট,	
motke,	মোটকে,	মতকে,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
meghacchonno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
jansha,	জংশা,	জন্স,	
akai,	আকাই,	একাই,	
aaziz,	আজিজ,	আজিজ,	
samanyai,	সামান্যই,	সামান্যই,	
manober,	মানবের,	মানবের,	
pleto,	প্লেটো,	প্লেটো,	
vodqa,	ভোদকা,	ভদকা,	
zoojyota,	যৌজ্যতা,	যোজ্যতা,	
madhukori,	মধুকরী,	মাধুকরী,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
hojurer,	হজুরের,	হজুরের,	
paste,	পাস্তে,	পেষ্ট,	
bee,	বি,	বি,	
tyapa,	ত্যাপ,	ট্যাপ,	
orthanitike,	অর্থানীতিকে,	অর্থনীতিকে,	
olpo,	ওল্প,	অল্প,	
bifol,	বিফোল,	বিফল,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
durgotshob,	দুর্গতশব,	দুর্গোৎসব,	
uporitoler,	উপরিতলের,	উপরিতলের,	
doobate,	দুবাতে,	ডুবাতে,	
aro,	আরো,	আরও,	
narbur,	নরবুর,	নরবুর,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
utkhaat,	উৎকাত,	উত্খাত,	
playtey,	প্লেইট,	প্লেটে,	
madhabi,	মাধবী,	মাধবী,	
irana,	ইরানা,	ইরান,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
saurce,	সোর্স,	সোর্স,	
bizito,	বিজিত,	বিজিত,	
shishu,	শিশু,	শিশু,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
chet,	চেট,	চ্যাট,	
obosore,	অবসরে,	অবসরে,	
ji,	জিআই,	জি,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
pravura,	প্রভুরা,	প্রভুরা,	
cheento,	চেন্তো,	চিনতো,	
upobaasee,	উপবাসী,	উপবাসী,	
pharn,	ফার্ন,	ফার্ন,	
jansa,	জানসা,	জন্স,	
vangley,	ভ্যাংলি,	ভাঙলে,	
nachar,	নাচার,	নাচার,	
serveray,	সার্ভেরা,	সার্ভারে,	
parijaner,	পারিজানের,	পরিজনের,	
harris,	হারিস,	হ্যারিস,	
bhageri,	ভাগেরি,	ভাগেরই,	
manbe,	মানবে,	মানবে,	
yura,	যুরা,	ইউরো,	
laesens,	লেইসেন্স,	লাইসেন্স,	
indrakanan,	ইন্দ্রকানান,	ইন্দ্রকানন,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
oporishodhito,	অপরিশধিত,	অপরিশোধিত,	
themekey,	থেমেকে,	থিমকে,	
sahajlabhbhotar,	সহজলভ্ভতার,	সহজলভ্যতার,	
samashtike,	সমষ্টিকে,	সমষ্টিকে,	
harbur,	হারবুর,	হারবার,	
ostheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
bagdadii,	বাগদাদী,	বাগদাদী,	
ponero,	পনেরও,	পনের,	
farid,	ফারিদ,	ফরিদ,	
teentir,	তেনটির,	তিনটির,	
mosharroph,	মশাররোফ,	মশাররফ,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
seo,	সেও,	সেও,	
sarajibonbyapi,	সারাজীবন্যাপী,	সারাজীবনব্যাপী,	
krisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
pleena,	প্লেনা,	প্লেন,	
faltu,	ফাল্টু,	ফালতু,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
marry,	মাযারির,	ম্যারি,	
bosonte,	বসন্তে,	বসন্তে,	
abosare,	অবসারে,	অবসরে,	
keyu,	কেয়ু,	কেউ,	
maktum,	মককতুম,	মাকতুম,	
phutonta,	ফুটনটা,	ফুটন্ত,	
shainyader,	শৈন্যদের,	সৈন্যদের,	
progresh,	প্রোগ্রেশ,	প্রগ্রেস,	
firti,	ফিরটি,	ফিরতি,	
porobortii,	পরবর্তী,	পরর্বতী,	
byaptikaler,	ব্যাপ্তিকালের,	ব্যাপ্তিকালের,	
prokalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
motkey,	মতকে,	মতকে,	
tecno,	টেকনো,	টেকনো,	
bosantake,	বসন্তাকে,	বসন্তকে,	
stoic,	স্টোয়াক,	স্টোয়িক,	
ghatla,	ঘাটলা,	ঘটল,	
atmobonchito,	আত্মবঞ্চিত,	আত্মবঞ্চিত,	
konorup,	কোনরূপ,	কোনরূপ,	
rajotta,	রাজত্বা,	রাজত্ব,	
pack,	প্যাক,	প্ল্যাক,	
thare,	থায়ে,	থরে,	
pushtee,	পুষ্টি,	পুষ্টি,	
sikara,	সিকারা,	শিকার,	
tricksguli,	ট্রিকসগুলি,	ট্রিকসগুলি,	
bitertrate,	বিতের্র্রেট,	বাইটারট্রেট,	
rockibul,	রকিবুল,	রকিবুল,	
vushito,	ভুষিত,	ভূষিত,	
gaddaafee,	গড়্ডাফি,	গাদ্দাফী,	
kani,	কানী,	কানি,	
ganoparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
colgirl,	কোলিগল,	কলগার্ল,	
megh,	মেঘ,	মেঘ,	
bojata,	বোজাতা,	বোজাটা,	
bishshaasho,	বিশ্বাশো,	বিশ্বাসও,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
niharkantibabu,	নীহারকান্তিবাবু,	নিহারকান্তিবাবু,	
aalaa,	অলয়া,	আলা,	
matthews,	ম্যাথেজস,	ম্যাথিউস,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
sossar,	সোসার,	সকার,	
holuder,	হলুদের,	হলুদের,	
spredshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
laaz,	লাজ,	লাজ,	
redcrosser,	রেডক্রসের,	রেডক্রসের,	
baffer,	বাফার,	বাফার,	
rojapalaner,	রোজাপালনের,	রোজাপালনের,	
mardud,	মারদুদ,	মরদুদ,	
nabotom,	নাবতম,	নবতম,	
lobbytey,	লবিটি,	লবিতে,	
mile,	মিলে,	মিলে,	
akheli,	আখেলি,	আখেলী,	
rahimed,	রহিমেদ,	রহিমেদ,	
liedtke,	লিইডেককে,	লইডটক,	
pratool,	প্রাতুল,	প্রতুল,	
shektor,	শেকটোর,	সেক্টর,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
okritokarjo,	অক্রতকার্য,	অকৃতকার্য,	
breqathru,	ব্রেকা্রু,	ব্রেকথ্রু,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
jommu,	জম্মু,	জম্মু,	
fibergulote,	ফাইবারগুলোতে,	ফাইবারগুলোতে,	
