papri,	পাপ্রি,	পাপরি,	
habshi,	হাবসি,	হাবশী,	
potchitrer,	পটচিত্রের,	পটচিত্রের,	
rakhtokkharoner,	রক্ষচকরণের,	রক্তক্ষরণের,	
antorvukto,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
gonocheen,	গনচীন,	গণচীন,	
karam,	করম,	কেরাম,	
codeti,	কোডেটি,	কোডটি,	
faltir,	ফল্টির,	ফলটির,	
qarpeta,	কার্পেট,	কার্পেট,	
falak,	ফলক,	ফলক,	
maradeho,	মারাদেহ,	মরদেহ,	
sanghorshik,	সংঘোষ্ছিক,	সাংঘর্ষিক,	
hili,	হিলি,	হিলি,	
baasate,	বাসাতে,	বাসাতে,	
shainyara,	সৈন্যরা,	সৈন্যরা,	
chomoski,	চমস্কী,	চমস্কি,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
satarkotar,	সতরতাকার,	সতর্কতার,	
bodka,	বোঁকা,	ভদকা,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
koota,	কোট,	কোটা,	
qraima,	ক্রেম,	ক্রাইম,	
tenish,	টেনিস,	টেনিস,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
pack,	প্যাক,	প্ল্যাক,	
skolastik,	স্কলস্তিক,	স্কলাস্টিক,	
graambasheeo,	গ্রমাবশে,	গ্রামবাসীও,	
juktarashtrasaha,	যুক্তরাারস্থাহ,	যুক্তরাষ্ট্রসহ,	
laesens,	লেইনেস,	লাইসেন্স,	
nitikatha,	নীতিকাথ,	নীতিকথা,	
musalmanyi,	মুসাম্মনি,	মুসলমানই,	
maailkhanek,	মেলখানেক,	মাইলখানেক,	
reetesh,	রেটস,	রিতেশ,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
sayeed,	সাইয়েড,	সাইদ,	
shringe,	শ্রীঙ্জ,	শৃঙ্গে,	
obie,	অবিই,	ওবিই,	
keui,	কইউই,	কেউই,	
onnoroop,	অন্রূপ,	অন্যরূপ,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
haitasa,	হাইটস,	হাইটস,	
debodebir,	দেবদীবীর,	দেবদেবীর,	
langhan,	লঙ্ঘন,	লংঘন,	
parker,	পার্কের,	পার্কের,	
ronangane,	রোনাঙ্গেন,	রণাঙ্গনে,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
bharote,	ভারতে,	ভারতে,	
kathmandutey,	কথ্যমন্ডুতে,	কাঠমান্ডুতে,	
ostad,	অস্তাদ,	ওস্তাদ,	
shasankorta,	শাসনকক্ত,	শাসনকর্তা,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
shiqara,	শিকারা,	শিকার,	
rupdaan,	রূপদান,	রুপদান,	
prokolpotike,	প্রকোল্িকে,	প্রকল্পটিকে,	
lendal,	লেন্ডাল,	লেন্ডল,	
amudey,	আমুদে,	আমুদে,	
madhobi,	মাধবী,	মাধবীর,	
phutanto,	ফুটান্ট,	ফুটন্ত,	
gonosochetonota,	গণশ্বচন্ততা,	গণসচেতনতা,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
serveray,	সার্ভারে,	সার্ভারে,	
modelkey,	মোদেলকে,	মডেলকে,	
teresa,	তেরেসা,	টেরেসা,	
pooroheetra,	পুরহতির্া,	পুরোহিতরা,	
kamola,	কমলা,	কামলা,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
abheegomon,	অভিগোন,	অভিগমন,	
maaktume,	মাকতুমে,	মাকতুম,	
puroheetke,	পুরহিঠকে,	পুরোহিতকে,	
nathivookta,	নথিওযুক্ত,	নথিভুক্ত,	
upanishad,	উপনিশাদ,	উপনিষদ,	
vaphara,	ভাফার,	বাফার,	
dooborira,	দুবারীরা,	ডুবুরিরা,	
shepherd,	সেফের্ড,	শেফার্ড,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
varson,	ভার্সন,	ভারশন,	
mangalik,	মঙ্গলিক,	মাঙ্গলিক,	
apohoron,	অপহরণ,	অপহরন,	
dazjo,	দজজ্য,	দাহ্য,	
keraam,	কেরাম,	কেরাম,	
thishisher,	ঠিশিসের,	থিসিসের,	
kada,	কাদ,	কোডা,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
kushoomba,	কুশম্ব,	কুশুম্বা,	
manahputa,	মানাপুত,	মনঃপুত,	
progresh,	প্রোগ্রেস,	প্রগ্রেস,	
sansthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
gagee,	গেগী,	গেজ,	
answereer,	অনসারির,	আনসারীর,	
yanqee,	ইন্কি,	ইয়াংকি,	
taranee,	তরণী,	তরণী,	
phoxkon,	ফক্সকন,	ফক্সকন,	
shhikar,	শিকার,	শিকার,	
ganosachetanata,	গণশ্বাচনতা,	গণসচেতনতা,	
goora,	গুরা,	গোর,	
mohakobi,	মহাকবি,	মহাকবি,	
shtena,	স্টেন,	স্টেন,	
kalnir,	কলিন,	কালনীর,	
osamarik,	ওসামারিক,	অসামরিক,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
bosturoi,	বস্তুরই,	বস্তুরই,	
maroofer,	মারুফের,	মারুফের,	
bafal,	বাফ,	বিফল,	
sombhobonaao,	সম্ভাবনাও,	সম্ভবনাও,	
overveu,	ওভেরভ,	ওভারভিউ,	
jonmato,	জন্মাত,	জন্মাত,	
prottokhovabe,	প্রত্যক্ষাভাবে,	প্রত্যক্ষভাবে,	
alaoler,	অলালের,	আলাওলের,	
chaalkee,	চালকি,	চালকে,	
ruteener,	রুটিনের,	রুটিনের,	
pooshti,	পুষ্টি,	পুষ্টি,	
shreemati,	শ্রীমাটি,	শ্রীমতি,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
toronee,	তরণী,	তরণী,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
beetloser,	বিটলসের,	বিটলসের,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
manushe,	মানুষে,	মানুষে,	
digrike,	দিগ্রিকে,	ডিগ্রিকে,	
mitrota,	মিত্রটা,	মিত্রতা,	
tarkareer,	তারকারীর,	তরকারীর,	
foolkopi,	ফুলকি,	ফুলকপি,	
upobashee,	উপবাসী,	উপবাসী,	
schalarship,	স্কলাশশিপ,	স্কলারশিপ,	
dighal,	দিঘল,	দীঘল,	
aalkaatraa,	আলকাত্রা,	আলকাতরা,	
utsaahe,	উত্সাহে,	উৎসাহে,	
jalarong,	জ্বালার,	জলরঙ,	
udbhabani,	উদ্ভববানী,	উদ্ভাবনী,	
cholocchitrigulor,	চলচচিিত্রুলর,	চলচ্চিত্রগুলোর,	
choshon,	চষষণ,	চোষণ,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
tafsir,	তাসির,	তাফসীর,	
nirapekkhotaar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
baasaate,	বাসাতে,	বাসাতে,	
moshjidti,	মুসজিদ্তি,	মসজিদটি,	
aidin,	আইনি,	এইদিন,	
gaiche,	গাইছে,	গাইছে,	
krej,	ক্রেজ,	ক্রেজ,	
pattern,	প্যাটের্ন,	প্যাটার্ন,	
moshzidshoho,	মস্িসস্হ,	মসজিদসহ,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
pustio,	পুষ্টিও,	পুষ্টি,	
mumtajer,	মুমতজের,	মুমতাজের,	
syfy,	সিফি,	সাইফাই,	
colahol,	চলাহল,	কোলাহল,	
sperm,	স্পার্ম,	স্পার্ম,	
netions,	নেটিয়ন্স,	নেশনস,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
ganaparibahan,	গণপরিবহণ,	গণপরিবহন,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
kobutorer,	কবুতের,	কবুতরের,	
chaalke,	চালকে,	চালকে,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
iukyaliptasha,	ইউক্যালিপেস্টা,	ইউক্যালিপ্টাস,	
chiranton,	চিরান্টন,	চিরন্তন,	
shaarok,	শারক,	স্মারক,	
ancholgoolote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
hori,	হরি,	হরি,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
ajeem,	আজীম,	আজিম,	
thakeni,	থাকেনি,	থাকেনি,	
anan,	আনান,	আনান,	
balaruma,	বললারুম,	বলরুম,	
ranangane,	রানাঙ্গনে,	রণাঙ্গনে,	
sures,	সুরেশ,	সুরেশ,	
deliwer,	ডিলিউর,	ডেলিভার,	
buildar,	বিল্ডার,	বিল্ডার,	
durgotshober,	দুর্গটসবের,	দুর্গোৎসবে,	
yukeliptash,	ইকেকিল্টাস,	ইউক্যালিপ্টাস,	
ganona,	গণনা,	গননা,	
phutonta,	ফুটন্ট,	ফুটন্ত,	
twakei,	ত্বকেই,	ত্বকেই,	
arthat,	অর্থত,	অর্থাৎ,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
iuroo,	ইউরো,	ইউরো,	
ghensha,	ঘেন্স,	ঘেঁষা,	
maddhukkori,	মাধ্যকরী,	মাধুকরী,	
elaakatir,	এলাকাতির,	এলাকাটির,	
clause,	ক্লাউস,	ক্লজ,	
halding,	হাল্িিং,	হোল্ডিং,	
machher,	মাছের,	মাছের,	
johns,	জোস,	জন্স,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
samanyoi,	সামান্যই,	সামান্যই,	
aabahon,	আবহন,	আবাহন,	
jatata,	জততা,	যতোটা,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
spreedashita,	স্প্রীদশিত,	স্প্রেডশীট,	
danaber,	দানাবের,	দানবের,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
chargito,	চররগিত,	চার্জিত,	
bhor,	ভর,	ভর,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
peethey,	পেঠে,	পীঠে,	
bcci,	বিসি,	বিসিসিআই,	
kaatbey,	কাটবে,	কাটবে,	
mandope,	মণ্ডপে,	মন্ডপে,	
nimitto,	নিমিত্ব,	নিমিত্ত,	
mataram,	মাটরাম,	মাতরম,	
kormoke,	কর্মকে,	কর্মকে,	
tukroti,	তুকরিটি,	টুকরোটি,	
kode,	কোড,	কোডে,	
tookror,	টুকরর,	টুকরোর,	
airish,	আইরিশ,	আইরিস,	
vangley,	ভাঁলে,	ভাঙলে,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
engineers,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
jack,	জ্যাক,	জ্যাক,	
lombatey,	লম্বাতে,	লম্বাটে,	
wolapuk,	ওললাপুক,	ভোলাপুক,	
khannkaj,	খানকাজ,	খননকাজ,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
weenis,	উইনিস,	ভেনিস,	
gor,	গোর,	গোর,	
ba,	বা,	বু,	
gunjey,	গুঞ্জে,	গুঁজে,	
jar,	জার,	জ্বর,	
ganoporibahon,	গণপরিবহণ,	গণপরিবহন,	
risorte,	রিসরর্টে,	রিসোর্টে,	
asamanyo,	অসমান্য,	অসামান্য,	
kara,	করর,	কর,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
aiisa,	আইস,	আইএএস,	
boorana,	বুরান,	বোরন,	
porikhar,	পরীক্ষার,	পরিখার,	
sarboshokteeman,	সর্বস্ককতিন,	সর্বশক্তিমান,	
alsaara,	অলসার,	আলসার,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
dayana,	ডায়ান,	ডায়না,	
texaser,	টেক্সাসের,	টেক্সাসের,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
labonaktatar,	লবণাক্ততার,	লবণাক্ততার,	
vortuki,	ভর্তুকী,	ভর্তুকি,	
concerter,	কনসার্টের,	কানসাটের,	
sarboshaktimaan,	সর্বস্কাতিন,	সর্বশক্তিমান,	
parbotto,	পার্বত্ব,	পার্বত্য,	
charukola,	চরুকোলা,	চারুকলা,	
debug,	দেবুগ,	ডিবাগ,	
dael,	ডেল,	ডেইল,	
inziniyarsa,	ইন্জিনিয়াস,	ইঞ্জিনিয়ার্স,	
letterey,	লেটারে,	লেটারে,	
nagarikera,	নাগরীকেরা,	নাগরিকেরা,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
jibanta,	জীবন্ত,	জীবন্ত,	
gabeshanar,	গবেষণার,	গবেষনার,	
karim,	করিম,	করিম,	
daada,	দাদা,	দাদা,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
oholyar,	অহো্যার,	অহল্যার,	
romantika,	রোমান্টিক,	রোমান্টিক,	
siddhantei,	সিদ্ধানটেই,	সিদ্ধান্তেই,	
