sukkho,	শুক্ষ্,	সুক্ষ্ম,	
dhyaan,	ঢ্যান,	ধ্যান,	
dupleex,	ডাউপলিক্স,	ডুপ্লে,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
radhanagar,	রাধানগর,	রাধানগর,	
addabaaj,	অদ্যাবাজ,	আড্ডাবাজ,	
vagini,	ভাগিনী,	ভগিনী,	
chalachchitrei,	চলচচিত্রেই,	চলচ্চিত্রেই,	
mitrer,	মিত্রের,	মিত্রের,	
kromo,	ক্রম,	ক্রম,	
rooshod,	রুসদ,	রুশদ,	
lokeson,	লোকেশন,	লোকেশন,	
saabyastha,	সব্যস্থ,	সাব্যস্থ,	
fox,	ফক্স,	ফক্স,	
kulim,	কুলিম,	কুলিং,	
nazad,	নাজাদ,	নজদ,	
aiees,	আইএস,	আইএএস,	
silver,	শিলভের,	সিলভার,	
chaanoo,	চানু,	চানু,	
motamoto,	মোটমো,	মতামতও,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
natshi,	নাসি,	নাত্সি,	
helly,	হেলি,	হিলি,	
maniktola,	মনিক্যাল,	মানিকতলা,	
smarok,	স্মররক,	স্মারক,	
economics,	একোনমিক্স,	ইকোনমিকস,	
badhadan,	বাধাদান,	বাধাদান,	
venush,	ভেনুস,	ভেনাস,	
akkash,	এককাশ,	আককাস,	
nodnadir,	নদনদীর,	নদনদীর,	
eshiyatiqa,	এসিয়েটিক,	এশিয়াটিক,	
skolarship,	স্কলররশিপ,	স্কলারশিপ,	
bhagno,	ভাগন,	ভগ্ন,	
chalochchitrai,	চলচিত্রারি,	চলচ্চিত্রই,	
yuqeliptas,	ইউকলেটসস্ট,	ইউক্যালিপ্টাস,	
sakara,	সকরা,	সকার,	
nilkuthir,	নিলুকীর,	নীলকুঠির,	
avatar,	অভাতার,	অবতার,	
daktickete,	ডক্তিকেটে,	ডাকটিকিটে,	
bulan,	বুলান,	বুলান,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
sacheton,	সচেতন,	সচেতন,	
laat,	লাট,	লাট,	
kobootorer,	কবিতরের,	কবুতরের,	
cyphy,	সিফি,	সাইফাই,	
oiteejyer,	এতিজ্যের,	ঐতিহ্যের,	
ivaner,	ইভানের,	ইভানের,	
shibraj,	শিব্রজজ,	শিবরাজ,	
shiramikasha,	শ্রামিকাশ,	সিরামিকস,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
darada,	দারাড,	দারদা,	
azimke,	আজিমকে,	আজিমকে,	
jamjomat,	জমজ্মত,	জমজমাট,	
treebhuj,	ট্রিভুজ,	ত্রিভূজ,	
zinsa,	জিন্স,	জিন্স,	
abhidhaneeck,	অভিধানিক্স,	অভিধানিক,	
khoor,	কুর,	ক্ষুর,	
noditei,	নদিতেই,	নদীতেই,	
moshzidtike,	মোভিত্তিকে,	মসজিদটিকে,	
gonesher,	গণেষের,	গণেশের,	
rayalty,	রাযালটি,	রয়্যালটি,	
prothar,	প্রথার,	প্রথার,	
sachetanotamulok,	স্যাচেতারনমূলকক,	সচেতনতামূলক,	
netherland,	নেফ্যালন্ড,	নেদারল্যান্ড,	
veenis,	ভিনিস,	ভেনিস,	
lecense,	লেকেন্স,	লাইসেন্স,	
ganochiner,	গণছিনের,	গণচীনের,	
transfarm,	ট্রান্সফ্রম,	ট্রান্সফর্ম,	
avishangsan,	অভিশংসন,	অভিশংসন,	
vangley,	ভাঙলে,	ভাঙলে,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
trete,	ট্রেটে,	ট্রেতে,	
vedanta,	ভেডান্ট,	বেদান্ত,	
aanish,	আনিস,	আনিস,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
sohokaree,	সহকারী,	সহকারী,	
graambasider,	গ্রাম্বাসের,	গ্রামবাসীদের,	
aashirbaad,	আশির্বাদ,	আশির্বাদ,	
danaber,	দাবাের,	দানবের,	
nikate,	নিকতে,	নিকটে,	
uthey,	উঠে,	উঠে,	
kaande,	কান্ডে,	কাণ্ডে,	
ganosakkhorota,	গণস্ষকরত,	গণসাক্ষরতা,	
shiramiksh,	শিরামিক্স,	সিরামিকস,	
dakhbaar,	দাখবার,	দেখবার,	
dharati,	ধারতি,	ধারাটি,	
taunashhipa,	টাউনিসিপ,	টাউনশিপ,	
donat,	দোনত,	ডোনাট,	
neelkuthir,	নিলকুতির,	নীলকুঠির,	
koilas,	কালাস,	কৈলাস,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
ghur,	ঘুর,	ঘুর,	
gandho,	গণ্ধ,	গন্ধ,	
jalatanko,	জলতাকক,	জলাতঙ্ক,	
eparjonta,	এপর্জন্ট,	এপর্যন্ত,	
emarjenshi,	এমর্জেন্সি,	এমার্জেন্সি,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
bhabuk,	ভাবুক,	ভাবুক,	
saazano,	সাজানো,	সাজানো,	
akten,	একটেন,	অকটেন,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
raunanganey,	রানননগে,	রণাঙ্গনে,	
jaj,	জজ,	জাজ,	
golpokar,	গল্পকার,	গল্পকার,	
nesnos,	নেশনস,	নেশনস,	
gunjey,	গুঞ্জে,	গুঁজে,	
daakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
indrer,	ইন্ড্রের,	ইন্দ্রের,	
capsule,	কপপুলে,	ক্যাপসুল,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
amiratas,	আমিরাস,	এমিরেটাস,	
safin,	সফিন,	সাফিন,	
eidin,	এইডিন,	এইদিন,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
samudrotate,	সমুদ্রততে,	সমুদ্রতটে,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
bosonte,	বসন্তে,	বসন্তে,	
sheo,	শেও,	সেও,	
licensedhari,	লিকেন্সারেরও,	লাইসেন্সধারী,	
oitijjher,	ঐতিজ্যের,	ঐতিহ্যের,	
adarsho,	আদর্শ,	আর্দশ,	
purohitke,	পুরুহিকে,	পুরোহিতকে,	
akram,	আক্রম,	আকরাম,	
gaichhe,	গেছে,	গাইছে,	
parqim,	পার্কিং,	পার্কিং,	
sikhar,	শিখার,	শিকার,	
sahojlabhbhotar,	সহজভভবতার,	সহজলভ্যতার,	
deke,	ডেকে,	ডেকে,	
jibjantu,	জীবনযুত্,	জীবজন্তু,	
sainyader,	সান্যদের,	সৈন্যদের,	
sangbadmadhyomgulote,	সংবাধমগগললোতে,	সংবাদমাধ্যমগুলোতে,	
nimitto,	নিমিত্ত,	নিমিত্ত,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
phutbolarra,	ফুটবারা,	ফুটবলাররা,	
parpel,	পার্পেল,	পার্পেল,	
parishkaran,	পরিস্কাণ,	পরিষ্করণ,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
gananatyo,	গণনত্য,	গণনাট্য,	
chhatke,	ছাটকে,	ছাতকে,	
sofier,	সফিয়ার,	সোফির,	
swamijir,	স্বামীজির,	স্বামীজীর,	
gonohotyakey,	গণহন্থকে,	গণহত্যাকে,	
chinto,	চিন্ত,	চিনতো,	
edaning,	এডািং,	ইদানীং,	
alimpiqa,	অলিম্পিক,	অলিম্পিক,	
horipur,	হরিপুর,	হরিপুর,	
lisense,	লিসেন্স,	লাইসেন্স,	
oppohoron,	অপহরণ,	অপহরন,	
bishnooke,	বিষণুকে,	বিষ্ণুকে,	
osamarik,	অসামারিক,	অসামরিক,	
bajhyo,	বাঝ্য,	বাহ্য,	
keengdom,	কিন্ডম,	কিংডম,	
meghachonno,	মেহচান্ন,	মেঘাচ্ছন্ন,	
jhijhi,	ঝিঝি,	ঝিঝি,	
ddebet,	দ্বেবেট,	ডিবেট,	
soshorire,	সশরীরে,	সশরীরে,	
swosti,	স্বস্তি,	স্বস্তি,	
nishader,	নিশাদের,	নিষাদের,	
manushti,	মনুষ্টি,	মানুষটি,	
durgondho,	দূর্গন্ধ,	দুর্গন্ধ,	
charjara,	চারজার,	চার্জার,	
favorite,	ফাররিতে,	ফেভারিট,	
gobeshokgon,	গবেষকঙ্ণ,	গবেষকগণ,	
ashirbad,	আশির্বাদ,	আশির্বাদ,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
musolmanra,	মুসলম্্ার,	মুসলমানরা,	
phimel,	ফিমেল,	ফিমেল,	
haripur,	হারিপুর,	হরিপুর,	
faaser,	ফাসের,	ফাঁসের,	
mausumeo,	মৌসুমে,	মৌসুমেও,	
engrejer,	এংরেজের,	ইংরেজের,	
dankan,	ডাকনন,	ডানকান,	
dristiheen,	দৃষ্ঠিইন,	দৃষ্টিহীন,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
majlish,	মাজলিস,	মজলিশ,	
debdebie,	দেবদেবি,	দেবদেবী,	
fala,	ফল,	পোলো,	
bagichaar,	বাগিচার,	বাগিচার,	
easter,	এস্টের,	ইস্টার,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
megh,	মেগ,	মেঘ,	
stoonehenge,	স্টোনেগ্যে,	স্টোনহেঞ্জ,	
daltagi,	ডলত্জী,	দলত্যাগী,	
karmasampadon,	কর্মস্পদণ,	কর্মসম্পাদন,	
somraatraa,	সম্রাত্রা,	সম্রাটরা,	
cholochchitraeei,	চলচিত্রারী,	চলচ্চিত্রেই,	
novel,	নভেল,	নভেল,	
chhed,	ছেড,	ছেদ,	
kode,	কোড,	কোড,	
lendol,	লেন্ডল,	লেন্ডল,	
coshon,	কোষণ,	চোষণ,	
athar,	আঠার,	আতহার,	
duburyra,	দুবুরার,	ডুবুরিরা,	
notti,	নতি,	নোটটি,	
prema,	প্রেম,	প্রাইম,	
plete,	প্লেট,	প্লেট,	
venise,	ভেনিস,	ভেনিসে,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
soranor,	সরানর,	সরানোর,	
noitikatar,	নৈতিকাতার,	নৈতিকতার,	
mandonder,	মন্দন্ডের,	মানদণ্ডের,	
songrahak,	সংগ্রাহ,	সংগ্রাহক,	
kinsa,	কিংস,	কিংস,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
mmeloborrner,	মেলবার্নের,	মেলবোর্নের,	
byaasalt,	ব্যাসল,	ব্যাসল্ট,	
breqathru,	ব্রেকারু,	ব্রেকথ্রু,	
graambaaseeo,	গ্রাম্বাই,	গ্রামবাসীও,	
somraat,	সম্রাত,	সম্রাট,	
masazida,	মাসাজিদ,	মসজিদ,	
amiretus,	আমিরিটাস,	এমিরেটাস,	
ajibooner,	আজিবুনের,	আজীবনের,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
shainyader,	সান্যদের,	সৈন্যদের,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
moolgoto,	মুলগত,	মূলগত,	
chironton,	চিরন্টন,	চিরন্তন,	
nicqel,	নিক্েল,	নিকেল,	
uzobekeestaaner,	উজবিকেষ্টানের,	উজবেকিস্তানের,	
stonehenj,	স্টনেজিং,	স্টোনহেঞ্জ,	
orgho,	অর্ঘ,	অর্ঘ্য,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
anchalei,	অঞ্চলেই,	অঞ্চলেই,	
wictor,	ভিক্টর,	ভিক্টর,	
deaubande,	ডিউবান্ডে,	দেওবন্দে,	
ganoporibohon,	গণপরিবহণ,	গণপরিবহন,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
chhatta,	ছাট্ট,	ছোট্ট,	
ralafa,	রালফ,	রালফ,	
durgotir,	দূর্গটির,	দুর্গটির,	
doshider,	দশীদের,	দোষীদের,	
turkameena,	টুর্কমেন,	তুর্কমেন,	
niuroolaji,	নিফরলজি,	নিউরোলজি,	
joni,	জনি,	জনি,	
grambaseer,	গ্রাম্বাসের,	গ্রামবাসীর,	
torkaryr,	তরকারির,	তরকারীর,	
muzibur,	মুজিবুর,	মুজিবুর,	
faksa,	ফক্ষ,	ফক্স,	
shekarone,	সেকারণে,	সেকারণে,	
shilabhara,	শিলভার,	সিলভার,	
nortoki,	নর্তকি,	নর্তকী,	
karater,	করতের,	কারাতের,	
jaanachhe,	জানাচে,	জানাচ্ছে,	
charbon,	চারবন,	চর্বন,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
transapharma,	ট্রান্সফ্র্ম,	ট্রান্সফর্ম,	
baarak,	বারাক,	বারাক,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
shasankarta,	শাসনকাত্র,	শাসনকর্তা,	
modelling,	মোডললিং,	মডেলিং,	
siima,	সিম,	সীমা,	
mookhomaundoley,	মুখমউন্ডলে,	মুখমণ্ডলে,	
jiland,	জিলান্ড,	জিল্যান্ড,	
