durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
chhootochhuti,	ছোটুছিটি,	ছুটোছুটি,	
bujhleo,	বুঝলেও,	বুঝলেও,	
agara,	আগার,	আগোরা,	
sedikei,	সেদিকেই,	সেদিকেই,	
aamude,	আমুদে,	আমুদে,	
miley,	মিলে,	মাইলি,	
nebhate,	নেভাতে,	নেভাতে,	
potochitrer,	পটচিত্রের,	পটচিত্রের,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
arakdal,	আরকদল,	আরেকদল,	
chomke,	চমকে,	চমকে,	
tukrowti,	তুক্রতু,	টুকরোটি,	
iraner,	ইরানের,	ইরানের,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
lajek,	লাজেক,	লজিক,	
pujito,	পুজিত,	পুজিত,	
rayalty,	রোয্টলি,	রয়্যালটি,	
ujobekeestan,	উজবেকক্ষান,	উজবেকিস্তান,	
cheerota,	চিরতা,	চিরতা,	
rubi,	রুবি,	রুবী,	
srichoitonnodeb,	স্বীচ্দৈন্তব,	শ্রীচৈতন্যদেব,	
chirohorith,	চিরারহী,	চিরহরিৎ,	
atmobishvashi,	অত্মবিশশাবী,	আত্মবিশ্বাসী,	
gambasi,	গ্যাব্যাসী,	গ্রামবাসী,	
maner,	মানের,	মানে,	
taruner,	তরুনের,	তরুণের,	
felto,	ফেলট,	ফেলত,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
dhormee,	ধর্মে,	ধর্মী,	
vortuki,	বর্তুকী,	ভর্তুকি,	
kaloniir,	কালনইর,	কালনীর,	
dormitori,	ডর্মিটরি,	ডরমিটরি,	
akeeb,	আকীব,	আকিব,	
mile,	মিলে,	মাইল,	
allahabadey,	আলাহাবাদে,	এলাহাবাদে,	
mesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
amudey,	আমুদে,	আমুদে,	
parinati,	পরিনতি,	পরিণতি,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
jinsha,	জিনসা,	জিন্স,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
gadha,	গাঢধা,	গাধা,	
brookolin,	ব্রককিন,	ব্রুকলিন,	
zohns,	জনস,	জন্স,	
deebatee,	দিবাতী,	ডিবেট,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
zeebonnogor,	জীবন্যগগর,	জীবননগর,	
bem,	ব্যাম,	বিম,	
blagarara,	ব্লাগারেরা,	ব্লগাররা,	
lotheran,	লাথারান,	লুথেরান,	
reflex,	রিফেল্স,	রিফ্লেক্স,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
thakte,	থাকতে,	থাকতে,	
udichi,	উদিচি,	উদীচী,	
falak,	ফলক,	ফলক,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
umedpoor,	উউমেদপুর,	উমেদপুর,	
ganesh,	গনেশ,	গণেশ,	
milea,	মিলে,	মাইলে,	
nadike,	নাদিকে,	নদীকে,	
laagche,	লাগছে,	লাগছে,	
torooner,	তরুনের,	তরুণের,	
loha,	লোহা,	লোহা,	
bisnukey,	বিশ্বুকে,	বিষ্ণুকে,	
capsul,	কাসপুল,	ক্যাপসুল,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
mojuter,	মজুতের,	মজুতের,	
itostata,	ইটস্টট,	ইতস্তত,	
debdebie,	দেবদেবি,	দেবদেবী,	
credit,	ক্রেডিট,	ক্রেডিট,	
laisens,	লাইসন্স,	লাইসেন্স,	
silver,	সিলভার,	সিলভার,	
seector,	সিক্টর,	সেক্টর,	
chess,	চেজ,	চেস,	
plate,	প্লেট,	প্লেটে,	
lesense,	লেসেন্স,	লাইসেন্স,	
blaker,	ব্লকের,	ব্ল্যাকের,	
dhhaaloor,	ঢালুর,	ঢালুর,	
taholei,	তাহাইলেই,	তাহলেই,	
futbolarra,	ফুটবলরাা,	ফুটবলাররা,	
koilash,	কৈলাশ,	কৈলাস,	
ancholtite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
naker,	নাকের,	নেকের,	
antorbhuktimulak,	অন্তর্ভূতিকমূলক,	অন্তর্ভুক্তিমূলক,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
anisha,	অনিশা,	আনিস,	
jonomukhi,	জনমুখী,	জনমুখী,	
bipozzonok,	বিপদজ্জনক,	বিপজ্জনক,	
jes,	জেস,	জেস,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
queery,	কুয়ারি,	কোয়েরি,	
cheef,	চীফ,	শেফ,	
dokaanei,	ডোকানেই,	দোকানেই,	
hoole,	হোল,	হোল,	
jaatte,	যাততে,	জাতটি,	
kooshumba,	কুশুম্ব,	কুশুম্বা,	
tottobar,	তত্তববার,	তওবার,	
jakkho,	যক্ষ,	যক্ষ,	
soomi,	সুমি,	সুমি,	
tarun,	তরুন,	তরুন,	
serverer,	সারবারের,	সার্ভারের,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
vaider,	ওয়েডার,	ভাইদের,	
yaaq,	যাক,	ইয়াক,	
laaishheshh,	লাইসে,	লাইসেন্স,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
khele,	খেলে,	খেলে,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
nathibhookto,	নথিভুক্ত,	নথিভুক্ত,	
byanger,	ব্যাঙ্গের,	ব্যাঙের,	
shikhbe,	শিববে,	শিখবে,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
bojhey,	বোঝে,	বোঝে,	
shilver,	সিলভার,	সিলভার,	
hajartee,	হজরতী,	হাজারটি,	
quoota,	কোউট,	কোটা,	
sayatana,	স্যাটন,	শয়তান,	
hepatetisa,	হেপোটেটিস,	হেপাটাইটিস,	
basakey,	বাসাকে,	বাসাকে,	
dip,	ডিপ,	দীপ,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
dosheeder,	দশিদের,	দোষীদের,	
udbodhane,	উদ্ধবনে,	উদ্বোধনে,	
playtey,	প্লেইট,	প্লেটে,	
panjikar,	পঞ্জিকর,	পঞ্জিকার,	
bedey,	বেদে,	বেদে,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
cholochchitroi,	চলচ্চিত্রী,	চলচ্চিত্রই,	
chinto,	চিন্ত,	চিনতো,	
dhache,	ঢাচে,	ধাঁচে,	
routine,	রাউটিনে,	রুটিন,	
nebhatey,	নেভাতে,	নেভাতে,	
bandhubhabaponno,	বন্ধুভাবন্গ,	বন্ধুভাবাপন্ন,	
haajarer,	হাজারের,	হাজারের,	
sekarone,	শেকারণে,	সেকারণে,	
mousumer,	মৌসূমের,	মৌসুমের,	
maudelder,	মাউলদেরদের,	মডেলদের,	
sonmukh,	সন্মুখ,	সন্মুখ,	
mmadhukkori,	মাধামকুরী,	মাধুকরী,	
aporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
chhaai,	ছাই,	ছাই,	
siddhanto,	সিদ্ানন্ত,	সিদ্ধান্তও,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
nirgaman,	নির্যমান,	নির্গমন,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
tolemyr,	তলেেমির,	টলেমির,	
shoreefer,	শরীফের,	শরিফের,	
gotirodh,	গতিরোধ,	গতিরোধ,	
bidrohiderke,	বিদ্রিহারীদেরকে,	বিদ্রোহীদেরকে,	
jatok,	যতক,	জাতক,	
udbodhaney,	উদ্ধবনে,	উদ্বোধনে,	
asommati,	অসমামতি,	অসম্মতি,	
naphisa,	নফিস,	নাফিসা,	
choddo,	চদ্য,	চোদ্দো,	
laz,	লাজ,	লাজ,	
natians,	নেটিয়ন্স,	নেশনস,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
bee,	বি,	বি,	
maudelti,	মাউলেটটি,	মডেলটি,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
porizon,	পরিজন,	পরিজন,	
heeavy,	হেভি,	হেভি,	
bosten,	বসেেন,	বসতেন,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
onodhikaar,	অনধিকার,	অনধিকার,	
templet,	ট্যাম্পলেট,	টেম্পলেট,	
melborner,	মেলবন্রের,	মেলবোর্নের,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
dael,	ডেল,	ডেইল,	
saranor,	সারারোর,	সরানোর,	
segulor,	সেগুলোর,	সেগুলোর,	
wool,	উোল,	উল,	
shotokeo,	শতকেও,	শতকেও,	
favorite,	ফাওরিতে,	ফেভারিট,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
juddhahoto,	যুদ্ধাহত,	যুদ্ধাহত,	
chargar,	চারগর,	চার্জার,	
mmeloborrne,	মেলবর্ণে,	মেলবোর্নে,	
boring,	বরিং,	বোরিং,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
gajipur,	জাজিপুর,	গাজীপুর,	
dharabahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
eoki,	একই,	এওকি,	
bolokarak,	বলকাকারক,	বলকারক,	
makang,	ম্কাক,	মেকং,	
pooroheetke,	পুরাহটিকে,	পুরোহিতকে,	
jaunatar,	যৌনাটার,	যৌনতার,	
ship,	শিপ,	শিপ,	
sarano,	সারাও,	সরানো,	
shilpajata,	শিল্পতাত,	শিল্পজাত,	
nazi,	নাজি,	নাত্সি,	
bhabanir,	ভবানীর,	ভবানীর,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
uchchataro,	উচ্চতারও,	উচ্চতর,	
samanwitavabe,	সমানিভততভাবে,	সমন্বিতভাবে,	
beekargrasta,	বিকার্রস্ত,	বিকারগ্রস্ত,	
advansed,	অ্যাডভান্স,	অ্যাডভান্সড,	
allahabade,	আলাহাবাদে,	এলাহাবাদে,	
firoze,	ফিরোজ,	ফিরোজ,	
fanser,	ফাঁসের,	ফাঁসের,	
bondhubhabapanno,	বন্ধুভাবন্প,	বন্ধুভাবাপন্ন,	
aansareer,	আনসারির,	আনসারীর,	
conistho,	কণিষ্ঠ,	কনিষ্ঠ,	
machher,	মাছের,	মাছের,	
koreem,	করিম,	করিম,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
machsaho,	মাসহা,	মাছসহ,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
nirmalata,	নির্মলতা,	নির্মলতা,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
eutey,	ইউটে,	ইইউতে,	
salsa,	সল্স,	সালসা,	
ched,	চেড,	ছেদ,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
oshamorik,	ওশামারিক,	অসামরিক,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
armstronz,	আর্মৃত্জ,	আর্মস্ট্রং,	
bhootara,	ভোটরা,	ভোটার,	
gostigoolo,	গষ্টিগুলো,	গোষ্ঠীগুলো,	
reesideencee,	রেসিডেন্সি,	রেসিডেন্স,	
thor,	থর,	থর,	
cholchhee,	চলছি,	চলছে,	
garur,	গরুর,	গরুর,	
baikalya,	বাইকলায,	বৈকল্য,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
obharabhiu,	অভারভভূ,	ওভারভিউ,	
hunine,	হাইনিন,	হুনাইন,	
shamook,	সামুক,	শামুক,	
ojowno,	অজওন,	অযৌন,	
agamaner,	আগামানের,	আগমনের,	
dhanchey,	ঢাঁচে,	ধাঁচে,	
shringga,	শ্রীঙ্গ,	শৃঙ্গ,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
claus,	ক্লাউ,	ক্লজ,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
muscut,	মাস্কুট,	মাস্কাট,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
pratishhta,	প্রতিষ্টা,	প্রতিষ্টা,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
sumoo,	সুমো,	সুমো,	
kanaflikta,	কানালিক্ট,	কনফ্লিক্ট,	
olympiker,	অল্মিপকের,	অলিম্পিকের,	
fase,	ফেস,	ফাঁসে,	
samratra,	সম্মাত্রা,	সম্রাটরা,	
asamonjasyopurno,	অসমস্যাসনূর্ণ,	অসামঞ্জস্যপূর্ণ,	
