duburyra,	দুবুরীরা,	ডুবুরিরা,	
kalki,	কলকি,	কালকি,	
beatleser,	বিটেছের,	বিটলসের,	
bosantake,	বসন্তকে,	বসন্তকে,	
groth,	গ্রথ,	গ্রোথ,	
fevarite,	ফেভারিতে,	ফেভারিট,	
gori,	গরি,	গোরি,	
shapod,	সাপদ,	শ্বাপদ,	
poner,	পানের,	পনের,	
ganona,	গননা,	গণনা,	
chhilonaa,	ছিলানো,	ছিলনা,	
sontoshpur,	সন্তুষ্পুর,	সন্তোষপুর,	
oporishodhito,	অপরিষ্ধিত,	অপরিশোধিত,	
loker,	লোকের,	লকের,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
shangkalonti,	সংক্যাসটিন,	সংকলনটি,	
enjineers,	এঞজাইন্র,	ইঞ্জিনিয়ার্স,	
hamburgey,	হামব্র্জে,	হামবুর্গে,	
noteti,	নটেটি,	নোটটি,	
holdeeng,	হোলিডিং,	হোল্ডিং,	
aazaadir,	আজাদীর,	আজাদীর,	
mmesenjar,	ম্যামিজ্নার,	মেসেঞ্জার,	
shoshoa,	শোষা,	শশা,	
monur,	মনুর,	মনুর,	
armstranj,	আর্সপ্রোজ,	আর্মস্ট্রং,	
simaa,	সীমা,	সীমা,	
nothivooktir,	নথিভুক্তের,	নথিভুক্তির,	
ekshor,	একশর,	একশোর,	
adhattik,	আধ্যত্তিক,	আধ্যাত্মিক,	
baasaake,	বাসাকে,	বাসাকে,	
naajee,	নাজি,	নাত্সি,	
boopon,	বুপন,	বপন,	
hughkey,	হুগকে,	হিউজকে,	
horipoor,	হরিপুর,	হরিপুর,	
metropalitana,	মেট্রোপিলিয়ান,	মেট্রোপলিটন,	
eidin,	এডিন,	এইদিন,	
deeyenes,	ডিয়েন,	ডিএনএস,	
balokarok,	বালকারক,	বলকারক,	
overveu,	ওভারভাও,	ওভারভিউ,	
komti,	কম্টি,	কমতি,	
chakti,	চক্তি,	চাকতি,	
khilafat,	খিলাফাত,	খিলাফত,	
madhoori,	মাধুরি,	মাধুরী,	
ashongkai,	অসঙ্কে,	আশঙ্কাই,	
upostheet,	উপস্থিত,	উপস্থিত,	
debeting,	দেবেটিং,	ডিবেটিং,	
saainyo,	সাইন্য,	সৈন্য,	
bidghootey,	বিধ্যতি,	বিদঘুটে,	
mosleh,	মসলি,	মোসলেহ,	
shcholastic,	শ্বলোষিক্ত,	স্কলাস্টিক,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
mojlishpur,	মজিলিপপুর,	মজলিশপুর,	
bagdad,	বাগ্াদ,	বাগদাদ,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
daackticketer,	দাক্তিক্তের,	ডাকটিকিটের,	
bashite,	বাশিতে,	বাঁশিতে,	
bim,	বিম,	বীম,	
diniphition,	দিনিফিপিন,	ডেফিনেশন,	
bhortuky,	ভর্তিক,	ভর্তুকি,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
garjon,	গার্জন,	গর্জন,	
duburira,	দুবুরিরা,	ডুবুরিরা,	
aastikota,	অস্টিকতা,	আস্তিকতা,	
ekpase,	একপাশে,	একপাশে,	
kk,	কিএ,	কেকে,	
bohoodin,	বহুদিদ,	বহুদিন,	
wul,	উইল,	উল,	
bhromonkale,	ভ্রমমাকলে,	ভ্রমণকালে,	
nadnadir,	না্নদীর,	নদনদীর,	
sampadon,	সম্পাদন,	সম্পাদন,	
vaisaha,	ভৈষা,	ভাইসহ,	
templet,	টেম্পল্ট,	টেম্পলেট,	
taholei,	তহলেই,	তাহলেই,	
amarika,	অমারিকা,	আমেরিকা,	
kaande,	কাঁডে,	কাণ্ডে,	
jockey,	জকে,	জকি,	
bamander,	বামান্ডের,	বামনদের,	
madhumati,	মধুমাটি,	মধুমতী,	
basturyi,	বস্তুরি,	বস্তুরই,	
tiner,	তিনের,	তিনের,	
adhyatmik,	অধ্যাতক্য,	আধ্যাত্মিক,	
rubi,	রুবি,	রুবি,	
nirapattamulak,	নিরাপ্ততাশল,	নিরাপত্তামূলক,	
jaunatar,	যৌনতার,	যৌনতার,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
esasiyetasa,	এসসিইট,	এসোসিয়েটস,	
imirgincy,	এমের্িনিং,	এমার্জেন্সি,	
musolmanera,	মুসলোমানের,	মুসলমানেরা,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
granthoti,	গ্রন্থাটি,	গ্রন্থটি,	
confliqt,	কনফিক্ট,	কনফ্লিক্ট,	
pabo,	পব,	পাব,	
kathmandu,	কাঠ্মদ্,	কাঠমান্ডু,	
andamana,	অন্দ্মা,	আন্দামান,	
labonaaktotaar,	লবনাক্ততা,	লবণাক্ততার,	
airish,	আইরিশ,	আইরিস,	
noubihar,	নৌিবহর,	নৌবিহার,	
indrani,	ইন্দ্রেনি,	ইন্দ্রাণী,	
pujita,	পুজিত,	পূজিতা,	
saatzon,	সাতলন,	সাতজন,	
potka,	পটাকা,	পটকা,	
daaloo,	ডালু,	ডালু,	
yukeliptas,	ইউকেলপি্সাম,	ইউক্যালিপ্টাস,	
aksathei,	এক্াচেই,	একসাথেই,	
qoda,	কড,	কোডা,	
aazan,	আয়ান,	আজান,	
tofat,	টফট,	তফাৎ,	
projanankal,	প্রজনাংখল,	প্রজননকাল,	
jees,	জিস,	জেস,	
ssahocorzo,	সাহকারবাগ,	সাহচর্য,	
concert,	কনসার্ট,	কানসাট,	
grambaasider,	গ্র্বাসেসের,	গ্রামবাসীদের,	
shaapholler,	সাফালের,	সাফল্যের,	
ceramiks,	কেরামিক,	সিরামিকস,	
heriser,	হেরিশের,	হ্যারিসের,	
haitasa,	হাইটাস,	হাইটস,	
dibeta,	দিবেত,	ডিবেট,	
basuki,	বাসুকি,	বাসুকি,	
chaakaa,	চাকা,	চাকা,	
ulcer,	ইল্ের,	আলসার,	
kakhanyoba,	কখনোযা,	কখনওবা,	
chapal,	চাপাল,	চপল,	
mukhyo,	মুখ্য,	মুখ্য,	
maszid,	মসজীদ,	মসজিদ,	
zeebonnogor,	জীবনন্র,	জীবননগর,	
jolrang,	জলবর্,	জলরঙ,	
phoksher,	ফক্কের,	ফক্সের,	
niropeksh,	নিরোপেক্স,	নিরপেক্ষ,	
pravuder,	প্রভুদের,	প্রভুদের,	
dharmee,	ধর্মী,	ধর্মী,	
haridwar,	হারিদ্বর,	হরিদ্বার,	
onnyorup,	অন্যপূর,	অন্যরূপ,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
ghatlo,	ঘটতলো,	ঘটল,	
ponni,	পণ্নী,	পন্নী,	
hyper,	হাইপ,	হাইপার,	
jatinke,	জাতিনকে,	যতীনকে,	
nagoriker,	নগরীকের,	নাগরিকের,	
pratisthasoho,	প্রতিষ্ঠামূল,	প্রতিষ্ঠাসহ,	
battery,	ব্যাটারি,	ব্যাটারী,	
matrikar,	মাত্রিকার,	মাতৃকার,	
ever,	এইভার,	এভার,	
teamothi,	তেমমিত,	টিমোথি,	
torabgonj,	তরব্বগঞ্জ,	তোরাবগঞ্জ,	
meterey,	মেটারে,	মিটারে,	
jerokom,	জিরোম,	যেরকম,	
pab,	পব,	পাব,	
jekhan,	যেখান,	যেখান,	
gandhiio,	গান্ধিয,	গান্ধীও,	
prostutkarak,	প্রস্তাককার,	প্রস্তুতকারক,	
safi,	সেফি,	সাফি,	
grantha,	গ্রন্থা,	গ্রন্থ,	
subadey,	সুবাদে,	সুবাদে,	
bodh,	বধ,	বোধ,	
ragke,	রাগকে,	রাগকে,	
shikhra,	শিখ্রা,	শিখরা,	
parkasa,	পার্কস,	পার্কস,	
goreeb,	গরীব,	গরিব,	
naaji,	নাজি,	নাত্সি,	
dharabhashyakar,	ধারাভাষ্যক,	ধারাভাষ্যকার,	
tafaat,	তাফাত,	তফাৎ,	
dharavahiktite,	ধারাভাসিক্যে,	ধারাবাহিকটিতে,	
durtomo,	দূর্থম,	দূরতম,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
upobaasee,	উপবাসী,	উপবাসী,	
ovishongshon,	অভিষ্ংবস,	অভিশংসন,	
naitik,	নৈতিক,	নৈতিক,	
amshtrong,	অ্্স্ত্রবগ,	আর্মস্ট্রং,	
dharabahiker,	ধারাবিকেষের,	ধারাবাহিকের,	
aaminaar,	আমিনার,	আমিনার,	
jakkho,	যক্ষ,	যক্ষ,	
karu,	কারু,	কারো,	
rayyalati,	রেজালাটি,	রয়্যালটি,	
katbe,	কাটবে,	কাটবে,	
guzon,	গুজন,	গুজব,	
setikey,	সেটিকে,	সেটিকে,	
sachetonvabe,	স্যাথ্টাদে,	সচেতনভাবে,	
chhutir,	ছুটির,	ছুটির,	
pouchhute,	পৌঁছিতে,	পৌঁছুতে,	
bibade,	বিবাদে,	বিবাদে,	
paare,	পারে,	পাড়ে,	
jerujalem,	জারুজ্জাসে,	জেরুজালেম,	
sajanor,	সাজানোর,	সাজানোর,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
yuk,	ইউক,	ইয়াক,	
ekbakye,	একবাকে,	একবাক্যে,	
korkotkraantee,	কর্ককারস্তে,	কর্কটক্রান্তি,	
mauhajote,	মহাহততে,	মহাজোট,	
umedpoor,	উমিপপর,	উমেদপুর,	
wenish,	ভেনিশ,	ভেনিস,	
dancan,	ডান্চন,	ডানকান,	
siite,	সীইতে,	শীতে,	
hajarti,	হজারি,	হাজারটি,	
dianes,	ডাইনেস,	ডিএনএস,	
hundayi,	হুন্ডাই,	হুন্দাই,	
gaujano,	গৌজানো,	গজানো,	
subade,	সুবাদে,	সুবাদে,	
ekirokom,	একিরোম,	একইরকম,	
sthaponagulo,	স্থাপন্তুলক,	স্থাপনাগুলো,	
pushtee,	পুস্টি,	পুষ্টি,	
maley,	মালে,	মালে,	
udbodhoni,	উদ্বাধনী,	উদ্বোধনী,	
atyachari,	অত্যচারী,	অত্যাচারী,	
toufiq,	তৌফিক,	তৌফিক,	
teamothy,	তেমমিত,	টিমোথি,	
nodimaatrik,	নদীমাত্রীক,	নদীমাতৃক,	
barak,	বারক,	বারাক,	
uuipoka,	উুপসাক,	উইপোকা,	
dharai,	ধারই,	ধারাই,	
athar,	আঠার,	আতহার,	
dei,	ডেই,	দিই,	
kaalengaa,	কালেনাগ,	কালেঙ্গা,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
udbodhony,	উদ্বাধীন,	উদ্বোধনী,	
mmesenjarer,	ম্যামিলোনার,	মেসেঞ্জারের,	
manbey,	মানবে,	মানবে,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
saarbhare,	সার্ভেরে,	সার্ভারে,	
keke,	কেকে,	কেকে,	
uporitale,	উপরিতা,	উপরিতলে,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
hotochokeeto,	হতেচাতিত,	হতচকিত,	
shaakaar,	শাকার,	সাকার,	
nirikh,	নিরিখ,	নিরিখ,	
hazat,	হাজাত,	হজত,	
suddeen,	সুদ্দীন,	সাডেন,	
eshtoniya,	এস্টনিনা,	এস্তোনিয়া,	
ghenshei,	ঘেনসী,	ঘেঁষেই,	
kumarir,	কুমারির,	কুমারীর,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
agom,	আগম,	আগম,	
agamane,	আগমনে,	আগমনে,	
porobortii,	পরবর্তী,	পরর্বতী,	
kyathlikder,	ক্যাথকিরকের,	ক্যাথলিকদের,	
jeshh,	জেস,	জেস,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
serverer,	সার্ভেরের,	সার্ভারের,	
phix,	ফিক্স,	ফিক্স,	
edaning,	এডানিং,	ইদানীং,	
armastram,	আর্ষস্তরম,	আর্মস্ট্রং,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
uqeliptas,	উকলিপ্লম,	ইউক্যালিপ্টাস,	
prokalpaguli,	প্রচাপন্তি,	প্রকল্পগুলি,	
idaningkale,	এনািনকালে,	ইদানীংকালে,	
kortona,	কর্তনা,	করতনা,	
taimash,	তাইমাস,	টাইমস্,	
jansa,	জনসা,	জোন্স,	
karuna,	করুণা,	করুণা,	
bisnuke,	বিস্মুকে,	বিষ্ণুকে,	
juktorastrey,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রে,	
noitikatavodh,	নইতিক্ঠাভাদী,	নৈতিকতাবোধ,	
phoxkon,	ফক্কন,	ফক্সকন,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
khorshed,	খর্ষে,	খোরশেদ,	
kyethalika,	ক্যাথেলক,	ক্যাথলিক,	
peengna,	পেন্না,	পিংনা,	
tukror,	টুকরার,	টুকরোর,	
