ganochiner,	গণচিলের,	গণচীনের,	
pashan,	পাশন,	পাষাণ,	
hotelteete,	হটেলটিইট,	হোটেলটিতে,	
abartey,	আবর্তে,	আবর্তে,	
chalaabi,	চলাবি,	চালাবে,	
lajikar,	লাজিকার,	লজিকের,	
mett,	মেট,	ম্যাট,	
benish,	বেনিস,	ভেনিস,	
aboshore,	অবশোরে,	অবসরে,	
rajatwa,	রাজত্ব,	রাজত্ব,	
monohputa,	মনোপুপত,	মনঃপুত,	
babul,	বাবুল,	বাবুল,	
asamarik,	আসমারিক,	অসামরিক,	
reefleex,	রেফলেক্স,	রিফ্লেক্স,	
choddo,	চোদ্দ,	চোদ্দো,	
sirameeks,	সারেমিক্স,	সিরামিকস,	
karu,	কারু,	কারু,	
moolgoto,	মুলগত,	মূলগত,	
doula,	ডলা,	দৌলা,	
jaki,	জাকি,	জকি,	
banduk,	বন্দুক,	বন্দুক,	
kaando,	কান্ড,	কাণ্ড,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
gavaskar,	গভাষ্কার,	গাভাস্কার,	
codey,	কোডে,	কোডে,	
shakar,	শকার,	সকার,	
antarbhuttirmulok,	অন্ত্তর্ভূত্তামূলক,	অন্তর্ভুক্তিমূলক,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
dece,	ডেস,	ডেকে,	
kool,	কুল,	কুল,	
rohosyoti,	রহহশ্যটি,	রহস্যটি,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
edii,	এডি,	আইডিই,	
bipojjanak,	বিপজজনক,	বিপজ্জনক,	
kormi,	কর্মী,	কর্মই,	
azaadir,	আজাদির,	আজাদীর,	
chhooti,	ছুটি,	ছুটি,	
bibader,	বিবাদের,	বিবাদের,	
chomsky,	চমককি,	চমস্কি,	
diznee,	ডিজনি,	ডিজনী,	
arthurer,	অর্থুরের,	আর্থারের,	
hiushtoner,	হিউস্তনের,	হিউস্টনের,	
juddhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
nowel,	নোভেল,	নভেল,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
ganachin,	গণচিন,	গণচীন,	
michilti,	মিছিলটি,	মিছিলটি,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
saamaanya,	সামান্য,	সামান্য,	
odhit,	অধীত,	অধীত,	
zinsa,	জিনস,	জিন্স,	
karadander,	কারাদনদের,	কারাদণ্ডের,	
towraat,	তওরাট,	তওরাত,	
monir,	মনির,	মনির,	
orbeet,	অর্বিত,	অরবিট,	
nirmankaz,	নির্মানকা,	নির্মাণকাজ,	
mathieu,	মথিও,	ম্যাথিউ,	
sikkhakbrinda,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
tukroke,	তুকর্কে,	টুকরোকে,	
chhayi,	ছাই,	ছাই,	
bodh,	বোধ,	বোধ,	
format,	ফরমত,	ফরম্যাট,	
hajat,	হজত,	হজত,	
hydra,	হাইড্রো,	হাইড্রা,	
poromartho,	পরমার্থ,	পরমার্থ,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
mag,	ম্যাগ,	এমএজি,	
ruplal,	রাপলাল,	রূপলাল,	
potengar,	পোটেঙ্গার,	পতেঙ্গার,	
sangbadmadhyome,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
biprodas,	বিপ্রোদাস,	বিপ্রদাস,	
prasadhani,	প্রশাধানী,	প্রসাধনী,	
jeshthaa,	যেষ্ঠা,	জ্যেষ্ঠা,	
chiroharit,	চিরহরীত,	চিরহরিৎ,	
bojhao,	বোঝাও,	বোঝাও,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
nogonno,	নগন্ন,	নগণ্য,	
nirikh,	নিরীখ,	নিরিখ,	
elaakaate,	এলাকাতে,	এলাকাতে,	
tali,	টালি,	তালি,	
ovisongson,	অভিশংসন,	অভিশংসন,	
jaistho,	যৈষ্ঠ,	জ্যৈষ্ঠ,	
marryir,	মেরির,	ম্যারির,	
abikol,	আবিকল,	অবিকল,	
seekkhokke,	শিক্ষকে,	শিক্ষককে,	
sahakari,	সহকারী,	সহকারী,	
somonnitobhabe,	সমন্নিতভাবে,	সমন্বিতভাবে,	
advoot,	অ্যাডভুট,	অদ্ভুত,	
mmeloborrne,	মেলবোরনে,	মেলবোর্নে,	
vasturyi,	বস্তুরই,	বস্তুরই,	
mojlish,	মজলিস,	মজলিশ,	
aajiboner,	আজিবনের,	আজীবনের,	
besirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
saphallyar,	সফল্লার,	সাফল্যের,	
abdi,	আবদি,	অব্দি,	
probhur,	প্রভূর,	প্রভুর,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
maudeley,	মৌডেলে,	মডেলে,	
enashiyenta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
shulke,	শুলকে,	শুল্কে,	
bagdadii,	বাগদাদি,	বাগদাদী,	
cheph,	চেফ,	শেফ,	
eling,	এলিং,	ইলিং,	
bahyo,	বহ্য,	বাহ্য,	
ganosochetonota,	গণশচৈতনাত,	গণসচেতনতা,	
shangkalone,	সঙ্কলনে,	সংকলনে,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shhipa,	শিপ,	শিপ,	
nagorikderkey,	নারীদেরকের,	নাগরিকদেরকে,	
venkotesh,	ভেনকতেশ,	ভেঙ্কটেশ,	
suparichita,	সুপরিচিত,	সুপরিচিত,	
koreem,	করিম,	করিম,	
dilam,	ডিলাম,	দিলাম,	
nathivookteer,	নথিভুক্তির,	নথিভুক্তির,	
kota,	কোট,	কোটা,	
kolkarkhana,	কললকর্ষণা,	কলকারখানা,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
chalesi,	চলেসি,	চলেছি,	
ghetu,	ঘেতু,	ঘেটু,	
parqs,	পার্কস,	পার্কস,	
tenisha,	টেনিস,	টেনিস,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
upanishad,	উপনিশাদ,	উপনিষদ,	
bima,	বীমা,	বিম,	
bhaskor,	ভাষকর,	ভাস্কর,	
shadena,	সাদেনা,	সাডেন,	
shaantaa,	সান্ত,	সান্তা,	
poscate,	পোশচাতে,	পশ্চাতে,	
mitroyo,	মিট্রও,	মিত্রও,	
amanisa,	অ্যানানিস,	অমানিশা,	
isahak,	ইসহাক,	ইসাহাক,	
saifai,	সাইফাই,	সাইফাই,	
khodeza,	খোদেজা,	খোদেজা,	
shasankarta,	শসনকর্ত,	শাসনকর্তা,	
pacchi,	পাচচি,	পাচ্ছি,	
saahocorrzo,	সাহকর্য,	সাহচর্য,	
apargota,	অপারগোট,	অপারগতা,	
shosha,	সোশা,	শশা,	
spashtatai,	স্পষ্টটাই,	স্পষ্টতই,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
sumita,	সুমিটা,	সুমিতা,	
garora,	গররা,	গারোরা,	
atwobishvashi,	অত্বভিব্যাশী,	আত্মবিশ্বাসী,	
carlosh,	কার্লস,	কার্লোস,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
novel,	নোভেল,	নভেল,	
mohit,	মহিত,	মুহিত,	
zubokera,	যুবকেরা,	যুবকেরা,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
mohish,	মহিষ,	মহিষ,	
deejijer,	ডিজিজের,	ডিজিজের,	
bonobhumi,	বনভূমি,	বনভূমি,	
second,	সেকন্ড,	সেকেণ্ড,	
konflikt,	কনফলিক্ট,	কনফ্লিক্ট,	
shucre,	শুক্রে,	সাকার,	
ramdhonu,	রম্ধুন,	রামধনু,	
mosharroph,	মোশাররফ,	মশাররফ,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
karecho,	করেছো,	করেছ,	
shansthaner,	সংস্থানের,	সংস্থানের,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
grambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
modele,	মোডেলে,	মডেলে,	
valobasey,	ভালবাসে,	ভালোবাসে,	
choopi,	চুপি,	চুপি,	
jar,	যার,	জ্বর,	
taivan,	টাইভান,	তাইওয়ান,	
proshtutkarok,	প্রস্তুতকতাক,	প্রস্তুতকারক,	
krus,	ক্রাস,	ক্রুশ,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
muktoome,	মুকতমু,	মাকতুম,	
mododpusto,	মদদদুস্ত,	মদদপুষ্ট,	
pabo,	পাবো,	পাব,	
masjidtir,	মাজদিদ্রির,	মসজিদটির,	
armastram,	আর্মস্টার,	আর্মস্ট্রং,	
sanaktakaraner,	সনাকতকরণের,	সনাক্তকরণের,	
mokhmoley,	মখলমে,	মখমলে,	
daaoon,	ডাউন,	ডাউন,	
pleeta,	প্লেট,	প্লেট,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
naji,	নাজি,	নাত্সি,	
lobbytey,	লবিটে,	লবিতে,	
patjata,	পাৎজাতা,	পাটজাত,	
habshi,	হাসি,	হাবশী,	
bharadwaj,	ভারাবদাজ,	ভরদ্বাজ,	
anektayi,	আনেকটাই,	অনেকটাই,	
mmadhukkori,	মাধুকুরকী,	মাধুকরী,	
ramjaner,	রমজানের,	রমযানের,	
hitakar,	হিতাকার,	হিতকর,	
shuperhero,	সুপেরেরও,	সুপারহিরো,	
dayitwa,	দৈত্ব,	দায়িত্ব,	
azijer,	আজিজের,	আজিজের,	
gotibegey,	গতিবেগে,	গতিবেগে,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
prothakey,	প্রথাকে,	প্রথাকে,	
sangrahok,	সংগ্রাহক,	সংগ্রাহক,	
jor,	জোর,	জ্বর,	
lyand,	ল্যান্ড,	ল্যান্ড,	
ovishangsan,	অভিশাংশন,	অভিশংসন,	
janatey,	জানাতে,	জানাতে,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
gorrer,	গরের,	গোরের,	
ashonkai,	আশনকাই,	আশঙ্কাই,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
kampita,	কম্পিত,	কম্পিত,	
kormokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
kaalniir,	কা্নীর,	কালনীর,	
asavyo,	অসভ্য,	অসভ্য,	
homske,	হোমকে,	হোমসকে,	
pushteer,	পুষ্টির,	পুষ্টির,	
jarusalema,	জরুসলেমা,	জেরুসালেম,	
dee,	দি,	ডে,	
hijrite,	হিজরিতে,	হিজরীতে,	
goonoman,	গুণমান,	গুণমান,	
sanatoni,	সনাটননী,	সনাতনী,	
satarkota,	সতার্কতা,	সতর্কতা,	
lobbyte,	লবিটে,	লবিতে,	
baaraak,	বারাক,	বারাক,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
garur,	গরুর,	গরুর,	
kinto,	কিন্ত,	কিনত,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
pubancholer,	পুবাঞ্চলের,	পূর্বাঞ্চলের,	
kingdom,	কিংডডম,	কিংডম,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
chaktir,	চক্তির,	চাকতির,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
mousumer,	মৌসুমের,	মৌসুমের,	
taruner,	তরুণের,	তরুণের,	
par,	পার,	পাব,	
tyunar,	টুনার,	টিউনার,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
prakar,	প্রকার,	প্রকার,	
bhaibon,	ভাইবন,	ভাইবোন,	
chhutochhuti,	ছুটোচুটি,	ছুটোছুটি,	
olpoi,	অল্পই,	অল্পই,	
nodigulo,	নদীগুলো,	নদীগুলো,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
sainyara,	সৈন্যরা,	সৈন্যরা,	
sanaktakaroner,	সনক্তকরণের,	সনাক্তকরণের,	
yukeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
onkeeta,	অংকেতা,	অঙ্কিতা,	
shayetana,	সয়েটন,	শয়তান,	
johns,	জনস,	জন্স,	
cheef,	চীফ,	শেফ,	
