steitt,	স্টেট,	স্টেইট,	
kyatagorir,	ক্যাতগরীর,	ক্যাটাগরির,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
kul,	কুলু,	কুল,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
kk,	কেক,	কেকে,	
dhhabi,	ঢবি,	ঢাবি,	
gore,	গরে,	গোর,	
bechaa,	বেচা,	বেচা,	
choopi,	চুপি,	চুপি,	
bo,	বি,	বু,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
vezano,	ভেজান,	ভেজানো,	
ghateer,	ঘটির,	ঘাটির,	
jakrit,	যকৃত,	যকৃৎ,	
agamaner,	আগমনের,	আগমনের,	
vagadada,	ভাগাদাদ,	বাগদাদ,	
sattoki,	সত্যকী,	সাত্যকি,	
zerusalemer,	জেরুসোলামের,	জেরুজালেমের,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
khalidke,	খলিদকে,	খালিদকে,	
reejideens,	রেজিদেন্স,	রেসিডেন্স,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
answereer,	আনসারির,	আনসারীর,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
byatari,	ব্যাতারি,	ব্যাটারী,	
parther,	প্যারথের,	পার্থের,	
favourite,	ফৌওরিতে,	ফেভারিট,	
nathivookta,	নথিওযুক্ত,	নথিভুক্ত,	
surokarder,	সুরকরকদের,	সুরকারদের,	
parisankhyanbid,	পরিষ্খান্্বিদী,	পরিসংখ্যানবিদ,	
overveu,	অভারভূ,	ওভারভিউ,	
phaqsa,	ফক্স,	ফক্স,	
gonona,	গণনা,	গননা,	
oojbekistan,	উজবেকষিষ্তান,	উজবেকিস্তান,	
mozlishpoor,	মজিলসপুর,	মজলিশপুর,	
towbar,	তববার,	তওবার,	
obosane,	অবসানে,	অবসানে,	
grameroi,	গ্রামেরই,	গ্রামেরই,	
shikhechi,	শিখেছি,	শিখেছি,	
juktorastroshoho,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
bipojjonok,	বিপ্জজকনক,	বিপজ্জনক,	
amarjita,	অমর্জিত,	অমার্জিত,	
mase,	মেস,	মাসে,	
seet,	সেট,	সিট,	
nirabata,	নীরবতা,	নিরবতা,	
fanse,	ফাঁসে,	ফাঁসে,	
mmadhobbir,	মাধব্যবীর,	মাধবীর,	
barnis,	বার্নিস,	বার্নিশ,	
aksathe,	একসাথে,	একসাথে,	
tarbiner,	তারবাইনের,	টারবাইনের,	
pachak,	পাঁচক,	পাচক,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
istoniya,	ইস্টোনেসিয়া,	এস্তোনিয়া,	
tuku,	টুকু,	টুকু,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
siramiks,	সিরামিক্স,	সিরামিকস,	
institutioner,	ইন্সটিটিউশনের,	ইনস্টিটিউশনের,	
ivir,	আইভির,	এভার,	
khuni,	খুনি,	খুনি,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
venkotesh,	ভেঙককেট,	ভেঙ্কটেশ,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
taki,	তাককি,	তকি,	
machsaho,	মাসাহ,	মাছসহ,	
mittrota,	মিত্রোতা,	মিত্রতা,	
chalachchitrai,	চলচিত্রেই,	চলচ্চিত্রই,	
deily,	ডিলি,	ডেইলি,	
jawhar,	জওহর,	জহর,	
grambaaseer,	গ্র্বামাসীর,	গ্রামবাসীর,	
maudelti,	মুদলিটি,	মডেলটি,	
modeley,	মোদেলে,	মডেলে,	
mmehonoti,	মেহনাতি,	মেহনতি,	
bongraam,	বংগারাম,	বনগ্রাম,	
serverty,	সারবার্তি,	সার্ভারটি,	
lobbytey,	লবিবে,	লবিতে,	
sammatir,	সম্তার,	সম্মতির,	
auttacharer,	অত্চারারের,	অত্যাচারের,	
firoj,	ফিরোজ,	ফিরোজ,	
randeep,	রন্ডিপ,	রণদীপ,	
itemer,	ইতেমের,	আইটেমের,	
selim,	সিলিম,	সেলিম,	
deambakriti,	ডিম্বাকৃটি,	ডিম্বাকৃতি,	
sachetanatamulok,	সচরতনাথমূলক,	সচেতনতামূলক,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
meghe,	মেঘে,	মেঘে,	
upcharzo,	উপচার্য,	উপাচার্য,	
sangosthaner,	সংগঠনার,	সংস্থানের,	
shkarta,	স্কার্ট,	স্কার্ট,	
iyaqa,	ইয়োক,	ইয়াক,	
stonaheenja,	স্তনানহয,	স্টোনহেঞ্জ,	
asabhya,	অসভ্য,	অসভ্য,	
pachchen,	পাঁচেন,	পাচ্ছেন,	
idipasha,	ইডিপস,	ইডিপাস,	
longhon,	লংঘন,	লংঘন,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
badhadan,	বাধাদান,	বাধাদান,	
karlo,	কারো,	কার্লো,	
graambaasir,	গ্র্মাসার,	গ্রামবাসীর,	
plater,	প্লেটের,	প্লেটের,	
kkunti,	কুন্তি,	কুন্তী,	
loukeek,	লৌকিক,	লৌকিক,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
aaminaar,	আমিনার,	আমিনার,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
tochhnoch,	তচ্ছচ,	তছনছ,	
rushad,	রুষদ,	রুশদ,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
dee,	ডি,	ডে,	
bagichar,	বাগিচার,	বাগিচার,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
antarctikar,	অন্টর্টক্টির,	অ্যান্টার্কটিকার,	
shit,	সিট,	শীত,	
august,	আগাসট,	আগষ্ট,	
titlee,	টিটল,	টাইটেল,	
alauler,	অলাউলের,	আলাওলের,	
folo,	ফলও,	পোলো,	
panni,	পননি,	পন্নী,	
ekroop,	একরুপ,	একরূপ,	
charukala,	চারুকালা,	চারুকলা,	
gotirodh,	গতিরোধ,	গতিরোধ,	
armstranj,	আর্মস্তার,	আর্মস্ট্রং,	
jotinke,	জ্যোতিনকে,	যতীনকে,	
chalachchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
armstronz,	আর্মস্পোর,	আর্মস্ট্রং,	
kadom,	কাদম,	কদম,	
gonohotyar,	গণহোত্যর,	গণহত্যার,	
omarjito,	অমর্জিত,	অমার্জিত,	
hoila,	হইল,	হইল,	
samanwitobhabe,	সমানভূত্তভাবে,	সমন্বিতভাবে,	
pronoti,	প্রণতি,	প্রণতি,	
skarrt,	স্কার্ট,	স্কার্ট,	
jesha,	যেস,	জেস,	
ayadabhanshada,	অ্যাডভান্ডা,	অ্যাডভান্সড,	
ishton,	ইস্টন,	স্টোন,	
dam,	দাম,	ডং,	
antarvuktimulok,	অন্তর্বৃূলকিতভ,	অন্তর্ভুক্তিমূলক,	
parser,	পারসের,	পার্শ্বের,	
resorte,	রিসোর্টে,	রিসোর্টে,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
vange,	ভঙ্গে,	ভাঙ্গে,	
prema,	প্রেম,	প্রাইম,	
transapharma,	ট্রান্সফোর্স,	ট্রান্সফর্ম,	
mukkho,	মূক্ষ,	মুখ্য,	
kuhelika,	কুলেলিকা,	কুহেলিকা,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
desiseyer,	ডেসিসি,	ডিজিজের,	
phormat,	ফরমাট,	ফরম্যাট,	
aaireesh,	আইরিশ,	আইরিস,	
gitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
evaner,	ইভানের,	ইভানের,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
goonoman,	গুণমান,	গুণমান,	
timur,	তিমুর,	তিমুর,	
talaa,	তালা,	তালা,	
shhkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
brindaa,	বৃর্ণ্ড,	বৃন্দা,	
poper,	পপার,	পোপের,	
yoneetey,	যোনিতে,	যোনীতে,	
sahajlabhbhatar,	সহজভলভার,	সহজলভ্যতার,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
swartho,	স্বর্থ,	স্বার্থ,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
bonovumi,	বনভূমি,	বনভূমি,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
shorifer,	শরীফের,	শরিফের,	
shosha,	শোষা,	শশা,	
shho,	শো,	শো,	
provuder,	প্রভুদের,	প্রভুদের,	
qarima,	করিমা,	করিম,	
aro,	আরো,	আরও,	
bhejaano,	ভেজান,	ভেজানো,	
lombatey,	লম্বাতে,	লম্বাটে,	
kisti,	কিস্টি,	কিস্তি,	
nischoy,	নিশ্চ্যে,	নিশ্চয়,	
dojo,	দজও,	ডোজো,	
sip,	সিপ,	শিপ,	
agomonke,	আগমনকে,	আগমনকে,	
mookhomaundoley,	মুখমন্ডলী,	মুখমণ্ডলে,	
opadan,	অপদান,	অপাদান,	
graambaasio,	গ্র্মাবাসও,	গ্রামবাসীও,	
cholesi,	কলেসি,	চলেছি,	
shource,	সার্স,	সোর্স,	
koilas,	কৈলাস,	কৈলাস,	
chalochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
lag,	লাগ,	লগ,	
proteemar,	প্রতিমার,	প্রতিমার,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
forider,	ফরিদের,	ফরিদের,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
dharavashyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
protijogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
gyate,	জ্ঞাতে,	গ্যেটে,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
inphormation,	ইনফরসমেশন,	ইনফরমেশন,	
bahaati,	বাহাটি,	বাহাতি,	
modelling,	মোদালিং,	মডেলিং,	
cyanide,	চ্যানিডে,	সায়ানাইড,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
eksathei,	একসাথে,	একসাথেই,	
nirapattamulak,	নিরপত্মলতক,	নিরাপত্তামূলক,	
inashtyanta,	ইনস্টাননা,	ইনস্ট্যান্ট,	
hondurus,	হনন্ডুরুস,	হন্ডুরাস,	
hoteeltite,	হটেলটিতে,	হোটেলটিতে,	
mit,	মিট,	এমআইটি,	
irana,	আইরন,	ইরান,	
onchalti,	অঞ্চলতি,	অঞ্চলটি,	
twoei,	তুই,	ত্বকেই,	
ajeem,	আজিম,	আজিম,	
bipojjanak,	বিপদজ্জনক,	বিপজ্জনক,	
aastikotaa,	অস্তিক্যটা,	আস্তিকতা,	
shiramiksh,	সিরামিক্স,	সিরামিকস,	
octane,	অক্ানন,	অকটেন,	
foolkopi,	ফুলকপি,	ফুলকপি,	
dajjha,	দাজা,	দাহ্য,	
charjer,	চারজর,	চার্জার,	
bhowanipur,	ভভানীপুর,	ভবানীপুর,	
pravura,	প্রভূর,	প্রভুরা,	
chhotogalper,	ছোটোগলপের,	ছোটগল্পের,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
soholovyotar,	সহলভোযাার,	সহজলভ্যতার,	
vaphara,	ওয়ারা,	বাফার,	
thaii,	থাই,	থাই,	
deeputy,	দিপুটি,	ডেপুটি,	
shaarthe,	সার্থে,	স্বার্থে,	
hiushtoner,	হিস্টুনের,	হিউস্টনের,	
sachetonvabe,	সচরেতনভাবে,	সচেতনভাবে,	
haridware,	হারিদ্য়ার,	হরিদ্বারে,	
ishan,	ঈসান,	ঈশান,	
kumari,	কুমারী,	কুমারী,	
ishter,	ইস্টার,	ইস্টের,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
rohosyor,	রহস্য্র,	রহস্যর,	
boarana,	বোরান,	বোরন,	
shuknaa,	শুকনা,	শুকনা,	
naaji,	নাজি,	নাত্সি,	
dibaag,	দিবাগ,	ডিবাগ,	
elakaate,	এলাকাতে,	এলাকাতে,	
