sina,	সিন,	সিনা,	
jyoistho,	যৈস্থ,	জ্যৈষ্ঠ,	
musalmanyi,	মুসল্মনী,	মুসলমানই,	
monzhostho,	মঞ্চস্থ,	মঞ্চস্থ,	
prrajanankaal,	প্রজানকলান,	প্রজননকাল,	
shomratder,	সম্তারদের,	সম্রাটদের,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
deliwer,	ডেলিভের,	ডেলিভার,	
dibating,	ডিবেটিং,	ডিবেটিং,	
hundai,	হুন্দে,	হুন্দাই,	
akritakarja,	আক্রিকর্তা,	অকৃতকার্য,	
akhando,	আখান্দ,	অখন্ড,	
tafsir,	তফসির,	তাফসীর,	
komaatei,	কমাতেই,	কমাতেই,	
phirati,	ফিরতি,	ফিরতি,	
shaushage,	সাসগে,	সসেজ,	
cannel,	ক্যানেল,	ক্যানেল,	
nirapekkhotar,	নিরপকক্ষতার,	নিরপেক্ষতার,	
jamkalo,	জমকালো,	জমকালো,	
naazee,	নজজী,	নাত্সি,	
pacbar,	পাবার,	পাঁচবার,	
gonosakkhorota,	গণসক্ষারতা,	গণসাক্ষরতা,	
taholo,	তহলল,	তাহলো,	
mehonnotee,	মেহনন্তি,	মেহনতি,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
firoza,	ফিরোজ,	ফিরোজা,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
artilery,	আর্টিলির,	আর্টিলারি,	
foxcon,	ফক্সন,	ফক্সকন,	
foks,	ফক্স,	ফক্স,	
breil,	ব্রেইল,	ব্রেইল,	
shomoshto,	শমস্ত,	সমস্ত,	
benis,	বেনিস,	ভেনিস,	
songkolonti,	সংকল্পনি,	সংকলনটি,	
ruplal,	রূপোাল,	রূপলাল,	
babylon,	বাবলিন,	ব্যাবিলন,	
sahopathike,	সহপাঁথীকে,	সহপাঠীকে,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
khude,	খুদে,	ক্ষুদে,	
nagarikera,	নগরীকেরা,	নাগরিকেরা,	
pest,	পেস্ট,	পেষ্ট,	
keu,	কিউ,	কেউ,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
photanor,	ফোটানোর,	ফোটানোর,	
prabhura,	প্রভার,	প্রভুরা,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
bongshokey,	বংশকে,	বংশকে,	
zerusalemer,	জেরুশালামের,	জেরুজালেমের,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
bajite,	বাজিতে,	বাজিতে,	
iqbalke,	একফকে,	ইকবালকে,	
safalyer,	সফললযার,	সাফল্যের,	
artherer,	অর্থারের,	আর্থারের,	
booroon,	বুরুন,	বোরন,	
bodhir,	বধির,	বধির,	
miracle,	মিরাকল,	মিরাকেল,	
agomonke,	অগমনকে,	আগমনকে,	
dines,	ডাইন্স,	দীনেশ,	
graambaasi,	গ্রামাবাসী,	গ্রামবাসী,	
bollov,	বললা,	বল্লভ,	
shodhan,	শোধন,	শোধন,	
nikat,	নিকট,	নিকট,	
seramiqs,	সেরাইমিস,	সিরামিকস,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
shikare,	শিকারে,	শিকারে,	
charjara,	চার্যার,	চার্জার,	
khalid,	খালীদ,	খালিদ,	
gonoporeebohon,	গণপরিবহণ,	গণপরিবহন,	
male,	মেল,	মালে,	
bizito,	বিজিত,	বিজিত,	
asociates,	অ্যাসিসিয়েস,	এসোসিয়েটস,	
eshokol,	এসকল,	এসকল,	
aagom,	আগম,	আগম,	
chotogolpe,	চটোগল্পে,	ছোটগল্পে,	
saleha,	সালেহ,	সালেহা,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
dharer,	ধারের,	ধরের,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
pillai,	পিলই,	পিল্লাই,	
sarbharti,	সার্ভারটি,	সার্ভারটি,	
thaii,	থাই,	থাই,	
pratimar,	প্রতিমার,	প্রতিমার,	
naabyota,	নাব্যতা,	নাব্যতা,	
khelafate,	খেলাফাতে,	খেলাফতে,	
nicqel,	নিকেল,	নিকেল,	
objarvar,	অব্যবার,	অবজার্ভার,	
bitloser,	বিতলসের,	বিটলসের,	
siddhantogulo,	সিব্ধ্যনগুলো,	সিদ্ধান্তগুলো,	
atyachari,	আত্যাচারী,	অত্যাচারী,	
fostar,	ফোস্টার,	ফস্টার,	
shhikar,	শিকার,	শিকার,	
tistaar,	টিস্টার,	তিস্তার,	
lakkhero,	লক্ষ্রেরও,	লক্ষেরও,	
asammati,	আসামতি,	অসম্মতি,	
kaas,	কাস,	কাস,	
khaambaa,	খাম্বা,	খাম্বা,	
chhatoke,	ছোটকে,	ছাতকে,	
ponthar,	পন্থার,	পন্থার,	
bedkey,	বেদকে,	বেদকে,	
khali,	খালী,	খালি,	
ssahosikotar,	সাহিসকতির,	সাহসিকতার,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
kaatbey,	কাটবে,	কাটবে,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
benke,	বেঁকে,	বেঁকে,	
relance,	রেলেন্স,	রিলায়েন্স,	
timothy,	তিমথি,	টিমোথি,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
prithibir,	পৃথিবীর,	পৃথবীর,	
shten,	স্টেন,	স্টেন,	
krantee,	ক্রান্তি,	ক্রান্তি,	
sunagarik,	সুনাগািক,	সুনাগরিক,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
jerokom,	জেরকম,	যেরকম,	
janmat,	জন্মাত,	জন্মাত,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
ganoparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
chomski,	চম্মকী,	চমস্কি,	
palbongser,	পালবব্ষের,	পালবংশের,	
ship,	শিপ,	শিপ,	
koordira,	কুর্দিরা,	কুর্দিরা,	
gejeted,	গেজেটদ,	গেজেটেড,	
postay,	পোস্টা,	পোষ্টে,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
anhu,	অনুহ,	আনহু,	
hajartee,	হারাটি,	হাজারটি,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
through,	থোরুঘ,	থ্রু,	
niro,	নিরো,	নির,	
phix,	ফিক্স,	ফিক্স,	
estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
arasie,	আরসাই,	আরসিএ,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
jokrit,	যকৃত,	যকৃৎ,	
mane,	ম্যানে,	মানে,	
marekting,	ম্যাকেটাং,	মার্কেটিং,	
sangbadmadhyamer,	সংবদমমধ্যমের,	সংবাদমাধ্যমের,	
hul,	হুল,	হুল,	
ajeem,	আজিম,	আজিম,	
bikaargrasto,	বিকর্গস্র্ত,	বিকারগ্রস্ত,	
wictor,	ভিক্টোর,	ভিক্টর,	
jones,	জোনস,	জোন্স,	
ispredsheet,	ইস্প্রেসেট,	স্প্রেডশীট,	
praapoker,	প্রাপকের,	প্রাপকের,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
ganaporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
sorjur,	সর্জুর,	সরযূর,	
nikela,	নিকেল,	নিকেল,	
ishpredshhit,	সা্পৃরেসিত,	স্প্রেডশীট,	
muktume,	মুকতুমে,	মাকতুম,	
dadaa,	ডোড,	দাদা,	
piora,	পিয়ার,	পিওর,	
thanvee,	থাঁবে,	থানভী,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
somonwitobhabey,	সমম্ভভিতভাবে,	সমন্বিতভাবে,	
kathhmandute,	কাঠান্দুতে,	কাঠমান্ডুতে,	
russad,	রুশোদা,	রুশদ,	
elakatikay,	এলাকাতিকে,	এলাকাটিকে,	
taimash,	তৈমাস,	টাইমস্,	
graambaasider,	গ্রামবাসাইদের,	গ্রামবাসীদের,	
mohibur,	মহিবুর,	মহিবুর,	
cholochchitrotike,	চলচিত্রকারিকে,	চলচ্চিত্রটিকে,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
boponer,	বপনের,	বপনের,	
pingnaa,	পিঙ্গা,	পিংনা,	
daakticket,	ডাকতিকেট,	ডাকটিকিট,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
ramonar,	রমনার,	রমনার,	
dharabahikti,	ধারাবাহিক্তি,	ধারাবাহিকটি,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
obie,	ওয়েবি,	ওবিই,	
gononanatyo,	গণজনত্্য,	গণনাট্য,	
changee,	চঙ্গি,	চেঞ্জ,	
soomee,	সুমি,	সুমি,	
brindaboner,	বৃর্নবানের,	বৃন্দাবনের,	
prabhuder,	প্রভাদের,	প্রভুদের,	
atyacharita,	অত্যাচরিত,	অত্যাচারিত,	
advanshd,	অ্যাডভোন্ড,	অ্যাডভান্সড,	
aholyar,	আহলার,	অহল্যার,	
gaichey,	গাইছে,	গাইছে,	
muchi,	মুচি,	মুচি,	
kaptai,	কপটটাই,	কাপ্তাই,	
shayanaida,	সায়েনাড,	সায়ানাইড,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
shakara,	শককারা,	সাকার,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
gananatya,	গণজাত্য,	গণনাট্য,	
proshtotto,	প্রস্তত্ত,	প্রস্ত্তত,	
window,	উইন্দো,	উইন্ডো,	
fiksing,	ফিকসিং,	ফিক্সিং,	
vvimsenn,	ভীজমেন,	ভীমসেন,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
blagarara,	ব্লগারার,	ব্লগাররা,	
tongaa,	তঙ্গা,	টোঙ্গা,	
vugol,	ভুগল,	ভূগোল,	
pirujali,	পিরুজলী,	পিরুজালী,	
faridi,	ফররদি,	ফরিদী,	
fanse,	ফাঁস,	ফাঁসে,	
paramartha,	পররমর্থ,	পরমার্থ,	
amarjita,	আমর্জিত,	অমার্জিত,	
sachetanatamulak,	সচ্চুতামূলক,	সচেতনতামূলক,	
sarollo,	সরললয,	সারল্য,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
mozlis,	মজলিস,	মজলিশ,	
chalai,	চালাই,	চালাবে,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
meg,	মেইগ,	মেগ,	
ammor,	অমযামর,	আমর,	
ajimke,	আজিমকে,	আজিমকে,	
bikargrasta,	বিকর্গস্র্ত,	বিকারগ্রস্ত,	
uindoos,	উইন্ডুস,	উইন্ডোস,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
mekon,	ম্যাকন,	মেকং,	
shhayatana,	শ্যাটান,	শয়তান,	
upobasee,	উপবাসী,	উপবাসী,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
safin,	শাফিন,	সাফিন,	
behramporer,	বেহরামপুরের,	বহরমপুরের,	
jatook,	জাতুক,	জাতক,	
chorchita,	চর্চিত,	চর্চিত,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
jubokti,	যুবক্তি,	যুবকটি,	
banshite,	বাঁশিতে,	বাঁশিতে,	
onkush,	অঙ্কুশ,	অংকুশ,	
messenger,	মেশেঙ্গের,	মেসেঞ্জার,	
netherlande,	নেরারল্যান্ডে,	নেদারল্যান্ডে,	
adwanced,	অ্যাডভানেড,	অ্যাডভান্সড,	
thakey,	থাকে,	থাকে,	
masharraf,	মাশররফ,	মশাররফ,	
herisoner,	হিরিশনের,	হ্যারিসনের,	
bage,	বেগে,	বাগে,	
karam,	কারাম,	কেরাম,	
freedom,	ফ্রিডম,	ফ্রীডম,	
saahocorrze,	সাহচর্যে,	সাহচর্যে,	
utkhaat,	উৎকথাট,	উত্খাত,	
asovo,	অসভ,	অসভ্য,	
thailandsoho,	থৈইনাংশ,	থাইল্যান্ডসহ,	
crescent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
nodiigulo,	নদীগুলো,	নদীগুলো,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
