inapharameshana,	ইনফারসমেশন,	ইনফরমেশন,	
prakalpogulor,	প্রকললপুগোরো,	প্রকল্পগুলোর,	
sawam,	সাওম,	সাওম,	
hajat,	হজাত,	হজত,	
siqhar,	শিখার,	শিকার,	
oviyojan,	অভিযোজন,	অভিযোজন,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
anurbor,	অনূর্বর,	অনুর্বর,	
olangkoron,	অলংকরণ,	অলঙ্করণ,	
miley,	মিলে,	মিলে,	
jeten,	যেটেন,	যেতেন,	
bhyaatikaner,	ভ্যাতকিনের,	ভ্যাটিকানের,	
bachaikrito,	বাচাকৃত,	বাছাইকৃত,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
loukik,	লৌকিক,	লৌকিক,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
prostutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
naajee,	নাজি,	নাত্সি,	
hajjirhat,	হজজীরহাট,	হাজিরহাট,	
taala,	তালা,	তালা,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
heeavy,	হেভি,	হেভি,	
mach,	ম্যাচ,	মাছ,	
chalkee,	চলকে,	চালকে,	
eevil,	এভিল,	ইভিল,	
shikshakder,	শিক্ষাদকের,	শিক্ষকদের,	
tanight,	টানাইট,	টুনাইট,	
aarke,	আরকে,	আরকে,	
bodka,	বদকা,	ভদকা,	
sanbadmadhyamgulote,	সংবাদসমগ্লোতে,	সংবাদমাধ্যমগুলোতে,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
di,	দি,	দিই,	
solil,	সললি,	সলিল,	
dover,	দোবের,	ডোভার,	
mekon,	মেকন,	মেকং,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
gunjey,	গুঞজে,	গুঁজে,	
jworer,	জ্বরের,	জ্বরের,	
conshervation,	কনসারেভেশন,	কনসারভেশন,	
elaakati,	এলাকাটি,	এলাকাটি,	
bidghute,	বিদ্ঘতে,	বিদঘুটে,	
jatinkey,	জাতিনকে,	যতীনকে,	
hoeel,	হইল,	হইল,	
eparjonta,	এপার্যন্টা,	এপর্যন্ত,	
venkotesh,	বেকনটেস,	ভেঙ্কটেশ,	
jolbe,	জলবে,	জ্বলবে,	
vange,	ভঙ্গে,	ভাঙ্গে,	
sotorkota,	সতর্কটা,	সতর্কতা,	
billaho,	বিললহ,	বিল্লাহ,	
norton,	নর্তন,	নর্টন,	
manohputa,	মনোপুত্ব,	মনঃপুত,	
saarbhare,	সারভারে,	সার্ভারে,	
jonomukhi,	জনমমুখী,	জনমুখী,	
ongkita,	অঙ্কিত,	অঙ্কিতা,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
ameettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
nagorikera,	নাগরিকেরা,	নাগরিকেরা,	
chalke,	চলকে,	চালকে,	
shitei,	শিটেই,	শীতেই,	
kormoke,	কর্মকে,	কর্মকে,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
direectoratee,	ডিরেক্টরাট,	ডিরেক্টরেট,	
gaddafi,	গাদ্দাফী,	গাদ্দাফী,	
sacheton,	স্যােটন,	সচেতন,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
bachchan,	বাচ্ছন,	বচ্চন,	
deep,	ডীপ,	দীপ,	
jivjontu,	জীবজন্তু,	জীবজন্তু,	
shorif,	শরীফ,	শরিফ,	
proo,	প্রু,	প্রো,	
state,	স্টেট,	স্টেইট,	
shukranu,	শুক্রাণু,	শুক্রানু,	
edaning,	এডানিং,	ইদানীং,	
abosane,	অবসানে,	অবসানে,	
jahor,	জহর,	জহর,	
banduk,	বন্দুক,	বন্দুক,	
uporitole,	উপরিটলে,	উপরিতলে,	
shtone,	স্টনে,	স্টোন,	
kolkarkhana,	কলকর্ষনা,	কলকারখানা,	
nikoter,	নিকটের,	নিকটের,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
shatokei,	সতকেই,	শতকেই,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
vorodwaj,	ভদররভাজ,	ভরদ্বাজ,	
prokalpagulo,	প্রকললপগুলো,	প্রকল্পগুলো,	
kushomva,	কুসম্ভ,	কুশুম্বা,	
tahalo,	তাহাল,	তাহলো,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
avisongson,	অভিসংসন,	অভিশংসন,	
ganoporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
haipara,	হাইপের,	হাইপার,	
ship,	শীপ,	শিপ,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
ajeem,	আজিম,	আজিম,	
shektara,	সেক্টর,	সেক্টর,	
chhattroraai,	ছাত্রইেই,	ছাত্ররাই,	
beetlaser,	বিটলাসের,	বিটলসের,	
abasare,	অবসারে,	অবসরে,	
jyesttha,	জ্যেস্থা,	জ্যেষ্ঠা,	
lutheran,	লুথারান,	লুথেরান,	
cs,	সিএসি,	সিএস,	
shodhon,	সোধন,	শোধন,	
bagichar,	বাগিছার,	বাগিচার,	
hamburge,	হ্যামবার্গে,	হামবুর্গে,	
manikyo,	মাণিক্য,	মানিক্য,	
sontoshpur,	সন্তুষ্পুর,	সন্তোষপুর,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
antarbhuktimulak,	অন্তর্ভূতিমূলক,	অন্তর্ভুক্তিমূলক,	
saahosikotar,	সহস্বিকতার,	সাহসিকতার,	
jes,	জেস,	জেস,	
sikar,	সিকার,	শিকার,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
sainyasoho,	সৈন্যাসহ,	সৈন্যসহ,	
chandrima,	চান্দ্রিম,	চন্দ্রিমা,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
chalesi,	চলেলি,	চলেছি,	
motabolombiira,	মতাাবলম্বীরা,	মতাবলম্বীরা,	
haitasha,	হাতশ,	হাইটস,	
abarto,	আবর্ত,	আবর্ত,	
gorib,	গরীব,	গরিব,	
qinsa,	কিন্স,	কিংস,	
akkaas,	অকযাকাস,	আককাস,	
swapod,	স্বপদ,	শ্বাপদ,	
kraantikaale,	ক্রাণ্টিকালে,	ক্রান্তিকালে,	
saazanor,	সাজানোর,	সাজানোর,	
chaudhuriyo,	চৌধুরিয,	চৌধুরীও,	
siramiker,	সিরামিকের,	সিরামিকের,	
potthon,	পঠ্ন,	পঠন,	
bhartuky,	ভার্টুকি,	ভর্তুকি,	
deenes,	ডিনেস,	দীনেশ,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
asociatees,	অসযাকেটিয়েস,	এসোসিয়েটস,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
panni,	পাননি,	পন্নী,	
shaleha,	সালেহ,	সালেহা,	
jinsa,	জিনস,	জিন্স,	
janoganonar,	জনগণনার,	জনগণনার,	
hepatitish,	হেপাটিটিস,	হেপাটাইটিস,	
tetela,	টেটেল,	টাইটেল,	
karmakandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
qibord,	কিবোর্ড,	কীবোর্ড,	
aashok,	আশোক,	আশোক,	
elaakao,	এলাকাও,	এলাকাও,	
sahozlabhbhatar,	সহজলভভাবার,	সহজলভ্যতার,	
bhogno,	ভগ্ন,	ভগ্ন,	
sulfatee,	সালফাটি,	সালফেট,	
chapal,	চাপাল,	চপল,	
sobrakomer,	সবরক্মমের,	সবরকমের,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
chhootochhuti,	ছোটোচটি,	ছুটোছুটি,	
shaarthe,	সার্থে,	স্বার্থে,	
shaahaab,	সাহাব,	সাহাব,	
alaul,	আলল,	আলাওল,	
nartana,	নর্টনা,	নর্টন,	
byepass,	ব্যাপস,	বাইপাস,	
ishtone,	ইস্টনে,	স্টোন,	
cilahati,	চিলাহাটি,	চিলাহাটি,	
adhunikkaley,	আধুনিকালে,	আধুনিককালে,	
netions,	নেযাননস,	নেশনস,	
osommotite,	অসম্তিতে,	অসম্মতি,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
nongra,	নংররা,	নোংরা,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
rijur,	রিজুর,	রিজুর,	
shangkalone,	সংক্যালনে,	সংকলনে,	
chatrorai,	ছাত্রইেই,	ছাত্ররাই,	
bolechile,	বলেছিলে,	বলেছিলে,	
selinar,	সেলিনার,	সেলিনার,	
allubokhara,	অল্লবভারা,	আলুবোখারা,	
patthkrom,	পাঠ্যক্রম,	পাঠক্রম,	
ewil,	এভিল,	ইভিল,	
gosthii,	গষ্ঠী,	গোষ্ঠীই,	
dhhaabi,	দ্ববী,	ঢাবি,	
oboshorer,	অবশরের,	অবসরের,	
aamoode,	আমুদে,	আমুদে,	
baet,	ব্যাট,	বাইট,	
naitikatavodh,	নৈতিক্যবাধ,	নৈতিকতাবোধ,	
valobasa,	ভালবাসা,	ভালোবাসা,	
panera,	পানেরা,	পনের,	
kaaleo,	কালেও,	কালেও,	
jonesh,	জোনেস,	জোন্স,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
akhhunno,	অখ্ুন্ন,	অক্ষুণ্ণ,	
manushera,	মনুষেরা,	মানুষেরা,	
gripe,	গ্রীপে,	গ্রিপ,	
ekghare,	একঘারে,	একঘরে,	
volapuq,	ভলাপাক,	ভোলাপুক,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
barbadoj,	বারবাডোজ,	বার্বাডোজ,	
shiqar,	শিকার,	শিকার,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
upobasi,	উপবাসী,	উপবাসী,	
bujhechhilo,	বুঝেছেল,	বুঝেছিল,	
dhas,	ধাস,	ধস,	
karadander,	কারাদন্ডের,	কারাদণ্ডের,	
mit,	মিট,	এমআইটি,	
chorchito,	চর্চিত,	চর্চিত,	
jyaqa,	জ্যাক,	জ্যাক,	
reno,	রেন,	রেনো,	
aper,	আপের,	আপের,	
titlee,	টিটলি,	টাইটেল,	
gemske,	গেম্সকে,	জেমসকে,	
iash,	আয়াশ,	আইএএস,	
mozlis,	মজলিস,	মজলিশ,	
bike,	বিকে,	বাইক,	
mehonnotee,	মেহনন্তি,	মেহনতি,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
sthapanagulor,	শ্থাপানগুলোর,	স্থাপনাগুলোর,	
poper,	পপার,	পোপের,	
korleo,	করলেও,	করলেও,	
carloos,	কার্লস,	কার্লোস,	
vabuk,	ভাবুক,	ভাবুক,	
bhoolapuka,	ভূলপপাকা,	ভোলাপুক,	
shenior,	সেনিয়ার,	সিনিয়র,	
informeshon,	ইনফ্রমেশন,	ইনফরমেশন,	
karecho,	করেছো,	করেছ,	
marmaraa,	মার্মার,	মারমারা,	
karam,	করাম,	কেরাম,	
madol,	মদল,	মাদল,	
wishnu,	বিষ্ণু,	বিষ্ণু,	
eexpreession,	ইক্সপ্রেশন,	এক্সপ্রেশন,	
nogorey,	নগরে,	নগরে,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
parswer,	পারস্বের,	পার্শ্বের,	
nabom,	নবম,	নবম,	
okritokarjo,	অক্তিকর্য,	অকৃতকার্য,	
beshirbhageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
nopdnodir,	নন্দোনির,	নদনদীর,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
nochiketa,	নচিকিতা,	নচিকেতা,	
vaabna,	ভাবনা,	ভাবনা,	
shotokeo,	শতকেও,	শতকেও,	
chalochchitrogulor,	চলচ্তিগ্রভুলোর,	চলচ্চিত্রগুলোর,	
bagdady,	বাদদাডি,	বাগদাদী,	
porizon,	পরিজন,	পরিজন,	
plate,	প্লেট,	প্লেট,	
srimati,	শ্রীমতী,	শ্রীমতি,	
shatjon,	শাতজন,	সাতজন,	
kinsha,	কিংস,	কিংস,	
abadamoner,	অবদামনের,	অবদমনের,	
kona,	কোণা,	কণা,	
dokaanei,	দোকানেই,	দোকানেই,	
gemi,	জেমি,	জেমি,	
bongram,	বংগ্রাম,	বনগ্রাম,	
gujober,	গুজবের,	গুজবের,	
