female,	ফেমলে,	ফিমেল,	
abarta,	আবর্ত,	আবর্ত,	
palki,	পালকি,	পাল্কি,	
mmeloborrner,	মেলোবরণের,	মেলবোর্নের,	
batikromshalee,	বাতিক্রসমালী,	ব্যতিক্রমধর্মী,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
marketey,	মার্কেতে,	মার্কেটে,	
romantik,	রোমান্তিক,	রোমান্টিক,	
aairis,	আইরিশ,	আইরিস,	
sahopathike,	সাহপাঠিকে,	সহপাঠীকে,	
lat,	লত,	লাট,	
nursery,	নার্সারি,	নার্সারি,	
khodeja,	খোদেজা,	খোদেজা,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
soasage,	সোসগে,	সসেজ,	
hud,	হাড,	হুড,	
joubanbatee,	যৌবনবতি,	যৌবনবতী,	
prachuryer,	প্রচচ্রের,	প্রাচুর্যের,	
paikar,	পাইকার,	পাইকার,	
shringge,	শৃঙ্গে,	শৃঙ্গে,	
chenja,	চেঞ্জ,	চেঞ্জ,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
hyundai,	হিউন্ডে,	হুন্দাই,	
prakalpati,	প্রকলপতি,	প্রকল্পটি,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
sorbopori,	সর্বপরী,	সর্বোপরী,	
manoharpur,	মনোরপুর,	মনোহরপুর,	
sommoteer,	সম্মতির,	সম্মতির,	
maudelke,	মাউডেলকে,	মডেলকে,	
jamjamat,	জামজমত,	জমজমাট,	
bahyo,	বাহ্য,	বাহ্য,	
breakthraugh,	ব্রেক্থারু,	ব্রেকথ্রু,	
blaker,	ব্লেকার,	ব্ল্যাকের,	
shuri,	শুরি,	সুরি,	
marketing,	মার্কেটিং,	মার্কেটিং,	
hundai,	হান্ডে,	হুন্দাই,	
kaas,	কাশ,	কাস,	
sheepha,	শিফ,	শেফ,	
krush,	ক্রুশ,	ক্রুশ,	
mohasova,	মহাসভা,	মহাসভা,	
megher,	মেঘের,	মেঘের,	
jhalkatthi,	ঝালকঠটি,	ঝালকাঠী,	
rifleksa,	রিফলেক্স,	রিফ্লেক্স,	
jaroori,	জারুরি,	জরূরী,	
probhu,	প্রভূ,	প্রভু,	
zubokti,	যুবকটি,	যুবকটি,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
bhramankale,	ভ্রামণকালে,	ভ্রমণকালে,	
nir,	নির,	নির,	
silbar,	শিলবার,	সিলভার,	
ragke,	রাগকে,	রাগকে,	
otyacharer,	অত্যচারের,	অত্যাচারের,	
ganesh,	গ্নেস,	গণেশ,	
kaande,	কান্ডে,	কাণ্ডে,	
jaanaar,	জানার,	জানার,	
motar,	মোটার,	মুতার,	
aholya,	অহল্য,	অহল্যা,	
seebiai,	সিবিই,	সিবিআই,	
sohojlovyotar,	সহলোোল্যতার,	সহজলভ্যতার,	
kobutorer,	কবুতরের,	কবুতরের,	
trans,	ট্রান্স,	ট্রান্স,	
ajija,	আজিজ,	আজিজা,	
se,	সে,	সে,	
risort,	রিসোর্ট,	রিসোর্ট,	
kyapasula,	ক্যাপাশুলা,	ক্যাপসুল,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
chalachchitroke,	চলচচচ্ত্রীকে,	চলচ্চিত্রকে,	
cooling,	কুলিং,	কুলিং,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
bhenus,	ভেনুস,	ভেনাস,	
jothartho,	যথার্থ,	যথার্থ,	
gunman,	গুণমান,	গুণমান,	
batsmaner,	বাৎসমানের,	ব্যাটসম্যানের,	
abdun,	আবদুন,	আবদুন,	
potengar,	পোটেঙার,	পতেঙ্গার,	
arekdal,	আরেকদল,	আরেকদল,	
mosjidsaho,	মস্জিসহ,	মসজিদসহ,	
uul,	উউল,	উল,	
madhobi,	মধধবী,	মাধবী,	
manohputo,	মননপূত,	মনঃপুত,	
mukkho,	মুক্ষ,	মুখ্য,	
chalche,	চলছে,	চলছে,	
heemi,	হিমি,	হিমি,	
porishkoron,	পরিষ্করণ,	পরিষ্করণ,	
akbakye,	একবকযে,	একবাক্যে,	
ganoporibahaner,	গণপরিবহণের,	গণপরিবহনের,	
maradeha,	মারদেহ,	মরদেহ,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
vejano,	ভেজানো,	ভেজানো,	
falashrutiti,	ফলাশুরটিটি,	ফলশ্রুতি,	
pettern,	পটার্ন,	প্যাটার্ন,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
uthhe,	উঠে,	উঠে,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
harysher,	হারিসের,	হ্যারিসের,	
bhabani,	ভবনী,	ভবানী,	
nikote,	নিকটে,	নিকটে,	
moddhyekar,	মধ্যেকার,	মধ্যেকার,	
mandando,	মন্দন্দ,	মানদণ্ড,	
bulano,	বুলানো,	বুলান,	
durger,	দুর্গের,	দুর্গের,	
bhaangchur,	ভাঁচুর,	ভাংচুর,	
dwipgulote,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
hotodoridro,	হতোদির্র,	হতদরিদ্র,	
durotomm,	দূরতম্ম,	দূরতম,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
kuota,	কোউট,	কোটা,	
ulcer,	উল্সার,	আলসার,	
estaniya,	ইস্টানিয়া,	এস্তোনিয়া,	
kodguli,	কদগুলি,	কোডগুলি,	
bondira,	বন্দীরা,	বন্দীরা,	
shahocharje,	শহচরা্যে,	সাহচর্যে,	
panchbar,	পাঁচবার,	পাঁচবার,	
kool,	কুল,	কুল,	
songastha,	সংস্থা,	সংস্থা,	
songkoloney,	সংকোলনে,	সংকলনে,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
kul,	কুল,	কুল,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
torun,	তরুন,	তরুন,	
jibanto,	জীবন্ত,	জীবন্ত,	
jolatonko,	জলাতনক,	জলাতঙ্ক,	
aminool,	আমিনুল,	আমিনুল,	
jeebonto,	জীবন্ত,	জীবন্ত,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
osamanno,	অসমান্ন,	অসামান্য,	
ejenda,	এজেন্ড,	এজেন্ডা,	
zerusalema,	জেরুসোলেম,	জেরুসালেম,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
fiksim,	ফিক্সিম,	ফিক্সিং,	
tottoraat,	তত্ররাত,	তওরাত,	
paikgachha,	পাইকগছা,	পাইকগাছা,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
judge,	জুজ,	জাজ,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
musolmanera,	মুসলমনারের,	মুসলমানেরা,	
tonu,	তনু,	তনু,	
jacksan,	জক্স,	জ্যাকসন,	
prabhu,	প্রভূ,	প্রভু,	
karmosampadan,	কর্মসম্পান,	কর্মসম্পাদন,	
bem,	বেম,	বিম,	
gabeshanar,	গবেষণার,	গবেষনার,	
jwaluk,	জ্বালুক,	জ্বলুক,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
gabhaskar,	গাভস্কার,	গাভাস্কার,	
korley,	করলে,	করলে,	
uter,	উটের,	উটের,	
adorso,	আদর্শ,	আর্দশ,	
bosantake,	বসন্তকে,	বসন্তকে,	
granthatyke,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
joubonbotee,	যৌবনবতি,	যৌবনবতী,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
mitrao,	মিত্রও,	মিত্রও,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
jahora,	জাহরা,	যাহরা,	
tarunke,	তরুণকে,	তরুণকে,	
dhormi,	ধর্মী,	ধর্মী,	
jounotar,	যৌনতার,	যৌনতার,	
towbaar,	তওবার,	তওবার,	
tader,	তদের,	তদের,	
sorsa,	সর্ষ,	সোর্স,	
srichoitonyodeb,	শ্রীচৈলন্যবে,	শ্রীচৈতন্যদেব,	
kaloniir,	কালনীর,	কালনীর,	
prokalpatikey,	প্রকলপতিকে,	প্রকল্পটিকে,	
bruklin,	ব্রুক্লিং,	ব্রুকলিন,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
kyathalika,	ক্যাথালিকা,	ক্যাথলিক,	
hatochokito,	হতচছিত,	হতচকিত,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
ucchosito,	উচ্চশিত,	উচ্ছসিত,	
eshoshiyetasha,	এসোসিয়েটস,	এসোসিয়েটস,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
homeske,	হোমেশকে,	হোমসকে,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
chhootochhooti,	ছুটছুটি,	ছুটোছুটি,	
hazarer,	হাজারের,	হাজারের,	
enasiyenta,	এনসাইয়েন্ট,	এনসিয়েন্ট,	
stonehenje,	স্টোনেথেয়ে,	স্টোনহেঞ্জ,	
landin,	লন্ডিন,	ল্যান্ডিং,	
tistaar,	টিস্তার,	তিস্তার,	
mataram,	মাতারাম,	মাতরম,	
bai,	বে,	বাঈ,	
tenis,	টেনিস,	টেনিস,	
firoze,	ফিরোজে,	ফিরোজ,	
gujob,	গুজব,	গুজব,	
bharpur,	ভারপুর,	ভরপুর,	
kokein,	কোকেন,	কোকেইন,	
shosha,	শসা,	শশা,	
modhyekar,	মধ্যকার,	মধ্যেকার,	
bonbhumi,	বনভূমি,	বনভূমি,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
alkatra,	আলকাত্র,	আলকাতরা,	
aabarte,	আবর্তে,	আবর্তে,	
spredshiit,	স্প্রেডিস,	স্প্রেডশীট,	
santa,	সান্ত,	সান্তা,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shreeshree,	শ্রীষী,	শ্রীশ্রী,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
she,	সে,	সে,	
soori,	সুরি,	সুরি,	
paree,	পারী,	পাড়ে,	
shasonkarta,	শাসনকর্ত,	শাসনকর্তা,	
gasthii,	গাষ্ঠী,	গোষ্ঠীই,	
grawth,	গ্রাথ,	গ্রোথ,	
asovarno,	অশ্বর্ণ,	অসবর্ণ,	
jaatti,	জাটটি,	জাতটি,	
phood,	ফোড,	ফুড,	
sattweo,	সত্বেও,	সত্ত্বেও,	
cheerkut,	চির্কুত,	চিরকুট,	
jamkalo,	জামকালো,	জমকালো,	
taimas,	টাইমস,	টাইমস্,	
thai,	থাই,	থাই,	
gatibege,	গতিবেগে,	গতিবেগে,	
nevate,	নেভাতে,	নেভাতে,	
hughke,	হুঘকে,	হিউজকে,	
nartan,	নর্টন,	নর্টন,	
kaash,	কাশ,	কাস,	
avetar,	আভেতার,	অবতার,	
venkates,	ভেযানকেটস,	ভেঙ্কটেশ,	
shajanor,	শাজানোর,	সাজানোর,	
shudden,	সুডদেন,	সাডেন,	
daebug,	দাবুগ,	ডিবাগ,	
deobonde,	ডিউনন্ডে,	দেওবন্দে,	
gandhiyo,	গান্ধিও,	গান্ধীও,	
kanasarabhesana,	কনসারেশন,	কনসারভেশন,	
premo,	প্রেম,	প্রিমো,	
ingrejiteo,	ইংরেজিওতেও,	ইংরেজিতেও,	
sitting,	সীটিং,	সিটিং,	
anchalti,	আঞ্চলটি,	অঞ্চলটি,	
shiter,	শীটের,	শীতের,	
porjotoker,	পর্যটকের,	পর্যটকের,	
rigthter,	রিইটটের,	রাইটের,	
annorup,	অন্যরূপ,	অন্যরূপ,	
rajashri,	রাজস্রী,	রাজশ্রী,	
shucharita,	সূচারিত,	সুচরিতা,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
jemser,	জেমসের,	জেমসের,	
prostutkarak,	প্রস্তুতককরক,	প্রস্তুতকারক,	
gyandas,	জ্ঞ্ন্ডাস,	জ্ঞানদাস,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
dokangoolote,	ডোকানগুলোতে,	দোকানগুলোতে,	
votar,	ভোটার,	ভোটার,	
timathi,	তিমাঠি,	টিমোথি,	
