armenan,	আর্মেনন,	আর্মেনিয়ান,	
kuhelika,	কুহিলিকা,	কুহেলিকা,	
silvi,	সিলভি,	সিলভি,	
lidara,	লিডার,	লিডার,	
phaqsa,	ফক্স,	ফক্স,	
sanstha,	সংস্থ,	সংস্থা,	
tonoo,	তনু,	তনু,	
abdun,	আব্ুুন,	আবদুন,	
tanteera,	তন্তিরা,	তাঁতিরা,	
obharbhiu,	অভারভিয়,	ওভারভিউ,	
paira,	পাইরো,	পাইরা,	
mohasova,	মহাসভা,	মহাসভা,	
dael,	ডেল,	ডেইল,	
samosto,	সমস্ত,	সমস্ত,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
bhatar,	ভাটার,	ভাতার,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
porjotoker,	পর্যটকের,	পর্যটকের,	
gondhe,	গন্ধে,	গন্ধে,	
chaaka,	চাক,	চাকা,	
alpai,	আলপাই,	অল্পই,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
orthat,	অর্থাত,	অর্থাৎ,	
arthonitir,	অর্থনিতির,	অর্থনীতির,	
abhisongson,	অভিষংসন,	অভিশংসন,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
deobonde,	দিবনন্দে,	দেওবন্দে,	
bachhaikrito,	বাছ্কীরিত,	বাছাইকৃত,	
bede,	বেডে,	বেদে,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
trete,	ট্রেটে,	ট্রেতে,	
modelder,	মোদেলদের,	মডেলদের,	
bishwashoi,	বিশ্বশাই,	বিশ্বাসই,	
sanaktakaran,	সনাক্তরণ,	সনাক্তকরণ,	
soranor,	সরানোর,	সরানোর,	
miraclee,	মিরাকালি,	মিরাকেল,	
ssumitrar,	সুমিতার,	সুমিত্রার,	
samanya,	সামান্য,	সামান্য,	
gujab,	গুজাব,	গুজব,	
naper,	নেপের,	ন্যাপের,	
shomoshto,	সমস্্ত,	সমস্ত,	
ivil,	ইভিল,	ইভিল,	
tafaat,	তফফত,	তফাৎ,	
dorgaaho,	দর্গাহ,	দরগাহ,	
bheenasa,	ভীনস,	ভেনাস,	
stonehenj,	স্ট্নেনেং,	স্টোনহেঞ্জ,	
benj,	বেঞ্জ,	বেঞ্জ,	
meghke,	মেঘকে,	মেঘকে,	
firti,	ফিরটি,	ফিরতি,	
saarbhare,	সার্ভারে,	সার্ভারে,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
kabutarer,	কবুতারের,	কবুতরের,	
toufeek,	তৌফিক,	তৌফিক,	
baagica,	বাজিকা,	বাগিচা,	
masti,	মসসতি,	মাস্তি,	
dhormi,	ধর্মী,	ধর্মী,	
lobbyte,	লববেতে,	লবিতে,	
ovijojan,	অভিযোন,	অভিযোজন,	
dijeejer,	ডিজিজের,	ডিজিজের,	
khappar,	খাপার,	খপ্পর,	
ralf,	রালফ,	রালফ,	
probhur,	প্রভূর,	প্রভুর,	
jakkho,	যক্ষ,	যক্ষ,	
jerujalem,	জিরুজাম,	জেরুজালেম,	
vogno,	ভগ্ন,	ভগ্ন,	
peoples,	পিপপুলেস,	পিপলস্,	
auttacharer,	আট্টাচারের,	অত্যাচারের,	
ghurte,	ঘুর্তে,	ঘুরতে,	
potthon,	পঠন,	পঠন,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
antarcticar,	আন্তর্কাকিকার,	অ্যান্টার্কটিকার,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
meshenger,	মেশেঞ্জার,	মেসেঞ্জার,	
emargency,	এমার্জানি,	এমার্জেন্সি,	
canservatian,	ক্যান্স্রেভেশন,	কনসারভেশন,	
totokhon,	ততক্ষণ,	ততক্ষন,	
arik,	এরিক,	আরিক,	
abartey,	আবর্তে,	আবর্তে,	
venkates,	ভেঙ্কটেস,	ভেঙ্কটেশ,	
siramiks,	সিরামাক্স,	সিরামিকস,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
ashongkai,	অসংকাই,	আশঙ্কাই,	
kodti,	কদ্টি,	কোডটি,	
mooldoova,	মুল্ডভু,	মলদোভা,	
gazetted,	গেজেটেদ,	গেজেটেড,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
mozdoor,	মজদুর,	মজদুর,	
shorifpur,	শরীফুপুর,	শরিফপুর,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
inziniyarsa,	ইনজিজেন্স্স,	ইঞ্জিনিয়ার্স,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
abhinetar,	অভিনেতর,	অভিনেতার,	
karpeter,	কর্পেটের,	কার্পেটের,	
paaree,	পায়ার,	পাড়ে,	
basturyi,	বস্তুরী,	বস্তুরই,	
bhezano,	ভেজানো,	ভেজানো,	
parser,	পার্সের,	পার্শ্বের,	
mayily,	মেলি,	মাইলি,	
sithilotar,	সিথিলতার,	শিথিলতার,	
radhanogor,	রাধননগর,	রাধানগর,	
peterer,	পেটারের,	পিটারের,	
chalchhe,	চালে,	চলছে,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
dijijer,	ডিজিজের,	ডিজিজের,	
palki,	পলকি,	পাল্কি,	
jacqson,	জ্যাকশন,	জ্যাকসন,	
prodeeper,	প্রোডিপের,	প্রদীপের,	
transhform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
gronthotyke,	গ্রন্থথাকী,	গ্রন্থটিকে,	
prosadhaner,	প্রসাধনের,	প্রসাধনের,	
dayitwa,	দৈত্য,	দায়িত্ব,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
loha,	লোহ,	লোহা,	
madrasakey,	মদ্রসাকে,	মাদ্রাসাকে,	
nagarik,	নাগরিক,	নাগরিক,	
icebarg,	এসাবার্গ,	আইসবার্গ,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
concerter,	কনসার্টের,	কানসাটের,	
anektai,	অনেকটাই,	অনেকটাই,	
kathhmandu,	কাঠ্যমণ্ডু,	কাঠমান্ডু,	
konishtho,	কণিষ্ঠ,	কনিষ্ঠ,	
daakticketer,	ডাক্কিকেটের,	ডাকটিকিটের,	
sukhma,	সুখমা,	সুক্ষ্ম,	
felto,	ফেলতো,	ফেলত,	
dalu,	দালু,	ডালু,	
ghotleo,	ঘটলেও,	ঘটলেও,	
chhuteer,	ছুতির,	ছুটির,	
hooq,	হোক,	হুক,	
banijyikvittite,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
ajiboner,	অজীবনের,	আজীবনের,	
hajareebag,	হাজরীবাগ,	হাজারিবাগ,	
donat,	দোনাত,	ডোনাট,	
thraugh,	থ্রাওফ,	থ্রু,	
kemonay,	কেমনে,	কেমনে,	
imirgincy,	এমের্জিনি,	এমার্জেন্সি,	
breaqthrough,	ব্রেক্ষরোথ,	ব্রেকথ্রু,	
shatoker,	শতকের,	শতকের,	
yukeliptash,	ইউকিলোপ্যেস্ট,	ইউক্যালিপ্টাস,	
byatari,	ব্যাটারি,	ব্যাটারী,	
maarmader,	মার্মাদের,	মারমাদের,	
bhenisha,	ভেনিস,	ভেনিস,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
surkey,	সার্কে,	সুরকে,	
karadondey,	কারাদণ্ডে,	কারাদণ্ডে,	
mosjid,	মসজিদ,	মসজিদ,	
milekhanek,	মিলিকেশন,	মাইলখানেক,	
aaeerese,	আইরেশে,	আইরেসে,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
ajimpur,	অমিম্পুর,	আজিমপুর,	
chhotogolpe,	ছোটোগলপে,	ছোটগল্পে,	
debating,	দেবেটিং,	ডিবেটিং,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
pachhen,	পাছেন,	পাচ্ছেন,	
baasa,	বাসা,	বাসা,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
netarao,	নেটারও,	নেতারাও,	
chedon,	চেদন,	ছেদন,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
pravritite,	প্রভিতিতে,	প্রভৃতিতে,	
syfy,	সাইফি,	সাইফাই,	
obhishangson,	অভিষাংসন,	অভিশংসন,	
rikondison,	রিকো্নদিশন,	রিকন্ডিশন,	
ustaad,	উস্টাদ,	উস্তাদ,	
gripa,	গ্রিপ,	গ্রিপ,	
chess,	চেজ,	চেস,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
dologuloo,	দলগুলো,	দলগুলোও,	
liceencee,	লাইস্নেস,	লাইসেন্স,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
indra,	ইন্ড্র,	ইন্দ্র,	
canal,	কানাল,	ক্যানেল,	
besirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
sone,	সোন,	সনে,	
baffer,	ব্যাফার,	বাফার,	
score,	স্কররে,	স্কোর,	
horus,	হররাস,	হোরাস,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
udiichii,	উদিছি,	উদীচী,	
hebhee,	হেভি,	হেভি,	
kale,	কলে,	কালে,	
highcommissionay,	হাইকমিশনা,	হাইকমিশনে,	
procharona,	প্রচারনা,	প্রচারণা,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
volt,	ভোল্ট,	ভল্ট,	
swasti,	স্বস্তি,	স্বস্তি,	
chaaktir,	চাকটির,	চাকতির,	
teestaar,	টেস্টার,	তিস্তার,	
jemske,	জেমস্কে,	জেমসকে,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
dhwajbhanga,	ধ্বাংঘাঁগ,	ধ্বজভঙ্গ,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
khoka,	খোক,	খোকা,	
utsahamulok,	উৎসামাহুলক,	উৎসাহমূলক,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
uparjoner,	উপার্জনের,	উপার্জনের,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
jini,	জিনি,	যিনি,	
venishh,	ভেনিস,	ভেনিস,	
kadom,	কদম,	কদম,	
remakri,	রেমকারি,	রেমাক্রী,	
jatook,	যতুক,	জাতক,	
shorting,	শোর্টিং,	সর্টিং,	
gananatyo,	গণনাত্য,	গণনাট্য,	
uponisod,	উপনিষদ,	উপনিষদ,	
serverer,	সার্ভারের,	সার্ভারের,	
foster,	ফসসের,	ফস্টার,	
puddin,	পুদ্দিন,	পুডিং,	
dorji,	দর্জি,	দরজি,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
laiceensee,	লাইকেন্সি,	লাইসেন্স,	
rupdaan,	রূপ্ডন,	রুপদান,	
gutano,	গুটানো,	গুটানো,	
jacksan,	জকসন,	জ্যাকসন,	
avishangson,	অভিষাংসন,	অভিশংসন,	
aqramer,	আকরামের,	আকরামের,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
bhaisaha,	ভৈসহ,	ভাইসহ,	
nischoy,	নিশ্চ,	নিশ্চয়,	
chitronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
mitrer,	মিত্রের,	মিত্রের,	
baireyo,	বৈরেও,	বাইরেও,	
cheerkoot,	চিরকুত,	চিরকুট,	
guzon,	গুজন,	গুজব,	
kokhonoba,	কখনোবা,	কখনওবা,	
leetara,	লেটার,	লেটার,	
swastir,	স্বস্তির,	স্বস্তির,	
venis,	ভেনিস,	ভেনিস,	
itastatoh,	ইতসসতত,	ইতস্ততঃ,	
monjushree,	মন্জুূরি,	মঞ্জুশ্রী,	
turbiner,	তুর্বিনের,	টারবাইনের,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
shomraatder,	সম্রাতদের,	সম্রাটদের,	
aatto,	আট্মও,	আত্ম,	
ajouno,	অযৌন,	অযৌন,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
nirikha,	নীরিখ্ষা,	নিরিখ,	
baataree,	বাতারি,	ব্যাটারী,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
titlee,	টিটলল,	টাইটেল,	
keyboard,	কেবওর্ড,	কীবোর্ড,	
shcore,	স্কররে,	স্কোর,	
afzal,	আফজাল,	আফজল,	
abasare,	আবসারে,	অবসরে,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
taroni,	তরণী,	তরণী,	
shaddhii,	স্বাধী,	সাধ্বী,	
durgotsabe,	দুর্গটসবে,	দুর্গোৎসবে,	
edaning,	এডাইং,	ইদানিং,	
fern,	ফার্ন,	ফার্ন,	
armashtram,	আর্মস্টারম,	আর্মস্ট্রং,	
aazaadeer,	আজাদীর,	আজাদীর,	
ruvbla,	রুবলা,	রুবল,	
stain,	স্টেন,	স্টেন,	
gafiloti,	গেফিলতি,	গাফিলতি,	
opohoron,	অপহরণ,	অপহরন,	
