nirmaankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
manur,	মানুর,	মনুর,	
sanaktakaraner,	সনন্তকরণের,	সনাক্তকরণের,	
uporostho,	উপরস্থ,	উপরস্থ,	
chondrima,	চন্দ্রীমা,	চন্দ্রিমা,	
swartha,	স্বর্থা,	স্বার্থ,	
ardasha,	আর্দাশ,	আর্দশ,	
shelim,	সেলিং,	সেলিম,	
funding,	ফান্ডিং,	ফান্ডিং,	
peto,	পতে,	পেত,	
duple,	ডূপলে,	ডুপ্লে,	
prodan,	প্রদান,	প্রদাণ,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
lobbytey,	লববিতে,	লবিতে,	
nagorikera,	নগগরিকেরা,	নাগরিকেরা,	
teter,	তেতের,	টেটের,	
moushumer,	মৌসুমের,	মৌসুমের,	
risorte,	রিসর্টে,	রিসোর্টে,	
avinetar,	অভিনেতার,	অভিনেতার,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
chalachchitra,	চলচচচিত্র,	চলচ্চিত্র,	
vool,	ভোল,	উল,	
raia,	রাই,	রায়,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
salapheta,	সলাফেত,	সালফেট,	
kadam,	কাডাম,	কদম,	
sangbadmadhyome,	সংবাদ্ধম্যে,	সংবাদমাধ্যমে,	
stoonehenge,	স্টুটেনেজে,	স্টোনহেঞ্জ,	
toufeek,	তফুক,	তৌফিক,	
vins,	ভিংস,	ভিন্স,	
jonosonjog,	জনসঙ্যগগ,	জনসংযোগ,	
qara,	কার,	কর,	
premo,	প্রেমো,	প্রিমো,	
serup,	সেরুপ,	সেরুপ,	
teennis,	টেননিস,	টেনিস,	
murader,	মুরাদের,	মুরাদের,	
bait,	বাইত,	বাইট,	
ancholsoho,	অন্চলসহ,	অঞ্চলসহ,	
indrer,	ইন্ডারের,	ইন্দ্রের,	
gaaddaafee,	গাদাদাফী,	গাদ্দাফী,	
groowth,	গ্রুথ,	গ্রোথ,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
ganakantha,	গণকান্থ,	গণকণ্ঠ,	
kinsa,	কিনস,	কিংস,	
chhutir,	ছুটির,	ছুটির,	
chaka,	চাকা,	চাকা,	
khelafate,	খেলাফেটে,	খেলাফতে,	
amarjito,	অমর্জিত,	অমার্জিত,	
keyboarder,	কেওবার্ডের,	কীবোর্ডের,	
maail,	মাইল,	মাইল,	
agomoney,	অগমণে,	আগমনে,	
asovarno,	অভারর্ণ,	অসবর্ণ,	
set,	সেত,	সিট,	
tuku,	তুকু,	টুকু,	
ruteener,	রুটিনের,	রুটিনের,	
mumtaz,	মুমতাজ,	মুমতাজ,	
homesh,	হমেশ,	হোমস,	
manabmaner,	মনবামনের,	মানবমনের,	
asamarik,	অসমারীক,	অসামরিক,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
horiddar,	হরিদদার,	হরিদ্বার,	
homser,	হম্সের,	হোমসের,	
chalochchitreeo,	চলচচিত্রীত,	চলচ্চিত্রেও,	
reno,	রেনো,	রেনো,	
bhittiteow,	ভিত্তিব,	ভিত্তিতেও,	
tribhuj,	ত্রিভুগ,	ত্রিভূজ,	
chilona,	চিলনা,	ছিলনা,	
gosti,	গোষ্তি,	গোষ্ঠী,	
karlei,	কার্লেই,	করলেই,	
damonmulok,	ডামন্মলুক,	দমনমূলক,	
onurbor,	অনুর্বর,	অনুর্বর,	
eidaning,	এডানিংিং,	ইদানীং,	
dacop,	ডাকপ,	দাকোপ,	
decke,	ডেকে,	ডেকে,	
tirmiji,	তির্মজীজী,	তিরমিজি,	
nondolaal,	নন্ডোলাল,	নন্দলাল,	
somoshtike,	সমস্ত্তিকে,	সমষ্টিকে,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
saarbhaarti,	সার্ভার্তী,	সার্ভারটি,	
kanasarabheeshana,	কনাসারভাশন,	কনসারভেশন,	
ganachiner,	গানাচিনের,	গণচীনের,	
aazadeer,	আজাদীর,	আজাদীর,	
boonot,	বন্ত,	বুনট,	
kirkuk,	কির্কুক,	কিরকুক,	
obdi,	অবদি,	অব্দি,	
gagee,	গাগী,	গেজ,	
buth,	বুথ,	বুথ,	
pratisthanikvabe,	প্রতিষ্ঠিনাক্ষীবে,	প্রাতিষ্ঠানিকভাবে,	
byabaharkareederke,	ব্যবহারহারকরীকে,	ব্যবহারকারীদেরকে,	
maladobha,	মালাদভা,	মলদোভা,	
developer,	ডেভেলপের,	ডেভলপার,	
jakser,	যাক্সের,	যক্ষের,	
aaeerese,	আইরেরে,	আইরেসে,	
daun,	ডাউন,	ডাউন,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
khoja,	খোজা,	খোজা,	
query,	কুরি,	কোয়েরি,	
algorithm,	অলগররিম,	এলগরিদম,	
phund,	ফাউন্ড,	ফান্ড,	
hoteelti,	হটিলটি,	হোটেলটি,	
reejideens,	রেজিনেন্স,	রেসিডেন্স,	
bhangchur,	ভঙ্চুর,	ভাংচুর,	
noitikbhabey,	নৈতিযক্ষভাবে,	নৈতিকভাবে,	
osommotite,	অসম্তিতে,	অসম্মতি,	
shhikara,	শিকার,	শিকার,	
akla,	একলা,	একলা,	
matrirup,	মত্তীরপূর,	মাতৃরূপ,	
telakucha,	টেলাকুচ,	তেলাকুচা,	
orthonitir,	অর্থনিতির,	অর্থনীতির,	
anti,	অন্তি,	আন্টি,	
bonduk,	বন্দুক,	বন্দুক,	
source,	সর্ে,	সোর্স,	
durga,	দর্গা,	দুর্গ,	
temanbhabe,	তেমন্ভবে,	তেমনভাবে,	
gacher,	গাছের,	গাছের,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
sampadankari,	সম্পদানকারী,	সম্পাদনকারী,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
lombate,	লমবাতে,	লম্বাটে,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
shasonkorta,	শাসনক্রত,	শাসনকর্তা,	
dosha,	দোশা,	দোসা,	
rajon,	রাজন,	রাজন,	
chhootir,	ছুটির,	ছুটির,	
felto,	ফেলট,	ফেলত,	
hoomasa,	হোমাস,	হোমস,	
tata,	ততা,	তাতা,	
vabnakey,	ভান্নকে,	ভাবনাকে,	
sumita,	সুমিত,	সুমিতা,	
anchaltitey,	অন্চলতিতে,	অঞ্চলটিতে,	
bhaandare,	ভান্দারে,	ভাণ্ডারে,	
shikshakramer,	শিক্ষাক্মের,	শিক্ষাক্রমের,	
chetonagoto,	চেতনাগোত,	চেতনাগত,	
hyundai,	হাউন্দাই,	হুন্দাই,	
jaruri,	জারুরি,	জরূরী,	
conphlict,	কনফলিক্ট,	কনফ্লিক্ট,	
sanstha,	সংস্থা,	সংস্থা,	
beshirvagei,	বেশির্গাগে,	বেশিরভাগেই,	
chhintayikari,	ছিন্তাযাারিক,	ছিনতাইকারী,	
jokkho,	জক্ষ,	যক্ষ,	
bbosben,	বসবেন,	বসবেন,	
mosjidti,	মস্জিিতি,	মসজিদটি,	
alpa,	আলপা,	অল্প,	
jomjamat,	জম্জামাত,	জমজমাট,	
ved,	ভেড,	বেদ,	
pragresha,	প্রগের্স,	প্রগ্রেস,	
iispredshiit,	ইস্প্রেেপিট,	স্প্রেডশীট,	
aalkaatra,	আলকতত্র,	আলকাতরা,	
kanshat,	কনস্টা,	কানসাট,	
cholocchitrotike,	চলিচিত্রতিকে,	চলচ্চিত্রটিকে,	
logicer,	লোগিকের,	লজিকের,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
canflikt,	কানফিক্ট,	কনফ্লিক্ট,	
janacche,	জনাচ্ছে,	জানাচ্ছে,	
sangbadmadhyame,	সংবদ্যম্ধেমে,	সংবাদমাধ্যমে,	
sangasthagulo,	সংস্ঠাগগুলো,	সংস্থাগুলো,	
scholarsip,	স্লোলারস্পি,	স্কলারশিপ,	
provura,	প্রভূরা,	প্রভুরা,	
mohajote,	মহাজতে,	মহাজোট,	
probhu,	প্রভূ,	প্রভু,	
dhhabi,	ঢববী,	ঢাবি,	
monzushree,	মন্জুষ্রী,	মঞ্জুশ্রী,	
ghateer,	ঘটির,	ঘাটির,	
tukroti,	তুক্তি,	টুকরোটি,	
suparahira,	সুপারাহীরা,	সুপারহিরো,	
artilari,	অর্তিলারি,	আর্টিলারি,	
purohitra,	পুরুহিত্র,	পুরোহিতরা,	
somsher,	সম্শের,	সমশের,	
obharabhiu,	অভারভারু,	ওভারভিউ,	
tochnoch,	তছনচচ,	তছনছ,	
oporishodhito,	অপরিষ্ধিত,	অপরিশোধিত,	
nathibhukteer,	নথিভাকুতির,	নথিভুক্তির,	
reesideensa,	রেসিেন্স,	রেসিডেন্স,	
potengar,	পটেন্গার,	পতেঙ্গার,	
leta,	লেট,	ল্যাটা,	
cholochchitrotike,	চলচিচ্তিত্রকে,	চলচ্চিত্রটিকে,	
talal,	তালাল,	তালাল,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
madola,	মাদলা,	মাদলা,	
shayanaida,	সায়ানাইড,	সায়ানাইড,	
vishnu,	ভিষ্ণু,	বিষ্ণু,	
uporitale,	উপরিতাে,	উপরিতলে,	
segulo,	সেগুলো,	সেগুলো,	
bedke,	বেদকে,	বেদকে,	
superheira,	সুপেরেইরা,	সুপারহিরো,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
rahee,	রাহী,	রাহী,	
naubom,	নৌবম,	নবম,	
dajhyo,	দা্য,	দাহ্য,	
shpredashhita,	স্প্রেপেদিত,	স্প্রেডশীট,	
rudrer,	রুদ্রের,	রুদ্রের,	
khudey,	খুদে,	ক্ষুদে,	
solil,	সলিল,	সলিল,	
moldowa,	মোল্যো,	মলদোভা,	
teestar,	টিস্টার,	তিস্তার,	
grantho,	গ্রান্থ,	গ্রন্থ,	
shoori,	শূরি,	সুরি,	
rah,	রাহ,	রঃ,	
aviyojan,	অভিযোজন,	অভিযোজন,	
thakey,	থাকে,	থাকে,	
deembakriti,	ডিমবাকৃতি,	ডিম্বাকৃতি,	
ingrejiteo,	ইংগেরিতে,	ইংরেজিতেও,	
playtey,	প্লাইটে,	প্লেটে,	
edaningkale,	এডানিক্গালে,	ইদানীংকালে,	
pustio,	পুস্টি,	পুষ্টি,	
shangkulan,	সঙ্কুলোন,	সংকুলান,	
stoner,	স্টনের,	স্টোনের,	
dhyan,	ধ্যান,	ধ্যান,	
manonitoder,	মননিতদের,	মনোনীতদের,	
kaatbey,	কাতবে,	কাটবে,	
ishpredshhit,	সস্প্রেদিত,	স্প্রেডশীট,	
sotorkotar,	সতর্তকার,	সতর্কতার,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
atwabishvashi,	অত্ববাবস্বীষী,	আত্মবিশ্বাসী,	
roopa,	রোপা,	রুপা,	
doltagi,	দলতাগী,	দলত্যাগী,	
avetar,	অভেতার,	অবতার,	
gabeshona,	গবেষণ,	গবেষনা,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
sawam,	সামা,	সাওম,	
chhuti,	ছুটি,	ছুটি,	
wenom,	ওয়েম,	ভেনম,	
eashter,	আসতের,	ইস্টার,	
pachchi,	পাঁচ্ছী,	পাচ্ছি,	
durotamo,	দূরতাম,	দূরতম,	
paikgacha,	পাইক্গা,	পাইকগাছা,	
kompeeto,	কম্পিত,	কম্পিত,	
shomser,	সম্সের,	সমশের,	
shikhar,	শিখার,	শিকার,	
joonsa,	জন্স,	জোন্স,	
babna,	বা্না,	বাবনা,	
haryken,	হারিকেন,	হ্যারিকেন,	
rupantor,	রূপন্তর,	রুপান্তর,	
iviem,	ইভিম,	ইভিএম,	
zubokshoho,	জুবকহহ,	যুবকসহ,	
pratul,	প্রতুল,	প্রতুল,	
yuk,	যুক,	ইয়াক,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
kantojir,	কন্তজীর,	কান্তজির,	
ceramicer,	ক্রামাসির,	সিরামিকের,	
advoot,	অদ্ভুত,	অদ্ভুত,	
prostutkarak,	প্রত্তুত্রকা,	প্রস্তুতকারক,	
enjineers,	এন্জেন্সর,	ইঞ্জিনিয়ার্স,	
oxforde,	অক্সরর্ডে,	অক্সফোর্ডে,	
mododpusto,	মদদপ্ষম্প,	মদদপুষ্ট,	
rupert,	রাপার্ট,	রুপার্ট,	
tinej,	টিনেজ,	টিনেজ,	
elaakai,	এলাকাই,	এলাকাই,	
bhalapuka,	ভালাপুক,	ভোলাপুক,	
