bomkesh,	বোমকেশ,	ব্যোমকেশ,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
poromartho,	পরামা্থ,	পরমার্থ,	
gaziipur,	গজিিপুর,	গাজীপুর,	
conshervation,	কনস্রবরেশন,	কনসারভেশন,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
barack,	বরাক,	বারাক,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
danata,	দানাা,	ডোনাট,	
jarool,	জারুল,	জারুল,	
dovaar,	ডোভার,	ডোভার,	
patochitrer,	পাতিচ্রের,	পটচিত্রের,	
bimata,	বিমত,	বিমাতা,	
idipasha,	ইডিপাস,	ইডিপাস,	
shreeshri,	শ্রীর্মি,	শ্রীশ্রী,	
nikate,	নিকাতে,	নিকটে,	
nagorikke,	নাগরীককে,	নাগরিককে,	
pulse,	পালসে,	পালস,	
emgee,	এমগী,	এমজি,	
surti,	শূর্তি,	সুরটি,	
bolatkar,	বলাককার,	বলাৎকার,	
meshenger,	মেশেনের,	মেসেঞ্জার,	
torokareer,	তরকারীর,	তরকারীর,	
bujhleo,	বুঝ্লেও,	বুঝলেও,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
windo,	ভিন্দ্ব,	উইন্ডো,	
pretty,	প্রেটি,	প্রিটি,	
laishensha,	লেইন্স,	লাইসেন্স,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
masazida,	ম্যাসাজিদা,	মসজিদ,	
nesans,	নেশান্স,	নেশনস,	
karmasansthaner,	কর্মসন্থাসনের,	কর্মসংস্থানের,	
canton,	ক্যানন,	ক্যান্টন,	
vejjanno,	ভেজজন্য,	ভেজানো,	
miracle,	মিরাক্যাল,	মিরাকেল,	
besur,	বেশুর,	বেসুর,	
gobeshana,	গবেষণা,	গবেষনা,	
dighal,	দিঘল,	দীঘল,	
kormosompadon,	কর্মসাম্পন,	কর্মসম্পাদন,	
engrezder,	ইংর্জেদের,	ইংরেজদের,	
komaatei,	কমাতেই,	কমাতেই,	
aanhu,	আনু,	আনহু,	
cholochchitroi,	চলচিত্রেই,	চলচ্চিত্রই,	
shamijir,	সমিজীর,	স্বামীজীর,	
antarvuktimulok,	অন্তর্তুমিকূলক,	অন্তর্ভুক্তিমূলক,	
ustad,	উষ্তাদ,	উস্তাদ,	
abhijojan,	অভিযাজন,	অভিযোজন,	
pitth,	পিঠ,	পীঠ,	
songhitar,	সংহিতার,	সংহিতার,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
nirvaha,	নির্বাহ,	নির্বাহ,	
samanwitobhabe,	সমানভিতভাবে,	সমন্বিতভাবে,	
wool,	উলল,	উল,	
samabeshke,	সমাবেষকে,	সমাবেশকে,	
nikoter,	নিকটের,	নিকটের,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
avetar,	অভাতার,	অবতার,	
riphleksha,	রাইফেক্স,	রিফ্লেক্স,	
swajaner,	স্বজনের,	স্বজনের,	
madal,	মাদল,	মাদল,	
babona,	বাবনা,	বাবনা,	
mododpusto,	মোদদস্তুপ,	মদদপুষ্ট,	
soolke,	শুলকে,	শুল্কে,	
nothivukta,	নথিভূক্ত,	নথিভুক্ত,	
rahh,	রহ,	রঃ,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
yukeliptash,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
everest,	ইভারেস্ট,	এভারেস্টে,	
plato,	প্লাট,	প্লেটো,	
ranodeep,	রাণডীপ,	রণদীপ,	
antorbhukta,	অর্ন্তভুক্ত,	অন্তর্ভুক্ত,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
daeel,	ডেল,	ডেইল,	
raya,	রয়া,	রায়,	
nicqel,	নিকেল,	নিকেল,	
katbe,	কাটবে,	কাটবে,	
chintaikari,	চিনতিকারী,	ছিনতাইকারী,	
asociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
dolguloo,	দলগুলো,	দলগুলোও,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
uchchotaro,	উচ্চতারও,	উচ্চতর,	
mail,	মেল,	মাইল,	
jemser,	জেমসের,	জেমসের,	
bonke,	বনকে,	বনকে,	
baarder,	বার্ডার,	বার্ডের,	
jaank,	জাঁক,	জাঁক,	
barnish,	বর্নিস,	বার্নিশ,	
aaloteo,	আলতেও,	আলোতেও,	
manushti,	মানুষটি,	মানুষটি,	
karecho,	করেছ,	করেছ,	
tahalei,	তাহালেই,	তাহলেই,	
daakticket,	ডাক্টিকেট,	ডাকটিকিট,	
parswer,	পার্স্বের,	পার্শ্বের,	
jalrang,	জালরাং,	জলরঙ,	
oshamorik,	অসামরিক,	অসামরিক,	
rajtontro,	রাজনত্ত্র,	রাজতন্ত্র,	
sharther,	সার্থের,	স্বার্থের,	
victar,	ভিক্টর,	ভিক্টর,	
taims,	টাইমস,	টাইমস্,	
parbatya,	পর্বত্ব,	পার্বত্য,	
digreeke,	দিগ্রীকে,	ডিগ্রিকে,	
aholya,	আহল্য,	অহল্যা,	
aarik,	আরিক,	আরিক,	
phirati,	ফিরটি,	ফিরতি,	
iura,	ইউর,	ইউরো,	
mandonder,	মন্দন্ডের,	মানদণ্ডের,	
gunaman,	গুনমান,	গুণমান,	
pack,	প্যাক,	প্ল্যাক,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
instant,	ইন্স্টান্ট,	ইনস্ট্যান্ট,	
daaktikit,	ডাক্তিকিত,	ডাকটিকিট,	
gajiipur,	গজিিপুর,	গাজীপুর,	
jeans,	জেন্স,	জিন্স,	
nathivooktir,	নথিভূক্তির,	নথিভুক্তির,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
phanda,	ফাঁদা,	ফান্ড,	
deenes,	ডিনেস,	দীনেশ,	
zohns,	জনস,	জন্স,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
nimitto,	নিমিত্ব,	নিমিত্ত,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
bamni,	বামনি,	বামনী,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
boney,	বোনে,	বনে,	
shatan,	সাতন,	শয়তান,	
floodliter,	ফ্লাডুলিটের,	ফ্লাডলাইটের,	
nilav,	নিলভ,	নীলাভ,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
uponishoder,	উপনিসদের,	উপনিষদের,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
bima,	বীমা,	বিম,	
prokolpou,	প্রকল্পও,	প্রকল্পও,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
shita,	সিটা,	সিট,	
azijer,	আজিজের,	আজিজের,	
thaii,	তাঁই,	থাই,	
chhedon,	ছেদন,	ছেদন,	
enjineers,	এনজিনির্স,	ইঞ্জিনিয়ার্স,	
adhattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
chaalaabi,	চালাবি,	চালাবে,	
uporital,	উপরিতাল,	উপরিতল,	
afjol,	আ্যোকোল,	আফজল,	
taateo,	টেটও,	তাতেও,	
fulkopi,	ফুলকাপি,	ফুলকপি,	
rutina,	রুটিন,	রুটিন,	
dubureer,	দুবুরীর,	ডুবুরির,	
ottacharer,	অত্চাচারের,	অত্যাচারের,	
tinage,	তিনেগে,	টিনেজ,	
jeeni,	জেনি,	যিনি,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
snaipara,	স্নাইপার,	স্নাইপার,	
machera,	মাচেরা,	মাছেরা,	
onodhikar,	অনধীকার,	অনধিকার,	
forider,	ফরীদের,	ফরিদের,	
dharabahikvabe,	ধারাবিম্ভকাবে,	ধারাবাহিকভাবে,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
ganesher,	গণেসের,	গণেশের,	
messenjer,	মেসেঞ্জের,	মেসেঞ্জার,	
kaner,	কানের,	কনের,	
kaaru,	কারু,	কারু,	
chereche,	চেরেচে,	ছেড়েছে,	
ralof,	রলফ,	রালফ,	
thraugh,	থ্রাথ,	থ্রু,	
nirobota,	নিরবতা,	নিরবতা,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
lutheren,	লুটারেন,	লুথেরান,	
moshjid,	মস্জিদ,	মসজিদ,	
sakaar,	সাকার,	সকার,	
khalid,	খালিদ,	খালিদ,	
saabbir,	সাবির,	সাব্বির,	
ajijoor,	অজিজুর,	আজিজুর,	
inafarameshana,	ইনফরিমেশন,	ইনফরমেশন,	
mukkho,	মুক্ষ,	মুখ্য,	
novell,	নেভেল,	নভেল,	
horinner,	হরিনের,	হরিণের,	
advanshd,	অ্যাডবাং্স,	অ্যাডভান্সড,	
akkaas,	এককাশ,	আককাস,	
arkimidish,	অর্কিমিডিস,	আর্কিমিডিস,	
hisabke,	হিসাবকে,	হিসাবকে,	
chhathke,	ছাষকে,	ছাতকে,	
nirmankaj,	নির্মাণকা,	নির্মাণকাজ,	
sorting,	সর্টিং,	সর্টিং,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
chaalkee,	চালকি,	চালকে,	
mayily,	মেইলি,	মাইলি,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
joqy,	জকি,	জকি,	
irish,	আইরিশ,	আইরিস,	
byakhyatita,	ব্যাখ্যাটিত,	ব্যাখ্যাতীত,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
sheekarder,	শিকরদের,	শিকারদের,	
ayantarketika,	অ্যান্টরটিক,	অ্যান্টার্কটিকা,	
metere,	মেটারে,	মিটারে,	
mag,	ম্যাগ,	এমএজি,	
ceramicer,	সারমিকের,	সিরামিকের,	
hotodoridro,	হতসিদির্য,	হতদরিদ্র,	
inapharameshana,	ইনফরিমেশন,	ইনফরমেশন,	
objarvar,	অব্যবরার,	অবজার্ভার,	
shkolashtic,	স্কলেস্টিক,	স্কলাস্টিক,	
chalochchitraeeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
buth,	বুথ,	বুথ,	
karlosh,	কার্লস,	কার্লোস,	
setio,	সেটিও,	সেটিও,	
rushd,	রুশদ,	রুশদ,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sorajur,	সরাজুর,	সরযূর,	
seramiks,	সারামিক্স,	সিরামিকস,	
armstronj,	আর্স্ট্র্জ,	আর্মস্ট্রং,	
candi,	চণ্ডী,	ক্যান্ডি,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
mooldoova,	মুল্োোা,	মলদোভা,	
bunat,	বুনত,	বুনট,	
nothivookteer,	নথিভূক্তির,	নথিভুক্তির,	
hotochokito,	হতোচকিত,	হতচকিত,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
gonohotyakey,	গণহাত্যাকে,	গণহত্যাকে,	
machgulo,	ম্যালগুলো,	মাছগুলো,	
prokolpoguli,	প্রক্লগুলুলি,	প্রকল্পগুলি,	
komatei,	কমাতেই,	কমাতেই,	
rca,	টররা,	আরসিএ,	
culing,	কুলিং,	কুলিং,	
korkot,	কর্কট,	কর্কট,	
venise,	ভেনিসে,	ভেনিসে,	
hizri,	হিজরি,	হিজরী,	
grambasee,	গ্রাম্বাসী,	গ্রামবাসী,	
mitrader,	মিত্রাদের,	মিত্রদের,	
shoilee,	সৈলি,	শৈলী,	
mukhomaundoley,	মুখমান্ডলে,	মুখমণ্ডলে,	
naaneer,	নানির,	নানীর,	
bedanter,	বেদন্তের,	বেদান্তের,	
twoei,	ত্ইই,	ত্বকেই,	
pachtar,	পাচচার,	পাঁচটার,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
dhonyi,	ধনই,	ধন্যি,	
ashamorthito,	অসমর্থিত,	অসমর্থিত,	
kharar,	খারার,	খরার,	
ebhara,	ইভার,	এভার,	
balokarak,	বালকারক,	বলকারক,	
dolgulo,	দলগুলো,	দলগুলোও,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
siqh,	শিখ,	শিখ,	
shansthati,	সংস্থটি,	সংস্থাটি,	
gasthi,	গ্যাস্থি,	গোষ্ঠী,	
kiirti,	কীর্তি,	কীর্তি,	
vangey,	ভাঙ্গে,	ভাঙ্গে,	
marekting,	ম্যাকেকনিং,	মার্কেটিং,	
chapol,	চ্যাপল,	চপল,	
marmaara,	মারমার,	মারমারা,	
khargoser,	খর্গসের,	খরগোসের,	
pounchute,	পৌঁছুটে,	পৌঁছুতে,	
