leta,	লত,	ল্যাটা,	
utsahamulok,	উৎসাহলূক,	উৎসাহমূলক,	
bhittie,	ভিতি,	ভিত্তিই,	
kobootorer,	কবুতরের,	কবুতরের,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
mmesenjar,	মেশনঞ্জর,	মেসেঞ্জার,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
horippur,	হরিপুর,	হরিপুর,	
badhadan,	বাধাধান,	বাধাদান,	
itostatah,	ইতস্ত্বাহ,	ইতস্ততঃ,	
thelyanda,	থেলয়ান্ড,	থাইল্যান্ড,	
duburira,	দুবুরীরা,	ডুবুরিরা,	
samajeek,	সামাজিক,	সামাজিক,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
daayitto,	দৈত্য,	দায়িত্ব,	
change,	চঙ্গে,	চেঞ্জ,	
shahab,	সাহাব,	সাহাব,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
spredashiita,	স্প্রেদাশিত,	স্প্রেডশীট,	
gonna,	গণ্য,	গননা,	
bahyo,	বহ্য,	বাহ্য,	
meg,	মেগ,	মেগ,	
venus,	ভেনাস,	ভেনাস,	
beshirbhaagi,	বেশিরভাগী,	বেশিরভাগই,	
ballrum,	বলরুল,	বলরুম,	
nottee,	নটি,	নোটটি,	
doulaa,	দৌলা,	দৌলা,	
baagicar,	বাগিকার,	বাগিচার,	
engrezer,	ইংরেজের,	ইংরেজের,	
braille,	ব্রেল,	ব্রেইল,	
vangley,	ভাঙলে,	ভাঙলে,	
prokare,	প্রকারে,	প্রকারে,	
mumtajer,	মুমাজের,	মুমতাজের,	
phutbolarder,	ফুটবলদারের,	ফুটবলারদের,	
bhabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
sangkulaan,	সংকুলান,	সংকুলান,	
bem,	বীম,	বিম,	
kuley,	কুলে,	কুলে,	
bishesyo,	বিশেষ্,	বিশেষ্য,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
obosan,	অবসন,	অবসান,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
koruna,	করুনা,	করুণা,	
ganachin,	গণাচীন,	গণচীন,	
stonahenza,	স্তনযাহাঞ্য,	স্টোনহেঞ্জ,	
thraugh,	ঠ্রাউ,	থ্রু,	
trans,	ট্রান্স,	ট্রান্স,	
poonch,	পোঁচ,	পুঞ্চ,	
manohputa,	মননুপুত,	মনঃপুত,	
chalochchitrer,	চলচিতির্রের,	চলচ্চিত্রের,	
bossonto,	বসন্ত,	বসন্ত,	
bipajjanak,	বিপজজ্জনক,	বিপজ্জনক,	
grambasir,	গ্রামবাসির,	গ্রামবাসীর,	
armashtram,	আর্মস্ত্রম,	আর্মস্ট্রং,	
kiandi,	ক্যান্ডি,	ক্যান্ডি,	
rajnaitik,	রাজনাতিক,	রাজনৈতীক,	
korkot,	করক,	কর্কট,	
nilkuthir,	নিলকুঠির,	নীলকুঠির,	
haripur,	হরিপুর,	হরিপুর,	
loukikata,	লৌকিকটা,	লৌকিকতা,	
uqeliptas,	ইকেলিপ্ট,	ইউক্যালিপ্টাস,	
onkush,	অক্কুশ,	অংকুশ,	
amiratas,	আমীরাতাস,	এমিরেটাস,	
gunoman,	গুণমান,	গুণমান,	
sthaponagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
torkareer,	তরকারীর,	তরকারীর,	
gutano,	গুটানো,	গুটানো,	
alsaar,	আলসার,	আলসার,	
casper,	ক্সার্পের,	ক্যাসপার,	
graambasio,	গ্রামবসিয়,	গ্রামবাসীও,	
traytey,	ট্রেটে,	ট্রেতে,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
hood,	হোড,	হুড,	
srichoitonyodeb,	শ্রীচীতন্যদেব,	শ্রীচৈতন্যদেব,	
karmake,	কর্মকে,	কর্মকে,	
chatoke,	ছাটকে,	ছাতকে,	
hyper,	হাইপার,	হাইপার,	
debdebi,	দেবেদী,	দেবদেবী,	
chhaanee,	ছানি,	ছানি,	
gandhiio,	গান্ধিও,	গান্ধীও,	
janagononar,	জনগণনার,	জনগণনার,	
parkasa,	পার্কস,	পার্কস,	
capshule,	ক্যাপসুলে,	ক্যাপসুল,	
suhasini,	সুহিসীনি,	সুহাসিনী,	
shhikha,	শিখা,	শিখ,	
superheiro,	সুপাহহর,	সুপারহিরো,	
mufti,	মুফতি,	মুফতি,	
quata,	কোউট,	কোটা,	
rapto,	রপ্ত,	রপ্ত,	
diyenes,	ডিয়েন,	ডিএনএস,	
wenom,	ইয়নম,	ভেনম,	
dhyan,	ধ্যান,	ধ্যান,	
monohputo,	মনোপুত,	মনঃপুত,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
niurolaji,	নিউরলজী,	নিউরোলজি,	
bhangle,	ভাঙে,	ভাঙলে,	
gyate,	গ্ঞাতে,	গ্যেটে,	
neck,	নিক,	নেক,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
debating,	ডেবেটিং,	ডিবেটিং,	
kormokandeo,	কর্মকান্দে,	কর্মকাণ্ডেও,	
bandra,	বা্দ্র,	বন্দীরা,	
raitasha,	রাইটাস,	রাইটস,	
kaalniir,	কালীর,	কালনীর,	
paade,	পাদে,	পাড়ে,	
jommu,	জম্মু,	জম্মু,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
sajano,	সাজান,	সাজানো,	
ghumachchila,	ঘুমাচিল্ল,	ঘুমাচ্ছিল,	
akshoti,	এক্ষটি,	একশোটি,	
sudden,	শুদ্দেন,	সাডেন,	
monohputa,	মনোপুতা,	মনঃপুত,	
mmesenjarer,	মেশিঞ্জরের,	মেসেঞ্জারের,	
estania,	এস্টানিয়া,	এস্তোনিয়া,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
surkarder,	সুরকরদের,	সুরকারদের,	
hertj,	হার্ট,	হার্জ,	
pharn,	ফর্ন,	ফার্ন,	
paite,	পাইট,	পাইতে,	
songasthaner,	সংস্থানের,	সংস্থানের,	
chalochchitreer,	চলচিতির্রের,	চলচ্চিত্রের,	
angkita,	অংকিত,	অঙ্কিতা,	
bonovumi,	বনভূমি,	বনভূমি,	
anciint,	অ্যান্সিন্ট,	এনসিয়েন্ট,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
pooroheetke,	পুরহিটকে,	পুরোহিতকে,	
labonaaktotaar,	লবণাক্তরার,	লবণাক্ততার,	
prodip,	প্রদিপ,	প্রদীপ,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
bufer,	বুফের,	বাফার,	
kalki,	কলকী,	কালকি,	
aaeereshe,	আইরেশ,	আইরেসে,	
hoomes,	হোমেস,	হোমস,	
chalochchitraeeo,	চলচিতিত্রেয,	চলচ্চিত্রেও,	
habsi,	হাবসী,	হাবশী,	
horipoor,	হরিপুর,	হরিপুর,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
juktarashtre,	যুক্তরাস্ত্রে,	যুক্তরাষ্ট্রে,	
taruner,	তরুণের,	তরুণের,	
tahalei,	তহলেই,	তাহলেই,	
maarmader,	মার্মাদের,	মারমাদের,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
pushtir,	পুষ্টির,	পুষ্টির,	
eideen,	এইডিন,	এইদিন,	
maithili,	মেঠিলি,	মৈথিলি,	
arena,	আরেন,	এরিনা,	
plena,	প্লেন,	প্লেন,	
surke,	সূর্ক,	সুরকে,	
slok,	স্লোক,	শ্লোক,	
behrampurer,	বেহরমপুরের,	বহরমপুরের,	
goteehin,	গতিহীন,	গতিহীন,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
chalochchitreeo,	চলচিতিত্রে,	চলচ্চিত্রেও,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
koordider,	কুর্দিদের,	কুর্দিদের,	
ghumacchilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
sukumaree,	শুকুমারি,	সুকুমারী,	
orgho,	অর্ঘ,	অর্ঘ্য,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
kyanela,	ক্যানেল,	ক্যানেল,	
lishensh,	লিসেন্স,	লাইসেন্স,	
manahputo,	মানাপুত,	মনঃপুত,	
soranor,	সরণার,	সরানোর,	
konphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
mosharroph,	মোশাররফ,	মশাররফ,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
chuti,	চুটি,	ছুটি,	
onektai,	অনেকটাই,	অনেকটাই,	
jack,	জ্ক,	জ্যাক,	
abdun,	আব্দুন,	আবদুন,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
oojbekistaner,	উজ্বাকেষ্তানের,	উজবেকিস্তানের,	
bohubar,	বহুবার,	বহুবার,	
arthurer,	অর্থুরের,	আর্থারের,	
heeavy,	হেভি,	হেভি,	
nirupita,	নিরুপিত,	নিরূপিত,	
lobbytey,	লবব্যেট,	লবিতে,	
ayantarketika,	আন্টার্টিকটিক,	অ্যান্টার্কটিকা,	
asavyo,	অশাভ্য,	অসভ্য,	
robotic,	রোবটিক,	রোবোটিক,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
sooter,	সুটের,	শ্যুটার,	
blyaka,	ব্লক,	ব্ল্যাক,	
borana,	বরণা,	বোরন,	
shikshakbrindo,	শিক্ষাবৃণ্দ,	শিক্ষকবৃন্দ,	
khambaa,	কা্বা,	খাম্বা,	
shaapholler,	সাফলের,	সাফল্যের,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
basaake,	বাসাকে,	বাসাকে,	
dackop,	ডাকপ,	দাকোপ,	
diznee,	ডিজনী,	ডিজনী,	
oboshorer,	অবসরের,	অবসরের,	
ekeerokom,	একারোম,	একইরকম,	
eporjanta,	এপরর্ন্ত,	এপর্যন্ত,	
rohosyer,	রহস্যের,	রহস্যের,	
dokaneyi,	ডকানেই,	দোকানেই,	
kodguli,	কোদগুলি,	কোডগুলি,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
dearas,	ডিরাস,	ডিআরএস,	
abhidhaaneek,	আভিধানিক,	অভিধানিক,	
aakkash,	আক্াশ,	আককাস,	
shkarta,	স্কোর্ট,	স্কার্ট,	
shosha,	শোষা,	শশা,	
pluck,	প্লক,	প্ল্যাক,	
hughes,	হুগেশ,	হিউজেস,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
hoondayi,	হুন্দেই,	হুন্দাই,	
roopdan,	রোপ্ান,	রুপদান,	
dajjha,	দাজযা,	দাহ্য,	
marketey,	মার্কটে,	মার্কেটে,	
manur,	মনুর,	মনুর,	
manonitader,	মননীতাতের,	মনোনীতদের,	
mirakela,	মিরালেল,	মিরাকেল,	
byte,	বিতে,	বাইট,	
hijriite,	হিজরিতে,	হিজরীতে,	
craze,	ক্রেজ,	ক্রেজ,	
rajballav,	রাজব্যবল,	রাজবল্লভ,	
janmat,	জন্মাত,	জন্মাত,	
muhamad,	মুহমমদ,	মুহাম্মদ,	
sarboshokteeman,	সর্বস্কতমননার,	সর্বশক্তিমান,	
gulen,	গুলেন,	গুলেন,	
akpashe,	একপাশে,	একপাশে,	
towraat,	টওউরাা,	তওরাত,	
catholic,	ক্যাথলিক,	ক্যাথলিক,	
kormyi,	কর্মই,	কর্মই,	
fax,	ফ্যাক্স,	ফক্স,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
itastato,	ইতসস্ত,	ইতস্তত,	
abolokon,	অবলোকন,	অবলোকন,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
associatees,	অ্যাসোসিয়েস্স,	এসোসিয়েটস,	
janachhe,	জানাছে,	জানাচ্ছে,	
muhurta,	মুহুর্তা,	মুহুর্ত,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
scall,	স্ক্ল,	এসকল,	
atyacharita,	অত্যচারিত,	অত্যাচারিত,	
somratra,	সম্তাত্র,	সম্রাটরা,	
ghoomachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
sharif,	শরীফ,	শরিফ,	
raeets,	রেইটস,	রাইটস,	
kathmandu,	কঠ্মন্দু,	কাঠমান্ডু,	
iraaner,	ইরানের,	ইরানের,	
