estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
kindama,	কিন্দামা,	কিংডম,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
tep,	টেপ,	ট্যাপ,	
mach,	ম্চ,	মাছ,	
poriikkhateo,	পরিক্ষাতেও,	পরীক্ষাতেও,	
rubyo,	রুব্য,	রুবিও,	
thesiser,	ঠেসিসের,	থিসিসের,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
aansareer,	আনসারীর,	আনসারীর,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
hebhi,	হেভি,	হেভি,	
lajik,	লাজিক,	লজিক,	
jealand,	জেলাযান্ড,	জিল্যান্ড,	
laicenshe,	লাইনেস্সে,	লাইসেন্স,	
torunra,	তরুণরা,	তরুণরা,	
abheedhaner,	অভিধানের,	অভিধানের,	
smarok,	স্বারক,	স্মারক,	
ghur,	ঘুর,	ঘুর,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
norpholk,	নরফলল,	নরফোক,	
melborner,	মেলবর্ণের,	মেলবোর্নের,	
khodeja,	খোদেজা,	খোদেজা,	
prachuryer,	প্রচুরিয়ের,	প্রাচুর্যের,	
baraakpur,	বারাকুর,	বারাকপুর,	
dolguloo,	দলগুলো,	দলগুলোও,	
seektara,	স্কেকারা,	সেক্টর,	
kharar,	খারার,	খরার,	
stonehenj,	স্টোয়েনেজ,	স্টোনহেঞ্জ,	
asocietes,	অসেচিটেস,	এসোসিয়েটস,	
ray,	রে,	রায়,	
taateo,	তাতেও,	তাতেও,	
agrodoot,	অগ্রদুত,	অগ্রদূত,	
chaiti,	চাইটি,	চৈতি,	
kloj,	ক্লোজ,	ক্লজ,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
oitijjhe,	ঐতিহ্যে,	ঐতিহ্যে,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
tet,	তেট,	টেট,	
caramiks,	কারামিক্স,	সিরামিকস,	
dharavahikeo,	ধারাভাহিতেই,	ধারাবাহিকেও,	
nondolaal,	নন্দললাল,	নন্দলাল,	
land,	ল্যান্ড,	ল্যান্ড,	
remacry,	রেমক্রি,	রেমাক্রী,	
fand,	ফাঁদ,	ফান্ড,	
musalmanke,	মুসালমণকে,	মুসলমানকে,	
tulechen,	তুলেছেন,	তুলেছেন,	
shaartho,	সার্থ,	স্বার্থ,	
motabolambira,	মোটাবলম্বীরা,	মতাবলম্বীরা,	
masterer,	মস্তারের,	মাস্টারের,	
sten,	স্টেন,	স্টেন,	
praapoker,	প্রপোকের,	প্রাপকের,	
karlosa,	কার্লস,	কার্লোস,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
kana,	কানা,	কণা,	
elaaka,	এলাকা,	এলাকা,	
sumi,	সুমি,	সুমি,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
paripakey,	পরিপাকে,	পরিপাকে,	
homsher,	হোমসের,	হোমসের,	
bhogno,	ভগ্ন,	ভগ্ন,	
quarter,	কুরর্টার,	কোয়ার্টার,	
elakati,	এলাকাটি,	এলাকাটি,	
lobbytey,	লব্বিতে,	লবিতে,	
tunaita,	তুণাত,	টুনাইট,	
suparahiro,	সুপারহহিরা,	সুপারহিরো,	
nodnadir,	নদ্নাদীর,	নদনদীর,	
somoshti,	সমস্তি,	সমষ্টি,	
estania,	এস্টনিয়া,	এস্তোনিয়া,	
asavyo,	অসভ্য,	অসভ্য,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
waal,	ওয়াল,	উল,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
taaims,	টাইমস,	টাইমস্,	
aiieubi,	আইইভি,	আইইউবি,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
ronangane,	রোনাঙ্গনে,	রণাঙ্গনে,	
eastar,	এস্টার,	ইস্টার,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
habsi,	হাবসী,	হাবশী,	
vittiei,	ভিতেই,	ভিত্তিই,	
cholchhee,	চলচী,	চলছে,	
bagey,	বাগে,	বাগে,	
sakaar,	সকার,	সকার,	
resorte,	রেসর্তে,	রিসোর্টে,	
bhagno,	ভা্গ,	ভগ্ন,	
texaser,	টেক্সাসের,	টেক্সাসের,	
sorano,	সরানো,	সরানো,	
rajotwo,	রাজত্ব,	রাজত্ব,	
prasadhani,	প্রশাধনী,	প্রসাধনী,	
tali,	তালি,	তালি,	
quata,	কোটা,	কোটা,	
jokkho,	যক্ষ,	যক্ষ,	
inapharameshhana,	ইনফর্মেশন,	ইনফরমেশন,	
mat,	মা,	ম্যাট,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
ballroom,	বাল্রম,	বলরুম,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
shangsthati,	সংস্ষাটি,	সংস্থাটি,	
shov,	শো,	শো,	
polashir,	পলাসীর,	পলাশীর,	
qarima,	করিমা,	করিম,	
taufiq,	তুফিক,	তৌফিক,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
plusey,	প্লাসে,	প্লাসে,	
vageri,	ভাগেরী,	ভাগেরই,	
istane,	ইস্তানে,	স্টোন,	
lompot,	লম্পত,	লম্পট,	
chhootochhuti,	ছুটুখুটি,	ছুটোছুটি,	
vaabna,	ভাবনা,	ভাবনা,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
ahong,	আহং,	অহং,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
sampadaner,	সম্পদদনের,	সম্পাদনের,	
bufar,	বুফার,	বাফার,	
nothibhookteer,	নথিযুক্তির,	নথিভুক্তির,	
foloshrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
letara,	লেটার,	লেটার,	
mette,	মেটে,	ম্যাট,	
hajirhat,	হাজীরহাট,	হাজিরহাট,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
shpredashhita,	স্প্রাডডেশিট,	স্প্রেডশীট,	
pouch,	পৌঁচ,	পাউচ,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
bhadaka,	ভাদকা,	ভদকা,	
nothivooktir,	নথিযুক্তির,	নথিভুক্তির,	
cilahati,	চিলাহতি,	চিলাহাটি,	
beekaargrasto,	বিকর্গারস্ত,	বিকারগ্রস্ত,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
satarkota,	সতরকতা,	সতর্কতা,	
dokangulotey,	দকনগুলোতে,	দোকানগুলোতে,	
saida,	সাইড,	সাইদা,	
rob,	রব,	রব,	
chaakti,	চাকটি,	চাকতি,	
zerusalem,	জারোফোলে,	জেরুজালেম,	
monzhoshtho,	মঞ্চস্থ,	মঞ্চস্থ,	
koordira,	কুর্দিরা,	কুর্দিরা,	
vaabnar,	ভাবনার,	ভাবনার,	
change,	চঙ্গে,	চেঞ্জ,	
bjp,	বিপিএপি,	বিজেপি,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
turkameena,	তুর্কমীনা,	তুর্কমেন,	
horidware,	হরিদ্রারে,	হরিদ্বারে,	
melborne,	মেলবর্ণে,	মেলবোর্নে,	
vault,	ভাল্ট,	ভল্ট,	
ssahocorze,	সহসর্যে,	সাহচর্যে,	
gaphiloti,	গ্ফিলাটি,	গাফিলতি,	
basakey,	বাসাকে,	বাসাকে,	
laisens,	লাইসেন্স,	লাইসেন্স,	
chaalta,	চাল্টা,	চালতা,	
taufik,	তৌফিক,	তৌফিক,	
spreadseet,	স্প্রাডেস,	স্প্রেডশীট,	
shannal,	সান্নাল,	সান্যাল,	
milekhaanek,	মিলেখানকে,	মাইলখানেক,	
dhos,	ধশ,	ধস,	
shahanara,	শাহনারা,	শাহানারা,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
provritir,	প্রভৃতির,	প্রভৃতির,	
osoborno,	অসবর্ন,	অসবর্ণ,	
shuchonakal,	সুচনাকাল,	সূচনাকাল,	
kabutorer,	কাবুতারের,	কবুতরের,	
bhabnar,	ভবনার,	ভাবনার,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
machher,	মাচের,	মাছের,	
taalgaachh,	তালগাছ,	তালগাছ,	
samashti,	সমস্তি,	সমষ্টি,	
skyirt,	স্কার্ট,	স্কার্ট,	
swostir,	স্বস্তির,	স্বস্তির,	
rights,	রিজ্টাস,	রাইটস,	
tecno,	টেকনো,	টেকনো,	
mohish,	মহিশ,	মহিষ,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
nevate,	নেভাতে,	নেভাতে,	
cholo,	চলো,	চলো,	
auncholo,	আঞ্চলো,	অঞ্চলও,	
toronee,	তরনী,	তরণী,	
notti,	নটি,	নোটটি,	
inamil,	ইনমিল,	এনামেল,	
orbiit,	অর্বিত,	অরবিট,	
chalochchitreer,	চালচচিত্রের,	চলচ্চিত্রের,	
bamonder,	বামন্ডের,	বামনদের,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
madal,	মদল,	মাদল,	
sahocorrzo,	সহকর্র্য,	সাহচর্য,	
aiiub,	আইইব,	আইইউবি,	
rayyaleti,	রাইয়েলটি,	রয়্যালটি,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
sukkha,	সুক্ষ,	সুক্ষ্ম,	
myathious,	ম্যাথিয়াস,	ম্যাথিউস,	
monzooshree,	মন্যসরি,	মঞ্জুশ্রী,	
model,	মোদেল,	মডেল,	
chalochchitraeei,	চালচচিত্রাই,	চলচ্চিত্রেই,	
prokalpati,	প্রকল্পটি,	প্রকল্পটি,	
dormitory,	ডরমিটরি,	ডরমিটরি,	
bibhonno,	বিভন্ন,	বিভন্ন,	
aarke,	আরকে,	আরকে,	
maadhoori,	মাধুরি,	মাধুরী,	
temas,	টেমস,	টাইমস্,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
lajiker,	লাজিকের,	লজিকের,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
phiksha,	ফিক্স,	ফিক্স,	
dibeting,	ডিবাইটিং,	ডিবেটিং,	
dhnoka,	ঢ্ককা,	ধোঁকা,	
modelti,	মডেলটি,	মডেলটি,	
otorkeitey,	অতরকেই,	অতর্কিতে,	
deputy,	দিপটি,	ডেপুটি,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
masazida,	মসজেদা,	মসজিদ,	
saabbir,	সাব্বীর,	সাব্বির,	
enjineerinj,	এঞ্জিনীরিং,	ইঞ্জিনিয়ারিং,	
bodh,	বোধ,	বোধ,	
bivonno,	বিভন্ন,	বিভন্ন,	
machder,	মাছদের,	মাছদের,	
ustad,	উষ্টাদ,	উস্তাদ,	
pothchari,	পচচারী,	পথচারী,	
santa,	সন্ত,	সান্তা,	
ovishongshon,	অভিশংশন,	অভিশংসন,	
agoora,	অগুরা,	আগোরা,	
joqy,	জোকি,	জকি,	
shikshakbrinda,	শিক্ষাক্রিন্দ,	শিক্ষকবৃন্দ,	
anti,	আনটি,	আন্টি,	
bo,	বো,	বু,	
garner,	গার্নার,	গার্নার,	
sarbopori,	সর্বপরি,	সর্বোপরী,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
asaborno,	অসবর্ন,	অসবর্ণ,	
porishongkhyanbid,	পরিসংখ্যবিক্য,	পরিসংখ্যানবিদ,	
karkat,	কর্কট,	কর্কট,	
danut,	দানুত,	ডোনাট,	
moddhyekar,	মধ্যকেরার,	মধ্যেকার,	
stanehenge,	স্টেযানেজে,	স্টোনহেঞ্জ,	
prakalpoo,	প্রকল্পো,	প্রকল্পও,	
chitronatyakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
ghatir,	ঘটির,	ঘাটির,	
parswer,	পার্সবের,	পার্শ্বে,	
tennys,	টেনিস,	টেনিস,	
krema,	ক্রেম,	ক্রাইম,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
moldowa,	মলদ্বও,	মলদোভা,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
transformerer,	ট্রান্সোোর্যারের,	ট্রান্সফরমারের,	
mojuter,	মজুতের,	মজুতের,	
obhidhaner,	অভিধানের,	অভিধানের,	
pabo,	পাবো,	পাব,	
nagarik,	নগরিক,	নাগরিক,	
attaar,	আত্মার,	আত্তার,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
amarjito,	আমারজিত,	অমার্জিত,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
kunntee,	কান্টি,	কুন্তী,	
