naper,	নাপের,	ন্যাপের,	
abdoone,	আবদ্দুনে,	আবদুন,	
dobhara,	দভার,	ডোভার,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
sasharire,	শাসরীরে,	সশরীরে,	
hondurus,	হন্ডুরুস,	হন্ডুরাস,	
bronzer,	ব্রাঞ্জের,	ব্রোঞ্জের,	
toubar,	তৌবার,	তওবার,	
male,	মালে,	মালে,	
sikha,	শিখা,	শিখ,	
avatar,	অভাতার,	অবতার,	
kormokandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
balaruma,	বললুরা,	বলরুম,	
shtonehenge,	স্টোনেহেন্জে,	স্টোনহেঞ্জ,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
tarun,	তরুণ,	তরুন,	
karpeter,	কর্পটের,	কার্পেটের,	
vejano,	ভেজানো,	ভেজানো,	
armshtronj,	আর্স্টোর্জ,	আর্মস্ট্রং,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
subadey,	সুবাদে,	সুবাদে,	
mangolik,	মাঙ্গললিক,	মাঙ্গলিক,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
torooner,	তরুণের,	তরুণের,	
eshkol,	এস্কল,	এসকল,	
itostato,	ইত্সত্ত,	ইতস্ততঃ,	
phalah,	ফলা,	ফালাহ,	
avisongson,	অভিসনষণ,	অভিশংসন,	
yoneetey,	যোনিতে,	যোনীতে,	
mulbhitti,	মুলভীত্তি,	মূলভিত্তি,	
karkatkranti,	কারকক্তানি,	কর্কটক্রান্তি,	
bhotara,	ভোতার,	ভোটার,	
gaichey,	গৈছে,	গাইছে,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
chargar,	চার্গার,	চার্জার,	
vaskor,	ভাস্কোর,	ভাস্কর,	
apoharon,	অপহরণ,	অপহরন,	
asietic,	অসিটেটিক,	এশিয়াটিক,	
soheensotar,	সহিনস্ততার,	সহিংসতার,	
shansthaner,	সংস্থানের,	সংস্থানের,	
ramantik,	রমমন্তিক,	রোমান্টিক,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
farn,	ফরন,	ফার্ন,	
icebarg,	ইসেবরর্গ,	আইসবার্গ,	
darji,	দার্জি,	দরজি,	
khanonkaj,	খননকাজ,	খননকাজ,	
dai,	দাই,	ডে,	
bhenna,	ভেন্না,	ভেন্না,	
jinsa,	জিনস,	জিন্স,	
kanasarabheeshana,	কনোরসেভান,	কনসারভেশন,	
madhukooree,	মাধুকুরী,	মাধুকরী,	
olympik,	অলিম্পিক,	অলিম্পিক,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
skalastic,	স্কলাসিক,	স্কলাস্টিক,	
bahati,	বাহটি,	বাহাতি,	
teamothi,	টিমোথি,	টিমোথি,	
turkmeen,	তুরক্মিন,	তুর্কমেন,	
victar,	ভিক্টার,	ভিক্টর,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
dharavassyokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
taanteera,	তানতিরা,	তাঁতিরা,	
hotelti,	হটেলটি,	হোটেলটি,	
rigthter,	রিগ্ঠের,	রাইটের,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
shuparahiro,	সুপারোহীরা,	সুপারহিরো,	
gaziipur,	গাজীপুর,	গাজীপুর,	
spenser,	স্পেন্সের,	স্পেন্সার,	
restuarant,	রেস্তোরাঁন্ট,	রেষ্টুরেন্ট,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
akshoti,	এক্সটি,	একশোটি,	
gabhaskaar,	গভাস্কার,	গাভাস্কার,	
siddhantoo,	সিদ্ধানত,	সিদ্ধান্তও,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
poripake,	পরিপাকে,	পরিপাকে,	
ispreedsheet,	ইস্প্রেেটস,	স্প্রেডশীট,	
spreeadsheet,	স্প্রিডেেট,	স্প্রেডশীট,	
serverey,	সেরভারে,	সার্ভারে,	
chheelonaa,	ছিলনা,	ছিলনা,	
udvabon,	উদ্ভবন,	উদ্ভাবন,	
ceema,	কিম,	সীমা,	
akkhar,	আক্ষর,	অক্ষর,	
gaddafee,	গ্যাডফাফী,	গাদ্দাফী,	
plainti,	প্লেন্টি,	প্লেনটি,	
moolgoto,	মূলগত,	মূলগত,	
evaner,	ইভানের,	ইভানের,	
rupert,	রুপার্ট,	রুপার্ট,	
folo,	ফলও,	পোলো,	
adhyatmikata,	অধ্যাতিতমা,	আধ্যাত্মিকতা,	
manobmoner,	মানবনমের,	মানবমনের,	
ustad,	উস্তাড,	উস্তাদ,	
osamonjoshyopurno,	অসমানসযপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
america,	অ্যামেরিকা,	আমেরিকা,	
oncholgoolote,	অঁচলগুলোতে,	অঞ্চলগুলোতে,	
tanteera,	তানটিরা,	তাঁতিরা,	
shulke,	শুলকে,	শুল্কে,	
neerbahi,	নির্বাহী,	নির্বাহি,	
jaaygata,	জাগগত,	জায়গাটা,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
sector,	সেক্টর,	সেক্টর,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
krus,	ক্রুশ,	ক্রুশ,	
taorat,	তররাত,	তওরাত,	
aanaan,	আনান,	আনান,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
marufer,	মারুফের,	মারুফের,	
udbodhony,	উদ্বোধনে,	উদ্বোধনী,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
teoyana,	টিউয়ান,	তাইওয়ান,	
swajaner,	স্বজনের,	স্বজনের,	
shalsa,	সালসা,	সালসা,	
jaanar,	জানার,	জানার,	
baait,	বাইট,	বাইট,	
chakti,	চক্তি,	চাকতি,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
monohputa,	মন্পুত,	মনঃপুত,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
jahns,	জাহসন,	জন্স,	
orhan,	ওরহান,	ওরহান,	
parshwey,	পারস্বে,	পার্শ্বে,	
choity,	চৈতি,	চৈতি,	
showte,	শাউতে,	শোতে,	
khijir,	খিজির,	খিজির,	
besharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
kaamij,	কামিজ,	কামিজ,	
ashamarthita,	অসারম্্তিত,	অসমর্থিত,	
abahon,	আবাহন,	আবাহন,	
asaciates,	অসাাইটিটেস,	এসোসিয়েটস,	
koner,	কোনের,	কনের,	
jackshan,	জক্ষণ,	জ্যাকসন,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
dii,	দি,	দিই,	
helly,	হেলি,	হিলি,	
grambaseer,	গ্রামসাসের,	গ্রামবাসীর,	
chiranton,	চিরান্তন,	চিরন্তন,	
bamonder,	বামন্ডের,	বামনদের,	
rahie,	রাহি,	রাহি,	
jak,	যাক,	জাঁক,	
eevil,	এভিল,	ইভিল,	
cholochchitrei,	চলচ্ত্রীই,	চলচ্চিত্রেই,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
ramdhonu,	রামধুন,	রামধনু,	
ekshoti,	একশতি,	একশোটি,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
konader,	কোনাডের,	কণাদের,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
monjooshree,	মন্যুশ্রী,	মঞ্জুশ্রী,	
raktaksharaner,	রক্তকর্ষণের,	রক্তক্ষরণের,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
dharmi,	ধার্মী,	ধর্মী,	
vumija,	ভূমিজা,	ভূমিজ,	
samanwitabhabe,	সমানবিতভাবে,	সমন্বিতভাবে,	
potthon,	পথ্যন,	পঠন,	
dweegulotey,	দ্বুগুলোতে,	দ্বীপগুলোতে,	
punch,	পাঁচ,	পুঞ্চ,	
parishrom,	পরিশ্রম,	পরিশ্রম,	
weelcomee,	ওয়েলকম,	ওয়েলকাম,	
parksh,	পার্কস,	পার্কস,	
harza,	হার্জা,	হার্জ,	
wul,	উল,	উল,	
zeans,	জিনস,	জিন্স,	
gemi,	জেমি,	জেমি,	
maaktoome,	মাক্তমে,	মাকতুম,	
onekeryi,	অনেকরই,	অনেকেরই,	
romonar,	রোমার,	রমনার,	
bikargrasta,	বিকরগগ্ত,	বিকারগ্রস্ত,	
atyacharita,	অত্যচারিত,	অত্যাচারিত,	
ajauno,	আজানু,	অযৌন,	
metropoliton,	মেট্রোপলিপ্যান,	মেট্রোপলিটন,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
sachetanatamulok,	সক্ষেতনামূলক,	সচেতনতামূলক,	
skalastika,	স্কলাসিক,	স্কলাস্টিক,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
dhikrito,	ধিকৃত,	ধিকৃত,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
chaity,	চেইটি,	চৈতি,	
ashammatite,	অসম্মতিতে,	অসম্মতি,	
nyaper,	ম্যাপের,	ন্যাপের,	
muladi,	মুলাদী,	মুলাদি,	
alexandarkey,	আলেক্সান্ডকে,	আলেকজান্ডারকে,	
becha,	বেছা,	বেচা,	
moldowa,	মলদদা,	মলদোভা,	
tunar,	তুনার,	টিউনার,	
infarmatian,	ইনফরযারেশন,	ইনফরমেশন,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
heights,	হেইটস,	হাইটস,	
moonim,	মুনিং,	মুনিম,	
jyotsna,	জ্ঞৎসনা,	জ্যোৎস্না,	
utsaho,	উত্সাহ,	উৎসাহ,	
laga,	লাগা,	লগ,	
engil,	এঞ্জেল,	ইঞ্জিল,	
herisoner,	হেরিসনের,	হ্যারিসনের,	
jinsha,	জিংসা,	জিন্স,	
manober,	মানবের,	মানবের,	
poner,	পোনের,	পনের,	
habsi,	হাবসি,	হাবশী,	
attaar,	আত্মার,	আত্তার,	
nesons,	নেশনস,	নেশনস,	
dobhar,	দভার,	ডোভার,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
deepon,	দীপন,	দীপন,	
ashanka,	আসঙ্কা,	আশংকা,	
manab,	মানব,	মানব,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
leaders,	লিডার্স,	লিডার্স,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
kanagulo,	কানাগুলো,	কণাগুলো,	
sloker,	স্লোকের,	শ্লোকের,	
dooburira,	দুবুরীরা,	ডুবুরিরা,	
aashtikotaa,	আস্তিকটা,	আস্তিকতা,	
totokhon,	ততক্ষণ,	ততক্ষন,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
highcommissionay,	হাইকমিশনা,	হাইকমিশনে,	
dazjo,	দাজ্য,	দাহ্য,	
themeke,	থেমেকে,	থিমকে,	
manohar,	মানহার,	মনোহর,	
kompeeto,	কম্পিত,	কম্পিত,	
rah,	রাহ,	রঃ,	
nazi,	নাজি,	নাত্সি,	
taunship,	তাউন্সিপ,	টাউনশিপ,	
sarsa,	সার্স,	সোর্স,	
mojlish,	মজলিস,	মজলিশ,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
kanake,	কানাকে,	কণাকে,	
dorgaaho,	দরগাহ,	দরগাহ,	
shotoker,	শতককের,	শতকের,	
barakpur,	বারাকপুর,	বারাকপুর,	
chilona,	ছিলনা,	ছিলনা,	
gitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
ammor,	অ্যার,	আমর,	
moshjidtir,	মোশজিদ্তির,	মসজিদটির,	
mitar,	মিতার,	মিত্র,	
keo,	কিও,	কেও,	
sayeed,	সাইড,	সাইদ,	
vabook,	ভাবুক,	ভাবুক,	
tuni,	তুনি,	টুনি,	
aqram,	এক্রম,	আকরাম,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
jatak,	যতক,	জাতক,	
motabolambira,	মোটাবলম্বীরা,	মতাবলম্বীরা,	
hingsar,	হিংসার,	হিংসার,	
moqam,	মোকম,	মোকাম,	
zzonite,	যোনিতে,	যোনীতে,	
jes,	জেস,	জেস,	
sangasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
shtona,	স্টন,	স্টোন,	
shoccar,	শোক্র,	সকার,	
dap,	ডাপ,	ড্যাপ,	
telaakucha,	তেলাকুচ,	তেলাকুচা,	
musolmanera,	মুসলম্নেযা,	মুসলমানেরা,	
