mukhya,	মূখ্য,	মুখ্য,	
shatan,	শতন,	শয়তান,	
somrat,	সমরা,	সম্রাট,	
potocheetro,	পতচিত্র,	পটচিত্র,	
uzobekeestaan,	উজবেখিস্তান,	উজবেকিস্তান,	
lutherana,	লুডারেন,	লুথেরান,	
dai,	দাই,	দিই,	
manushtike,	মন্নিষ্টিকে,	মানুষটিকে,	
phareeksa,	ফেরিক্স,	ফরেক্স,	
rob,	রব,	রব,	
madhabi,	মাধবী,	মাধবী,	
konorup,	কননরূপ,	কোনরূপ,	
pacbbar,	পাঁববর,	পাঁচবার,	
elaakaatike,	এলাকাটিকে,	এলাকাটিকে,	
bhageri,	ভাগেরী,	ভাগেরই,	
keuyi,	কিউই,	কেউই,	
hooq,	হোক,	হুক,	
hebhi,	হেভি,	হেভি,	
transapharma,	ট্রান্সপোর্ড,	ট্রান্সফর্ম,	
hajaribag,	হাজারবিগ,	হাজারিবাগ,	
saainyo,	সৈন্য,	সৈন্য,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
munim,	মুনিং,	মুনিম,	
vejjanno,	ভেজান্ন,	ভেজানো,	
alpoi,	আলপপই,	অল্পই,	
protul,	প্রতুল,	প্রতুল,	
kokhonoba,	কখনোবা,	কখনওবা,	
chhooti,	ছুটি,	ছুটি,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
daaloo,	ডালু,	ডালু,	
upobashee,	উপবাসী,	উপবাসী,	
jyestthotar,	জেষ্ঠতার,	জ্যেষ্ঠতার,	
sangasthatir,	সংগঠসটির,	সংস্থাটির,	
shreeshri,	শ্রীশ্রী,	শ্রীশ্রী,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
postake,	পোষ্টাকে,	পোস্টকে,	
piruzali,	পিরুজালি,	পিরুজালী,	
ghomtaa,	ঘম্টা,	ঘোমটা,	
teoyana,	টিওয়ান,	তাইওয়ান,	
robot,	রোবট,	রোবোট,	
tukroti,	তুক্রটি,	টুকরোটি,	
madhumati,	মধুমতি,	মধুমতী,	
puncho,	পাঞ্চ,	পুঞ্চ,	
hatodoridra,	হতোদিদর্য,	হতদরিদ্র,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
adhit,	অধিত,	অধীত,	
isahak,	ইসহা,	ইসাহাক,	
liseensee,	লিসেন্স,	লাইসেন্স,	
madrasake,	মদ্রাসকে,	মাদ্রাসাকে,	
casper,	কাশ্পের,	ক্যাসপার,	
daakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
huk,	হুক,	হুক,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
lambaate,	লম্বাতে,	লম্বাটে,	
amstrang,	আমস্ট্রাং,	আর্মস্ট্রং,	
bhaskar,	ভাষ্কার,	ভাস্কর,	
sontoshe,	সন্তোষে,	সন্তোষে,	
ghatla,	ঘটলা,	ঘটল,	
bhangle,	ভাঙলে,	ভাঙলে,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
ranadip,	রানাডিপ,	রণদীপ,	
cholochchitraeeo,	চলচ্তির্ছেও,	চলচ্চিত্রেও,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
nirobota,	নিরবতা,	নিরবতা,	
anisha,	অনিশ,	আনিস,	
vitti,	ভিত্তি,	ভিত্তিই,	
kokein,	কোকেইন,	কোকেইন,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
soomo,	সম,	সুমো,	
daktikiter,	দাকতিকিতের,	ডাকটিকিটের,	
melobborne,	মেলব্যর্ণ,	মেলবোর্নে,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
metroopalitana,	মেট্রোপুলিন,	মেট্রোপলিটন,	
shov,	শব,	শো,	
cholocchitrigulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
phakay,	ফাকে,	ফাকে,	
kingsh,	কিংস,	কিংস,	
meterey,	মেটেরে,	মিটারে,	
teamothy,	টেমোথি,	টিমোথি,	
suddeen,	সুদ্দীন,	সাডেন,	
nathivukteer,	নথিভুক্তির,	নথিভুক্তির,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
metropalitana,	মেট্রোপোটান,	মেট্রোপলিটন,	
akshor,	অক্ষর,	একশোর,	
soteciety,	সোটেসিতে,	সোসাইটিতে,	
jathaartho,	যথার্থ,	যথার্থ,	
amshtrong,	আমস্ট্রোং,	আর্মস্ট্রং,	
uipoka,	উইপেকো,	উইপোকা,	
ahollar,	আহল্লার,	অহল্যার,	
agam,	আগাম,	আগম,	
aparagata,	অপরাগত,	অপারগতা,	
tarasa,	তারাস,	টেরেসা,	
chaalaabi,	চালাবি,	চালাবে,	
barbe,	বার্বে,	বাড়বে,	
aansaareer,	আনসারির,	আনসারীর,	
qiuti,	কিউটি,	কিউটি,	
leadar,	লিডার,	লিডার,	
shooter,	শুটের,	শ্যুটার,	
akjoge,	একযোগে,	একযোগে,	
akatwa,	একাত্ব,	একাত্ব,	
tistaar,	টিস্টার,	তিস্তার,	
doltyagi,	দল্যাগী,	দলত্যাগী,	
risort,	রিসর্ট,	রিসোর্ট,	
dooborira,	দুবররিরা,	ডুবুরিরা,	
aziboner,	আজিবনের,	আজীবনের,	
bbosben,	বসবেন,	বসবেন,	
uparjaner,	উপার্জনের,	উপার্জনের,	
nirgoon,	নির্গুণ,	নির্গুণ,	
ankita,	অঙ্কিত,	অঙ্কিতা,	
arena,	অরেন,	এরিনা,	
nagariker,	নাগীরিকের,	নাগরিকের,	
spreeadsheet,	স্প্রেসিডেট,	স্প্রেডশীট,	
shringge,	শ্রিঙ্গে,	শৃঙ্গে,	
blacker,	ব্ল্যাকের,	ব্ল্যাকের,	
riphleksa,	রাইফেল্সা,	রিফ্লেক্স,	
angshogragon,	অংশগ্রহণ,	অংশগ্রহন,	
probesher,	প্রবেশের,	প্রবেশের,	
dubate,	দুবতে,	ডুবাতে,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
potka,	পতকা,	পটকা,	
lesense,	লেলেন্সে,	লাইসেন্স,	
elakayi,	এলাকাই,	এলাকাই,	
sahinsatar,	সহিষ্টতার,	সহিংসতার,	
madraser,	মদদরশের,	মাদ্রাজের,	
noitikbhabe,	নৈতিভাবে,	নৈতিকভাবে,	
superheror,	সুপারেরওর,	সুপারহিরোর,	
poner,	পনের,	পনের,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
perri,	পেযারি,	পেরি,	
poscater,	পশ্চাতের,	পশ্চাতের,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
valobasey,	ভালোবাসে,	ভালোবাসে,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
gronthotikey,	গ্রন্থিতিকে,	গ্রন্থটিকে,	
graambaseeo,	গ্রামবেশা,	গ্রামবাসীও,	
azimpur,	আজিমপুর,	আজিমপুর,	
batsmaner,	বাৎসমানের,	ব্যাটসম্যানের,	
konphlikt,	কনফিলক্ট,	কনফ্লিক্ট,	
mosan,	মোষণ,	মোশন,	
raeets,	রেটস,	রাইটস,	
timesh,	টাইমস,	টাইমস্,	
sothik,	সথিক,	সঠিক,	
jackey,	য্যাকে,	জকি,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
elakatir,	এলাকাতির,	এলাকাটির,	
rato,	রত,	রত,	
neelabh,	নিলভভ,	নীলাভ,	
saajanor,	সাজানোর,	সাজানোর,	
dece,	ডিসে,	ডেকে,	
jwar,	জ্বার,	জ্বর,	
barbadoj,	বার্বাড,	বার্বাডোজ,	
zerusalem,	জেরুসামাম,	জেরুজালেম,	
shikarke,	শিবরকে,	শিকারকে,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
graambasheeo,	গ্রামবেশী,	গ্রামবাসীও,	
horas,	হরাস,	হোরাস,	
khaneker,	খননেের,	খানেকের,	
spencer,	স্পেন্সের,	স্পেন্সার,	
bolechi,	বলেছি,	বলেছি,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
geejeeteeda,	গিজেটেড,	গেজেটেড,	
ashankai,	আশঙ্কে,	আশঙ্কাই,	
gauge,	গৌে,	গেজ,	
armeeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
byetasamyan,	ব্যাটসাস্যমণ,	ব্যাটসম্যান,	
rupart,	রুপার্ট,	রুপার্ট,	
buffer,	বাফার,	বাফার,	
canflikt,	কাফালক্টিস,	কনফ্লিক্ট,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
bajhyo,	বাঝ্য,	বাহ্য,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
phormat,	ফোর্টেট,	ফরম্যাট,	
fal,	ফল,	ফল,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
dhaleshorii,	ঢেলেশরী,	ধলেশ্বরী,	
botgach,	বোগাছ,	বটগাছ,	
koota,	কোট,	কোটা,	
patisapta,	পতিসাপ্ত,	পাটিসাপটা,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
hitokar,	হিতকার,	হিতকর,	
sombhobonaao,	সম্ভাবনা,	সম্ভবনাও,	
sabrakomer,	সববরকমমের,	সবরকমের,	
raktaksharaner,	রক্তকশ্ণরণের,	রক্তক্ষরণের,	
pnouchute,	পৌঁচুতে,	পৌঁছুতে,	
joluk,	জলুক,	জ্বলুক,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
sarolyo,	সারোল্য,	সারল্য,	
betsman,	বেযসম্মান,	ব্যাটসম্যান,	
ajiban,	আজীবন,	আজীবন,	
addhattikotar,	আধ্যািিতাবতার,	আধ্যাত্মিকতার,	
maner,	মনের,	মানে,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
azaadeer,	আজাদির,	আজাদীর,	
rk,	রাক,	আরকে,	
monmotho,	মন্মথ,	মন্মথ,	
servere,	সার্ভারে,	সার্ভারে,	
dipke,	ডিপকে,	দ্বীপকে,	
dupleks,	ডাপ্লেক্স,	ডুপ্লে,	
esasiyetasa,	এসিসিয়েসা,	এসোসিয়েটস,	
goolen,	গুলেন,	গুলেন,	
kalengga,	কালেঙ্গ,	কালেঙ্গা,	
gambasi,	গামবাসী,	গ্রামবাসী,	
ghatke,	ঘটটে,	ঘাটকে,	
doorotomo,	দূরততম,	দূরতম,	
chaaltaa,	চালতা,	চালতা,	
baire,	বায়ে,	বাইরে,	
bronjer,	ব্রন্জের,	ব্রোঞ্জের,	
korim,	করিং,	করিম,	
dhila,	ঢিলা,	ঢিলা,	
bypass,	বাইপাস,	বাইপাস,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
sherup,	শেরুপ,	সেরুপ,	
kaalniir,	কালনীর,	কালনীর,	
santa,	সাঁটা,	সান্তা,	
jhijhi,	ঝিঝি,	ঝিঝি,	
harir,	হরির,	হরির,	
ponni,	পণ্নি,	পন্নী,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
aminool,	আমিনুল,	আমিনুল,	
taimas,	টাইমস,	টাইমস্,	
gudamjato,	গুদমযুত,	গুদামজাত,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
jeteo,	জেতেও,	যেতেও,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
shomoshto,	সমস্ত,	সমস্ত,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
shiqar,	শিক্যার,	শিকার,	
ayadabhansada,	অ্যাডভান্ডাস,	অ্যাডভান্সড,	
ancholtitey,	আঞ্চলটিতে,	অঞ্চলটিতে,	
gazipore,	গাজীপুরে,	গাজীপুর,	
mondope,	মন্ডপে,	মন্ডপে,	
grambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
soomi,	সুমি,	সুমি,	
venom,	ভেনম,	ভেনম,	
proshtutkarok,	প্রস্তুতাকুরক,	প্রস্তুতকারক,	
ganona,	গণনা,	গননা,	
monhputo,	মহ্নপুত,	মনঃপুত,	
gabeshona,	গবেষণা,	গবেষনা,	
bondiike,	বন্দিকে,	বন্দীকে,	
slok,	স্লোক,	শ্লোক,	
mehonnotee,	মেহননটি,	মেহনতি,	
