vushi,	ভূষি,	ভুষি,	
enashiyenta,	এনসিয়েন্ট,	এনসিয়েন্ট,	
puddin,	পুদ্দিন,	পুডিং,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
suity,	সুটি,	সুইটি,	
pooroheetra,	পুরোহেত্র,	পুরোহিতরা,	
jwolbe,	জলবে,	জ্বলবে,	
rata,	রাটা,	রত,	
odhit,	অধিত,	অধীত,	
dormitory,	ডরমিটরি,	ডরমিটরি,	
gujab,	গুজব,	গুজব,	
tarunra,	তরুণরা,	তরুণরা,	
inapharameshhana,	ইনফারমেশন,	ইনফরমেশন,	
obhishangson,	অভিশাসন,	অভিশংসন,	
netions,	নেটনস,	নেশনস,	
chalachchitrai,	চলচিত্রই,	চলচ্চিত্রই,	
ches,	চেষ,	চেস,	
abikal,	অবিকাল,	অবিকল,	
lambate,	লম্বাতে,	লম্বাটে,	
deenesh,	ডিনেশ,	দীনেশ,	
shilbar,	শিলবার,	সিলভার,	
ileeing,	এলেল,	ইলিং,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
vorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
parking,	পার্কিং,	পার্কিং,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
spreadshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
grovth,	গ্রাথ,	গ্রোথ,	
hugeke,	হুগেকে,	হিউজকে,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
fokser,	ফক্সের,	ফক্সের,	
phutanta,	ফুটন্ট,	ফুটন্ত,	
bolechiley,	বলেছিলে,	বলেছিলে,	
shangkaloner,	সংকলনের,	সংকলনের,	
hajjirhat,	হাজিহারট,	হাজিরহাট,	
parishromi,	পরিশ্রমি,	পরিশ্রমী,	
nirvahey,	নির্বাহে,	নির্বাহে,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
meghnabodh,	মেঘনাবোধ,	মেঘনাদবধ,	
debdebee,	দেবদীবী,	দেবদেবী,	
fartha,	ফার্থ,	ফার্থ,	
edii,	এডি,	আইডিই,	
canflikt,	কনফিলিক্ট,	কনফ্লিক্ট,	
arjara,	অর্জার,	আর্যরা,	
aastikota,	অস্তিকতা,	আস্তিকতা,	
shrabosty,	শ্রবস্তি,	শ্রাবস্তী,	
karmopontha,	কর্মপন্থ,	কর্মপন্থা,	
as,	আস,	অস,	
bishrinkhala,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
oncoltike,	অনকল্টিকে,	অঞ্চলটিকে,	
jesthatar,	জেষ্ঠার,	জ্যেষ্ঠতার,	
somudrotote,	সমুদ্রতটে,	সমুদ্রতটে,	
patterne,	পটযার্নে,	প্যাটার্নে,	
manob,	মানব,	মানব,	
thelaa,	ঠেলা,	ঠেলা,	
dokaan,	ডোকান,	দোকান,	
snepara,	স্পেপার,	স্নাইপার,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
ujbekistan,	উজ্জবেক্তান,	উজবেকিস্তান,	
brail,	ব্রেল,	ব্রেইল,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
dolgulo,	দলগুলো,	দলগুলো,	
tahalei,	তালেই,	তাহলেই,	
farex,	ফরেক্স,	ফরেক্স,	
seekkhokbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
vdp,	এডিপি,	ভিডিপি,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
militarite,	মিলিটারিটে,	মিলিটারিতে,	
chhed,	ছেদ,	ছেদ,	
thakani,	ঠাকানী,	থাকেনি,	
jekhan,	যেখান,	যেখান,	
debating,	ডেবেটিং,	ডিবেটিং,	
abosore,	অবসরে,	অবসরে,	
protisthasoho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
aanhu,	আন্ু,	আনহু,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
sharther,	সার্থের,	স্বার্থের,	
necker,	নেকের,	নেকের,	
govornorer,	গভর্নরের,	গভর্ণরের,	
tuni,	টুনি,	টুনি,	
jeebonjapon,	জীবন্যাপন,	জীবনযাপন,	
chyeta,	চ্যাট,	চ্যাট,	
abasan,	আবাসন,	অবসান,	
hook,	হুক,	হুক,	
dhaloor,	ঢালুর,	ঢালুর,	
bike,	বিকে,	বাইক,	
deebating,	ডেবেটিং,	ডিবেটিং,	
angshogragon,	অংশগ্রাণ,	অংশগ্রহন,	
balatkar,	বালতকার,	বলাৎকার,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bahyo,	বহ্য,	বাহ্য,	
uporitole,	উপরীতলে,	উপরিতলে,	
mondopey,	মণ্ডপে,	মন্ডপে,	
joubanboti,	যৌনবত্তি,	যৌবনবতী,	
ruby,	রুবি,	রুবী,	
armstrong,	আর্সমা্রা,	আর্মস্ট্রং,	
madhabi,	মাধবী,	মাধবী,	
pharna,	ফর্ন,	ফার্ন,	
kaale,	কালে,	কালে,	
bolokarak,	বলকারাক,	বলকারক,	
barnis,	বার্নিস,	বার্নিশ,	
bishesyer,	বিশেষ্যের,	বিশেষ্যের,	
hunayin,	হানেইন,	হুনাইন,	
hamburge,	হাম্বার্জ,	হামবুর্গে,	
agibon,	অগিবন,	আজীবন,	
badna,	বদ্ন,	বদনা,	
gayichhey,	জৈইছে,	গাইছে,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
transfarm,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
masjidsaho,	মসজিদসহ,	মসজিদসহ,	
obharbheeu,	অভার্ভিউ,	ওভারভিউ,	
andamana,	আন্ডমনা,	আন্দামান,	
sayaneda,	সায়নেড,	সায়ানাইড,	
kachakachi,	কচকাচি,	কাছাকাছি,	
lajikar,	লাজিকার,	লজিকের,	
sbajaner,	স্বজনের,	স্বজনের,	
zibonnogor,	জীবন্গর,	জীবননগর,	
oppohoron,	অপহহরন,	অপহরন,	
blaker,	ব্লেকের,	ব্ল্যাকের,	
dacop,	ডাকপ,	দাকোপ,	
haldim,	হাল্ডিং,	হোল্ডিং,	
cheshsh,	চেষ,	চেস,	
motkey,	মটকে,	মতকে,	
masto,	মাস্ত,	মাস্ত,	
thaken,	থকেন,	থাকেন,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
phising,	ফিশিং,	ফিসিং,	
arke,	আর্কে,	আরকে,	
marketey,	মার্কেটে,	মার্কেটে,	
shukraanu,	শুক্রাণু,	শুক্রানু,	
touraat,	তৌরাট,	তওরাত,	
aaminaar,	আমিনার,	আমিনার,	
qaroo,	কারু,	কারো,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
mashtarsha,	মা্টার্স,	মাস্টার্স,	
horeedwar,	হরিদ্বার,	হরিদ্বার,	
dipgulote,	ডিপগুলোতে,	দ্বীপগুলোতে,	
kemaney,	কেমনে,	কেমনে,	
paree,	পেযার,	পাড়ে,	
naraphoqa,	নারাফাকা,	নরফোক,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
machhsoho,	মাহসহ,	মাছসহ,	
pattarn,	পটযার্ন,	প্যাটার্ন,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
chirkut,	চিরকুট,	চিরকুট,	
kabutorer,	কাবুতরের,	কবুতরের,	
ajijur,	আজিজুর,	আজিজুর,	
jwarer,	জ্বরের,	জ্বরের,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
iqbalke,	ইকবলকে,	ইকবালকে,	
edipass,	এডিপাস,	ইডিপাস,	
dasha,	দশ,	দোসা,	
baagica,	বাগিকা,	বাগিচা,	
maradeho,	মারাদেহ,	মরদেহ,	
sohokaree,	সহকারি,	সহকারী,	
vogni,	ভগ্নি,	ভগ্নী,	
hartz,	হার্ট,	হার্জ,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
tateo,	টেটেও,	তাতেও,	
sontoshe,	সন্তুষে,	সন্তোষে,	
templete,	ট্যাম্পলেট,	টেম্পলেট,	
safin,	সাফিন,	সাফিন,	
heemi,	হেমি,	হিমি,	
hukar,	হুকার,	হুকার,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
assaciates,	অ্যাসিকেসেট,	এসোসিয়েটস,	
jeerusaleema,	জিরোলিলাম,	জেরুসালেম,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
jakkho,	যক্ষ্ম,	যক্ষ,	
behrampurer,	বেহ্রামুরের,	বহরমপুরের,	
uthhe,	উঠে,	উঠে,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
madaspushto,	মাদাসপুষ্ট,	মদদপুষ্ট,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
kormokarer,	কর্মকারের,	কর্মকারের,	
toubaar,	টাউর,	তওবার,	
birishiritey,	বিরিষিরেতে,	বিরিশিরিতে,	
ojowno,	অযৌন,	অযৌন,	
jansa,	জনস,	জন্স,	
gonocheener,	গণচিনের,	গণচীনের,	
nojod,	নজদ,	নজদ,	
tetela,	টেটেল,	টাইটেল,	
nikel,	নিকেল,	নিকেল,	
braille,	ব্রেল,	ব্রেইল,	
leder,	লেদের,	লিডার,	
pudim,	পুদিম,	পুডিং,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
dwipgulo,	দ্বীপুলো,	দ্বীপগুলো,	
daloo,	ডালু,	ডালু,	
gaandas,	গ্যান্ডস,	জ্ঞানদাস,	
seramiqs,	সারামিক্স,	সিরামিকস,	
ogrodut,	অগ্রদাত,	অগ্রদূত,	
kadom,	কাদ,	কদম,	
beeswasoo,	বিশ্বাসু,	বিশ্বাসও,	
cholechi,	চলেছি,	চলেছি,	
pyaleshtaine,	প্যালস্টেইনে,	প্যালেস্টাইনে,	
nirupita,	নিরূপিতা,	নিরূপিত,	
totokson,	ততক্ষণ,	ততক্ষন,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
prokolpoti,	প্রকলপ্ি,	প্রকল্পটি,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
jathaartho,	জথার্থ,	যথার্থ,	
jya,	জ্যা,	জ্যা,	
vangley,	ভাঙ্গে,	ভাঙলে,	
garnaar,	গর্নার,	গার্নার,	
moushumeo,	মৌসমেও,	মৌসুমেও,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
teenej,	টিনেজ,	টিনেজ,	
dubate,	দুবাতে,	ডুবাতে,	
batsmanei,	বাটসমেই,	ব্যাটসম্যানই,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
moshzidtike,	মসজিদিতকে,	মসজিদটিকে,	
makhmoley,	মাখমে,	মখমলে,	
chargito,	চর্গিত,	চার্জিত,	
shootar,	সূতার,	শ্যুটার,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
partha,	পার্থ,	পার্থ,	
dephineshana,	ডেফেনেশন,	ডেফিনেশন,	
bhatar,	ভাটার,	ভাতার,	
hedge,	হেজ,	হেজ,	
mayily,	মেলি,	মাইলি,	
eenameela,	এনামেল,	এনামেল,	
fising,	ফিশিং,	ফিসিং,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
teresa,	তেরেসা,	টেরেসা,	
bodqa,	বদকা,	ভদকা,	
horash,	হরাস,	হোরাস,	
nebhate,	নেভাতে,	নেভাতে,	
ddebet,	ডিবেট,	ডিবেট,	
neshnos,	নেশনস,	নেশনস,	
udvabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
shef,	শেফ,	শেফ,	
kaamla,	কামলা,	কামলা,	
kaalaam,	কালাম,	কালাম,	
remacry,	রেমমক্রি,	রেমাক্রী,	
amudey,	আমুদে,	আমুদে,	
vagno,	ভগ্ন,	ভগ্ন,	
advanced,	অ্যাডভায়েন্স,	অ্যাডভান্সড,	
songasthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
jaygata,	জাগত,	জায়গাটা,	
oshamonjosshoporno,	অসমানস্যপর্ণ,	অসামঞ্জস্যপূর্ণ,	
bhenicer,	ভেনিকের,	ভেনিসের,	
embeda,	এম্ডমেড,	এম্বেড,	
sawom,	সাম,	সাওম,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
license,	লিইন্সে,	লাইসেন্স,	
maithili,	মথিলি,	মৈথিলি,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
asbab,	আসবাব,	আসবাব,	
advoot,	আদ্ভুত,	অদ্ভুত,	
krom,	ক্রম,	ক্রম,	
sperm,	স্পার্ম,	স্পার্ম,	
