jini,	জিনি,	যিনি,	
balaruma,	বলরুমা,	বলরুম,	
agomoney,	গগমনে,	আগমনে,	
besoor,	বেসুর,	বেসুর,	
dharatir,	ধাততির,	ধারাটির,	
vorkendro,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
shpreadshhiit,	স্প্রেশ্বিত,	স্প্রেডশীট,	
antarcticar,	আন্টর্ক্টিকর,	অ্যান্টার্কটিকার,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
kingdam,	কিংদ্যাম,	কিংডম,	
porichhonnota,	পরিচ্্ননতা,	পরিচ্ছন্নতা,	
udbodhaner,	উদ্বধানের,	উদ্বোধনের,	
bhashik,	ভাষিক,	ভাষিক,	
fiks,	ফিক্স,	ফিক্স,	
jens,	জেন্স,	জিন্স,	
oocchoseeto,	উচ্চশিত,	উচ্ছসিত,	
setikey,	সেটিকে,	সেটিকে,	
jaruri,	জরুরি,	জরূরী,	
oholya,	অহল্য,	অহল্যা,	
mosjidsoho,	মস্দিসসহ,	মসজিদসহ,	
pachok,	পাচক,	পাচক,	
grambaashee,	গ্রামবাষী,	গ্রামবাসী,	
nursery,	নার্সারী,	নার্সারি,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
musharraf,	মুশাররফ,	মশাররফ,	
ghoorsen,	ঘুরেন,	ঘুরেছেন,	
kuchir,	কুচির,	কুচির,	
dolguloo,	দলগুলো,	দলগুলোও,	
harta,	হার্ত,	হার্ট,	
popeke,	পপকে,	পোপকে,	
janoikaa,	জননিকা,	জনৈকা,	
dadar,	দাদার,	দাদার,	
charukola,	চারুকালা,	চারুকলা,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
postar,	পোস্টার,	পোস্টের,	
joubonbotee,	যৌবন্তবি,	যৌবনবতী,	
babna,	বাবনা,	বাবনা,	
jacksoner,	যক্ষনের,	জ্যাকসনের,	
jubokra,	যুবকরা,	যুবকরা,	
shorsha,	সর্ষ,	সোর্স,	
haipar,	হাইপার,	হাইপার,	
reeno,	ণীন,	রেনো,	
nongra,	নংরর,	নোংরা,	
ayantarqatiqa,	আয্ন্্রোক্টিক,	অ্যান্টার্কটিকা,	
temonyi,	তেমনি,	তেমনই,	
majdur,	মজদুর,	মজদুর,	
daaktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
saqara,	সককার,	সকার,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
karkatkranti,	করককতর্ন্তী,	কর্কটক্রান্তি,	
marino,	মেরিন,	মারিনো,	
suity,	সাইটি,	সুইটি,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
taoonsheep,	তাউন্পীপ,	টাউনশিপ,	
roopa,	রূপা,	রুপা,	
ponera,	পনেরা,	পনের,	
keram,	কিরম,	কেরাম,	
vugoley,	ভুগলে,	ভূগোলে,	
kade,	কাডে,	কোড,	
nanir,	নানীর,	নানীর,	
cholchhe,	চলছে,	চলছে,	
graambaseeder,	গ্রামবীসেরের,	গ্রামবাসীদের,	
konflikt,	কনফল্কট,	কনফ্লিক্ট,	
bronje,	ব্রেঞ,	ব্রোঞ্জ,	
tonu,	তনু,	তনু,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
grambaseeder,	গ্রমবাশীদের,	গ্রামবাসীদের,	
karmoi,	কর্মই,	কর্মই,	
timathi,	তিমাথি,	টিমোথি,	
plate,	প্লটে,	প্লেট,	
rubyo,	রূব,	রুবিও,	
seguloi,	সেগুলোই,	সেগুলোই,	
parq,	পার্ক,	পার্ক,	
domonmulok,	দমনমূলক,	দমনমূলক,	
rights,	রিটস,	রাইটস,	
seebiai,	সেবিই,	সিবিআই,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
daap,	ডাপ,	ড্যাপ,	
jathartha,	যথথর্থ,	যথার্থ,	
konruup,	কনরূপ,	কোনরূপ,	
shulke,	সূলকে,	শুল্কে,	
avetara,	অভাটার,	অবতার,	
dhojobhongo,	ধবজনগঙ্গ,	ধ্বজভঙ্গ,	
shrichaitanyadev,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
daktickete,	দাকটিক্তে,	ডাকটিকিটে,	
armstranj,	আর্মস্ট্রাজ,	আর্মস্ট্রং,	
bujhleo,	বুঝলেও,	বুঝলেও,	
antorvuktimulak,	অন্তর্ভূক্বমূলক,	অন্তর্ভুক্তিমূলক,	
kando,	কান্ড,	কাণ্ড,	
sone,	সানে,	সনে,	
akritakarjo,	আকৃতকর্য,	অকৃতকার্য,	
prai,	প্রই,	প্রায়,	
pothon,	পথন,	পঠন,	
sures,	সুরেস,	সুরেশ,	
lutheren,	লুঠেরেন,	লুথেরান,	
dolgulo,	দলগুলো,	দলগুলোও,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
gaichhe,	গাইছে,	গাইছে,	
maladabha,	মলাদাভা,	মলদোভা,	
kottar,	কতাতর,	কট্টর,	
bede,	বেদে,	বেদে,	
potengar,	পটেনগার,	পতেঙ্গার,	
vogini,	ভোগিনী,	ভগিনী,	
gobeshana,	গবেষণা,	গবেষনা,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
siit,	সীট,	শীত,	
nartaki,	নর্তকী,	নর্তকী,	
vaisaho,	বাইসহ,	ভাইসহ,	
bosontoke,	বসন্তকে,	বসন্তকে,	
vagno,	ভাগনন,	ভগ্ন,	
kachakachi,	কাছকাছি,	কাছাকাছি,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
thetcher,	ঠিচের,	থ্যাচার,	
qaferder,	কাফারদের,	কাফেরদের,	
laaiseensh,	লাইসেন্স,	লাইসেন্স,	
phutantoa,	ফুটানটো,	ফুটন্ত,	
sangkalaney,	সংকলানে,	সংকলনে,	
taalaal,	তালাল,	তালাল,	
hajareebag,	হাজরবাগ,	হাজারিবাগ,	
sahojlabhbhatar,	সহজ্লভূলতার,	সহজলভ্যতার,	
brekathru,	ব্রেকাথরু,	ব্রেকথ্রু,	
rajtantroke,	রাজনতন্ত্রকে,	রাজতন্ত্রকে,	
qonflict,	কনফালক্ট,	কনফ্লিক্ট,	
janomukhee,	যনমুখী,	জনমুখী,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
bulan,	বুলেন,	বুলান,	
asociatis,	অসোটিয়েসি,	এসোসিয়েটস,	
nabhela,	নোভেল,	নভেল,	
prakalpagulor,	প্রকলাপগুলোর,	প্রকল্পগুলোর,	
asommoti,	আসম্মটি,	অসম্মতি,	
dephinishion,	ডিফিনিশন,	ডেফিনেশন,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
dhache,	ধাঁচে,	ধাঁচে,	
shoccer,	স্ক্যার,	সকার,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
harbore,	হর্বরে,	হারবারে,	
manober,	মনবের,	মানবের,	
gondho,	গন্ধ,	গন্ধে,	
jibonto,	জীবন্ত,	জীবন্ত,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
stonehenje,	স্ট্যেনেজ্যে,	স্টোনহেঞ্জ,	
odhit,	অধিত,	অধীত,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
snipar,	স্নিপার,	স্নাইপার,	
sahocorrzo,	সহসরকর্য,	সাহচর্য,	
nirapekkhotar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
casper,	ক্যাপের,	ক্যাসপার,	
inshtant,	ইন্স্টন্ট,	ইনস্ট্যান্ট,	
gunze,	গুঁজে,	গুঁজে,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
bhortuki,	ভর্তুকী,	ভর্তুকি,	
itemer,	ইতামের,	আইটেমের,	
soteciety,	সতেটিয়েটি,	সোসাইটিতে,	
gonosochetonota,	গনস্বচনতাতা,	গণসচেতনতা,	
sangbadmadhyomgulote,	সংব্ধরণবুল্গতে,	সংবাদমাধ্যমগুলোতে,	
upobaashee,	উপবাসী,	উপবাসী,	
manushtike,	মনুষ্টিকে,	মানুষটিকে,	
daun,	ডন,	ডাউন,	
ghaghat,	ঘঘঘাত,	ঘাঘট,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
military,	মিলিটারী,	মিলিটারি,	
shorifer,	শরীফের,	শরিফের,	
patishapta,	পতিশাপাত,	পাটিসাপটা,	
lojic,	লোজিক,	লজিক,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
seater,	সিটের,	সিটের,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
harz,	হার্জ,	হার্জ,	
madhukori,	মধুকরী,	মাধুকরী,	
rohasyer,	রহস্যের,	রহস্যের,	
ameerica,	অমেরিকা,	আমেরিকা,	
roialti,	রাইলটি,	রয়্যালটি,	
maladobha,	মালাদাভা,	মলদোভা,	
abasare,	অবসারে,	অবসরে,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
mahakabi,	মহাকাবী,	মহাকবি,	
hijriite,	হিজরিতে,	হিজরীতে,	
lagto,	লাগত,	লাগতো,	
shringe,	স্রিঙ্গে,	শৃঙ্গে,	
bonduk,	বন্দুক,	বন্দুক,	
subader,	সুবাদের,	সুবাদে,	
grauth,	গ্রুথ,	গ্রোথ,	
qarima,	করিমা,	করিম,	
shikshakbrindo,	শিক্ষাবৃক্দ,	শিক্ষকবৃন্দ,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
venus,	ভেনাস,	ভেনাস,	
bojhar,	বোঝার,	বোঝার,	
lobbyte,	লবিবতে,	লবিতে,	
societykey,	সসিটিকে,	সোসাইটিকে,	
emargency,	এমার্জেন্সি,	এমার্জেন্সি,	
jacksonke,	যকচক্ণ,	জ্যাকসনকে,	
haak,	হাক,	হুক,	
joubanbati,	যৌবন্তটি,	যৌবনবতী,	
kash,	কাস,	কাস,	
alankorana,	অলংকরণা,	অলঙ্করণ,	
jacker,	যাক্কার,	জ্যাকের,	
stona,	স্টোনা,	স্টোন,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
grambaasio,	গ্রম্বাসিও,	গ্রামবাসীও,	
leetara,	লেটার,	লেটার,	
prottokhovabe,	প্রত্যকভাবে,	প্রত্যক্ষভাবে,	
phoster,	ফস্টের,	ফস্টার,	
udbodhone,	উদ্বধনে,	উদ্বোধনে,	
udbhabani,	উদ্ভববনী,	উদ্ভাবনী,	
sipht,	সিফট,	শিফট,	
venise,	ভেনিসে,	ভেনিসে,	
vabuk,	ভাবুক,	ভাবুক,	
shoreefer,	শরীফের,	শরিফের,	
transformaarer,	টার্নস্ফরমারের,	ট্রান্সফরমারের,	
sorsa,	সর্ষা,	সোর্স,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
chaber,	ছবের,	চাবির,	
rilayensa,	রিলেয়েন্স,	রিলায়েন্স,	
baabul,	বাবুল,	বাবুল,	
sharthe,	শার্থে,	স্বার্থে,	
sachindra,	সচ্চিন্দ্র,	শচীন্দ্র,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
madhuri,	মাধুরি,	মাধুরী,	
kara,	করা,	কারো,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
puzita,	পূজিতা,	পূজিতা,	
hights,	হাইটস,	হাইটস,	
deubande,	দিউবন্দে,	দেওবন্দে,	
motabolambira,	মতাালবম্বীরা,	মতাবলম্বীরা,	
tirmiji,	তিরমিযী,	তিরমিজি,	
oedipus,	এডিপুস,	ইডিপাস,	
jerujalemer,	জারুজালেমের,	জেরুজালেমের,	
shochindro,	সচ্চিন্দ্র,	শচীন্দ্র,	
asamonjoshyopurno,	অসমাজ্সবূপ্রণ,	অসামঞ্জস্যপূর্ণ,	
jerushalema,	জেরুসলেম,	জেরুসালেম,	
dibya,	দিব্য,	দিব্যা,	
samabeshke,	সমাবেসকে,	সমাবেশকে,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
musalmani,	মুসলম্নী,	মুসলমানই,	
akhandata,	আখান্দতা,	অখণ্ডতা,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
ameettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
