juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
mokam,	মোকাম,	মোকাম,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
poripakey,	পরিপাকে,	পরিপাকে,	
ansareer,	আনসারের,	আনসারীর,	
chaka,	চাক,	চাকা,	
sothikata,	সথিকতা,	সঠিকতা,	
nathibhookto,	নথিভুক্ত,	নথিভুক্ত,	
oodoore,	অডূরে,	অদুরে,	
nojod,	নজদ,	নজদ,	
segulor,	সেগুলোর,	সেগুলোর,	
gafiloti,	গাফিলতি,	গাফিলতি,	
soleel,	সলিল,	সলিল,	
daun,	ডাউন,	ডাউন,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
vittio,	ভিট্টিও,	ভিত্তিও,	
tirmijii,	তিরমিযী,	তিরমিজি,	
tourisht,	টারিস্ট,	টুরিস্ট,	
plete,	প্লটে,	প্লেট,	
goroor,	গরুর,	গরুর,	
hajaribag,	হাজারিগাব,	হাজারিবাগ,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
sekarone,	সেকারনে,	সেকারণে,	
skalastika,	স্কোলাস্টিক,	স্কলাস্টিক,	
atiteo,	অতিতেও,	অতীতেও,	
amshtrong,	অ্যাম্স্রোং,	আর্মস্ট্রং,	
mojlish,	মজলিস,	মজলিশ,	
janmaat,	জন্মাত,	জন্মাত,	
shaahoshikataar,	সাহসিকতার,	সাহসিকতার,	
nirbaha,	নির্বাহ,	নির্বাহ,	
moddhyekar,	মধ্যকার,	মধ্যেকার,	
paste,	পাস্টে,	পেষ্ট,	
kyatagorir,	ক্যাটাগারীর,	ক্যাটাগরির,	
chalochchitratike,	চলচচিত্রটিকে,	চলচ্চিত্রটিকে,	
vugten,	ভাগটেন,	ভুগতেন,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
lagic,	ল্গিক,	লজিক,	
kabutorer,	কাবুতরের,	কবুতরের,	
sahosikotaar,	সহসীকতার,	সাহসিকতার,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
abarta,	আবর্ত,	আবর্ত,	
dorun,	দ্বুরুণ,	দরুণ,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
kaptai,	কপ্টই,	কাপ্তাই,	
toder,	তোদের,	তদের,	
stena,	স্টেন,	স্টেন,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
uthhaane,	উঠানে,	উঠানে,	
kredita,	ক্রেডিত,	ক্রেডিট,	
chopal,	চপল,	চপল,	
ogrodut,	অগ্রাদুত,	অগ্রদূত,	
victor,	ভিক্টর,	ভিক্টর,	
itostato,	ইতস্তত,	ইতস্তত,	
eastar,	আস্টার,	ইস্টার,	
prapokke,	প্রাপককে,	প্রাপককে,	
zoneete,	যোনিতে,	যোনীতে,	
ganachin,	গণাচিন,	গণচীন,	
kachhakachhi,	কাছাকাছি,	কাছাকাছি,	
tukrote,	টুকরোতে,	টুকরোতে,	
dhanni,	ধ্যানি,	ধন্যি,	
yeaster,	ইয়েস্টার,	ইস্টের,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
ajija,	আজিজা,	আজিজা,	
koordider,	কুর্দিদের,	কুর্দিদের,	
bilati,	বিলাটি,	বিলাতী,	
shotodha,	শতধা,	শতধা,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
mahibur,	মহিবুর,	মহিবুর,	
asociatis,	অসযাসিটিয়াস,	এসোসিয়েটস,	
sourse,	সার্স,	সোর্স,	
faridi,	ফরীদি,	ফরিদী,	
pari,	পারি,	পেরি,	
sithilota,	সিথিলত,	শিথিলতা,	
cholocchitrigulor,	চলচ্চিত্রগুলের,	চলচ্চিত্রগুলোর,	
thakani,	থাকানি,	থাকেনি,	
bhaabaaponno,	ভাবাপান্ন,	ভাবাপন্ন,	
mootar,	মুতর,	মুতার,	
lokkheryo,	লোক্ষেরও,	লক্ষেরও,	
marmaaraa,	মারমারা,	মারমারা,	
tanight,	টানিং,	টুনাইট,	
samaveshti,	সমভেষ্টি,	সমাবেশটি,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
mojdur,	মজদুর,	মজদুর,	
armstronj,	আর্মস্ট্রাজ,	আর্মস্ট্রং,	
bosontokke,	বসন্তকে,	বসন্তকে,	
nischay,	নিষ্চে,	নিশ্চয়,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
benj,	বেঞ্জ,	বেঞ্জ,	
paitey,	পাইটে,	পাইতে,	
koyeri,	কোয়েরি,	কোয়েরি,	
dharavassyokar,	ধারাভাস্যকার,	ধারাভাষ্যকার,	
shikhechi,	শিখেছি,	শিখেছি,	
dhonyi,	ধ্বনি,	ধন্যি,	
sone,	সনন,	সনে,	
shookna,	শুকনা,	শুকনা,	
naazi,	নাজি,	নাত্সি,	
shoshoa,	শস্য,	শশা,	
abolokon,	অবলোকন,	অবলোকন,	
soores,	সোরেশ,	সুরেশ,	
sattoki,	সাত্যকি,	সাত্যকি,	
parka,	পার্ক,	পার্ক,	
skoora,	স্কোর,	স্কোর,	
sorting,	শোর্টিং,	সর্টিং,	
laishenshim,	লাইসননিস,	লাইসেন্সিং,	
hosheyin,	হোসেন,	হোসেইন,	
chhooti,	ছুটি,	ছুটি,	
ispreedsheet,	ইস্প্রেডশিট,	স্প্রেডশীট,	
siddhantoi,	সিদ্বান্তই,	সিদ্ধান্তই,	
dobhar,	ডোভার,	ডোভার,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
nesnos,	নেনোস,	নেশনস,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
majlishpur,	মজিলসুপুর,	মজলিশপুর,	
monur,	মনুর,	মনুর,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
kampita,	কম্পিত,	কম্পিত,	
mugdho,	মুগধধ,	মুগ্ধ,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
phareeksa,	ফরেক্স,	ফরেক্স,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
upobashii,	উপবাসী,	উপবাসী,	
gambasi,	গাম্বাসী,	গ্রামবাসী,	
moshjidti,	মস্যিদ্তি,	মসজিদটি,	
kamij,	কািজ,	কামিজ,	
olpo,	ওল্প,	অল্প,	
byabaharkariyi,	ব্যবহারকারই,	ব্যবহারকারীই,	
lakkheryo,	লাক্ষেরও,	লক্ষেরও,	
aaeerese,	আইরাশে,	আইরেসে,	
ghamta,	ঘামটা,	ঘোমটা,	
janomukhi,	জননুমখী,	জনমুখী,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
falah,	ফলা,	ফালাহ,	
meghey,	মেঘে,	মেঘে,	
dunkan,	ডাকন,	ডানকান,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
gadha,	গাধা,	গাধা,	
chhedon,	ছেদন,	ছেদন,	
bane,	বানে,	বনে,	
jibnagar,	জীবনগর,	জীবননগর,	
bibade,	বিবাদে,	বিবাদে,	
uporitaley,	উপরীতালে,	উপরিতলে,	
seramiks,	সারেমিক্স,	সিরামিকস,	
tolemy,	টলেমি,	টলেমির,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
depooti,	দিপুতি,	ডেপুটি,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
sofier,	সোফায়ার,	সোফির,	
narider,	নারীদের,	নারীদের,	
naitikatabodh,	নাতিতাযাদাব,	নৈতিকতাবোধ,	
hitaishi,	হিতেশি,	হিতৈষী,	
silwer,	শিলভের,	সিলভার,	
beekargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
shumo,	সুমো,	সুমো,	
oxfordey,	অফফোরদে,	অক্সফোর্ডে,	
seeramiker,	সিরামিকের,	সিরামিকের,	
korimke,	করিমকে,	করিমকে,	
teenisa,	টেনিস,	টেনিস,	
asbar,	আসবার,	আসবার,	
nimitte,	নিমিত্যে,	নিমিত্তে,	
footbalarder,	ফুটবলদের,	ফুটবলারদের,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
hocker,	হকের,	হুকার,	
manbe,	মাবে,	মানবে,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
shaluk,	শালুক,	শালুক,	
ghomta,	ঘোমটা,	ঘোমটা,	
laagto,	লাগত,	লাগতো,	
durotamo,	দুরোতম,	দূরতম,	
vooter,	ভূতের,	ভোটার,	
songasthaner,	সংগাস্থানের,	সংস্থানের,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
gandhike,	গান্ধিকে,	গান্ধীকে,	
jonesh,	জনসেশ,	জোন্স,	
ingrezra,	ইংরেজারা,	ইংরেজরা,	
abhijojan,	অভিযোজন,	অভিযোজন,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
hatodaridra,	হতদারিদ্র,	হতদরিদ্র,	
komtee,	কমতি,	কমতি,	
ceramiqs,	কিরামিক্স,	সিরামিকস,	
sahazlabhbhotar,	সহজভ্লভাটার,	সহজলভ্যতার,	
dargah,	দরগাহ,	দরগাহ,	
chalachchitrake,	চলচচিত্রকে,	চলচ্চিত্রকে,	
bandra,	বন্দ্র,	বন্দীরা,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
varote,	ভারতে,	ভারতে,	
emerjency,	এমার্জেন্স,	এমার্জেন্সি,	
craze,	ক্র্যাজে,	ক্রেজ,	
chaanu,	চানু,	চানু,	
aminul,	আমিনন,	আমিনুল,	
barron,	ব্যারন,	ব্যারন,	
baaraak,	বারাক,	বারাক,	
dubaate,	ডুবাতে,	ডুবাতে,	
gejetade,	জেজেতাদে,	গেজেটেড,	
saarbharti,	সার্ভরটি,	সার্ভারটি,	
manabsamajer,	মানবসমজাজের,	মানবসমাজের,	
haj,	হাজ,	হয,	
maniktala,	মনিকটাল,	মানিকতলা,	
booponer,	বুপনের,	বপনের,	
majhari,	মাঝারি,	মাঝারী,	
deputi,	দিপুতি,	ডেপুটি,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
bhiqtara,	ভিক্টার,	ভিক্টর,	
premo,	প্রেম,	প্রিমো,	
auxfordey,	আফসর্ডে,	অক্সফোর্ডে,	
arena,	আরেন,	এরিনা,	
bites,	বিটেশ,	বাইটস,	
advanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
melborroner,	মেলবররণের,	মেলবোর্নের,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
engineersh,	ইঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
debholopar,	ডেভলপার,	ডেভলপার,	
taims,	টাইমস,	টাইমস্,	
phimel,	ফিমেল,	ফিমেল,	
seekkhokbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
banijyikbhittik,	বানিজ্যিত্যিক,	বাণিজ্যিকভিত্তিতে,	
deepan,	দীপন,	দীপন,	
wodka,	ওদকা,	ভদকা,	
loker,	লোকের,	লকের,	
bamonder,	বামন্দের,	বামনদের,	
setio,	সেটিও,	সেটিও,	
spreedashita,	স্পৃরদশিত,	স্প্রেডশীট,	
koilaash,	কৈলাশ,	কৈলাস,	
naazii,	নাজী,	নাত্সি,	
danckan,	ডাকনন,	ডানকান,	
footonto,	ফুটন্ত,	ফুটন্ত,	
shtena,	স্টেন,	স্টেন,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
praima,	প্রাইম,	প্রাইম,	
russad,	রাশ্মাদ,	রুশদ,	
antarktika,	আন্তর্কটিক,	অ্যান্টার্কটিকা,	
abotar,	অবতর,	অবতার,	
transafarma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
purohitder,	পুরহিদ্যের,	পুরোহিতদের,	
carlosh,	কার্লস,	কার্লোস,	
farn,	ফর্ন,	ফার্ন,	
nirarthok,	নিরার্থক,	নিরর্থক,	
mmesenjar,	মেসেন্জার,	মেসেঞ্জার,	
faster,	ফাস্টার,	ফস্টার,	
joubanboti,	যৌবনববি,	যৌবনবতী,	
bonkey,	বনকে,	বনকে,	
karecho,	করেছ,	করেছ,	
mukhomondole,	মুখন্মলে,	মুখমণ্ডলে,	
satarko,	সাতার্ক,	সতর্ক,	
pouro,	পৌউরো,	পৌর,	
lajikar,	লাজিকার,	লজিকের,	
poschime,	পশ্চিমে,	পশ্চিমে,	
pra,	প্র,	প্রো,	
brindaboner,	বৃন্দাবনের,	বৃন্দাবনের,	
