choudhureeo,	চৌধুরিও,	চৌধুরীও,	
goshthiti,	গো্্ঠিটি,	গোষ্ঠীটি,	
raiialati,	রাইলেটি,	রয়্যালটি,	
dajyo,	দাজ্য,	দাহ্য,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
bandra,	বনযান্ড্র,	বন্দীরা,	
ekhaate,	এখাতে,	একহাতে,	
swarthe,	স্বরর্থে,	স্বার্থে,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
ahong,	আহং,	অহং,	
oncholtite,	অঞচললিতে,	অঞ্চলটিতে,	
karu,	করু,	কারু,	
sombhobonaao,	সম্ভাননাও,	সম্ভবনাও,	
shten,	স্টেন,	স্টেন,	
qaferderkey,	কাফররদেরকে,	কাফেরদেরকে,	
tet,	তেট,	টেট,	
routine,	রাটিন,	রুটিন,	
baharampoorer,	বারামপুরের,	বহরমপুরের,	
phirati,	ফিরতি,	ফিরতি,	
parqasa,	পার্াস,	পার্কস,	
vobani,	ভবানী,	ভবানী,	
bbiseshyer,	বিশেষের,	বিশেষ্যের,	
marpit,	মারপিত,	মারপিট,	
soori,	শুরি,	সুরি,	
monjurul,	মন্ুরুল,	মনজুরুল,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
suraarop,	সুরারপ,	সুরারোপ,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
sohinsotar,	সহিংস্তা,	সহিংসতার,	
avereste,	অভযরেরেসেট,	এভারেস্টে,	
dupleks,	ডুপ্লেক্স,	ডুপ্লে,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
ovigomon,	অভিগমন,	অভিগমন,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
mozdoor,	মজদদ,	মজদুর,	
jonoshomaj,	জনসমজাজ,	জনসমাজ,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
cholochchitreei,	চলচ্ত্রেই,	চলচ্চিত্রেই,	
associatees,	অ্যাসোসিসটিস,	এসোসিয়েটস,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
byataree,	ব্যাটারী,	ব্যাটারী,	
se,	সেএই,	সে,	
nevatey,	নেভাতে,	নেভাতে,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
reno,	রেনো,	রেনো,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
desiseyer,	ডেসিশের,	ডিজিজের,	
addhatikotar,	আধ্ধািিকতার,	আধ্যাত্মিকতার,	
rizur,	রিজুর,	রিজুর,	
dharabahiktite,	ধারাভিক্তিতে,	ধারাবাহিকটিতে,	
diana,	ড্যান,	ডায়না,	
evaner,	ইভানের,	ইভানের,	
bhabna,	ভানন,	ভাবনা,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
morathee,	মরাঠী,	মরাঠি,	
bijepi,	বিজেপী,	বিজেপি,	
byaboharkariderkey,	ব্যবহারকারদে,	ব্যবহারকারীদেরকে,	
cheesa,	চেস,	চেস,	
sanaktakaraner,	সনক্্কতণের,	সনাক্তকরণের,	
rupa,	রূপা,	রুপা,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
nirmolota,	নির্মলতা,	নির্মলতা,	
protijogiitamulok,	প্রতিযোগিতাপূলো,	প্রতিযোগীতামূলক,	
moofti,	মুফতি,	মুফতি,	
alkatra,	আলক্ত্র,	আলকাতরা,	
marmaaraa,	মারমাা,	মারমারা,	
nodiitei,	নদীতেই,	নদীতেই,	
pettern,	প্যাটার্ন,	প্যাটার্ন,	
chalachchitratike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
koushalgato,	কৌশলগত,	কৌশলগত,	
mumtazer,	মুতাাের,	মুমতাজের,	
visnu,	বিষ্ণু,	বিষ্ণু,	
akkaash,	একাাশ,	আককাস,	
parshe,	পারসে,	পার্শ্বে,	
atitkaale,	অতীতকালে,	অতীতকালে,	
parswer,	পারস্যের,	পার্শ্বে,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
laisense,	লাইনসস,	লাইসেন্স,	
jati,	জাতি,	যাতি,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
grambaaseeder,	গ্রাববাসীদের,	গ্রামবাসীদের,	
peterke,	পেতেরেে,	পিটারকে,	
songasthaner,	সংগ্যানের,	সংস্থানের,	
taalaal,	তালাল,	তালাল,	
guzon,	গুজন,	গুজব,	
nirabota,	নীরবতা,	নিরবতা,	
boudher,	বৌধের,	বৌদ্ধের,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
heriser,	হেরিজের,	হ্যারিসের,	
besuro,	বেশুর,	বেসুর,	
tenish,	টেনিস,	টেনিস,	
manhputa,	মান্ুপটত,	মনঃপুত,	
laj,	ল্জাজ,	লাজ,	
amshtrong,	অ্্সট্মর,	আর্মস্ট্রং,	
sheekarke,	শিকারকেে,	শিকারকে,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
grambasio,	গ্রামবাশও,	গ্রামবাসীও,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
sofier,	সফির,	সোফির,	
petrol,	পেত্রুল,	পেট্রোল,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
zockey,	যককে,	জকি,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
laicense,	লাইসেস,	লাইসেন্স,	
noitikotar,	নৈটিকতার,	নৈতিকতার,	
dubate,	দুবতে,	ডুবাতে,	
pooroheetke,	পুরোহতে,	পুরোহিতকে,	
myathious,	ম্যাথিয়াস,	ম্যাথিউস,	
dobhar,	দোভার,	ডোভার,	
peterer,	পেটেরের,	পিটারের,	
nagarikra,	নারীককা,	নাগরিকরা,	
venam,	ভেনাম,	ভেনম,	
tawnship,	তা্ষীপ,	টাউনশিপ,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
pattern,	প্াারের,	প্যাটার্ন,	
pooshtee,	পুষ্ি,	পুষ্টি,	
oparogota,	অপররোগতা,	অপারগতা,	
pyaleshtaine,	প্যালেসটটেইন,	প্যালেস্টাইনে,	
jerusalemer,	জেরুসলেমের,	জেরুজালেমের,	
plate,	প্লেট,	প্লেট,	
jatak,	যতকা,	জাতক,	
jolaatonko,	জোলাতন্্ক,	জলাতঙ্ক,	
konaan,	কোনান,	কোনান,	
alsaar,	আলসার,	আলসার,	
anchalsamuho,	অঞ্চলসসমূহ,	অঞ্চলসমূহ,	
heena,	হেন,	হেনা,	
sorting,	শর্্টিং,	সর্টিং,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
break,	ব্রিক,	ব্রেক,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
dhikrito,	ধিকৃত,	ধিকৃত,	
uthane,	উঠানে,	উঠানে,	
nischay,	নিশ্চে,	নিশ্চয়,	
abheedhaanick,	অভিভানিক,	অভিধানিক,	
rajballav,	রাজব্ললল,	রাজবল্লভ,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
gonokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
neshnos,	নেষন্,	নেশনস,	
ajimke,	আজিমকে,	আজিমকে,	
arasie,	আরসসী,	আরসিএ,	
ghumacchilo,	ঘুমাছিছলল,	ঘুমাচ্ছিল,	
boopon,	বুপন,	বপন,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
uposthit,	উপস্থিত,	উপস্থিত,	
habshi,	হববসী,	হাবশী,	
cheerota,	চিরতা,	চিরতা,	
postkay,	পোস্টক,	পোস্টকে,	
ovidhaner,	অভিধানের,	অভিধানের,	
ekghorey,	একঘরে,	একঘরে,	
dam,	দা,	ডং,	
cholochchitraeer,	চলচিত্রের্,	চলচ্চিত্রের,	
yauth,	যৌথ,	ইয়ুথ,	
bbiseshyo,	বিশেষ্,	বিশেষ্য,	
parisankhanbid,	পরিসা্্নবিক,	পরিসংখ্যানবিদ,	
vabatarini,	ভবতারীণী,	ভবতারিণী,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
markeetim,	মার্কেটি,	মার্কেটিং,	
texaser,	টেকাসের,	টেক্সাসের,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
kyathlik,	ক্যাললিক,	ক্যাথলিক,	
bildara,	বিলদার,	বিল্ডার,	
sanmukh,	সন্মুখ,	সন্মুখ,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
istan,	ইস্টেন,	স্টোন,	
shqolastic,	স্কোল্সসক,	স্কলাস্টিক,	
karmopontha,	কর্মপণ্থ,	কর্মপন্থা,	
roialti,	রাললটি,	রয়্যালটি,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
kanasarabhesana,	কনসারভেশন,	কনসারভেশন,	
danata,	দানতা,	ডোনাট,	
snaipara,	স্নাইার,	স্নাইপার,	
augustine,	অজাস্টিনন,	অগাস্টিন,	
elaakatir,	এলাকাটির,	এলাকাটির,	
totokhon,	ততোখষন,	ততক্ষন,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
kyashpar,	ক্যাসপার,	ক্যাসপার,	
karo,	কারও,	করো,	
chalachchitrai,	চলচিত্রইাই,	চলচ্চিত্রই,	
shringo,	শৃরীগ,	শৃঙ্গ,	
everest,	এভরিস্ট,	এভারেস্টে,	
phirth,	ফির্থ,	ফার্থ,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
udar,	উদার,	উদর,	
songostha,	সংগ্থা,	সংস্থা,	
bhittimool,	ভিত্তিমূল,	ভিত্তিমূল,	
modelke,	মোদেলকে,	মডেলকে,	
vorkendro,	ভোকান্দ্র,	ভরকেন্দ্র,	
piora,	পিওরা,	পিওর,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
naren,	নারেন,	নরেন,	
bolovodro,	বলবদ্র,	বলভদ্র,	
utsahomulak,	উৎসামূমকূল,	উৎসাহমূলক,	
amerika,	অমেরিকা,	আমেরিকা,	
shayetana,	সয়াটনন,	শয়তান,	
siit,	সীট,	শীত,	
sarbhare,	সারভারে,	সার্ভারে,	
meeseenjar,	মেসেঞার,	মেসেঞ্জার,	
zubokder,	যুবকদের,	যুবকদের,	
banshite,	বাঁশিতে,	বাঁশিতে,	
salafeta,	সালফেট,	সালফেট,	
balbo,	বলব,	বলবো,	
taaims,	টাইমসস,	টাইমস্,	
military,	মিলিটারি,	মিলিটারি,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
plak,	প্লাক,	প্ল্যাক,	
dharmantar,	ধর্মান্তর,	ধর্মান্তর,	
muhmmoder,	মুহম্মদের,	মুহম্মদের,	
poripaker,	পরিপকের,	পরিপাকের,	
lisens,	লিসেং্,	লাইসেন্স,	
gaujano,	গৌজননো,	গজানো,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
sossar,	সসার,	সকার,	
nodiitir,	নদদীত,	নদীটির,	
ganonatyo,	গণতাত্ত্য,	গণনাট্য,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
sthaponagulor,	স্থানপাাগগুলোর,	স্থাপনাগুলোর,	
shasankorta,	শাসনকর্ত,	শাসনকর্তা,	
dhyanostho,	ধ্বংস্থ,	ধ্যানস্থ,	
dozo,	দজজ,	ডোজো,	
parker,	পার্কের,	পার্কের,	
hud,	হুড,	হুড,	
satjaner,	সৎযজানের,	সাতজনের,	
goori,	গুরী,	গোরি,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
tecnokryat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
jyestha,	জ্যা্থঠ,	জ্যেষ্ঠা,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
korimer,	করিমের,	করিমের,	
pari,	পরর,	পেরি,	
nabom,	নব,	নবম,	
kadom,	কাদম,	কদম,	
domonmulok,	দমমন্মূলক,	দমনমূলক,	
ekroop,	একরুপ,	একরূপ,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
utsaahe,	উতসাহে,	উৎসাহে,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
dadar,	দাদার,	দাদার,	
emarjenshi,	এমার্জিন্সি,	এমার্জেন্সি,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
porizon,	পরিজন,	পরিজন,	
amstrong,	অ্্াস্টররি,	আর্মস্ট্রং,	
kash,	কাশ,	কাস,	
ujobekeestan,	উজবেকীষ্তন,	উজবেকিস্তান,	
superheiroo,	সুপারেরি,	সুপারহিরো,	
chirontan,	চিরন্তন,	চিরন্তন,	
