areek,	আরেক,	আরিক,	
ajeemke,	আজিমকে,	আজিমকে,	
teenti,	তিনটি,	তিনটি,	
twakei,	ত্বকেই,	ত্বকেই,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
shaddhii,	স্বাধ্ধি,	সাধ্বী,	
craze,	ক্রেজ,	ক্রেজ,	
dhanchey,	ধাঁচে,	ধাঁচে,	
torup,	টরূপ,	ট্রুপ,	
poste,	পোস্টে,	পোষ্টে,	
banger,	বঙ্গের,	ব্যাঙের,	
jeebonjaapon,	জীবনজাপন,	জীবনযাপন,	
resorte,	রিসর্টে,	রিসোর্টে,	
pushti,	পুষ্টি,	পুষ্টি,	
majhari,	মাঝারি,	মাঝারী,	
idipasha,	এডিপশ,	ইডিপাস,	
uipokar,	উইপকার,	উইপোকার,	
thake,	থাকে,	থাকে,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
chirontan,	চিরন্তন,	চিরন্তন,	
rizur,	ঋিজুর,	রিজুর,	
aholya,	আহল্য,	অহল্যা,	
thai,	ঠাই,	থাই,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
tintikey,	তিনটিকে,	তিনটিকে,	
bonobhumi,	বনভূমি,	বনভূমি,	
mosjidtikey,	মস্চিত্তিকে,	মসজিদটিকে,	
stonehenj,	স্টনেেঞ্জ,	স্টোনহেঞ্জ,	
padee,	পদি,	পাড়ে,	
dorgaho,	দরগাহ,	দরগাহ,	
ameettrakkhor,	অমিত্রকক্ষর,	অমিত্রাক্ষর,	
janalo,	জানালো,	জানালো,	
sahochorjo,	সহচর্য,	সাহচর্য,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
lutharan,	লুঠারন,	লুথেরান,	
jens,	জেনস,	জিন্স,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
messenger,	মেশেঞ্জার,	মেসেঞ্জার,	
lakkheryo,	লক্ষেরেও,	লক্ষেরও,	
abatar,	অবতার,	অবতার,	
jotinkey,	যটিনকে,	যতীনকে,	
lidara,	লিডার,	লিডার,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
marekting,	ম্যারেক্টিং,	মার্কেটিং,	
asamonjoshopurno,	অসমানস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
daebug,	দেবুগ,	ডিবাগ,	
shphingtar,	স্ফিনার্টার,	স্ফিংটার,	
food,	ফুড,	ফুড,	
donat,	দোনাত,	ডোনাট,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
dibaag,	দিবাগ,	ডিবাগ,	
elaaka,	এলাকা,	এলাকা,	
bongram,	বংগ্রাম,	বনগ্রাম,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
tennish,	টেনিস,	টেনিস,	
omarendro,	অমরন্দ্র,	অমরেন্দ্র,	
sutir,	সুটির,	সুতির,	
manir,	মানির,	মনির,	
mojlish,	মজলিস,	মজলিশ,	
saahosikotar,	সাহসিকতার,	সাহসিকতার,	
baik,	ব্যাক,	বাইক,	
ragke,	রাগকে,	রাগকে,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
bonvumitey,	বনভুমিতে,	বনভূমিতে,	
uporitale,	উপরেতালে,	উপরিতলে,	
duma,	দম,	দুমা,	
besuro,	বেশুর,	বেসুর,	
tanteera,	তান্টির,	তাঁতিরা,	
eshoshiyetasha,	এসএসিয়েশ,	এসোসিয়েটস,	
panjikar,	পাঞ্জিকর,	পঞ্জিকার,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
shulfate,	সালফাতে,	সালফেট,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
astikra,	অস্টিকরা,	আস্তিকতা,	
booroon,	বুরুন,	বোরন,	
parka,	পার্ক,	পার্ক,	
sabyastha,	সব্যস্ত,	সাব্যস্থ,	
mosjidsaho,	মস্বিদ্ধ,	মসজিদসহ,	
mukhyo,	মূখ্য,	মুখ্য,	
brittakare,	বৃত্তককারে,	বৃত্তাকারে,	
johns,	জনস,	জন্স,	
mulbhitti,	মুলভীত্তি,	মূলভিত্তি,	
heights,	হাইটস,	হাইটস,	
siddhantai,	সিদ্বানটই,	সিদ্ধান্তই,	
ponni,	পন্নি,	পন্নী,	
dhhalur,	ঢালুর,	ঢালুর,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
tennys,	টেনিস,	টেনিস,	
sip,	সিপ,	শিপ,	
thyachar,	থিযাচার,	থ্যাচার,	
bagdader,	বাগদের,	বাগদাদের,	
toroni,	তরনী,	তরণী,	
kabutarer,	কাবুতুরের,	কবুতরের,	
naitikata,	নৈতিকাটা,	নৈতিকতা,	
ghoorsen,	ঘুর্সেন,	ঘুরেছেন,	
santani,	সন্তানী,	সনাতনী,	
bedanto,	বেদন্ত,	বেদান্ত,	
heightsh,	হাইটস,	হাইটস,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
horas,	হরাশ,	হোরাস,	
abahan,	অবহন,	আবাহন,	
engrejder,	ইংরেজের,	ইংরেজদের,	
konake,	কোনকে,	কণাকে,	
pronoti,	প্রণাটি,	প্রণতি,	
chittronattokar,	চিত্রনাটকতার,	চিত্রনাট্যকার,	
sharthe,	শর্থে,	স্বার্থে,	
retasa,	রেটস,	রাইটস,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
gafeeloti,	গাফিলোটি,	গাফিলতি,	
balbo,	বলবো,	বলবো,	
dhormi,	ধর্মী,	ধর্মী,	
vangey,	ভাঙে,	ভাঙ্গে,	
gacher,	গাছের,	গাছের,	
ajeeboner,	অজিবনের,	আজীবনের,	
bihare,	বীহারে,	বিহারে,	
oindrila,	ইন্ড্রেল,	ঐন্দ্রিলা,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
azibon,	অজিবন,	আজীবন,	
sommoteer,	সম্মতির,	সম্মতির,	
hijrii,	হিজরি,	হিজরী,	
platoo,	প্লাটু,	প্লেটো,	
teknokret,	টেকনোক্রে,	টেকনোক্র্যাট,	
nilkamal,	নিলকমাল,	নীলকমল,	
tyap,	ট্যাপ,	ট্যাপ,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
jekhan,	যেখান,	যেখান,	
stana,	স্টন,	স্টোন,	
prabhuder,	প্রভূদের,	প্রভুদের,	
daktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
kormoke,	কর্মকে,	কর্মকে,	
hariner,	হরিনের,	হরিণের,	
muladee,	মুলাদী,	মুলাদি,	
thailandsoho,	থাইলান্সবস,	থাইল্যান্ডসহ,	
jolrong,	জলরাঙ,	জলরঙ,	
kada,	কাদা,	কোড,	
byatasamyan,	ব্যাটস্যান,	ব্যাটসম্যান,	
shaahaab,	সাহাব,	সাহাব,	
basturoi,	বসস্তুরই,	বস্তুরই,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
uporitoler,	উপরেতলের,	উপরিতলের,	
aazaadir,	আজাদির,	আজাদীর,	
notti,	নটি,	নোটটি,	
bonaa,	বোনা,	বোনা,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
karuna,	কররনা,	করুণা,	
patterne,	প্যাটারন,	প্যাটার্নে,	
lyataa,	লেযাটা,	ল্যাটা,	
remakri,	রেমাক্রি,	রেমাক্রী,	
tottobar,	তত্ত্বর,	তওবার,	
cal,	কাল,	চাল,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
drishi,	দৃশ্য,	দৃশ্যই,	
pashan,	পাশন,	পাষাণ,	
rubeta,	রুবেট,	রাবেতা,	
satarkakaree,	সতর্কাকারী,	সতর্ককারী,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
maarmader,	মারমদের,	মারমাদের,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
temontee,	তেমনটি,	তেমনটি,	
bamoni,	বামনী,	বামনী,	
baffer,	বাফফার,	বাফার,	
geeja,	গিজ,	গেজ,	
di,	দাই,	দিই,	
janacche,	জনাচ্ছে,	জানাচ্ছে,	
probeshan,	প্রবেশন,	প্রবেশন,	
orohan,	অরোহণ,	ওরহান,	
faad,	ফাঁদ,	ফুড,	
kaantojir,	কাঁটোজীর,	কান্তজির,	
bolatkar,	বললকার,	বলাৎকার,	
debholapar,	ডেভলাপার,	ডেভলপার,	
bagichar,	বাগিছার,	বাগিচার,	
babna,	বাবনা,	বাবনা,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
dikpal,	দিকপাল,	দিকপাল,	
ssosha,	শোষা,	শশা,	
kailas,	কৈলাশ,	কৈলাস,	
ajiboner,	অজিবনের,	আজীবনের,	
miley,	মিলে,	মিলে,	
concerter,	কনসার্টার,	কানসাটের,	
arakdal,	আরকদল,	আরেকদল,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
asiatic,	অসিকাটিক,	এশিয়াটিক,	
diaraesa,	ডায়েরাস,	ডিআরএস,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
shepha,	সেফ,	শেফ,	
nitikatha,	নীতিকথা,	নীতিকথা,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
hul,	হুল,	হুল,	
benke,	বেনকে,	বেঁকে,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
saajano,	সাজান,	সাজানো,	
chotto,	ছত্ত,	ছোট্ট,	
pakhirai,	পাখিরাই,	পাখিরাই,	
hebhi,	হেভি,	হেভি,	
lat,	লেট,	লাট,	
arke,	আর্ক,	আরকে,	
sotorkota,	সর্তকতা,	সতর্কতা,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
aminar,	আমিনার,	আমিনার,	
debate,	দেবাতে,	ডিবেট,	
fanskari,	ফাঁসকারী,	ফাঁসকারী,	
soomita,	সুমিতা,	সুমিতা,	
soourse,	সোর্স,	সোর্স,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
grawth,	গ্রাথ,	গ্রোথ,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
spostotoi,	স্পষ্টততই,	স্পষ্টতই,	
fevarite,	ফেভারিতে,	ফেভারিট,	
samabeshke,	সমবেশকে,	সমাবেশকে,	
pravritike,	প্রাভৃতিকে,	প্রভৃতিকে,	
pest,	পেস্ট,	পেষ্ট,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
fox,	ফক্স,	ফক্স,	
siddhantey,	সিদ্বান্তে,	সিদ্ধান্তে,	
brindaaboner,	বৃর্দবনের,	বৃন্দাবনের,	
hoolding,	হুল্ডিং,	হোল্ডিং,	
gondhe,	গন্ধে,	গন্ধে,	
babilon,	বেবিলিন,	ব্যাবিলন,	
soomo,	সুমো,	সুমো,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
majlish,	মজলিস,	মজলিশ,	
pana,	পান,	পানা,	
jeeni,	জিনি,	যিনি,	
prosadhoni,	প্রসাধানী,	প্রসাধনী,	
samajeek,	সামাজিক,	সামাজিক,	
kheley,	খেলে,	খেলে,	
moshjidshoho,	মস্বিজ্বোহ,	মসজিদসহ,	
ebhara,	এভার,	এভার,	
shcholastiq,	স্কললাস্টিক,	স্কলাস্টিক,	
seatey,	সেটে,	সিটে,	
mukhomaundoley,	মুখমুদন্ডলে,	মুখমণ্ডলে,	
hizri,	হিজরি,	হিজরী,	
puncho,	পুঞ্চ,	পুঞ্চ,	
hatodoridra,	হাতদদিরিদ্র,	হতদরিদ্র,	
nojoder,	নজদের,	নজদের,	
chheelonaa,	ছিলনা,	ছিলনা,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
chalachchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
shuperhero,	সুপারেরও,	সুপারহিরো,	
gaadha,	গাধা,	গাধা,	
meghkey,	মেঘকে,	মেঘকে,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
bitolser,	বিতলসের,	বিটলসের,	
itemer,	ইতেমের,	আইটেমের,	
hizritey,	হিজরিতে,	হিজরীতে,	
gabhaskar,	গভাষ্কার,	গাভাস্কার,	
shelina,	সেলিনা,	সেলিনা,	
directorete,	ডিরেক্টরে,	ডিরেক্টরেট,	
marketing,	মার্কেটিং,	মার্কেটিং,	
ponthaar,	পোঁঠার,	পন্থার,	
charger,	চার্গের,	চার্জের,	
eder,	এডের,	এদের,	
peterkay,	পিটারকে,	পিটারকে,	
