gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
phiksa,	ফিক্স,	ফিক্স,	
laishensh,	লাইসেন্স,	লাইসেন্স,	
adhito,	অধিত,	অধীত,	
lokkheryo,	লক্ষেরও,	লক্ষেরও,	
manur,	মনুর,	মনুর,	
oviyojan,	অভিযোজন,	অভিযোজন,	
mononiitoder,	মনোনিতদের,	মনোনীতদের,	
mohibur,	মহিবুর,	মহিবুর,	
asovyo,	অসভ্য,	অসভ্য,	
nariikeyi,	নারীকেই,	নারীকেই,	
baasate,	বাসাতে,	বাসাতে,	
siddhantoo,	সিদ্বান্ত,	সিদ্ধান্তও,	
bhenus,	ভেনাস,	ভেনাস,	
laatimer,	লাটিমের,	লাটিমের,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
daawn,	ডান,	ডাউন,	
sanghar,	সংঘ্র,	সংহার,	
hirani,	হিরানী,	হিরানি,	
bocchoner,	বচ্ছনের,	বচ্চনের,	
taunsheep,	তাউশ্ষীপ,	টাউনশিপ,	
gyate,	গ্ঞাতে,	গ্যেটে,	
cannel,	ক্যানেল,	ক্যানেল,	
udbhabony,	উদ্ভাননী,	উদ্ভাবনী,	
ronodeep,	রণণিপ,	রণদীপ,	
eder,	এদের,	এদের,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
uponisoder,	উপনিসদের,	উপনিষদের,	
robot,	রোবট,	রোবোট,	
site,	সাইটে,	সিটে,	
liceensing,	লিসেন্স,	লাইসেন্সিং,	
gage,	গেগে,	গেজ,	
kyathlikder,	ক্যাথলিকের,	ক্যাথলিকদের,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
ujobekeestaner,	উজবেিস্তানের,	উজবেকিস্তানের,	
aagost,	অগস্ট,	আগষ্ট,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
kyashpar,	ক্যাসপার,	ক্যাসপার,	
tarunke,	তরুণকে,	তরুণকে,	
abhijojan,	অভিযোজন,	অভিযোজন,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
teyt,	টেট,	টেট,	
harisher,	হরিসের,	হ্যারিসের,	
raunanganey,	রৌনাঙ্গনে,	রণাঙ্গনে,	
olngkoron,	অলঙ্করণ,	অলঙ্করণ,	
jwar,	জ্বার,	জ্বর,	
chupi,	চুপি,	চুপি,	
shikhechi,	শিখেছি,	শিখেছি,	
asamorik,	আসামরিক,	অসামরিক,	
vittiei,	ভিত্ইই,	ভিত্তিই,	
nartakike,	নর্তকীকে,	নর্তকীকে,	
koreemke,	করিকমে,	করিমকে,	
shahocharjo,	শাহার্য,	সাহচর্য,	
helloin,	হেলন,	হ্যালোইন,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
klaud,	ক্লাউড,	ক্লাউড,	
konrup,	কনুরপপ,	কোনরূপ,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
godavari,	গোডাভরি,	গোদাবরী,	
shahocharje,	শহচার্যে,	সাহচর্যে,	
esasiyetasa,	এসাসিযেট,	এসোসিয়েটস,	
damonmulok,	দামন্মূলক,	দমনমূলক,	
bolbo,	বলবো,	বলবো,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
bilati,	বিলাটি,	বিলাতী,	
nikel,	নিকেল,	নিকেল,	
baasake,	বাসাকে,	বাসাকে,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
sthapanagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
kasper,	কাসপার,	ক্যাসপার,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
dipgulote,	দীপগুলোতে,	দ্বীপগুলোতে,	
krishenta,	ক্রিজেন্ট,	ক্রিসেন্ট,	
ghamta,	ঘামতা,	ঘোমটা,	
shikshao,	শিক্সও,	শিক্ষাও,	
chalkee,	চলকি,	চালকে,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
lampat,	ল্যাম্পট,	লম্পট,	
lendl,	লেন্ডল,	লেন্ডল,	
sthaponakay,	স্থাপনকে,	স্থাপনাকে,	
tuso,	টুসো,	তুসো,	
ashocheton,	অসোচেতন,	অসচেতন,	
jonomukhee,	জনমুখী,	জনমুখী,	
abosan,	অবাসন,	অবসান,	
ekbakke,	একবাকে,	একবাক্যে,	
prithibir,	পৃথিবীর,	পৃথবীর,	
gitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
soundorjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
sulphate,	সালফাতে,	সালফেট,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
shooknaa,	শুকনা,	শুকনা,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
pujit,	পুজিত,	পুজিত,	
maailey,	মাইলে,	মাইলে,	
besorkarikoron,	বেসরকারিকরণ,	বেসরকারিকরণ,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
nafisa,	নাফিস,	নাফিসা,	
orunima,	ওরুণিমা,	অরুণিমা,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
oojbekistaner,	উজ্বেকিস্তানের,	উজবেকিস্তানের,	
haridwar,	হারিদ্বর,	হরিদ্বার,	
grip,	গ্রিপ,	গ্রিপ,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
azim,	আজিম,	আজিম,	
brekethru,	ব্রেক্তরু,	ব্রেকথ্রু,	
she,	সে,	সে,	
phutonta,	ফুটন্তা,	ফুটন্ত,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
onektai,	অনেকটাই,	অনেকটাই,	
alaol,	আলোল,	আলাওল,	
choopi,	চুপি,	চুপি,	
semai,	সেমাই,	সেমাই,	
basinay,	বাসিনে,	বেসিনে,	
naitikata,	নৈতিকতা,	নৈতিকতা,	
korush,	কররাস,	ক্রুশ,	
osthisandhi,	অস্থিষন্ধি,	অস্থিসন্ধি,	
mesenzar,	মেশেঞ্জার,	মেসেঞ্জার,	
donut,	দ্নুত,	ডোনাট,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
ghumachchila,	ঘুমো্ছিলা,	ঘুমাচ্ছিল,	
kaanaai,	কানাই,	কানাই,	
panchbar,	পঞ্চাবার,	পাঁচবার,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
chalochchitraeeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
nirapattamulak,	নিরপত্মমূলক,	নিরাপত্তামূলক,	
istan,	ইস্তান,	স্টোন,	
khizir,	খিজির,	খিজির,	
birder,	বীরদের,	বার্ডের,	
barakpur,	বারাকপুর,	বারাকপুর,	
falasrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
vogiroth,	ভগিরথথ,	ভগীরথ,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
oshthad,	অষ্ঠাদ,	ওস্তাদ,	
jansha,	জানস,	জন্স,	
bharma,	ভর্ম,	ভার্মা,	
rajon,	রজন,	রাজন,	
huka,	হুকা,	হুক,	
qoda,	কোডা,	কোড,	
chalaabi,	চালাবি,	চালাবে,	
elakayi,	এলাকাই,	এলাকাই,	
sattoki,	সত্যকি,	সাত্যকি,	
codeguli,	কোডগুলি,	কোডগুলি,	
laaiseensh,	লাইসেন্স,	লাইসেন্স,	
station,	স্টেশন,	ষ্টেশন,	
tat,	তাট,	তাত,	
ameerica,	অমেরিকা,	আমেরিকা,	
zoneser,	জননেসের,	জোন্সের,	
eevil,	এভিল,	ইভিল,	
alauler,	আলৌলের,	আলাওলের,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
loukik,	লৌকিক,	লৌকিক,	
serverer,	সারভারের,	সার্ভারের,	
hugheke,	হুঘকে,	হিউজকে,	
baik,	বাইক,	বাইক,	
pouch,	পৌঁছ,	পাউচ,	
nikot,	নিকট,	নিকট,	
chhootite,	ছুটিতে,	ছুটিতে,	
tersa,	টার্স,	টেরেসা,	
ponnee,	পন্য,	পন্নী,	
sherup,	শেরুপ,	সেরুপ,	
dee,	ডি,	ডে,	
arunima,	অরুণিমা,	অরুণিমা,	
gananatya,	গণানত্য,	গণনাট্য,	
vabani,	ভবনা,	ভবানী,	
phutonto,	ফুটন্ত,	ফুটন্ত,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
jetei,	যেটেই,	যেতেই,	
ashonka,	আসঙ্কা,	আশঙ্কা,	
showte,	সটট,	শোতে,	
sbajaner,	সবজানের,	স্বজনের,	
sima,	সিম,	সীমা,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
durgotsob,	দুর্গৎসব,	দুর্গোৎসব,	
roktokshoroney,	রক্তক্ষণে,	রক্তক্ষরণে,	
schedule,	স্যাদুলে,	শিডিউল,	
satarko,	সতার্কো,	সতর্ক,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
elaakaao,	এলাকাও,	এলাকাও,	
lettere,	ল্যাটারে,	লেটারে,	
jacker,	জ্যাকার,	জ্যাকের,	
madhabi,	মাধবী,	মাধবী,	
kar,	কার,	কর,	
rifleks,	রাইফেল্স,	রিফ্লেক্স,	
qraima,	ক্রাইম,	ক্রাইম,	
augustin,	অজুস্টিন,	অগাস্টিন,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
saqara,	সাকার,	সাকার,	
utsahamulak,	উত্সামূলক,	উৎসাহমূলক,	
dajjho,	দজ্জ,	দাহ্য,	
churger,	চার্জার,	চার্জের,	
kingdom,	কিংমদ,	কিংডম,	
lagto,	লাগট,	লাগতো,	
pleeto,	প্লেট,	প্লেটো,	
upobaaser,	উপবাসের,	উপবাসের,	
satthikata,	সাথিকতা,	সঠিকতা,	
naraphoka,	নরাফক,	নরফোক,	
nadnodeer,	নদন্দীর,	নদনদীর,	
ganosachetanata,	গণশাচতনতা,	গণসচেতনতা,	
sucharita,	সুচারিত,	সুচরিতা,	
novell,	নোভল,	নভেল,	
iura,	ইউরা,	ইউরো,	
iukyaliptasha,	ইউক্যাপিল্টাস,	ইউক্যালিপ্টাস,	
cholochchitroke,	চলচিত্র্ককে,	চলচ্চিত্রকে,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
moshjid,	মোজীদ,	মসজিদ,	
motar,	মোটর,	মুতার,	
obhigomon,	অভিগমন,	অভিগমন,	
haridware,	হারিদ্বরে,	হরিদ্বারে,	
gajipur,	গাজীপুর,	গাজিপুর,	
osommotite,	অসম্ততিতে,	অসম্মতি,	
si,	সি,	এসআই,	
shoreef,	শরিফ,	শরিফ,	
chuti,	চুটি,	ছুটি,	
danata,	দানতা,	ডোনাট,	
avereste,	অভারেস্টে,	এভারেস্টে,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
dor,	ডোর,	দোর,	
vabotarini,	ভাবতারিনী,	ভবতারিণী,	
dajjha,	দজ্জ,	দাহ্য,	
shuri,	সুরি,	সুরি,	
armstronz,	আর্সগ্রন্জ,	আর্মস্ট্রং,	
otitkaley,	অতিতকালে,	অতীতকালে,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
kadom,	কাদম,	কদম,	
chef,	চেফ,	শেফ,	
beekargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
euro,	ইউরো,	ইউরো,	
mugdhota,	মুঘ্ধতা,	মুগ্ধতা,	
karlosh,	কার্লস,	কার্লোস,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
hugheske,	হুঘেষকে,	হিউজকে,	
ajeempoor,	অজিমপুর,	আজিমপুর,	
gronthotyke,	গ্রন্থতিকে,	গ্রন্থটিকে,	
renoo,	রেনও,	রেনো,	
srichoitonyodeb,	শ্রীচিতন্যবেদ,	শ্রীচৈতন্যদেব,	
attorkite,	আত্তরকিতে,	অতর্কিতে,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
sectar,	সেক্টার,	সেক্টর,	
ghotleo,	ঘটলেও,	ঘটলেও,	
upobaasee,	উপবাসী,	উপবাসী,	
adhyattikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
khanonkaj,	খননকাজ,	খননকাজ,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
holdeeng,	হোল্ডিং,	হোল্ডিং,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
anektai,	অনেকটি,	অনেকটাই,	
bruklin,	ব্রাকলিন,	ব্রুকলিন,	
jalbe,	জলবে,	জ্বলবে,	
akhando,	আখন্দ,	অখন্ড,	
thake,	থাকে,	থাকে,	
asamorthito,	অসামর্থিত,	অসমর্থিত,	
