futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
prokalpagulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
stanehenge,	স্টেনেহেঞ্জে,	স্টোনহেঞ্জ,	
vagirath,	ভাগীরথ,	ভগীরথ,	
rajotwo,	রাজত্ব,	রাজত্ব,	
hanttey,	হানতে,	হাঁটতে,	
aajeej,	আজিজ,	আজিজ,	
kormosompadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
bhangey,	ভাঙ্গে,	ভাঙ্গে,	
dakticketer,	ডাক্তিক্টের,	ডাকটিকিটের,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
ekai,	একাই,	একাই,	
grambaasio,	গ্রামাবশী,	গ্রামবাসীও,	
bharatey,	ভারতে,	ভারতে,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
augustin,	অগাস্টিন,	অগাস্টিন,	
kommppito,	কম্পিং,	কম্পিত,	
boner,	বোনের,	বনের,	
gara,	গাার,	গোর,	
stana,	স্টন,	স্টোন,	
fising,	ফিশিং,	ফিসিং,	
dhhabi,	ধাবি,	ঢাবি,	
odurey,	অদূরে,	অদুরে,	
thishisher,	ঠিসিসের,	থিসিসের,	
chomoski,	চমষ্কি,	চমস্কি,	
longhon,	লঙ্ঘন,	লংঘন,	
guzob,	গুজব,	গুজব,	
amerikar,	অ্েরেকার,	আমেরিকার,	
saazanor,	সাজানোর,	সাজানোর,	
obhishangson,	অভিসংসন,	অভিশংসন,	
sangastha,	সংস্থ,	সংস্থা,	
wagadada,	ভাগাদাদ,	বাগদাদ,	
ayadabhansada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
nirbaha,	নির্বাহ,	নির্বাহ,	
tekno,	টেকনো,	টেকনো,	
kathmaandu,	কাঠমান্দু,	কাঠমান্ডু,	
kinto,	কিন্ত,	কিনত,	
kaantojir,	কান্তজীর,	কান্তজির,	
moddhyekar,	মধ্যকার,	মধ্যেকার,	
carpeter,	কর্পেটের,	কার্পেটের,	
marathi,	মারাঠী,	মরাঠি,	
gotibegey,	গতিবীগে,	গতিবেগে,	
nirikh,	নিরিখ,	নিরিখ,	
jor,	জোর,	জ্বর,	
shekarone,	সেকারণে,	সেকারণে,	
kingdam,	কিংদদ,	কিংডম,	
adhunikkaley,	আধুনিককালে,	আধুনিককালে,	
moorali,	মোরালি,	মুরলী,	
madola,	মাোল,	মাদলা,	
modelkey,	মোডেলকে,	মডেলকে,	
agamaner,	আগমানের,	আগমনের,	
daily,	ডেইলি,	ডেইলি,	
thakey,	থাকে,	থাকে,	
times,	টাইমস,	টাইমস্,	
paira,	পায়ার,	পাইরা,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
porissrom,	পরিশ্রম,	পরিশ্রম,	
asaciates,	অ্যাসিসিয়েট,	এসোসিয়েটস,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
kokhonoba,	কখনোবা,	কখনওবা,	
valobase,	ভালবাসে,	ভালোবাসে,	
venam,	ভেনাম,	ভেনম,	
baipash,	বৈপাশ,	বাইপাস,	
shaushage,	সাইশজ,	সসেজ,	
nirupito,	নিরুপিত,	নিরূপিত,	
routine,	রাউটিন,	রুটিন,	
inapharamesana,	ইনফরমেশন্যান,	ইনফরমেশন,	
asietic,	অসিটিক,	এশিয়াটিক,	
reeliancee,	রিলিয়েন্স,	রিলায়েন্স,	
gudamjato,	গুদামজাত,	গুদামজাত,	
bolechile,	বলেছিলে,	বলেছিলে,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
teemur,	তিমুর,	তিমুর,	
kadorer,	কাদরের,	কদরের,	
roobi,	রবি,	রুবি,	
chaabir,	চাবির,	চাবির,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
rajtontre,	রাজ্ত্ত্রে,	রাজতন্ত্রে,	
deliwer,	ডিলিভের,	ডেলিভার,	
bite,	বিটে,	বাইট,	
eparjonta,	এপার্জন্ট,	এপর্যন্ত,	
santani,	সন্তানী,	সনাতনী,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
durgatsob,	দুর্গসসব,	দুর্গোৎসব,	
conflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
marodeho,	মারোদেহ,	মরদেহ,	
swartho,	স্বর্থ,	স্বার্থ,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
sangbadmadhyome,	সংবাদধম্যে,	সংবাদমাধ্যমে,	
zeebonjaapon,	জীবনাপন,	জীবনযাপন,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
letterey,	লেটারে,	লেটারে,	
shangsthati,	সংস্ঠাতি,	সংস্থাটি,	
patka,	পটকা,	পটকা,	
nagorik,	নাগরিক,	নাগরিক,	
bhramankale,	ভ্রামাাকে,	ভ্রমণকালে,	
chhathke,	ছাটকে,	ছাতকে,	
samajeekotar,	সামজজিকতার,	সামাজিকতার,	
adorso,	আদর্শ,	আর্দশ,	
kark,	কার্ক,	কার্ক,	
inphormation,	ইনফর্টমেশন,	ইনফরমেশন,	
enginiiring,	ইঞ্জানিরিং,	ইঞ্জিনিয়ারিং,	
pravritike,	প্রভীতিকে,	প্রভৃতিকে,	
kinsha,	কিংস,	কিংস,	
doorger,	দুর্গের,	দুর্গের,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
irana,	ইরান,	ইরান,	
uipoka,	উইপককা,	উইপোকা,	
babyloney,	বাযালিনে,	ব্যাবিলনে,	
inafarameshana,	ইনফরমেশন্যান,	ইনফরমেশন,	
tuso,	টুস,	তুসো,	
soptahokal,	সপ্তাহকল,	সপ্তাহকাল,	
sangostha,	সংস্থ,	সংস্থা,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
uponisod,	উপনিশদ,	উপনিষদ,	
kortaam,	করতাম,	করতাম,	
futonta,	ফুটন্ত,	ফুটন্ত,	
postay,	পোস্টে,	পোষ্টে,	
aarcia,	আর্সিয়া,	আরসিএ,	
title,	তিতলে,	টাইটেল,	
harriser,	হ্যারিসের,	হ্যারিসের,	
armshtrong,	আর্ম্্র্টন্জ,	আর্মস্ট্রং,	
matrirup,	মাত্রীরূপ,	মাতৃরূপ,	
gudamjaato,	গুদামজাত,	গুদামজাত,	
ashor,	অশোর,	আসর,	
tukroti,	তুকরটি,	টুকরোটি,	
ancholtitey,	আঞচলটিতে,	অঞ্চলটিতে,	
swajan,	স্বজন,	স্বজন,	
fooloo,	ফুলু,	পোলো,	
phirti,	ফিরটি,	ফিরতি,	
puding,	পুডিং,	পুডিং,	
deelibhara,	ডিলিভার,	ডেলিভার,	
sikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
dhanche,	ধাঁছে,	ধাঁচে,	
prithibir,	পৃথিবীর,	পৃথবীর,	
peterke,	পিটারকে,	পিটারকে,	
prapokkey,	প্রাপককে,	প্রাপককে,	
soource,	সোর্স,	সোর্স,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
shailee,	শেলী,	শৈলী,	
zinsa,	জিংস,	জিন্স,	
nabom,	নবম,	নবম,	
abadamaner,	অবদামানের,	অবদমনের,	
daroda,	দারদা,	দারদা,	
stanahenja,	স্টােনহেঞ্জ,	স্টোনহেঞ্জ,	
eemeergeency,	ইমের্জিন্সি,	এমার্জেন্সি,	
nodigulir,	নদীগুলির,	নদীগুলির,	
ateetkale,	অতীতকালে,	অতীতকালে,	
skara,	স্কার,	স্কোর,	
nodimaatrik,	নদদিমাত্রিক,	নদীমাতৃক,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
jarul,	জারুল,	জারুল,	
aansarir,	আনসারির,	আনসারীর,	
janomukhee,	জনমুখী,	জনমুখী,	
admiral,	অডিমরর,	এডমিরাল,	
ooipokar,	উইপককার,	উইপোকার,	
faser,	ফেসার,	ফাঁসের,	
armstronz,	আর্ম্স্ট্রন্জ,	আর্মস্ট্রং,	
licensin,	লাইসন্সিং,	লাইসেন্সিং,	
santa,	সন্ত,	স্যান্টা,	
shrichaitanyadev,	শ্রীচৈতনাদ্যদে,	শ্রীচৈতন্যদেব,	
khilaphat,	খিলাফাত,	খিলাফত,	
dhas,	ধাস,	ধস,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
raagkey,	রাগকে,	রাগকে,	
shangkalonti,	সংকলণটি,	সংকলনটি,	
mukhabandha,	মুখবান্ধ,	মুখবন্ধ,	
shatan,	শতন,	শয়তান,	
zockey,	জকি,	জকি,	
edipass,	এডিপাস,	ইডিপাস,	
thailandsoho,	থাইলান্স,	থাইল্যান্ডসহ,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
ajeejer,	অজিজের,	আজিজের,	
moshzidshoho,	মসজিদসহ,	মসজিদসহ,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
jalarong,	জলারণ,	জলরঙ,	
billaho,	বিলাহ,	বিল্লাহ,	
makhmaley,	মাখমালে,	মখমলে,	
krom,	ক্রোম,	ক্রম,	
mahe,	মহে,	মাহে,	
sibraz,	শিবরাজ,	শিবরাজ,	
ekok,	একো,	একক,	
sumee,	সুমি,	সুমি,	
thaii,	থাই,	থাই,	
bauger,	বাউগের,	বাগের,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
achis,	আচিস,	আছিস,	
mozlishpur,	মজলিশপুর,	মজলিশপুর,	
shorif,	শরীফ,	শরিফ,	
eenameel,	ইনামেল,	এনামেল,	
aboshore,	অবসরে,	অবসরে,	
talal,	তালাল,	তালাল,	
samajeri,	সমাজেরী,	সমাজেরই,	
amarendra,	অমারন্দ্র,	অমরেন্দ্র,	
asamorik,	আসামরিক,	অসামরিক,	
debodebi,	দেবদেবী,	দেবদেবী,	
tukror,	টুকরোর,	টুকরোর,	
pratool,	প্রোতল,	প্রতুল,	
nirvahey,	নির্বাহে,	নির্বাহে,	
toronee,	তরণী,	তরণী,	
thakeni,	থাকেনি,	থাকেনি,	
koreempoor,	করিমপুর,	করিমপুর,	
dharavassyokar,	ধারাভাস্যকার,	ধারাভাষ্যকার,	
faridi,	ফরীদি,	ফরিদী,	
brindaboney,	ব্রিণবদনে,	বৃন্দাবনে,	
rupa,	রূপ,	রুপা,	
utsahe,	উত্সাহে,	উৎসাহে,	
keraam,	কেরাম,	কেরাম,	
felto,	ফেল্ট,	ফেলত,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
gandhiir,	গানধীর,	গান্ধীর,	
srichoitonyodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
udbodhoney,	উদ্বধনে,	উদ্বোধনে,	
pachhi,	পাছছি,	পাচ্ছি,	
rajtontro,	রাজ্ত্রন্ত্র,	রাজতন্ত্র,	
nations,	ন্যানশন,	নেশনস,	
deebug,	দেবীগ,	ডিবাগ,	
foreex,	ফরেক্স,	ফরেক্স,	
gatihin,	গতিহীন,	গতিহীন,	
arina,	এরিন,	এরিনা,	
narider,	নারীদের,	নারীদের,	
ujbekistan,	উজবেকস্তান,	উজবেকিস্তান,	
harano,	হারানো,	হারান,	
stoona,	স্টান,	স্টোন,	
wul,	ভুল,	উল,	
gaj,	গজ,	গেজ,	
eura,	ইউরা,	ইউরো,	
kyatagorir,	ক্যাটগোরির,	ক্যাটাগরির,	
thanvee,	থানবী,	থানভী,	
tat,	তৎ,	তাত,	
oitijjer,	ঐতিহ্যের,	ঐতিহ্যের,	
tep,	টেপ,	ট্যাপ,	
ispredshit,	ইস্প্রেডসিস,	স্প্রেডশীট,	
shamuker,	সামুকের,	শামুকের,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
sanbadmadhyame,	সংবাদধম্যে,	সংবাদমাধ্যমে,	
bajite,	বাজিতে,	বাজিতে,	
sanmukh,	সা্মুখ,	সন্মুখ,	
amittrakkhor,	অমিত্রক্ষকর,	অমিত্রাক্ষর,	
toufiq,	তৌফিক,	তৌফিক,	
mukherji,	মুখার্জি,	মুখার্জী,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
ashiatic,	এশেটিক,	এশিয়াটিক,	
