antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
shikha,	শিখা,	শিখ,	
marekting,	মারেক্টিং,	মার্কেটিং,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
prapoker,	প্রাপকের,	প্রাপকের,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
shombhobonaao,	সম্ভবননাও,	সম্ভবনাও,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
graambasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
soommo,	সুম্ম,	সুমো,	
kirk,	কার্ক,	কার্ক,	
gulen,	গুলেন,	গুলেন,	
lyaandeeng,	ল্যান্ডেং,	ল্যান্ডিং,	
kyanela,	ক্যানেল,	ক্যানেল,	
tolemy,	টলেমি,	টলেমির,	
shaater,	ষাটের,	শ্যুটার,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
khaambaa,	খাম্বা,	খাম্বা,	
omeettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
jamkalo,	জামকালো,	জমকালো,	
farna,	ফারন,	ফার্ন,	
shipa,	শিপা,	শিপ,	
puding,	পাডিং,	পুডিং,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
saarbharer,	সার্ভারের,	সার্ভারের,	
padee,	পদে,	পাড়ে,	
aireshe,	আইরেশে,	আইরেসে,	
craze,	ক্রেজ,	ক্রেজ,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
oteeteo,	অতিতেও,	অতীতেও,	
soorti,	সূর্তি,	সুরটি,	
patochitra,	পটচিত্র,	পটচিত্র,	
chapal,	চাপাল,	চপল,	
monchostho,	মন্চস্থ,	মঞ্চস্থ,	
abhigomon,	অভিগমন,	অভিগমন,	
basiney,	বসিনে,	বেসিনে,	
tourisht,	টুরিস্ট,	টুরিস্ট,	
aarik,	আরিক,	আরিক,	
bhabaaponno,	ভবপান্ন,	ভাবাপন্ন,	
radhanagar,	রাধানগর,	রাধানগর,	
pouch,	পৌচ,	পাউচ,	
prabhuder,	প্রভুদের,	প্রভুদের,	
varson,	ভারসন,	ভারশন,	
sharif,	শরীফ,	শরিফ,	
nirgaman,	নির্গামান,	নির্গমন,	
karmoi,	করমই,	কর্মই,	
jaadrel,	যাদ্রেল,	জাঁদরেল,	
shtonehenge,	স্টনিহেন্জে,	স্টোনহেঞ্জ,	
banger,	বঙ্গের,	ব্যাঙের,	
shatan,	শতন,	শয়তান,	
asiph,	আসিফ,	আসিফ,	
pooshtir,	পুষ্টির,	পুষ্টির,	
niqela,	নাইকেল,	নিকেল,	
shoshoa,	শোষয,	শশা,	
shhikha,	শিখা,	শিখ,	
monohputa,	মনোহপত,	মনঃপুত,	
upobaser,	উপবাসের,	উপবাসের,	
somoshti,	সমস্তি,	সমষ্টি,	
retasa,	রেটস,	রাইটস,	
lutheeran,	লুদিরণ,	লুথেরান,	
shilbar,	সিলবার,	সিলভার,	
dharabhashyakar,	ধর্ভাশ্যকর,	ধারাভাষ্যকার,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
batsmani,	বাৎসম্নী,	ব্যাটসম্যানই,	
sikarer,	শিকারের,	শিকারের,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
jolook,	জলক,	জ্বলুক,	
aboshore,	অবশরে,	অবসরে,	
ragkey,	রাগকে,	রাগকে,	
ghoorsen,	ঘুরসেন,	ঘুরেছেন,	
akkash,	একাশ,	আককাস,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
komatei,	কমাতেই,	কমাতেই,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
ovisongson,	অভিসংসন,	অভিশংসন,	
chalochchitreeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
maudelti,	মডেলটি,	মডেলটি,	
monu,	মনু,	মনু,	
giitikobita,	গীতিকাবিত,	গীতিকবিতা,	
faster,	ফাস্টার,	ফস্টার,	
karlosh,	কার্লস,	কার্লোস,	
mastars,	মাস্টার্স,	মাস্টার্স,	
resorte,	রিসর্টে,	রিসোর্টে,	
jemske,	জেমসকে,	জেমসকে,	
drishyake,	দৃষ্যকে,	দৃশ্যকে,	
drishyagulo,	দৃষ্যগুলো,	দৃশ্যগুলো,	
gosthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
maradeho,	মারাদেহ,	মরদেহ,	
talal,	তালাল,	তালাল,	
matthew,	মাঠেও,	ম্যাথিউ,	
aakaabar,	আকাবার,	আকাবার,	
steeit,	স্টেইট,	স্টেইট,	
orbiit,	অরবিট,	অরবিট,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
antorvuktimulok,	অন্তর্ভূতকমূলক,	অন্তর্ভুক্তিমূলক,	
averej,	অভারেজ,	এভারেজ,	
shcore,	স্কোর,	স্কোর,	
ranadip,	রণাদীপ,	রণদীপ,	
rijoor,	রিজুর,	রিজুর,	
marry,	মেরি,	ম্যারি,	
sarollo,	সারোল্ল,	সারল্য,	
anchaltite,	অঞ্চালটিতে,	অঞ্চলটিতে,	
uru,	ঊরু,	উরু,	
prakalpagulo,	প্রকালগুলো,	প্রকল্পগুলো,	
janapath,	জনপথ,	জনপথ,	
palkee,	পলকি,	পাল্কি,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
kanai,	কানাই,	কানাই,	
sangkulaan,	সংকুলান,	সংকুলান,	
karleo,	কালেও,	করলেও,	
tarunderke,	তারুন্দেরকে,	তরুণদেরকে,	
grantha,	গ্রন্থা,	গ্রন্থ,	
nabatamo,	নবাতম,	নবতম,	
chaloke,	চালকে,	চালকে,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
bonovumi,	ভনভূমি,	বনভূমি,	
dharabahikvabey,	ধারাবিকভাবে,	ধারাবাহিকটি,	
mojlishpoor,	মজিশপুর,	মজলিশপুর,	
lutheren,	লুদারেন,	লুথেরান,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
bruklin,	ব্র্কলিন,	ব্রুকলিন,	
sinaake,	সিনাকে,	সিনাকে,	
ganochiener,	গণছিনের,	গণচীনের,	
asoociates,	অসোসিয়েসিট,	এসোসিয়েটস,	
recondishon,	রেনক্ডিনশন,	রিকন্ডিশন,	
samosto,	সাস্ত,	সমস্ত,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
kaamla,	কামলা,	কামলা,	
karo,	কারও,	কারো,	
alaul,	আলাউল,	আলাওল,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
moqam,	মোকাম,	মোকাম,	
zockey,	জকে,	জকি,	
wool,	উোল,	উল,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
jemser,	জেমসের,	জেমসের,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
cheph,	চেফ,	শেফ,	
dibating,	দিবেটিং,	ডিবেটিং,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
cyphy,	সিফি,	সাইফাই,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
samajik,	সামাজিক,	সামাজিক,	
garnar,	গর্নর,	গার্নার,	
aiisa,	আইস,	আইএএস,	
hozot,	হজত,	হজত,	
koyari,	কোয়ারি,	কোয়েরি,	
railliner,	রেলিনের,	রেললাইনের,	
zeebonnogor,	জীবননগর,	জীবননগর,	
artharer,	অর্থারের,	আর্থারের,	
metere,	মেটারে,	মিটারে,	
sushukkhar,	সুশুক্ষার,	সুশিক্ষার,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
oncholo,	অঞ্চল,	অঞ্চলও,	
royalty,	রয়্লটি,	রয়্যালটি,	
marketin,	মার্কেটিং,	মার্কেটিং,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
phooloo,	ফুলও,	পোলো,	
maahe,	মাহে,	মাহে,	
gotibege,	গতিবেগে,	গতিবেগে,	
parisankhanbid,	পরিসংব্খাবিদ,	পরিসংখ্যানবিদ,	
swajaner,	স্বজনের,	স্বজনের,	
nikate,	নিকটে,	নিকটে,	
oboshore,	অবশরে,	অবসরে,	
horidbare,	হরিদবরে,	হরিদ্বারে,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
mozdur,	মজদুর,	মজদুর,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
pattarn,	পটার্ন,	প্যাটার্ন,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
patrol,	পাত্রল,	পেট্রোল,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
ray,	রে,	রায়,	
sperm,	স্পার্ম,	স্পার্ম,	
barbe,	বর্ব,	বাড়বে,	
taurist,	টারিস্ট,	টুরিস্ট,	
foxer,	ফোস্সের,	ফক্সের,	
temani,	তেমানি,	তেমনই,	
jwalbe,	জ্বলবে,	জ্বলবে,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
muhit,	মূহিত,	মুহিত,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
os,	ওস,	অস,	
paschater,	পাশ্চাত্যের,	পশ্চাতের,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
obe,	ওবে,	ওবিই,	
kloj,	ক্লোজ,	ক্লজ,	
tenis,	টেনিস,	টেনিস,	
aaminar,	আমিনার,	আমিনার,	
prastutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
esosiyetasa,	এসোসিটেস,	এসোসিয়েটস,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
rajballav,	রাজবললা,	রাজবল্লভ,	
chhatroraai,	ছাত্রাাই,	ছাত্ররাই,	
abortey,	আবর্তে,	আবর্তে,	
food,	ফুড,	ফুড,	
xpresion,	এক্সপেশন,	এক্সপ্রেশন,	
kampita,	কম্পিত,	কম্পিত,	
sontoshpur,	সন্তস্পুর,	সন্তোষপুর,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
nazi,	নাজি,	নাত্সি,	
bihare,	বিহারে,	বিহারে,	
tigers,	টিজার্স,	টাইগার্স,	
qonflict,	কনফ্ল্ক্ট,	কনফ্লিক্ট,	
nothivookteer,	নথিভূক্তির,	নথিভুক্তির,	
timathi,	তিমাথি,	টিমোথি,	
iunita,	ইউনিট,	ইউনিট,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
oncolsoho,	অন্চলসহ,	অঞ্চলসহ,	
atto,	আত্ব,	আত্ম,	
vaticaner,	ভ্যাতিকেনের,	ভ্যাটিকানের,	
aqabar,	আকাবার,	আকাবার,	
srimati,	শ্রীমতী,	শ্রীমতি,	
plak,	প্লক,	প্ল্যাক,	
ghosito,	ঘষিত,	ঘোষিত,	
grauth,	গ্রুথ,	গ্রোথ,	
hugheske,	হুগেছকে,	হিউজকে,	
towraat,	টোরাট,	তওরাত,	
tolemyr,	তলেমির,	টলেমির,	
shikara,	সিকার,	শিকার,	
uchhoshito,	উচ্চিষ্ত,	উচ্ছসিত,	
monmoth,	মন্মথ,	মন্মথ,	
bissonath,	বিষ্বনাথ,	বিশ্বনাথ,	
eshtonia,	এস্টেনিয়া,	এস্তোনিয়া,	
shreeshree,	শ্রীশরি,	শ্রীশ্রী,	
fimela,	ফিমেল,	ফিমেল,	
danaber,	দানবের,	দানবের,	
oshamanno,	অসমান্ন,	অসামান্য,	
mehonoti,	মেহনাটি,	মেহনতি,	
spredshiit,	স্প্রেডাসিত,	স্প্রেডশীট,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
sikara,	সিকার,	শিকার,	
mukhabandha,	মুখাবন্ধ,	মুখবন্ধ,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
pouchute,	পৌঁছতে,	পৌঁছুতে,	
amor,	আমোর,	আমর,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
dakteekit,	ডাক্তিকিট,	ডাকটিকিট,	
koode,	কোডে,	কোড,	
shikkhakke,	শিক্ষাকে,	শিক্ষককে,	
sarboshokteeman,	সর্বস্কতিকমণ,	সর্বশক্তিমান,	
shaarthe,	সার্থে,	স্বার্থে,	
debug,	দেবুগ,	ডিবাগ,	
tokey,	তোকে,	ত্বকেই,	
chatoke,	চটকে,	ছাতকে,	
naajii,	নাজি,	নাত্সি,	
porisromii,	পরিষ্রমী,	পরিশ্রমী,	
turkey,	তার্কী,	তুর্কি,	
badhadan,	বাঁধাদন,	বাধাদান,	
