dhonuker,	ধ্নুকের,	ধনুকের,	
temne,	টেযান,	তেমনে,	
security,	সিকিউরিটি,	সিকুরিটি,	
hastantarito,	হস্তান্তরিত,	হস্তান্তরিত,	
stationery,	স্টেশনেরি,	স্টেশনারি,	
hishab,	হিসাব,	হিসাব,	
bisshasher,	বিশ্বাসের,	বিশ্বাসের,	
halala,	হলালা,	হালাল,	
ikbal,	একবল,	ইকবাল,	
rajtantrer,	রাজতন্ত্রের,	রাজতন্ত্রের,	
bilati,	বিলাটি,	বিলাতি,	
bhandaarer,	ভান্ডারের,	ভাণ্ডারের,	
hendbooq,	হেন্দ্বক,	হ্যান্ডবুক,	
lomos,	লোমস,	লোমশ,	
monzoor,	মঞ্জুর,	মঞ্জুর,	
malacca,	মালাকা,	মালাক্কা,	
jakkhar,	যক্ষ্রার,	যক্ষার,	
sklerosisa,	স্ক্ল্রোসিস,	স্ক্লেরোসিস,	
aminoo,	অ্যামিনো,	অ্যামিনো,	
prokashitabyo,	প্রকাশিবত্ব,	প্রকাশিতব্য,	
aunchal,	অঞ্চল,	অঞ্চল,	
shoot,	শূট,	শ্যুট,	
haajare,	হাজারে,	হাজারে,	
tenniser,	টেনিসের,	টেনিসের,	
dibyi,	দিব্যি,	দিব্যি,	
bhugarbha,	ভূগর্ভ,	ভূগর্ভ,	
dekhbe,	দেখবে,	দেখবে,	
sudip,	সুদিপ,	সুদীপ,	
kousholgotovabe,	কৌশলগতভাবে,	কৌশলগতভাবে,	
soorir,	সুরির,	সুরির,	
choritartho,	চরিত্র্থ,	চরিতার্থ,	
khashkhashe,	খাখখাখে,	খসখসে,	
dienate,	দাননটে,	ডিএনএতে,	
nadigulor,	নদীগুলোর,	নদীগুলোর,	
tekshasha,	টেক্সস,	টেক্সাস,	
bongsher,	বংশের,	বংশের,	
borgomul,	বর্গমুল,	বর্গমূল,	
douni,	দৌনি,	ডাউনি,	
meesopotamia,	মেসোপোটিয়াম,	মেসোপটেমিয়া,	
koshobho,	কোষভ,	কসোভো,	
falata,	ফলতা,	ফলতঃ,	
nimnaroop,	নিম্নরূপ,	নিম্নরূপ,	
bisesagya,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
yatharthata,	যযার্থতা,	যথার্থতা,	
indush,	ইন্ডুস,	ইন্দাস,	
sujhe,	সুঝে,	সুজ,	
shastree,	শাস্ত্রী,	শাস্ত্রী,	
temone,	টেমনে,	তেমনে,	
proshtutkarokder,	প্রস্তুতকরককের,	প্রস্তুতকারকদের,	
jack,	জ্যাক,	জাক,	
booster,	বোস্টার,	বুস্টার,	
soudagarer,	সৌদাগারের,	সওদাগরের,	
downi,	দানি,	ডাউনি,	
saarkaaser,	সারকাশের,	সার্কাসের,	
pun,	পান,	পান,	
tur,	তুর,	টুর,	
susongbaddho,	সুসংবাধ্য,	সুসংবদ্ধ,	
righting,	রাইটিং,	রাইটিং,	
cruce,	ক্রুস,	ক্রুশে,	
conventione,	কনফেন্নন,	কনভেনশনে,	
horiddarer,	হরিদদারের,	হরিদ্বারের,	
mmehonaj,	মেহনাজ,	মেহনাজ,	
sikhder,	শিখদের,	শিখদের,	
palongshak,	পালংশক,	পালংশাক,	
utkontha,	উৎকণ্থা,	উৎকণ্ঠা,	
masterkey,	মাস্টারকে,	মাস্টারকে,	
pothochinho,	পথচিহ্ন,	পথচিহ্ন,	
bonshodbhuto,	বংশদ্ভুত,	বংশোদ্ভুত,	
kanchi,	কাঁচি,	কঞ্চি,	
oviyojaner,	অভিযোজনের,	অভিযোজনের,	
samaje,	সমমাজে,	সমাজে,	
golachipa,	গোলাচিপ,	গলাচিপা,	
tthiktthak,	ঠিকথ্যক,	ঠিকঠাক,	
manabhitoishi,	মনোভিততী,	মানবহিতৈষী,	
plateti,	প্লেটটি,	প্লেটটি,	
naagaalande,	নাগানান্ডে,	নাগাল্যান্ডে,	
vugoler,	ভুগলের,	ভূগোলের,	
ghaty,	ঘটি,	ঘাঁটি,	
aslil,	আসলিল,	অশ্লীল,	
lpj,	এলএপসি,	এলপিজি,	
kukari,	কুকারি,	কুকরী,	
jang,	জাং,	জং,	
utsahito,	উৎসাহিত,	উৎসাহিত,	
sachakito,	সচকিত,	সচকিত,	
gathiqa,	গঠিকা,	গথিক,	
sarkaser,	সরকাশের,	সার্কাসের,	
bangkare,	বাঙ্কারে,	বাংকারে,	
jaharul,	জাহারুল,	জহরুল,	
sansa,	সানসা,	সান্স,	
muttaleeb,	মুট্ললবি,	মুত্তালিব,	
kotrik,	কত্রিক,	কতৃক,	
mohashunyo,	মহাসুন্য,	মহাশূন্য,	
saarkaser,	সারকাশের,	সার্কাসের,	
manonita,	মনোনিত,	মনোনীত,	
kromohrashomaan,	ক্রমহ্রসমান,	ক্রমহ্রাসমান,	
prokalpey,	প্রকল্পে,	প্রকল্পে,	
sidhanta,	সিধন্ত,	সিধান্ত,	
hallisohore,	হালিসহরে,	হালিশহরে,	
asonkar,	আসঙ্কর,	আশঙ্কার,	
sripur,	শ্রীপুর,	শ্রীপুর,	
moshzidei,	মস্জীদেই,	মসজিদেই,	
parjatako,	পর্যতক,	পর্যটকও,	
parla,	পারলল,	পার্ল,	
engrej,	ইংরেজ,	ইংরেজ,	
sangosthader,	সংগ্ঠাাদের,	সংস্থাদের,	
choudhuree,	চৌধুরি,	চৌধুরী,	
balokaan,	বলকান,	বলকান,	
chirkutey,	চির্কুতে,	চিরকুটে,	
zuktorastrei,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেই,	
mojlishe,	মজলিসে,	মজলিশে,	
phutbolarke,	ফুটবলারকে,	ফুটবলারকে,	
yaung,	ইউং,	ইয়ং,	
baccharao,	বাচ্চারও,	বাচ্চারাও,	
mikadoo,	মিকাডো,	মিকাডো,	
databes,	ডাটাবেস,	ডাটাবেজ,	
beeneefit,	বেনেফিফ,	বেনিফিট,	
taamasha,	টামস,	তামাশা,	
panjore,	পাঁজরে,	পাঁজরে,	
apey,	অ্যাপে,	আপে,	
saainyoke,	সাইন্যকে,	সৈন্যকে,	
deegit,	ডেগিট,	ডিজিট,	
sahasaa,	সহসা,	সহসা,	
shplintar,	স্প্লিন্টার,	স্প্লিন্টার,	
shhootout,	শোটাট,	শ্যুটআউট,	
dakhanor,	দাখানোর,	দেখানোর,	
ponkoz,	পংকজ,	পঙ্কজ,	
otorkito,	অত্র্কিত,	অতর্কিত,	
young,	ইউং,	ইয়ং,	
antarbhutti,	অন্তর্ভূক্তি,	অন্তর্ভুক্তি,	
monjeeler,	মঞ্জিলের,	মঞ্জিলের,	
sainyer,	সৈন্যের,	সৈন্যের,	
porishodhan,	পরিসোধন,	পরিশোধন,	
chadara,	চাদারা,	চাদর,	
nirvorota,	নির্ভরতা,	নির্ভরতা,	
shongkher,	সংখের,	শঙ্খের,	
teksasa,	টেক্সস,	টেক্সাস,	
karabhog,	কারাভোগ,	কারাভোগ,	
aamina,	আমিনা,	আমিনা,	
prokalpatir,	প্রকল্পতির,	প্রকল্পটির,	
manument,	মনোমেন্ট,	মনুমেন্ট,	
arkiteekacharala,	আর্কিটেকচারাল,	আর্কিটেকচারাল,	
inashtitiushhana,	ইনস্টিটিউশন,	ইনস্টিটিউশন,	
riddha,	রিদ্ধা,	ঋদ্ধ,	
billete,	বিলেটে,	বিলেতে,	
gajiipure,	গজীীপুরে,	গাজীপুরে,	
imrool,	ইমরুল,	ইমরুল,	
udvaboner,	উদ্ভবনের,	উদ্ভাবনের,	
neervorota,	নির্ভরতা,	নির্ভরতা,	
shunye,	শূন্যে,	শুন্যে,	
parbatmalar,	পর্বত্মলার,	পর্বতমালার,	
zaana,	জানা,	জানা,	
spooken,	স্পুকেন,	স্পোকেন,	
bloger,	ব্লগের,	ব্লগার,	
nirgamaney,	নির্গানে,	নির্গমনে,	
bhaasar,	ভাষার,	ভাষার,	
pravriti,	প্রভৃতি,	প্রভৃতি,	
praimara,	প্রেমমার,	প্রাইমার,	
dovashee,	দভাশী,	দোভাষী,	
pyatarner,	প্যাটার্নের,	প্যাটার্নের,	
moshzider,	মস্জীদের,	মসজিদের,	
ekotaaboddho,	একতাবদ্ধ,	একতাবদ্ধ,	
bhugoler,	ভুগোলের,	ভূগোলের,	
antarvukti,	অন্তর্ভূক্তি,	অন্তর্ভুক্তি,	
masjidyo,	মাশ্যিদ্য,	মসজিদও,	
bandhaa,	বাঁধা,	বন্ধ্যা,	
kyathada,	ক্যাথা,	ক্যাথোড,	
adhunalupto,	অধুনালুপ্ত,	অধুনালুপ্ত,	
methu,	মেথা,	ম্যাথু,	
shlelshshar,	স্লেলসার,	শ্লেষ্মার,	
jelateo,	জেলাতেও,	জেলাতেও,	
sommotee,	সম্মটি,	সম্মতি,	
job,	জব,	জব,	
attabassyak,	আত্মবস্যক,	অত্যাবশ্যক,	
khalu,	খালু,	খালু,	
porisodhon,	পরিসোধন,	পরিশোধন,	
sutkki,	সূতকি,	শুঁটকি,	
handbuk,	হান্দ্বুক,	হ্যান্ডবুক,	
boonaparte,	বুনাপর্তে,	বোনাপার্ট,	
gaziipure,	গাজীপুরে,	গাজীপুরে,	
reeta,	রীটা,	রিতা,	
arther,	অর্থের,	আর্থার,	
nikotei,	নিকটেই,	নিকটেই,	
chest,	চেস্ট,	চেষ্ট,	
mokoddoma,	মোকদ্দমা,	মকদ্দমা,	
bhorke,	ভোরকে,	ভরকে,	
mehnaz,	মেহনাজ,	মেহনাজ,	
licencey,	লিসেন্স,	লাইসেন্সে,	
sarkaase,	সরকাশে,	সার্কাসে,	
lagging,	ল্যাগিং,	লগিং,	
dreak,	ড্রিক,	ড্রেক,	
kiu,	কিউ,	কিউ,	
item,	ইতেম,	আইটেম,	
mama,	মামা,	মাম,	
jilanir,	জিলানির,	জিলানীর,	
shashto,	শষষট,	ষষ্ট,	
jounatake,	যৌনতাকে,	যৌনতাকে,	
haiben,	হাইবেন,	হইবেন,	
ekokbhabe,	এককভাবে,	এককভাবে,	
banijyikvabe,	বাণিজ্যিকভাবে,	বাণিজ্যিকভাবে,	
karmakander,	কর্মকান্ডের,	কর্মকাণ্ডের,	
santan,	সন্তান,	সনাতন,	
lowar,	লাওর,	লোয়ার,	
bollovpur,	বল্লপুর,	বল্লভপুর,	
aza,	আজা,	আজা,	
vobishyat,	ভবিষ্যত,	ভবিষ্যৎ,	
oboshthantor,	অবস্থান্তর,	অবস্থান্তর,	
karamat,	কারামাত,	কারামত,	
deenisa,	ডেনিস,	ডেনিস,	
jbele,	জেবেলে,	জ্বেলে,	
juboktir,	যুবক্তির,	যুবকটির,	
nreetatwa,	নৃতত্তা,	নৃতত্ত্ব,	
byanar,	ব্যানার,	ব্যানার,	
chalachheelo,	চালাচ্ছিল,	চালাচ্ছিল,	
shangkulaner,	শঙ্কুলনের,	সংকুলানের,	
rajesh,	রাজেশ,	রাজেশ,	
pathkrome,	পাঠক্রমে,	পাঠক্রমে,	
satin,	সতীন,	সতিন,	
mukherjir,	মুখের্জির,	মুখার্জীর,	
sangrahokder,	সংগ্রহকদের,	সংগ্রাহকদের,	
seekkhababosthar,	শিক্ষাবাবস্থার,	শিক্ষাব্যবস্থার,	
nadiirr,	নাদীর,	নদীর,	
esa,	এসা,	আইস,	
shonggiitoggo,	সঙ্গীতজ্ঞ,	সঙ্গীতজ্ঞ,	
chapala,	চাপালা,	চপলা,	
emshie,	এমশি,	এমসিএ,	
karlaila,	কারলাইল,	কার্লাইল,	
harrishon,	হ্যারিশন,	হ্যারিসন,	
porishromay,	পরিশ্রমে,	পরিশ্রমে,	
goodamghor,	গুদমগর,	গুদামঘর,	
postin,	পোস্টিং,	পোস্টিং,	
kamey,	কামে,	কমে,	
hrosho,	হ্রস,	হ্রস্ব,	
utshahito,	উৎসাহিত,	উৎসাহিত,	
vorosar,	ভোরসার,	ভরসার,	
bhumadhya,	ভূমধ্যা,	ভূমধ্য,	
samajsebar,	সমজসেবার,	সমাজসেবার,	
susanbaddha,	সুসংবাধধ,	সুসংবদ্ধ,	
belfast,	বেলফসস্ট,	বেলফাস্ট,	
decition,	ডিকেশন,	ডিসিশন,	
uposhthiti,	উপস্থিতি,	উপস্থিতি,	
protyekeryi,	প্রত্যেকীরই,	প্রত্যেকেরই,	
shipping,	সিপিং,	শিপিং,	
shilbhaarer,	সিলভারের,	সিলভারের,	
nanoopoor,	নানুপুর,	নানুপুর,	
jyaki,	জ্যাকি,	জ্যাকি,	
sahakarir,	সহকারির,	সহকারীর,	
halall,	হলল,	হালাল,	
mula,	মুলা,	মূলা,	
juktarashtrao,	যুক্তরাস্ট্র,	যুক্তরাষ্ট্রও,	
isiser,	আইসিসের,	আইসিসের,	
bbondhyaa,	বন্ধ্যা,	বন্ধ্যা,	
