plato,	প্লট,	প্লেটো,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
shomser,	শমসের,	সমশের,	
rayyaleti,	রিয়েলটি,	রয়্যালটি,	
baugey,	বাগে,	বাগে,	
rahie,	রাহী,	রাহি,	
amor,	আমর,	আমর,	
phox,	ফক্স,	ফক্স,	
swarther,	স্বর্থের,	স্বার্থের,	
biqe,	বিকে,	বাইক,	
jonomukhi,	জনমুখী,	জনমুখী,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
prakalpagulo,	প্রকলাপুলো,	প্রকল্পগুলো,	
dosider,	দশীদের,	দোষীদের,	
majdur,	মজদুর,	মজদুর,	
saphalyar,	সফল্যার,	সাফল্যের,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
saddhi,	স্ধধ্যি,	সাধ্বী,	
pleta,	প্লেট,	প্লেটো,	
fiksim,	ফিক্সিম,	ফিক্সিং,	
korley,	করলে,	করলে,	
inapharameshana,	ইনফ্রমেশন,	ইনফরমেশন,	
shalook,	সালুক,	শালুক,	
grambaaseeder,	গ্রাবাসাদীদের,	গ্রামবাসীদের,	
progreess,	প্রোগ্রেস,	প্রগ্রেস,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
groth,	গ্রথ,	গ্রোথ,	
tahalei,	তাহালেই,	তাহলেই,	
qinsa,	কিংস,	কিংস,	
patishapta,	পতিশপ্ত,	পাটিসাপটা,	
abatar,	আবতর,	অবতার,	
orthonitite,	অর্থনীতে,	অর্থনীতিতে,	
shenior,	সেনির,	সিনিয়র,	
inapharamesana,	ইনফ্রমেশন,	ইনফরমেশন,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
tecnokryat,	টেকন্্্রাট,	টেকনোক্র্যাট,	
durotomm,	দূরতম্ম,	দূরতম,	
uparjoner,	উপার্জনের,	উপার্জনের,	
catholic,	ট্যাথলিক,	ক্যাথলিক,	
shuparahiro,	সুপারহীর,	সুপারহিরো,	
gavaskar,	গভস্কর,	গাভাস্কার,	
aakik,	আকিক,	আকিক,	
zerusaleme,	জেরুসাইমে,	জেরুসালেমে,	
gonocheen,	গণোছিন,	গণচীন,	
debdebi,	দেবদেবি,	দেবদেবী,	
saralya,	সরল্য,	সারল্য,	
shoccer,	সকের,	সকার,	
ramantic,	রামান্তিক,	রোমান্টিক,	
vimshen,	ভিমসেন,	ভীমসেন,	
patisapta,	পতিশপ্ত,	পাটিসাপটা,	
wrighter,	বারঘেটের,	রাইটের,	
noubihar,	নৌবিহার,	নৌবিহার,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
kaaleo,	কালেও,	কালেও,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
dhrubak,	ধ্রুবক,	ধ্রুবক,	
korimke,	করিমকে,	করিমকে,	
zonsa,	জন্স,	জোন্স,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
rupert,	রূপার্ট,	রুপার্ট,	
saseza,	সােজ,	সসেজ,	
bondikey,	বন্দিকে,	বন্দীকে,	
dang,	ডাং,	ডং,	
tatira,	তাতিরা,	তাঁতিরা,	
palteche,	পালতেছে,	পাল্টেছে,	
kaner,	কানের,	কনের,	
thailandsaho,	থাইলান্ডস,	থাইল্যান্ডসহ,	
obosan,	অবসন,	অবসান,	
eekbalke,	ইকবলকে,	ইকবালকে,	
toroonke,	তরুণকে,	তরুণকে,	
temonyi,	টেমনই,	তেমনই,	
vangchur,	ভাঙচুর,	ভাংচুর,	
niketon,	নিকেটন,	নিকেতন,	
aashtikotaa,	আস্তিক্যতা,	আস্তিকতা,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
artherer,	অর্থেরের,	আর্থারের,	
upostheet,	উপস্থিত,	উপস্থিত,	
remacry,	রেমেক্রি,	রেমাক্রী,	
hyundai,	হ্যান্ডে,	হুন্দাই,	
buildar,	বিল্ডার,	বিল্ডার,	
aameenar,	আমিনার,	আমিনার,	
semai,	সেমাই,	সেমাই,	
roialti,	রইয়েলটি,	রয়্যালটি,	
gabeshanar,	গবেষণার,	গবেষনার,	
folo,	ফলো,	পোলো,	
inziniyarim,	ইনজিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
granthatyke,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
gemi,	জেমী,	জেমি,	
onektai,	অনেকটাই,	অনেকটাই,	
agrodoot,	আগ্রদুত,	অগ্রদূত,	
unhu,	উন্,	উঁহু,	
bhogno,	ভগ্ন,	ভগ্ন,	
haze,	হাজে,	হেজ,	
priti,	প্রীতি,	প্রিটি,	
ja,	জা,	জ্যা,	
byaboharkareederke,	ব্যবহারকারিকেরকে,	ব্যবহারকারীদেরকে,	
masjidsaho,	মসীদিসহ,	মসজিদসহ,	
stanehenge,	স্ট্যানেজেং,	স্টোনহেঞ্জ,	
moshzid,	মস্ীদ,	মসজিদ,	
aagera,	আগেরা,	আগোরা,	
sayid,	সাইড,	সাইদ,	
phareeksa,	ফরেক্স,	ফরেক্স,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
vishad,	বিষদ,	বিষদ,	
chirontan,	চিরন্তন,	চিরন্তন,	
skirt,	স্কার্ট,	স্কার্ট,	
jackshan,	জক্ষ্মণ,	জ্যাকসন,	
mohajot,	মহাজাত,	মহাজোট,	
noiteek,	নৈটিক,	নৈতিক,	
vobtarini,	ভব্তারিণী,	ভবতারিণী,	
modelke,	মদেলকে,	মডেলকে,	
janar,	জননর,	জানার,	
ruteen,	রুটিন,	রুটিন,	
flag,	ফ্লাগ,	ফ্লাগ,	
sahinsatar,	সাহিস্তার,	সহিংসতার,	
karecho,	করেছ,	করেছ,	
uul,	উউল,	উল,	
chupi,	চুপি,	চুপি,	
falakti,	ফলাকটি,	ফলকটি,	
nikote,	নিকটে,	নিকটে,	
location,	লোকেশন,	লোকেশন,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
quata,	কোট,	কোটা,	
nederlande,	নেদেরল্যান্ডে,	নেদারল্যান্ডে,	
superhiro,	সুপেরিহর,	সুপারহিরো,	
jerakam,	জেরকম,	যেরকম,	
rohasyor,	রহহ্যস্র,	রহস্যর,	
adorsho,	আদর্শ,	আর্দশ,	
tale,	টেল,	তালে,	
tofaat,	টফাত,	তফাৎ,	
bodhirta,	বধির্ত,	বধিরতা,	
consarvation,	কনসার্বেশন,	কনসারভেশন,	
jworer,	জ্বোরের,	জ্বরের,	
bhorkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
ruteener,	রুটিনের,	রুটিনের,	
phiqsa,	ফিক্স,	ফিক্স,	
mathews,	ম্যাথিস,	ম্যাথিউস,	
bolkarok,	বলকারক,	বলকারক,	
thimke,	ঠিমকে,	থিমকে,	
prai,	প্রে,	প্রায়,	
builder,	বিইল্ডার,	বিল্ডার,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
jack,	জ্যাক,	জ্যাক,	
model,	মোেল,	মডেল,	
otiiteo,	অতীতেও,	অতীতেও,	
oholla,	অহললা,	অহল্যা,	
esosiyetasa,	এসোসিয়েট,	এসোসিয়েটস,	
debholopar,	ডেভলপার,	ডেভলপার,	
jesh,	জেস,	জেস,	
tonu,	টনু,	তনু,	
dijijer,	দিজিজের,	ডিজিজের,	
kanthar,	কন্ঠার,	কাঁথার,	
chhayi,	ছাই,	ছাই,	
nodiitike,	নদীতীকে,	নদীটিকে,	
bagdader,	বাগদাদের,	বাগদাদের,	
taiteela,	টাইটেল,	টাইটেল,	
baarbadoj,	বার্বাদজ,	বার্বাডোজ,	
ghomta,	ঘমতা,	ঘোমটা,	
muchi,	মুচি,	মুচি,	
byataree,	ব্যাতারী,	ব্যাটারী,	
oholya,	অহল্যা,	অহল্যা,	
kaas,	কাশ,	কাস,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
torkareer,	তরকারির,	তরকারীর,	
zibonto,	জীবন্ত,	জীবন্ত,	
plainey,	প্লেনে,	প্লেনে,	
victar,	ভিক্টার,	ভিক্টর,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
shikshakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
kemone,	কেমনে,	কেমনে,	
kod,	কোদ,	কোড,	
shayanaida,	শ্যানাইড,	সায়ানাইড,	
embed,	এম্বেড,	এম্বেড,	
zinsa,	জিংস,	জিন্স,	
silver,	সিলভার,	সিলভার,	
mausumei,	মৌসুমেই,	মৌসুমেই,	
longghon,	লঙ্ঘন,	লংঘন,	
bhaibonder,	ভেবন্দের,	ভাইবোনদের,	
pustio,	পুস্টিও,	পুষ্টি,	
sulke,	সুলকে,	শুল্কে,	
advanced,	অ্যাডভেন্সেড,	অ্যাডভান্সড,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
nojder,	নজদের,	নজদের,	
anchaltikey,	অঞ্চলতিকে,	অঞ্চলটিকে,	
saafi,	সাফি,	সাফি,	
zess,	জেস,	জেস,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
dholeshwari,	ঢোলেশ্বরী,	ধলেশ্বরী,	
jaak,	যাক,	জাঁক,	
tonight,	টনিংট,	টুনাইট,	
byaboharkariderke,	ব্যবহারকারিকেরে,	ব্যবহারকারীদেরকে,	
rokibul,	রকিবুল,	রকিবুল,	
jolatanko,	জলাতকক,	জলাতঙ্ক,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
palbongser,	পালবংশের,	পালবংশের,	
senabahineeow,	সেনাবাহিনেও,	সেনাবাহিনীও,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
bona,	বোনা,	বোনা,	
asociates,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
upcharzo,	উপার্জা,	উপাচার্য,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
sahozlabhbhotar,	সহজভ্লভাতার,	সহজলভ্যতার,	
naraphoka,	নারফফক,	নরফোক,	
beenis,	বিনিশ,	ভেনিস,	
ghatol,	ঘটল,	ঘটল,	
bamon,	বামন,	বামন,	
parisankhyanvid,	পরিসংখ্যান্বীদ,	পরিসংখ্যানবিদ,	
teyt,	টেইট,	টেট,	
jani,	জেনি,	জনি,	
shiramiksh,	শিরামিক্স,	সিরামিকস,	
somonnitobhabe,	সমননিত্বভাবে,	সমন্বিতভাবে,	
heawy,	হেও,	হেভি,	
polo,	পোলো,	পোলো,	
shten,	স্টেন,	স্টেন,	
narsari,	নার্সারী,	নার্সারি,	
dharatir,	ধারতির,	ধারাটির,	
dozo,	দজও,	ডোজো,	
akib,	আকীব,	আকিব,	
taatey,	টাটে,	তাতে,	
fareksa,	ফরেক্স,	ফরেক্স,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
ddhake,	ঢাকে,	ঢেকে,	
akten,	আঁকতেন,	অকটেন,	
janes,	জেনস,	জোন্স,	
atak,	আটাক,	আটক,	
vobotarini,	ভবতারিণী,	ভবতারিণী,	
neerbahi,	নির্বাহী,	নির্বাহি,	
ekpashe,	একপাশে,	একপাশে,	
hoeel,	হইল,	হইল,	
voter,	ভোটের,	ভোটার,	
shikh,	শিখ,	শিখ,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
charrjar,	চার্জার,	চার্জার,	
aamude,	আমুদে,	আমুদে,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
cool,	কোল,	কুল,	
rachanakal,	রচনাকাল,	রচনাকাল,	
heeja,	হেজ,	হেজ,	
sbaajaner,	স্বজনের,	স্বজনের,	
kuary,	কোয়ারি,	কোয়েরি,	
sthapanar,	স্থপনার,	স্থাপনার,	
elaakatir,	এলাকাতির,	এলাকাটির,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
ohang,	ওহ্যাং,	অহং,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
moshion,	মশিয়ন,	মোশন,	
oboshore,	অবসরে,	অবসরে,	
grootha,	গ্রুথা,	গ্রোথ,	
goolen,	গোলেন,	গুলেন,	
manushi,	মানুসি,	মানুষী,	
pooroheetra,	পুরহহৃত্র,	পুরোহিতরা,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
pravritite,	প্রাভৃতিতে,	প্রভৃতিতে,	
stonahenja,	স্টনেহেঞ্জা,	স্টোনহেঞ্জ,	
